Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Brandon Clarke,Shared Games with David Roddy,Shared Games with Desmond Bane,Shared Games with Dillon Brooks,Shared Games with Ja Morant,Shared Games with Jake LaRavia,Shared Games with Jaren Jackson Jr.,Shared Games with John Konchar,Shared Games with Kennedy Chandler,Shared Games with Kenneth Lofton Jr.,Shared Games with Santi Aldama,Shared Games with Steven Adams,Shared Games with Tyus Jones,Shared Games with Xavier Tillman Sr.,Shared Games with Ziaire Williams,Brandon Clarke,Danny Green,David Roddy,Desmond Bane,Dillon Brooks,Ja Morant,Jacob Gilyard,Jake LaRavia,Jaren Jackson Jr.,John Konchar,Kennedy Chandler,Kenneth Lofton Jr.,Santi Aldama,Steven Adams,Tyus Jones,Xavier Tillman Sr.,Ziaire Williams,co_inf with Brandon Clarke,co_inf with Danny Green,co_inf with David Roddy,co_inf with Desmond Bane,co_inf with Dillon Brooks,co_inf with Ja Morant,co_inf with Jacob Gilyard,co_inf with Jake LaRavia,co_inf with Jaren Jackson Jr.,co_inf with John Konchar,co_inf with Kennedy Chandler,co_inf with Kenneth Lofton Jr.,co_inf with Santi Aldama,co_inf with Steven Adams,co_inf with Tyus Jones,co_inf with Xavier Tillman Sr.,co_inf with Ziaire Williams,Shared Games with Luke Kennard,Luke Kennard,Trae Young,co_inf with Luke Kennard,co_inf with Trae Young,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
11.0,,2022-11-07,22-069,MEM,BOS,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,9,15,9,13,10,8,9,14,14,11,11,8,14,12,4,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,61.0,37.0,0.1607142857142857,0.0,0.2142857142857142,0.1551724137931034,0.1780821917808219,0.1639344262295081,0.0,0.2285714285714285,0.1428571428571428,0.1944444444444444,0.3888888888888889,0.4583333333333333,0.1428571428571428,0.1904761904761904,0.175,0.1967213114754098,0.1081081081081081,5,59.0,73.0,0.0847457627118644,0.0,16,,81.0,5.0625,0.0,80.89999999999999,5.05625,0.0031292375091269,L (-3),L (-3)
12.0,,2022-11-09,22-071,MEM,SAS,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,9,15,9,13,10,8,9,14,14,11,11,8,14,12,4,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,61.0,37.0,0.1607142857142857,0.0,0.2142857142857142,0.1551724137931034,0.1780821917808219,0.1639344262295081,0.0,0.2285714285714285,0.1428571428571428,0.1944444444444444,0.3888888888888889,0.4583333333333333,0.1428571428571428,0.1904761904761904,0.175,0.1967213114754098,0.1081081081081081,5,59.0,73.0,0.0847457627118644,0.0,16,,87.0,5.4375,0.0,99.3,6.20625,0.0031292375091269,W (+2),W (+2)
13.0,,2022-11-11,22-073,MEM,MIN,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,9,15,9,13,10,8,9,14,14,11,11,8,14,12,4,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,61.0,37.0,0.1607142857142857,0.0,0.2142857142857142,0.1551724137931034,0.1780821917808219,0.1639344262295081,0.0,0.2285714285714285,0.1428571428571428,0.1944444444444444,0.3888888888888889,0.4583333333333333,0.1428571428571428,0.1904761904761904,0.175,0.1967213114754098,0.1081081081081081,5,59.0,73.0,0.0847457627118644,0.0,16,,75.0,4.6875,0.0,90.39999999999998,5.649999999999999,0.0031292375091269,W (+11),W (+11)
14.0,,2022-11-13,22-075,MEM,WAS,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,9,15,9,13,10,8,9,14,14,11,11,8,14,12,4,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,61.0,37.0,0.1607142857142857,0.0,0.2142857142857142,0.1551724137931034,0.1780821917808219,0.1639344262295081,0.0,0.2285714285714285,0.1428571428571428,0.1944444444444444,0.3888888888888889,0.4583333333333333,0.1428571428571428,0.1904761904761904,0.175,0.1967213114754098,0.1081081081081081,5,59.0,73.0,0.0847457627118644,0.0,16,,66.0,4.125,0.0,61.79999999999999,3.8625,0.0031292375091269,L (-10),L (-10)
15.0,,2022-11-15,22-077,MEM,NOP,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,9,15,9,13,10,8,9,14,14,11,11,8,14,12,4,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,61.0,37.0,0.1607142857142857,0.0,0.2142857142857142,0.1551724137931034,0.1780821917808219,0.1639344262295081,0.0,0.2285714285714285,0.1428571428571428,0.1944444444444444,0.3888888888888889,0.4583333333333333,0.1428571428571428,0.1904761904761904,0.175,0.1967213114754098,0.1081081081081081,5,59.0,73.0,0.0847457627118644,0.0,16,,69.0,4.3125,0.0,69.60000000000001,4.3500000000000005,0.0031292375091269,L (-11),L (-11)
16.0,,2022-11-18,22-080,MEM,OKC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,9,15,9,13,10,8,9,14,14,11,11,8,14,12,4,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,61.0,37.0,0.1607142857142857,0.0,0.2142857142857142,0.1551724137931034,0.1780821917808219,0.1639344262295081,0.0,0.2285714285714285,0.1428571428571428,0.1944444444444444,0.3888888888888889,0.4583333333333333,0.1428571428571428,0.1904761904761904,0.175,0.1967213114754098,0.1081081081081081,5,59.0,73.0,0.0847457627118644,0.0,16,,89.0,5.5625,0.0,90.3,5.64375,0.0031292375091269,W (+11),W (+11)
17.0,4.0,2022-11-20,22-082,MEM,BRK,0,2.65,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.7,+5,1.0,1.0,1.0,9,15,9,13,10,8,9,14,14,11,11,8,14,12,4,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,61.0,37.0,0.1607142857142857,0.0,0.2142857142857142,0.1551724137931034,0.1780821917808219,0.1639344262295081,0.0,0.2285714285714285,0.1428571428571428,0.1944444444444444,0.3888888888888889,0.4583333333333333,0.1428571428571428,0.1904761904761904,0.175,0.1967213114754098,0.1081081081081081,5,59.0,73.0,0.0847457627118644,0.0,16,1.0,63.0,3.9375,1.7,85.0,5.3125,0.0031292375091269,L (-12),L (-12)
18.0,,2022-11-22,22-084,MEM,SAC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,9,15,9,13,10,8,9,14,14,11,11,8,14,12,4,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,61.0,37.0,0.1607142857142857,0.0,0.2142857142857142,0.1551724137931034,0.1780821917808219,0.1639344262295081,0.0,0.2285714285714285,0.1428571428571428,0.1944444444444444,0.3888888888888889,0.4583333333333333,0.1428571428571428,0.1904761904761904,0.175,0.1967213114754098,0.1081081081081081,5,59.0,73.0,0.0847457627118644,0.0,16,,78.0,4.875,0.0,79.6,4.975,0.0031292375091269,L (-4),L (-4)
19.0,5.0,2022-11-25,22-087,MEM,NOP,0,4.716666666666667,1.0,1.0,1.000,1.0,1.0,1.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.7,-10,0.0,0.0,,9,15,9,13,10,8,9,14,14,11,11,8,14,12,4,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,61.0,37.0,0.1607142857142857,0.0,0.2142857142857142,0.1551724137931034,0.1780821917808219,0.1639344262295081,0.0,0.2285714285714285,0.1428571428571428,0.1944444444444444,0.3888888888888889,0.4583333333333333,0.1428571428571428,0.1904761904761904,0.175,0.1967213114754098,0.1081081081081081,5,59.0,73.0,0.0847457627118644,0.0,16,2.0,80.0,5.0,2.7,95.6,5.975,0.0031292375091269,W (+21),W (+21)
20.0,,2022-11-27,22-089,MEM,NYK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,9,15,9,13,10,8,9,14,14,11,11,8,14,12,4,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,61.0,37.0,0.1607142857142857,0.0,0.2142857142857142,0.1551724137931034,0.1780821917808219,0.1639344262295081,0.0,0.2285714285714285,0.1428571428571428,0.1944444444444444,0.3888888888888889,0.4583333333333333,0.1428571428571428,0.1904761904761904,0.175,0.1967213114754098,0.1081081081081081,5,59.0,73.0,0.0847457627118644,0.0,16,,89.0,5.5625,0.0,96.5,6.03125,0.0031292375091269,W (+4),W (+4)
21.0,,2022-11-30,22-092,MEM,MIN,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,9,15,9,13,10,8,9,14,14,11,11,8,14,12,4,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,61.0,37.0,0.1607142857142857,0.0,0.2142857142857142,0.1551724137931034,0.1780821917808219,0.1639344262295081,0.0,0.2285714285714285,0.1428571428571428,0.1944444444444444,0.3888888888888889,0.4583333333333333,0.1428571428571428,0.1904761904761904,0.175,0.1967213114754098,0.1081081081081081,5,59.0,73.0,0.0847457627118644,0.0,16,,55.0,3.4375,0.0,58.29999999999998,3.643749999999999,0.0031292375091269,,
22.0,,2022-12-02,22-094,MEM,PHI,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,9,15,9,13,10,8,9,14,14,11,11,8,14,12,4,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,61.0,37.0,0.1607142857142857,0.0,0.2142857142857142,0.1551724137931034,0.1780821917808219,0.1639344262295081,0.0,0.2285714285714285,0.1428571428571428,0.1944444444444444,0.3888888888888889,0.4583333333333333,0.1428571428571428,0.1904761904761904,0.175,0.1967213114754098,0.1081081081081081,5,59.0,73.0,0.0847457627118644,0.0,16,,94.0,5.875,0.0,91.3,5.70625,0.0031292375091269,L (-8),L (-8)
23.0,,2022-12-04,22-096,MEM,DET,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,9,15,9,13,10,8,9,14,14,11,11,8,14,12,4,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,61.0,37.0,0.1607142857142857,0.0,0.2142857142857142,0.1551724137931034,0.1780821917808219,0.1639344262295081,0.0,0.2285714285714285,0.1428571428571428,0.1944444444444444,0.3888888888888889,0.4583333333333333,0.1428571428571428,0.1904761904761904,0.175,0.1967213114754098,0.1081081081081081,5,59.0,73.0,0.0847457627118644,0.0,16,,76.0,4.75,0.0,92.5,5.78125,0.0031292375091269,W (+8),W (+8)
24.0,6.0,2022-12-05,22-097,MEM,MIA,0,13.916666666666666,0.0,3.0,.000,0.0,2.0,.000,0,0.0,,0.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.1,+2,1.0,0.0,0.0,9,15,9,13,10,8,9,14,14,11,11,8,14,12,4,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,61.0,37.0,0.1607142857142857,0.0,0.2142857142857142,0.1551724137931034,0.1780821917808219,0.1639344262295081,0.0,0.2285714285714285,0.1428571428571428,0.1944444444444444,0.3888888888888889,0.4583333333333333,0.1428571428571428,0.1904761904761904,0.175,0.1967213114754098,0.1081081081081081,5,59.0,73.0,0.0847457627118644,0.0,16,1.0,71.0,4.4375,0.1000000000000004,78.0,4.875,0.0031292375091269,W (+10),W (+10)
25.0,,2022-12-07,22-099,MEM,OKC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,9,15,9,13,10,8,9,14,14,11,11,8,14,12,4,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,61.0,37.0,0.1607142857142857,0.0,0.2142857142857142,0.1551724137931034,0.1780821917808219,0.1639344262295081,0.0,0.2285714285714285,0.1428571428571428,0.1944444444444444,0.3888888888888889,0.4583333333333333,0.1428571428571428,0.1904761904761904,0.175,0.1967213114754098,0.1081081081081081,5,59.0,73.0,0.0847457627118644,0.0,16,,113.0,7.0625,0.0,117.4,7.3375,0.0031292375091269,W (+8),W (+8)
26.0,,2022-12-09,22-101,MEM,DET,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,9,15,9,13,10,8,9,14,14,11,11,8,14,12,4,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,61.0,37.0,0.1607142857142857,0.0,0.2142857142857142,0.1551724137931034,0.1780821917808219,0.1639344262295081,0.0,0.2285714285714285,0.1428571428571428,0.1944444444444444,0.3888888888888889,0.4583333333333333,0.1428571428571428,0.1904761904761904,0.175,0.1967213114754098,0.1081081081081081,5,59.0,73.0,0.0847457627118644,0.0,16,,80.0,5.0,0.0,90.3,5.64375,0.0031292375091269,W (+21),W (+21)
27.0,,2022-12-12,22-104,MEM,ATL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,9,15,9,13,10,8,9,14,14,11,11,8,14,12,4,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,61.0,37.0,0.1607142857142857,0.0,0.2142857142857142,0.1551724137931034,0.1780821917808219,0.1639344262295081,0.0,0.2285714285714285,0.1428571428571428,0.1944444444444444,0.3888888888888889,0.4583333333333333,0.1428571428571428,0.1904761904761904,0.175,0.1967213114754098,0.1081081081081081,5,59.0,73.0,0.0847457627118644,0.0,16,,116.0,7.25,0.0,116.8,7.3,0.0031292375091269,W (+11),W (+11)
28.0,,2022-12-15,22-107,MEM,MIL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,9,15,9,13,10,8,9,14,14,11,11,8,14,12,4,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,61.0,37.0,0.1607142857142857,0.0,0.2142857142857142,0.1551724137931034,0.1780821917808219,0.1639344262295081,0.0,0.2285714285714285,0.1428571428571428,0.1944444444444444,0.3888888888888889,0.4583333333333333,0.1428571428571428,0.1904761904761904,0.175,0.1967213114754098,0.1081081081081081,5,59.0,73.0,0.0847457627118644,0.0,16,,118.0,7.375,0.0,132.1,8.25625,0.0031292375091269,W (+25),W (+25)
29.0,,2022-12-17,22-109,MEM,OKC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,9,15,9,13,10,8,9,14,14,11,11,8,14,12,4,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,61.0,37.0,0.1607142857142857,0.0,0.2142857142857142,0.1551724137931034,0.1780821917808219,0.1639344262295081,0.0,0.2285714285714285,0.1428571428571428,0.1944444444444444,0.3888888888888889,0.4583333333333333,0.1428571428571428,0.1904761904761904,0.175,0.1967213114754098,0.1081081081081081,5,59.0,73.0,0.0847457627118644,0.0,16,,67.0,4.1875,0.0,74.5,4.65625,0.0031292375091269,W (+41),W (+41)
