Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with CJ McCollum,Shared Games with Dereon Seabron,Shared Games with Devonte' Graham,Shared Games with Dyson Daniels,Shared Games with Garrett Temple,Shared Games with Herbert Jones,Shared Games with Jaxson Hayes,Shared Games with Jonas Valančiūnas,Shared Games with Jose Alvarado,Shared Games with Kira Lewis Jr.,Shared Games with Larry Nance Jr.,Shared Games with Naji Marshall,Shared Games with Trey Murphy III,Shared Games with Willy Hernangómez,Shared Games with Zion Williamson,CJ McCollum,Dereon Seabron,Devonte' Graham,Dyson Daniels,Garrett Temple,Herbert Jones,Jaxson Hayes,Jonas Valančiūnas,Jose Alvarado,Kira Lewis Jr.,Larry Nance Jr.,Naji Marshall,Trey Murphy III,Willy Hernangómez,Zion Williamson,co_inf with CJ McCollum,co_inf with Dereon Seabron,co_inf with Devonte' Graham,co_inf with Dyson Daniels,co_inf with Garrett Temple,co_inf with Herbert Jones,co_inf with Jaxson Hayes,co_inf with Jonas Valančiūnas,co_inf with Jose Alvarado,co_inf with Kira Lewis Jr.,co_inf with Larry Nance Jr.,co_inf with Naji Marshall,co_inf with Trey Murphy III,co_inf with Willy Hernangómez,co_inf with Zion Williamson,Shared Games with Josh Richardson,Al Horford,Josh Richardson,co_inf with Al Horford,co_inf with Josh Richardson,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
13,14,10,2022-11-15,25-074,NOP,,MEM,W (+11),1,37:38,7.0,15.0,.467,2.0,2.0,1.000,3,3.0,1.000,1.0,3.0,4.0,2.0,0.0,1.0,1.0,2.0,19.0,13.2,-1,13.0,5.0,0.3846153846153846,42,1,18,27,10,45,19,43,27,15,38,45,43,19,12,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.56,0.2,0.2465753424657534,0.4576271186440678,0.4,0.6818181818181818,0.4042553191489361,0.5443037974683544,0.4426229508196721,0.6,0.5846153846153846,0.5844155844155844,0.5443037974683544,0.5,0.4137931034482758,21,63.0,65.0,0.0,0.3230769230769231,16,7.0,93.0,5.8125,11.999999999999996,79.9,4.99375
14,15,11,2022-11-16,25-075,NOP,,CHI,W (+14),1,31:47,4.0,15.0,.267,2.0,4.0,.500,6,8.0,.750,0.0,6.0,6.0,9.0,0.0,1.0,2.0,2.0,16.0,12.3,+19,11.0,2.0,0.1818181818181818,42,1,18,27,10,45,19,43,27,15,38,45,43,19,12,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.56,0.2,0.2465753424657534,0.4576271186440678,0.4,0.6818181818181818,0.4042553191489361,0.5443037974683544,0.4426229508196721,0.6,0.5846153846153846,0.5844155844155844,0.5443037974683544,0.5,0.4137931034482758,21,63.0,65.0,0.0,0.3230769230769231,16,7.0,95.0,5.9375,9.900000000000002,87.6,5.475
15,16,12,2022-11-18,25-077,NOP,,BOS,L (-8),1,38:13,9.0,20.0,.450,5.0,11.0,.455,2,2.0,1.000,0.0,2.0,2.0,7.0,2.0,0.0,2.0,1.0,25.0,19.7,-12,9.0,4.0,0.4444444444444444,42,1,18,27,10,45,19,43,27,15,38,45,43,19,12,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.56,0.2,0.2465753424657534,0.4576271186440678,0.4,0.6818181818181818,0.4042553191489361,0.5443037974683544,0.4426229508196721,0.6,0.5846153846153846,0.5844155844155844,0.5443037974683544,0.5,0.4137931034482758,21,63.0,65.0,0.0,0.3230769230769231,16,12.0,84.0,5.25,18.9,73.3,4.58125
16,17,13,2022-11-21,25-080,NOP,,GSW,W (+45),1,30:50,12.0,19.0,.632,3.0,7.0,.429,7,7.0,1.000,1.0,5.0,6.0,3.0,3.0,0.0,2.0,1.0,34.0,30.4,+33,12.0,9.0,0.75,42,1,18,27,10,45,19,43,27,15,38,45,43,19,12,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.56,0.2,0.2465753424657534,0.4576271186440678,0.4,0.6818181818181818,0.4042553191489361,0.5443037974683544,0.4426229508196721,0.6,0.5846153846153846,0.5844155844155844,0.5443037974683544,0.5,0.4137931034482758,21,63.0,65.0,0.0,0.3230769230769231,16,18.0,74.0,4.625,27.600000000000005,74.2,4.6375
17,18,14,2022-11-23,25-082,NOP,@,SAS,W (+19),1,31:52,4.0,9.0,.444,1.0,3.0,.333,8,8.0,1.000,0.0,3.0,3.0,10.0,0.0,0.0,5.0,2.0,17.0,14.4,+13,6.0,3.0,0.5,42,1,18,27,10,45,19,43,27,15,38,45,43,19,12,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.56,0.2,0.2465753424657534,0.4576271186440678,0.4,0.6818181818181818,0.4042553191489361,0.5443037974683544,0.4426229508196721,0.6,0.5846153846153846,0.5844155844155844,0.5443037974683544,0.5,0.4137931034482758,21,63.0,65.0,0.0,0.3230769230769231,16,8.0,87.0,5.4375,11.2,80.10000000000001,5.0062500000000005
18,19,15,2022-11-25,25-084,NOP,@,MEM,L (-21),1,17:50,2.0,6.0,.333,0.0,1.0,.000,4,4.0,1.000,0.0,3.0,3.0,3.0,0.0,0.0,2.0,0.0,8.0,5.6,-11,5.0,2.0,0.4,42,1,18,27,10,45,19,43,27,15,38,45,43,19,12,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.56,0.2,0.2465753424657534,0.4576271186440678,0.4,0.6818181818181818,0.4042553191489361,0.5443037974683544,0.4426229508196721,0.6,0.5846153846153846,0.5844155844155844,0.5443037974683544,0.5,0.4137931034482758,21,63.0,65.0,0.0,0.3230769230769231,16,2.0,70.0,4.375,4.000000000000002,68.60000000000001,4.2875000000000005
19,20,,2022-11-28,25-087,NOP,,OKC,W (+4),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,42,1,18,27,10,45,19,43,27,15,38,45,43,19,12,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.56,0.2,0.2465753424657534,0.4576271186440678,0.4,0.6818181818181818,0.4042553191489361,0.5443037974683544,0.4426229508196721,0.6,0.5846153846153846,0.5844155844155844,0.5443037974683544,0.5,0.4137931034482758,21,63.0,65.0,0.0,0.3230769230769231,16,,80.0,5.0,0.0,71.9,4.49375
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,42,1,18,27,10,45,19,43,27,15,38,45,43,19,12,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.56,0.2,0.2465753424657534,0.4576271186440678,0.4,0.6818181818181818,0.4042553191489361,0.5443037974683544,0.4426229508196721,0.6,0.5846153846153846,0.5844155844155844,0.5443037974683544,0.5,0.4137931034482758,21,63.0,65.0,0.0,0.3230769230769231,16,,0.0,0.0,0.0,0.0,0.0
21,21,,2022-11-30,25-089,NOP,,TOR,W (+18),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,42,1,18,27,10,45,19,43,27,15,38,45,43,19,12,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.56,0.2,0.2465753424657534,0.4576271186440678,0.4,0.6818181818181818,0.4042553191489361,0.5443037974683544,0.4426229508196721,0.6,0.5846153846153846,0.5844155844155844,0.5443037974683544,0.5,0.4137931034482758,21,63.0,65.0,0.0,0.3230769230769231,16,,92.0,5.75,0.0,102.49999999999996,6.406249999999997
22,22,,2022-12-02,25-091,NOP,@,SAS,W (+18),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,42,1,18,27,10,45,19,43,27,15,38,45,43,19,12,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.56,0.2,0.2465753424657534,0.4576271186440678,0.4,0.6818181818181818,0.4042553191489361,0.5443037974683544,0.4426229508196721,0.6,0.5846153846153846,0.5844155844155844,0.5443037974683544,0.5,0.4137931034482758,21,63.0,65.0,0.0,0.3230769230769231,16,,96.0,6.0,0.0,92.2,5.7625
23,23,,2022-12-04,25-093,NOP,,DEN,W (+15),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,42,1,18,27,10,45,19,43,27,15,38,45,43,19,12,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.56,0.2,0.2465753424657534,0.4576271186440678,0.4,0.6818181818181818,0.4042553191489361,0.5443037974683544,0.4426229508196721,0.6,0.5846153846153846,0.5844155844155844,0.5443037974683544,0.5,0.4137931034482758,21,63.0,65.0,0.0,0.3230769230769231,16,,75.0,4.6875,0.0,88.9,5.55625
24,24,,2022-12-07,25-096,NOP,,DET,W (+6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,42,1,18,27,10,45,19,43,27,15,38,45,43,19,12,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.56,0.2,0.2465753424657534,0.4576271186440678,0.4,0.6818181818181818,0.4042553191489361,0.5443037974683544,0.4426229508196721,0.6,0.5846153846153846,0.5844155844155844,0.5443037974683544,0.5,0.4137931034482758,21,63.0,65.0,0.0,0.3230769230769231,16,,75.0,4.6875,0.0,71.1,4.44375
25,25,,2022-12-09,25-098,NOP,,PHO,W (+11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,42,1,18,27,10,45,19,43,27,15,38,45,43,19,12,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.56,0.2,0.2465753424657534,0.4576271186440678,0.4,0.6818181818181818,0.4042553191489361,0.5443037974683544,0.4426229508196721,0.6,0.5846153846153846,0.5844155844155844,0.5443037974683544,0.5,0.4137931034482758,21,63.0,65.0,0.0,0.3230769230769231,16,,70.0,4.375,0.0,99.9,6.24375
26,26,,2022-12-11,25-100,NOP,,PHO,W (+5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,42,1,18,27,10,45,19,43,27,15,38,45,43,19,12,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.56,0.2,0.2465753424657534,0.4576271186440678,0.4,0.6818181818181818,0.4042553191489361,0.5443037974683544,0.4426229508196721,0.6,0.5846153846153846,0.5844155844155844,0.5443037974683544,0.5,0.4137931034482758,21,63.0,65.0,0.0,0.3230769230769231,16,,95.0,5.9375,0.0,104.30000000000004,6.5187500000000025
27,27,,2022-12-13,25-102,NOP,@,UTA,L (-21),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,42,1,18,27,10,45,19,43,27,15,38,45,43,19,12,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.56,0.2,0.2465753424657534,0.4576271186440678,0.4,0.6818181818181818,0.4042553191489361,0.5443037974683544,0.4426229508196721,0.6,0.5846153846153846,0.5844155844155844,0.5443037974683544,0.5,0.4137931034482758,21,63.0,65.0,0.0,0.3230769230769231,16,,49.0,3.0625,0.0,77.1,4.81875
28,28,,2022-12-15,25-104,NOP,@,UTA,L (-3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,42,1,18,27,10,45,19,43,27,15,38,45,43,19,12,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.56,0.2,0.2465753424657534,0.4576271186440678,0.4,0.6818181818181818,0.4042553191489361,0.5443037974683544,0.4426229508196721,0.6,0.5846153846153846,0.5844155844155844,0.5443037974683544,0.5,0.4137931034482758,21,63.0,65.0,0.0,0.3230769230769231,16,,74.0,4.625,0.0,93.8,5.8625
29,29,,2022-12-17,25-106,NOP,@,PHO,L (-4),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,42,1,18,27,10,45,19,43,27,15,38,45,43,19,12,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.56,0.2,0.2465753424657534,0.4576271186440678,0.4,0.6818181818181818,0.4042553191489361,0.5443037974683544,0.4426229508196721,0.6,0.5846153846153846,0.5844155844155844,0.5443037974683544,0.5,0.4137931034482758,21,63.0,65.0,0.0,0.3230769230769231,16,,75.0,4.6875,0.0,81.2,5.075
30,30,,2022-12-19,25-108,NOP,,MIL,L (-9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,42,1,18,27,10,45,19,43,27,15,38,45,43,19,12,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.56,0.2,0.2465753424657534,0.4576271186440678,0.4,0.6818181818181818,0.4042553191489361,0.5443037974683544,0.4426229508196721,0.6,0.5846153846153846,0.5844155844155844,0.5443037974683544,0.5,0.4137931034482758,21,63.0,65.0,0.0,0.3230769230769231,16,,76.0,4.75,0.0,84.6,5.2875
31,31,,2022-12-22,25-111,NOP,,SAS,W (+9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,42,1,18,27,10,45,19,43,27,15,38,45,43,19,12,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.56,0.2,0.2465753424657534,0.4576271186440678,0.4,0.6818181818181818,0.4042553191489361,0.5443037974683544,0.4426229508196721,0.6,0.5846153846153846,0.5844155844155844,0.5443037974683544,0.5,0.4137931034482758,21,63.0,65.0,0.0,0.3230769230769231,16,,87.0,5.4375,0.0,98.3,6.14375
