Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Brandon Ingram,Shared Games with CJ McCollum,Shared Games with Dereon Seabron,Shared Games with Devonte' Graham,Shared Games with Dyson Daniels,Shared Games with Herbert Jones,Shared Games with Jaxson Hayes,Shared Games with Jonas Valančiūnas,Shared Games with Jose Alvarado,Shared Games with Kira Lewis Jr.,Shared Games with Larry Nance Jr.,Shared Games with Naji Marshall,Shared Games with Trey Murphy III,Shared Games with Willy Hernangómez,Shared Games with Zion Williamson,Brandon Ingram,CJ McCollum,Dereon Seabron,Devonte' Graham,Dyson Daniels,Herbert Jones,Jaxson Hayes,Jonas Valančiūnas,Jose Alvarado,Kira Lewis Jr.,Larry Nance Jr.,Naji Marshall,Trey Murphy III,Willy Hernangómez,Zion Williamson,co_inf with Brandon Ingram,co_inf with CJ McCollum,co_inf with Dereon Seabron,co_inf with Devonte' Graham,co_inf with Dyson Daniels,co_inf with Herbert Jones,co_inf with Jaxson Hayes,co_inf with Jonas Valančiūnas,co_inf with Jose Alvarado,co_inf with Kira Lewis Jr.,co_inf with Larry Nance Jr.,co_inf with Naji Marshall,co_inf with Trey Murphy III,co_inf with Willy Hernangómez,co_inf with Zion Williamson,Shared Games with Josh Richardson,Al Horford,Josh Richardson,co_inf with Al Horford,co_inf with Josh Richardson,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,,2022-11-09,36-185,NOP,@,CHI,W (+4),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,10,20,3,17,20,19,21,24,19,13,22,22,22,20,9,45.0,75.0,5.0,73.0,59.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.2222222222222222,0.2666666666666666,0.6,0.2328767123287671,0.3389830508474576,0.2878787878787879,0.4468085106382978,0.3037974683544304,0.3114754098360656,0.52,0.3384615384615385,0.2857142857142857,0.2784810126582278,0.5263157894736842,0.3103448275862069,8,63.0,65.0,0.0,0.123076923076923,16,,77.0,4.8125,0.0,88.09999999999998,5.506249999999999
11,12,,2022-11-10,36-186,NOP,,POR,L (-11),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,20,3,17,20,19,21,24,19,13,22,22,22,20,9,45.0,75.0,5.0,73.0,59.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.2222222222222222,0.2666666666666666,0.6,0.2328767123287671,0.3389830508474576,0.2878787878787879,0.4468085106382978,0.3037974683544304,0.3114754098360656,0.52,0.3384615384615385,0.2857142857142857,0.2784810126582278,0.5263157894736842,0.3103448275862069,8,63.0,65.0,0.0,0.123076923076923,16,,64.0,4.0,0.0,59.90000000000001,3.743750000000001
12,13,,2022-11-12,36-188,NOP,,HOU,W (+13),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,20,3,17,20,19,21,24,19,13,22,22,22,20,9,45.0,75.0,5.0,73.0,59.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.2222222222222222,0.2666666666666666,0.6,0.2328767123287671,0.3389830508474576,0.2878787878787879,0.4468085106382978,0.3037974683544304,0.3114754098360656,0.52,0.3384615384615385,0.2857142857142857,0.2784810126582278,0.5263157894736842,0.3103448275862069,8,63.0,65.0,0.0,0.123076923076923,16,,61.0,3.8125,0.0,85.10000000000002,5.318750000000001
13,14,,2022-11-15,36-191,NOP,,MEM,W (+11),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,20,3,17,20,19,21,24,19,13,22,22,22,20,9,45.0,75.0,5.0,73.0,59.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.2222222222222222,0.2666666666666666,0.6,0.2328767123287671,0.3389830508474576,0.2878787878787879,0.4468085106382978,0.3037974683544304,0.3114754098360656,0.52,0.3384615384615385,0.2857142857142857,0.2784810126582278,0.5263157894736842,0.3103448275862069,8,63.0,65.0,0.0,0.123076923076923,16,,100.0,6.25,0.0,91.9,5.74375
14,15,,2022-11-16,36-192,NOP,,CHI,W (+14),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,20,3,17,20,19,21,24,19,13,22,22,22,20,9,45.0,75.0,5.0,73.0,59.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.2222222222222222,0.2666666666666666,0.6,0.2328767123287671,0.3389830508474576,0.2878787878787879,0.4468085106382978,0.3037974683544304,0.3114754098360656,0.52,0.3384615384615385,0.2857142857142857,0.2784810126582278,0.5263157894736842,0.3103448275862069,8,63.0,65.0,0.0,0.123076923076923,16,,102.0,6.375,0.0,97.5,6.09375
15,16,,2022-11-18,36-194,NOP,,BOS,L (-8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,20,3,17,20,19,21,24,19,13,22,22,22,20,9,45.0,75.0,5.0,73.0,59.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.2222222222222222,0.2666666666666666,0.6,0.2328767123287671,0.3389830508474576,0.2878787878787879,0.4468085106382978,0.3037974683544304,0.3114754098360656,0.52,0.3384615384615385,0.2857142857142857,0.2784810126582278,0.5263157894736842,0.3103448275862069,8,63.0,65.0,0.0,0.123076923076923,16,,96.0,6.0,0.0,92.19999999999996,5.7624999999999975
16,17,3,2022-11-21,36-197,NOP,,GSW,W (+45),0,7:22,1.0,4.0,.250,0.0,2.0,.000,0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.3,+4,2.0,1.0,0.5,10,20,3,17,20,19,21,24,19,13,22,22,22,20,9,45.0,75.0,5.0,73.0,59.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.2222222222222222,0.2666666666666666,0.6,0.2328767123287671,0.3389830508474576,0.2878787878787879,0.4468085106382978,0.3037974683544304,0.3114754098360656,0.52,0.3384615384615385,0.2857142857142857,0.2784810126582278,0.5263157894736842,0.3103448275862069,8,63.0,65.0,0.0,0.123076923076923,16,0.0,92.0,5.75,1.2999999999999998,100.50000000000004,6.281250000000003
17,18,4,2022-11-23,36-199,NOP,@,SAS,W (+19),0,5:21,1.0,2.0,.500,1.0,2.0,.500,0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,2.6,-4,0.0,0.0,,10,20,3,17,20,19,21,24,19,13,22,22,22,20,9,45.0,75.0,5.0,73.0,59.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.2222222222222222,0.2666666666666666,0.6,0.2328767123287671,0.3389830508474576,0.2878787878787879,0.4468085106382978,0.3037974683544304,0.3114754098360656,0.52,0.3384615384615385,0.2857142857142857,0.2784810126582278,0.5263157894736842,0.3103448275862069,8,63.0,65.0,0.0,0.123076923076923,16,3.0,92.0,5.75,2.6,88.7,5.54375
18,19,5,2022-11-25,36-201,NOP,@,MEM,L (-21),0,12:00,2.0,4.0,.500,1.0,2.0,.500,1,2.0,.500,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,6.0,5.5,+8,2.0,1.0,0.5,10,20,3,17,20,19,21,24,19,13,22,22,22,20,9,45.0,75.0,5.0,73.0,59.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.2222222222222222,0.2666666666666666,0.6,0.2328767123287671,0.3389830508474576,0.2878787878787879,0.4468085106382978,0.3037974683544304,0.3114754098360656,0.52,0.3384615384615385,0.2857142857142857,0.2784810126582278,0.5263157894736842,0.3103448275862069,8,63.0,65.0,0.0,0.123076923076923,16,3.0,69.0,4.3125,5.1000000000000005,67.5,4.21875
19,20,6,2022-11-28,36-204,NOP,,OKC,W (+4),0,11:05,1.0,3.0,.333,0.0,1.0,.000,2,2.0,1.000,0.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,4.0,1.8,-5,2.0,1.0,0.5,10,20,3,17,20,19,21,24,19,13,22,22,22,20,9,45.0,75.0,5.0,73.0,59.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.2222222222222222,0.2666666666666666,0.6,0.2328767123287671,0.3389830508474576,0.2878787878787879,0.4468085106382978,0.3037974683544304,0.3114754098360656,0.52,0.3384615384615385,0.2857142857142857,0.2784810126582278,0.5263157894736842,0.3103448275862069,8,63.0,65.0,0.0,0.123076923076923,16,1.0,79.0,4.9375,1.000000000000001,70.9,4.43125
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,10,20,3,17,20,19,21,24,19,13,22,22,22,20,9,45.0,75.0,5.0,73.0,59.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.2222222222222222,0.2666666666666666,0.6,0.2328767123287671,0.3389830508474576,0.2878787878787879,0.4468085106382978,0.3037974683544304,0.3114754098360656,0.52,0.3384615384615385,0.2857142857142857,0.2784810126582278,0.5263157894736842,0.3103448275862069,8,63.0,65.0,0.0,0.123076923076923,16,,0.0,0.0,0.0,0.0,0.0
21,21,7,2022-11-30,36-206,NOP,,TOR,W (+18),0,10:49,2.0,3.0,.667,1.0,1.0,1.000,0,0.0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,5.0,4.4,-3,2.0,1.0,0.5,10,20,3,17,20,19,21,24,19,13,22,22,22,20,9,45.0,75.0,5.0,73.0,59.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.2222222222222222,0.2666666666666666,0.6,0.2328767123287671,0.3389830508474576,0.2878787878787879,0.4468085106382978,0.3037974683544304,0.3114754098360656,0.52,0.3384615384615385,0.2857142857142857,0.2784810126582278,0.5263157894736842,0.3103448275862069,8,63.0,65.0,0.0,0.123076923076923,16,3.0,89.0,5.5625,4.4,98.09999999999998,6.131249999999999
22,22,8,2022-12-02,36-208,NOP,@,SAS,W (+18),0,2:07,0.0,2.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,-4,1.0,0.0,0.0,10,20,3,17,20,19,21,24,19,13,22,22,22,20,9,45.0,75.0,5.0,73.0,59.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.2222222222222222,0.2666666666666666,0.6,0.2328767123287671,0.3389830508474576,0.2878787878787879,0.4468085106382978,0.3037974683544304,0.3114754098360656,0.52,0.3384615384615385,0.2857142857142857,0.2784810126582278,0.5263157894736842,0.3103448275862069,8,63.0,65.0,0.0,0.123076923076923,16,-2.0,98.0,6.125,-1.4,93.6,5.85
23,23,9,2022-12-04,36-210,NOP,,DEN,W (+15),0,0:58,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,,10,20,3,17,20,19,21,24,19,13,22,22,22,20,9,45.0,75.0,5.0,73.0,59.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.2222222222222222,0.2666666666666666,0.6,0.2328767123287671,0.3389830508474576,0.2878787878787879,0.4468085106382978,0.3037974683544304,0.3114754098360656,0.52,0.3384615384615385,0.2857142857142857,0.2784810126582278,0.5263157894736842,0.3103448275862069,8,63.0,65.0,0.0,0.123076923076923,16,0.0,75.0,4.6875,0.0,88.9,5.55625
24,24,,2022-12-07,36-213,NOP,,DET,W (+6),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,20,3,17,20,19,21,24,19,13,22,22,22,20,9,45.0,75.0,5.0,73.0,59.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.2222222222222222,0.2666666666666666,0.6,0.2328767123287671,0.3389830508474576,0.2878787878787879,0.4468085106382978,0.3037974683544304,0.3114754098360656,0.52,0.3384615384615385,0.2857142857142857,0.2784810126582278,0.5263157894736842,0.3103448275862069,8,63.0,65.0,0.0,0.123076923076923,16,,75.0,4.6875,0.0,71.1,4.44375
25,25,,2022-12-09,36-215,NOP,,PHO,W (+11),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,20,3,17,20,19,21,24,19,13,22,22,22,20,9,45.0,75.0,5.0,73.0,59.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.2222222222222222,0.2666666666666666,0.6,0.2328767123287671,0.3389830508474576,0.2878787878787879,0.4468085106382978,0.3037974683544304,0.3114754098360656,0.52,0.3384615384615385,0.2857142857142857,0.2784810126582278,0.5263157894736842,0.3103448275862069,8,63.0,65.0,0.0,0.123076923076923,16,,70.0,4.375,0.0,99.9,6.24375
26,26,,2022-12-11,36-217,NOP,,PHO,W (+5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,20,3,17,20,19,21,24,19,13,22,22,22,20,9,45.0,75.0,5.0,73.0,59.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.2222222222222222,0.2666666666666666,0.6,0.2328767123287671,0.3389830508474576,0.2878787878787879,0.4468085106382978,0.3037974683544304,0.3114754098360656,0.52,0.3384615384615385,0.2857142857142857,0.2784810126582278,0.5263157894736842,0.3103448275862069,8,63.0,65.0,0.0,0.123076923076923,16,,95.0,5.9375,0.0,104.30000000000004,6.5187500000000025
27,27,10,2022-12-13,36-219,NOP,@,UTA,L (-21),0,6:08,1.0,1.0,1.000,1.0,1.0,1.000,0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,4.4,+2,0.0,0.0,,10,20,3,17,20,19,21,24,19,13,22,22,22,20,9,45.0,75.0,5.0,73.0,59.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.2222222222222222,0.2666666666666666,0.6,0.2328767123287671,0.3389830508474576,0.2878787878787879,0.4468085106382978,0.3037974683544304,0.3114754098360656,0.52,0.3384615384615385,0.2857142857142857,0.2784810126582278,0.5263157894736842,0.3103448275862069,8,63.0,65.0,0.0,0.123076923076923,16,5.0,44.0,2.75,4.4,72.7,4.54375
28,28,,2022-12-15,36-221,NOP,@,UTA,L (-3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,20,3,17,20,19,21,24,19,13,22,22,22,20,9,45.0,75.0,5.0,73.0,59.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.2222222222222222,0.2666666666666666,0.6,0.2328767123287671,0.3389830508474576,0.2878787878787879,0.4468085106382978,0.3037974683544304,0.3114754098360656,0.52,0.3384615384615385,0.2857142857142857,0.2784810126582278,0.5263157894736842,0.3103448275862069,8,63.0,65.0,0.0,0.123076923076923,16,,74.0,4.625,0.0,93.8,5.8625
29,29,,2022-12-17,36-223,NOP,@,PHO,L (-4),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,20,3,17,20,19,21,24,19,13,22,22,22,20,9,45.0,75.0,5.0,73.0,59.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.2222222222222222,0.2666666666666666,0.6,0.2328767123287671,0.3389830508474576,0.2878787878787879,0.4468085106382978,0.3037974683544304,0.3114754098360656,0.52,0.3384615384615385,0.2857142857142857,0.2784810126582278,0.5263157894736842,0.3103448275862069,8,63.0,65.0,0.0,0.123076923076923,16,,75.0,4.6875,0.0,81.2,5.075
30,30,,2022-12-19,36-225,NOP,,MIL,L (-9),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,20,3,17,20,19,21,24,19,13,22,22,22,20,9,45.0,75.0,5.0,73.0,59.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.2222222222222222,0.2666666666666666,0.6,0.2328767123287671,0.3389830508474576,0.2878787878787879,0.4468085106382978,0.3037974683544304,0.3114754098360656,0.52,0.3384615384615385,0.2857142857142857,0.2784810126582278,0.5263157894736842,0.3103448275862069,8,63.0,65.0,0.0,0.123076923076923,16,,76.0,4.75,0.0,84.6,5.2875
