Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Brandon Ingram,Shared Games with CJ McCollum,Shared Games with Dereon Seabron,Shared Games with Devonte' Graham,Shared Games with Dyson Daniels,Shared Games with Garrett Temple,Shared Games with Herbert Jones,Shared Games with Jaxson Hayes,Shared Games with Jonas Valančiūnas,Shared Games with Jose Alvarado,Shared Games with Kira Lewis Jr.,Shared Games with Larry Nance Jr.,Shared Games with Naji Marshall,Shared Games with Trey Murphy III,Shared Games with Willy Hernangómez,Brandon Ingram,CJ McCollum,Dereon Seabron,Devonte' Graham,Dyson Daniels,Garrett Temple,Herbert Jones,Jaxson Hayes,Jonas Valančiūnas,Jose Alvarado,Kira Lewis Jr.,Larry Nance Jr.,Naji Marshall,Trey Murphy III,Willy Hernangómez,co_inf with Brandon Ingram,co_inf with CJ McCollum,co_inf with Dereon Seabron,co_inf with Devonte' Graham,co_inf with Dyson Daniels,co_inf with Garrett Temple,co_inf with Herbert Jones,co_inf with Jaxson Hayes,co_inf with Jonas Valančiūnas,co_inf with Jose Alvarado,co_inf with Kira Lewis Jr.,co_inf with Larry Nance Jr.,co_inf with Naji Marshall,co_inf with Trey Murphy III,co_inf with Willy Hernangómez,Al Horford,Josh Richardson,co_inf with Al Horford,co_inf with Josh Richardson,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,9,2022-11-09,22-126,NOP,@,CHI,W (+4),1,30:50,6.0,11.0,.545,0.0,0.0,,7,8.0,.875,4.0,1.0,5.0,1.0,0.0,0.0,1.0,3.0,19.0,14.9,+3,11.0,6.0,0.5454545454545454,12,25,1,29,22,9,20,12,29,28,1,23,27,27,14,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,0.2666666666666666,0.3333333333333333,0.2,0.3972602739726027,0.3728813559322034,0.36,0.303030303030303,0.2553191489361702,0.3670886075949367,0.4590163934426229,0.04,0.3538461538461538,0.3506493506493506,0.3417721518987341,0.3684210526315789,63.0,65.0,0.0,0.0,15,5.0,72.0,4.8,12.1,63.29999999999998,4.219999999999999
11,12,10,2022-11-10,22-127,NOP,,POR,L (-11),1,31:40,9.0,14.0,.643,1.0,1.0,1.000,10,15.0,.667,1.0,5.0,6.0,3.0,1.0,0.0,3.0,4.0,29.0,21.5,-12,13.0,8.0,0.6153846153846154,12,25,1,29,22,9,20,12,29,28,1,23,27,27,14,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,0.2666666666666666,0.3333333333333333,0.2,0.3972602739726027,0.3728813559322034,0.36,0.303030303030303,0.2553191489361702,0.3670886075949367,0.4590163934426229,0.04,0.3538461538461538,0.3506493506493506,0.3417721518987341,0.3684210526315789,63.0,65.0,0.0,0.0,15,7.0,57.0,3.8,17.500000000000007,37.3,2.4866666666666664
12,13,11,2022-11-12,22-129,NOP,,HOU,W (+13),1,35:02,8.0,9.0,.889,0.0,0.0,,10,12.0,.833,1.0,3.0,4.0,6.0,1.0,0.0,3.0,3.0,26.0,24.7,+21,9.0,8.0,0.8888888888888888,12,25,1,29,22,9,20,12,29,28,1,23,27,27,14,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,0.2666666666666666,0.3333333333333333,0.2,0.3972602739726027,0.3728813559322034,0.36,0.303030303030303,0.2553191489361702,0.3670886075949367,0.4590163934426229,0.04,0.3538461538461538,0.3506493506493506,0.3417721518987341,0.3684210526315789,63.0,65.0,0.0,0.0,15,13.0,48.0,3.2,20.7,64.50000000000001,4.300000000000001
13,14,,2022-11-15,22-132,NOP,,MEM,W (+11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,12,25,1,29,22,9,20,12,29,28,1,23,27,27,14,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,0.2666666666666666,0.3333333333333333,0.2,0.3972602739726027,0.3728813559322034,0.36,0.303030303030303,0.2553191489361702,0.3670886075949367,0.4590163934426229,0.04,0.3538461538461538,0.3506493506493506,0.3417721518987341,0.3684210526315789,63.0,65.0,0.0,0.0,15,,100.0,6.666666666666667,0.0,87.50000000000001,5.833333333333334
14,15,,2022-11-16,22-133,NOP,,CHI,W (+14),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,12,25,1,29,22,9,20,12,29,28,1,23,27,27,14,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,0.2666666666666666,0.3333333333333333,0.2,0.3972602739726027,0.3728813559322034,0.36,0.303030303030303,0.2553191489361702,0.3670886075949367,0.4590163934426229,0.04,0.3538461538461538,0.3506493506493506,0.3417721518987341,0.3684210526315789,63.0,65.0,0.0,0.0,15,,102.0,6.8,0.0,94.6,6.306666666666667
15,16,,2022-11-18,22-135,NOP,,BOS,L (-8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,12,25,1,29,22,9,20,12,29,28,1,23,27,27,14,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,0.2666666666666666,0.3333333333333333,0.2,0.3972602739726027,0.3728813559322034,0.36,0.303030303030303,0.2553191489361702,0.3670886075949367,0.4590163934426229,0.04,0.3538461538461538,0.3506493506493506,0.3417721518987341,0.3684210526315789,63.0,65.0,0.0,0.0,15,,96.0,6.4,0.0,85.69999999999997,5.713333333333332
16,17,12,2022-11-21,22-138,NOP,,GSW,W (+45),1,23:06,3.0,7.0,.429,0.0,0.0,,3,4.0,.750,0.0,2.0,2.0,4.0,0.0,0.0,2.0,1.0,9.0,5.9,+28,7.0,3.0,0.4285714285714285,12,25,1,29,22,9,20,12,29,28,1,23,27,27,14,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,0.2666666666666666,0.3333333333333333,0.2,0.3972602739726027,0.3728813559322034,0.36,0.303030303030303,0.2553191489361702,0.3670886075949367,0.4590163934426229,0.04,0.3538461538461538,0.3506493506493506,0.3417721518987341,0.3684210526315789,63.0,65.0,0.0,0.0,15,2.0,90.0,6.0,4.699999999999999,92.10000000000002,6.1400000000000015
17,18,13,2022-11-23,22-140,NOP,@,SAS,W (+19),1,26:39,14.0,18.0,.778,0.0,2.0,.000,4,8.0,.500,4.0,7.0,11.0,1.0,2.0,1.0,1.0,1.0,32.0,30.3,+20,16.0,14.0,0.875,12,25,1,29,22,9,20,12,29,28,1,23,27,27,14,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,0.2666666666666666,0.3333333333333333,0.2,0.3972602739726027,0.3728813559322034,0.36,0.303030303030303,0.2553191489361702,0.3670886075949367,0.4590163934426229,0.04,0.3538461538461538,0.3506493506493506,0.3417721518987341,0.3684210526315789,63.0,65.0,0.0,0.0,15,20.0,75.0,5.0,28.700000000000006,54.9,3.6599999999999997
18,19,14,2022-11-25,22-142,NOP,@,MEM,L (-21),1,30:00,6.0,12.0,.500,0.0,0.0,,2,2.0,1.000,1.0,4.0,5.0,4.0,1.0,0.0,1.0,3.0,14.0,11.5,-32,12.0,6.0,0.5,12,25,1,29,22,9,20,12,29,28,1,23,27,27,14,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,0.2666666666666666,0.3333333333333333,0.2,0.3972602739726027,0.3728813559322034,0.36,0.303030303030303,0.2553191489361702,0.3670886075949367,0.4590163934426229,0.04,0.3538461538461538,0.3506493506493506,0.3417721518987341,0.3684210526315789,63.0,65.0,0.0,0.0,15,9.0,63.0,4.2,10.7,61.900000000000006,4.126666666666667
19,20,15,2022-11-28,22-145,NOP,,OKC,W (+4),1,35:19,11.0,18.0,.611,0.0,1.0,.000,1,1.0,1.000,2.0,6.0,8.0,8.0,1.0,3.0,4.0,3.0,23.0,21.5,+19,17.0,11.0,0.6470588235294118,12,25,1,29,22,9,20,12,29,28,1,23,27,27,14,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,0.2666666666666666,0.3333333333333333,0.2,0.3972602739726027,0.3728813559322034,0.36,0.303030303030303,0.2553191489361702,0.3670886075949367,0.4590163934426229,0.04,0.3538461538461538,0.3506493506493506,0.3417721518987341,0.3684210526315789,63.0,65.0,0.0,0.0,15,20.0,60.0,4.0,21.1,50.8,3.3866666666666663
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,12,25,1,29,22,9,20,12,29,28,1,23,27,27,14,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,0.2666666666666666,0.3333333333333333,0.2,0.3972602739726027,0.3728813559322034,0.36,0.303030303030303,0.2553191489361702,0.3670886075949367,0.4590163934426229,0.04,0.3538461538461538,0.3506493506493506,0.3417721518987341,0.3684210526315789,63.0,65.0,0.0,0.0,15,,0.0,0.0,0.0,0.0,0.0
21,21,16,2022-11-30,22-147,NOP,,TOR,W (+18),1,37:26,12.0,15.0,.800,0.0,0.0,,9,12.0,.750,3.0,7.0,10.0,5.0,4.0,2.0,4.0,2.0,33.0,34.4,+19,15.0,12.0,0.8,12,25,1,29,22,9,20,12,29,28,1,23,27,27,14,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,0.2666666666666666,0.3333333333333333,0.2,0.3972602739726027,0.3728813559322034,0.36,0.303030303030303,0.2553191489361702,0.3670886075949367,0.4590163934426229,0.04,0.3538461538461538,0.3506493506493506,0.3417721518987341,0.3684210526315789,63.0,65.0,0.0,0.0,15,23.0,69.0,4.6,30.8,71.69999999999997,4.7799999999999985
22,22,17,2022-12-02,22-149,NOP,@,SAS,W (+18),1,33:33,9.0,14.0,.643,0.0,2.0,.000,12,13.0,.923,4.0,11.0,15.0,8.0,2.0,1.0,3.0,1.0,30.0,34.4,+28,12.0,9.0,0.75,12,25,1,29,22,9,20,12,29,28,1,23,27,27,14,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,0.2666666666666666,0.3333333333333333,0.2,0.3972602739726027,0.3728813559322034,0.36,0.303030303030303,0.2553191489361702,0.3670886075949367,0.4590163934426229,0.04,0.3538461538461538,0.3506493506493506,0.3417721518987341,0.3684210526315789,63.0,65.0,0.0,0.0,15,26.0,70.0,4.666666666666667,29.6,62.6,4.173333333333334
23,23,18,2022-12-04,22-151,NOP,,DEN,W (+15),1,35:55,9.0,17.0,.529,0.0,0.0,,7,11.0,.636,1.0,5.0,6.0,4.0,1.0,1.0,4.0,0.0,25.0,17.8,+11,17.0,9.0,0.5294117647058824,12,25,1,29,22,9,20,12,29,28,1,23,27,27,14,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,0.2666666666666666,0.3333333333333333,0.2,0.3972602739726027,0.3728813559322034,0.36,0.303030303030303,0.2553191489361702,0.3670886075949367,0.4590163934426229,0.04,0.3538461538461538,0.3506493506493506,0.3417721518987341,0.3684210526315789,63.0,65.0,0.0,0.0,15,5.0,70.0,4.666666666666667,15.000000000000009,73.89999999999999,4.926666666666666
24,24,19,2022-12-07,22-154,NOP,,DET,W (+6),1,32:58,11.0,16.0,.688,0.0,0.0,,7,11.0,.636,2.0,8.0,10.0,5.0,1.0,1.0,4.0,1.0,29.0,25.2,+1,16.0,11.0,0.6875,12,25,1,29,22,9,20,12,29,28,1,23,27,27,14,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,0.2666666666666666,0.3333333333333333,0.2,0.3972602739726027,0.3728813559322034,0.36,0.303030303030303,0.2553191489361702,0.3670886075949367,0.4590163934426229,0.04,0.3538461538461538,0.3506493506493506,0.3417721518987341,0.3684210526315789,63.0,65.0,0.0,0.0,15,15.0,60.0,4.0,22.4,48.69999999999999,3.2466666666666657
25,25,20,2022-12-09,22-156,NOP,,PHO,W (+11),1,36:44,13.0,17.0,.765,0.0,0.0,,9,12.0,.750,1.0,6.0,7.0,4.0,1.0,0.0,2.0,0.0,35.0,31.4,+30,17.0,13.0,0.7647058823529411,12,25,1,29,22,9,20,12,29,28,1,23,27,27,14,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,0.2666666666666666,0.3333333333333333,0.2,0.3972602739726027,0.3728813559322034,0.36,0.303030303030303,0.2553191489361702,0.3670886075949367,0.4590163934426229,0.04,0.3538461538461538,0.3506493506493506,0.3417721518987341,0.3684210526315789,63.0,65.0,0.0,0.0,15,16.0,54.0,3.6,27.8,67.3,4.486666666666666
26,26,21,2022-12-11,22-158,NOP,,PHO,W (+5),1,42:11,14.0,21.0,.667,2.0,3.0,.667,5,7.0,.714,1.0,7.0,8.0,3.0,1.0,0.0,5.0,3.0,35.0,24.8,+16,18.0,12.0,0.6666666666666666,12,25,1,29,22,9,20,12,29,28,1,23,27,27,14,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,0.2666666666666666,0.3333333333333333,0.2,0.3972602739726027,0.3728813559322034,0.36,0.303030303030303,0.2553191489361702,0.3670886075949367,0.4590163934426229,0.04,0.3538461538461538,0.3506493506493506,0.3417721518987341,0.3684210526315789,63.0,65.0,0.0,0.0,15,14.0,81.0,5.4,22.800000000000008,78.30000000000001,5.220000000000001
27,27,22,2022-12-13,22-160,NOP,@,UTA,L (-21),1,25:41,10.0,16.0,.625,0.0,2.0,.000,6,10.0,.600,3.0,6.0,9.0,5.0,2.0,0.0,4.0,3.0,26.0,21.4,-15,14.0,10.0,0.7142857142857143,12,25,1,29,22,9,20,12,29,28,1,23,27,27,14,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,0.2666666666666666,0.3333333333333333,0.2,0.3972602739726027,0.3728813559322034,0.36,0.303030303030303,0.2553191489361702,0.3670886075949367,0.4590163934426229,0.04,0.3538461538461538,0.3506493506493506,0.3417721518987341,0.3684210526315789,63.0,65.0,0.0,0.0,15,12.0,37.0,2.466666666666667,19.0,41.49999999999999,2.766666666666666
28,28,23,2022-12-15,22-162,NOP,@,UTA,L (-3),1,41:33,12.0,24.0,.500,1.0,1.0,1.000,6,8.0,.750,5.0,3.0,8.0,8.0,0.0,2.0,3.0,2.0,31.0,25.8,+2,23.0,11.0,0.4782608695652174,12,25,1,29,22,9,20,12,29,28,1,23,27,27,14,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,0.2666666666666666,0.3333333333333333,0.2,0.3972602739726027,0.3728813559322034,0.36,0.303030303030303,0.2553191489361702,0.3670886075949367,0.4590163934426229,0.04,0.3538461538461538,0.3506493506493506,0.3417721518987341,0.3684210526315789,63.0,65.0,0.0,0.0,15,14.0,60.0,4.0,23.4,62.5,4.166666666666667
29,29,24,2022-12-17,22-164,NOP,@,PHO,L (-4),1,39:04,12.0,15.0,.800,0.0,1.0,.000,6,7.0,.857,0.0,3.0,3.0,9.0,0.0,1.0,6.0,4.0,30.0,24.2,+2,14.0,12.0,0.8571428571428571,12,25,1,29,22,9,20,12,29,28,1,23,27,27,14,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,0.2666666666666666,0.3333333333333333,0.2,0.3972602739726027,0.3728813559322034,0.36,0.303030303030303,0.2553191489361702,0.3670886075949367,0.4590163934426229,0.04,0.3538461538461538,0.3506493506493506,0.3417721518987341,0.3684210526315789,63.0,65.0,0.0,0.0,15,15.0,60.0,4.0,21.8,59.400000000000006,3.9600000000000004
30,30,25,2022-12-19,22-166,NOP,,MIL,L (-9),1,40:08,7.0,16.0,.438,0.0,0.0,,4,8.0,.500,3.0,4.0,7.0,7.0,3.0,0.0,5.0,1.0,18.0,13.8,-2,16.0,7.0,0.4375,12,25,1,29,22,9,20,12,29,28,1,23,27,27,14,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,0.2666666666666666,0.3333333333333333,0.2,0.3972602739726027,0.3728813559322034,0.36,0.303030303030303,0.2553191489361702,0.3670886075949367,0.4590163934426229,0.04,0.3538461538461538,0.3506493506493506,0.3417721518987341,0.3684210526315789,63.0,65.0,0.0,0.0,15,6.0,70.0,4.666666666666667,12.2,72.39999999999999,4.826666666666666
31,31,,2022-12-22,22-169,NOP,,SAS,W (+9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,12,25,1,29,22,9,20,12,29,28,1,23,27,27,14,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,0.2666666666666666,0.3333333333333333,0.2,0.3972602739726027,0.3728813559322034,0.36,0.303030303030303,0.2553191489361702,0.3670886075949367,0.4590163934426229,0.04,0.3538461538461538,0.3506493506493506,0.3417721518987341,0.3684210526315789,63.0,65.0,0.0,0.0,15,,87.0,5.8,0.0,89.60000000000001,5.973333333333334
