Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Brandon Ingram,Shared Games with CJ McCollum,Shared Games with Dereon Seabron,Shared Games with Devonte' Graham,Shared Games with Dyson Daniels,Shared Games with Garrett Temple,Shared Games with Herbert Jones,Shared Games with Jonas Valančiūnas,Shared Games with Jose Alvarado,Shared Games with Kira Lewis Jr.,Shared Games with Larry Nance Jr.,Shared Games with Naji Marshall,Shared Games with Trey Murphy III,Shared Games with Willy Hernangómez,Shared Games with Zion Williamson,Brandon Ingram,CJ McCollum,Dereon Seabron,Devonte' Graham,Dyson Daniels,Garrett Temple,Herbert Jones,Jonas Valančiūnas,Jose Alvarado,Kira Lewis Jr.,Larry Nance Jr.,Naji Marshall,Trey Murphy III,Willy Hernangómez,Zion Williamson,co_inf with Brandon Ingram,co_inf with CJ McCollum,co_inf with Dereon Seabron,co_inf with Devonte' Graham,co_inf with Dyson Daniels,co_inf with Garrett Temple,co_inf with Herbert Jones,co_inf with Jonas Valančiūnas,co_inf with Jose Alvarado,co_inf with Kira Lewis Jr.,co_inf with Larry Nance Jr.,co_inf with Naji Marshall,co_inf with Trey Murphy III,co_inf with Willy Hernangómez,co_inf with Zion Williamson,Shared Games with Josh Richardson,Al Horford,Josh Richardson,co_inf with Al Horford,co_inf with Josh Richardson,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,,2022-11-09,22-170,NOP,@,CHI,W (+4),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,19,41,5,30,37,21,36,44,35,22,32,43,44,26,12,45.0,75.0,5.0,73.0,59.0,25.0,66.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4222222222222222,0.5466666666666666,1.0,0.410958904109589,0.6271186440677966,0.84,0.5454545454545454,0.5569620253164557,0.5737704918032787,0.88,0.4923076923076923,0.5584415584415584,0.5569620253164557,0.6842105263157895,0.4137931034482758,15,63.0,65.0,0.0,0.2307692307692307,16,,77.0,4.8125,0.0,88.09999999999998,5.506249999999999
11,12,,2022-11-10,22-171,NOP,,POR,L (-11),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,19,41,5,30,37,21,36,44,35,22,32,43,44,26,12,45.0,75.0,5.0,73.0,59.0,25.0,66.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4222222222222222,0.5466666666666666,1.0,0.410958904109589,0.6271186440677966,0.84,0.5454545454545454,0.5569620253164557,0.5737704918032787,0.88,0.4923076923076923,0.5584415584415584,0.5569620253164557,0.6842105263157895,0.4137931034482758,15,63.0,65.0,0.0,0.2307692307692307,16,,64.0,4.0,0.0,59.90000000000001,3.743750000000001
12,13,,2022-11-12,22-173,NOP,,HOU,W (+13),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,19,41,5,30,37,21,36,44,35,22,32,43,44,26,12,45.0,75.0,5.0,73.0,59.0,25.0,66.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4222222222222222,0.5466666666666666,1.0,0.410958904109589,0.6271186440677966,0.84,0.5454545454545454,0.5569620253164557,0.5737704918032787,0.88,0.4923076923076923,0.5584415584415584,0.5569620253164557,0.6842105263157895,0.4137931034482758,15,63.0,65.0,0.0,0.2307692307692307,16,,61.0,3.8125,0.0,85.10000000000002,5.318750000000001
13,14,,2022-11-15,22-176,NOP,,MEM,W (+11),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,19,41,5,30,37,21,36,44,35,22,32,43,44,26,12,45.0,75.0,5.0,73.0,59.0,25.0,66.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4222222222222222,0.5466666666666666,1.0,0.410958904109589,0.6271186440677966,0.84,0.5454545454545454,0.5569620253164557,0.5737704918032787,0.88,0.4923076923076923,0.5584415584415584,0.5569620253164557,0.6842105263157895,0.4137931034482758,15,63.0,65.0,0.0,0.2307692307692307,16,,100.0,6.25,0.0,91.9,5.74375
14,15,,2022-11-16,22-177,NOP,,CHI,W (+14),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,19,41,5,30,37,21,36,44,35,22,32,43,44,26,12,45.0,75.0,5.0,73.0,59.0,25.0,66.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4222222222222222,0.5466666666666666,1.0,0.410958904109589,0.6271186440677966,0.84,0.5454545454545454,0.5569620253164557,0.5737704918032787,0.88,0.4923076923076923,0.5584415584415584,0.5569620253164557,0.6842105263157895,0.4137931034482758,15,63.0,65.0,0.0,0.2307692307692307,16,,102.0,6.375,0.0,97.5,6.09375
15,16,,2022-11-18,22-179,NOP,,BOS,L (-8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,19,41,5,30,37,21,36,44,35,22,32,43,44,26,12,45.0,75.0,5.0,73.0,59.0,25.0,66.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4222222222222222,0.5466666666666666,1.0,0.410958904109589,0.6271186440677966,0.84,0.5454545454545454,0.5569620253164557,0.5737704918032787,0.88,0.4923076923076923,0.5584415584415584,0.5569620253164557,0.6842105263157895,0.4137931034482758,15,63.0,65.0,0.0,0.2307692307692307,16,,96.0,6.0,0.0,92.19999999999996,5.7624999999999975
16,17,6,2022-11-21,22-182,NOP,,GSW,W (+45),0,7:22,1.0,2.0,.500,0.0,1.0,.000,0,0.0,,2.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,2.0,2.7,+4,1.0,1.0,1.0,19,41,5,30,37,21,36,44,35,22,32,43,44,26,12,45.0,75.0,5.0,73.0,59.0,25.0,66.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4222222222222222,0.5466666666666666,1.0,0.410958904109589,0.6271186440677966,0.84,0.5454545454545454,0.5569620253164557,0.5737704918032787,0.88,0.4923076923076923,0.5584415584415584,0.5569620253164557,0.6842105263157895,0.4137931034482758,15,63.0,65.0,0.0,0.2307692307692307,16,3.0,89.0,5.5625,2.7,99.10000000000002,6.193750000000001
17,18,7,2022-11-23,22-184,NOP,@,SAS,W (+19),0,5:21,0.0,2.0,.000,0.0,1.0,.000,1,2.0,.500,0.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,-1.3,-4,1.0,0.0,0.0,19,41,5,30,37,21,36,44,35,22,32,43,44,26,12,45.0,75.0,5.0,73.0,59.0,25.0,66.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4222222222222222,0.5466666666666666,1.0,0.410958904109589,0.6271186440677966,0.84,0.5454545454545454,0.5569620253164557,0.5737704918032787,0.88,0.4923076923076923,0.5584415584415584,0.5569620253164557,0.6842105263157895,0.4137931034482758,15,63.0,65.0,0.0,0.2307692307692307,16,-1.0,96.0,6.0,-1.7000000000000002,93.0,5.8125
18,19,8,2022-11-25,22-186,NOP,@,MEM,L (-21),0,12:00,1.0,5.0,.200,0.0,3.0,.000,3,3.0,1.000,0.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,5.0,5.2,+8,2.0,1.0,0.5,19,41,5,30,37,21,36,44,35,22,32,43,44,26,12,45.0,75.0,5.0,73.0,59.0,25.0,66.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4222222222222222,0.5466666666666666,1.0,0.410958904109589,0.6271186440677966,0.84,0.5454545454545454,0.5569620253164557,0.5737704918032787,0.88,0.4923076923076923,0.5584415584415584,0.5569620253164557,0.6842105263157895,0.4137931034482758,15,63.0,65.0,0.0,0.2307692307692307,16,3.0,69.0,4.3125,4.000000000000001,68.60000000000001,4.2875000000000005
19,20,9,2022-11-28,22-189,NOP,,OKC,W (+4),0,5:21,0.0,2.0,.000,0.0,1.0,.000,0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,0,1.0,0.0,0.0,19,41,5,30,37,21,36,44,35,22,32,43,44,26,12,45.0,75.0,5.0,73.0,59.0,25.0,66.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4222222222222222,0.5466666666666666,1.0,0.410958904109589,0.6271186440677966,0.84,0.5454545454545454,0.5569620253164557,0.5737704918032787,0.88,0.4923076923076923,0.5584415584415584,0.5569620253164557,0.6842105263157895,0.4137931034482758,15,63.0,65.0,0.0,0.2307692307692307,16,0.0,80.0,5.0,-0.7999999999999999,72.70000000000002,4.543750000000001
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,19,41,5,30,37,21,36,44,35,22,32,43,44,26,12,45.0,75.0,5.0,73.0,59.0,25.0,66.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4222222222222222,0.5466666666666666,1.0,0.410958904109589,0.6271186440677966,0.84,0.5454545454545454,0.5569620253164557,0.5737704918032787,0.88,0.4923076923076923,0.5584415584415584,0.5569620253164557,0.6842105263157895,0.4137931034482758,15,63.0,65.0,0.0,0.2307692307692307,16,,0.0,0.0,0.0,0.0,0.0
21,21,,2022-11-30,22-191,NOP,,TOR,W (+18),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,19,41,5,30,37,21,36,44,35,22,32,43,44,26,12,45.0,75.0,5.0,73.0,59.0,25.0,66.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4222222222222222,0.5466666666666666,1.0,0.410958904109589,0.6271186440677966,0.84,0.5454545454545454,0.5569620253164557,0.5737704918032787,0.88,0.4923076923076923,0.5584415584415584,0.5569620253164557,0.6842105263157895,0.4137931034482758,15,63.0,65.0,0.0,0.2307692307692307,16,,92.0,5.75,0.0,102.49999999999996,6.406249999999997
22,22,,2022-12-02,22-193,NOP,@,SAS,W (+18),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,19,41,5,30,37,21,36,44,35,22,32,43,44,26,12,45.0,75.0,5.0,73.0,59.0,25.0,66.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4222222222222222,0.5466666666666666,1.0,0.410958904109589,0.6271186440677966,0.84,0.5454545454545454,0.5569620253164557,0.5737704918032787,0.88,0.4923076923076923,0.5584415584415584,0.5569620253164557,0.6842105263157895,0.4137931034482758,15,63.0,65.0,0.0,0.2307692307692307,16,,96.0,6.0,0.0,92.2,5.7625
23,23,,2022-12-04,22-195,NOP,,DEN,W (+15),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,19,41,5,30,37,21,36,44,35,22,32,43,44,26,12,45.0,75.0,5.0,73.0,59.0,25.0,66.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4222222222222222,0.5466666666666666,1.0,0.410958904109589,0.6271186440677966,0.84,0.5454545454545454,0.5569620253164557,0.5737704918032787,0.88,0.4923076923076923,0.5584415584415584,0.5569620253164557,0.6842105263157895,0.4137931034482758,15,63.0,65.0,0.0,0.2307692307692307,16,,75.0,4.6875,0.0,88.9,5.55625
24,24,,2022-12-07,22-198,NOP,,DET,W (+6),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,19,41,5,30,37,21,36,44,35,22,32,43,44,26,12,45.0,75.0,5.0,73.0,59.0,25.0,66.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4222222222222222,0.5466666666666666,1.0,0.410958904109589,0.6271186440677966,0.84,0.5454545454545454,0.5569620253164557,0.5737704918032787,0.88,0.4923076923076923,0.5584415584415584,0.5569620253164557,0.6842105263157895,0.4137931034482758,15,63.0,65.0,0.0,0.2307692307692307,16,,75.0,4.6875,0.0,71.1,4.44375
25,25,,2022-12-09,22-200,NOP,,PHO,W (+11),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,19,41,5,30,37,21,36,44,35,22,32,43,44,26,12,45.0,75.0,5.0,73.0,59.0,25.0,66.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4222222222222222,0.5466666666666666,1.0,0.410958904109589,0.6271186440677966,0.84,0.5454545454545454,0.5569620253164557,0.5737704918032787,0.88,0.4923076923076923,0.5584415584415584,0.5569620253164557,0.6842105263157895,0.4137931034482758,15,63.0,65.0,0.0,0.2307692307692307,16,,70.0,4.375,0.0,99.9,6.24375
26,26,,2022-12-11,22-202,NOP,,PHO,W (+5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,19,41,5,30,37,21,36,44,35,22,32,43,44,26,12,45.0,75.0,5.0,73.0,59.0,25.0,66.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4222222222222222,0.5466666666666666,1.0,0.410958904109589,0.6271186440677966,0.84,0.5454545454545454,0.5569620253164557,0.5737704918032787,0.88,0.4923076923076923,0.5584415584415584,0.5569620253164557,0.6842105263157895,0.4137931034482758,15,63.0,65.0,0.0,0.2307692307692307,16,,95.0,5.9375,0.0,104.30000000000004,6.5187500000000025
27,27,10,2022-12-13,22-204,NOP,@,UTA,L (-21),0,6:08,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.4,+2,0.0,0.0,,19,41,5,30,37,21,36,44,35,22,32,43,44,26,12,45.0,75.0,5.0,73.0,59.0,25.0,66.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4222222222222222,0.5466666666666666,1.0,0.410958904109589,0.6271186440677966,0.84,0.5454545454545454,0.5569620253164557,0.5737704918032787,0.88,0.4923076923076923,0.5584415584415584,0.5569620253164557,0.6842105263157895,0.4137931034482758,15,63.0,65.0,0.0,0.2307692307692307,16,-1.0,50.0,3.125,-1.4,78.5,4.90625
28,28,,2022-12-15,22-206,NOP,@,UTA,L (-3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,19,41,5,30,37,21,36,44,35,22,32,43,44,26,12,45.0,75.0,5.0,73.0,59.0,25.0,66.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4222222222222222,0.5466666666666666,1.0,0.410958904109589,0.6271186440677966,0.84,0.5454545454545454,0.5569620253164557,0.5737704918032787,0.88,0.4923076923076923,0.5584415584415584,0.5569620253164557,0.6842105263157895,0.4137931034482758,15,63.0,65.0,0.0,0.2307692307692307,16,,74.0,4.625,0.0,93.8,5.8625
29,29,,2022-12-17,22-208,NOP,@,PHO,L (-4),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,19,41,5,30,37,21,36,44,35,22,32,43,44,26,12,45.0,75.0,5.0,73.0,59.0,25.0,66.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4222222222222222,0.5466666666666666,1.0,0.410958904109589,0.6271186440677966,0.84,0.5454545454545454,0.5569620253164557,0.5737704918032787,0.88,0.4923076923076923,0.5584415584415584,0.5569620253164557,0.6842105263157895,0.4137931034482758,15,63.0,65.0,0.0,0.2307692307692307,16,,75.0,4.6875,0.0,81.2,5.075
30,30,,2022-12-19,22-210,NOP,,MIL,L (-9),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,19,41,5,30,37,21,36,44,35,22,32,43,44,26,12,45.0,75.0,5.0,73.0,59.0,25.0,66.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4222222222222222,0.5466666666666666,1.0,0.410958904109589,0.6271186440677966,0.84,0.5454545454545454,0.5569620253164557,0.5737704918032787,0.88,0.4923076923076923,0.5584415584415584,0.5569620253164557,0.6842105263157895,0.4137931034482758,15,63.0,65.0,0.0,0.2307692307692307,16,,76.0,4.75,0.0,84.6,5.2875
