Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Brandon Ingram,Shared Games with CJ McCollum,Shared Games with Dereon Seabron,Shared Games with Devonte' Graham,Shared Games with Dyson Daniels,Shared Games with Garrett Temple,Shared Games with Herbert Jones,Shared Games with Jaxson Hayes,Shared Games with Jose Alvarado,Shared Games with Kira Lewis Jr.,Shared Games with Larry Nance Jr.,Shared Games with Naji Marshall,Shared Games with Trey Murphy III,Shared Games with Willy Hernangómez,Shared Games with Zion Williamson,Brandon Ingram,CJ McCollum,Dereon Seabron,Devonte' Graham,Dyson Daniels,Garrett Temple,Herbert Jones,Jaxson Hayes,Jose Alvarado,Kira Lewis Jr.,Larry Nance Jr.,Naji Marshall,Trey Murphy III,Willy Hernangómez,Zion Williamson,co_inf with Brandon Ingram,co_inf with CJ McCollum,co_inf with Dereon Seabron,co_inf with Devonte' Graham,co_inf with Dyson Daniels,co_inf with Garrett Temple,co_inf with Herbert Jones,co_inf with Jaxson Hayes,co_inf with Jose Alvarado,co_inf with Kira Lewis Jr.,co_inf with Larry Nance Jr.,co_inf with Naji Marshall,co_inf with Trey Murphy III,co_inf with Willy Hernangómez,co_inf with Zion Williamson,Shared Games with Josh Richardson,Al Horford,Josh Richardson,co_inf with Al Horford,co_inf with Josh Richardson,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,11,2022-11-09,30-187,NOP,@,CHI,W (+4),1,29:38,8.0,13.0,.615,0.0,2.0,.000,5,6.0,.833,3.0,10.0,13.0,3.0,1.0,0.0,2.0,0.0,21.0,20.9,+8,11.0,8.0,0.7272727272727273,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,17.0,60.0,3.75,18.9,69.19999999999999,4.324999999999999
11,12,12,2022-11-10,30-188,NOP,,POR,L (-11),1,19:38,2.0,8.0,.250,1.0,1.0,1.000,2,2.0,1.000,2.0,9.0,11.0,1.0,0.0,0.0,0.0,3.0,7.0,5.8,-17,7.0,1.0,0.1428571428571428,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,9.0,55.0,3.4375,4.999999999999998,54.90000000000001,3.431250000000001
12,13,13,2022-11-12,30-190,NOP,,HOU,W (+13),1,20:16,2.0,7.0,.286,1.0,1.0,1.000,3,4.0,.750,2.0,2.0,4.0,1.0,1.0,0.0,1.0,3.0,8.0,5.0,+3,6.0,1.0,0.1666666666666666,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,2.0,59.0,3.6875,3.8,81.3,5.08125
13,14,14,2022-11-15,30-193,NOP,,MEM,W (+11),1,13:41,1.0,4.0,.250,0.0,1.0,.000,0,0.0,,1.0,2.0,3.0,2.0,0.0,0.0,4.0,4.0,2.0,-3.3,-5,3.0,1.0,0.3333333333333333,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,-1.0,101.0,6.3125,-3.3000000000000003,95.2,5.95
14,15,15,2022-11-16,30-194,NOP,,CHI,W (+14),1,27:14,8.0,13.0,.615,2.0,3.0,.667,4,4.0,1.000,3.0,4.0,7.0,2.0,0.0,1.0,3.0,3.0,22.0,17.3,+11,10.0,6.0,0.6,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,12.0,90.0,5.625,15.699999999999992,81.8,5.1125
15,16,16,2022-11-18,30-196,NOP,,BOS,L (-8),1,21:15,5.0,7.0,.714,0.0,0.0,,0,1.0,.000,0.0,4.0,4.0,3.0,0.0,0.0,2.0,3.0,10.0,6.8,-8,7.0,5.0,0.7142857142857143,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,7.0,89.0,5.5625,6.799999999999997,85.39999999999999,5.3374999999999995
16,17,17,2022-11-21,30-199,NOP,,GSW,W (+45),1,22:47,4.0,4.0,1.000,0.0,0.0,,2,5.0,.400,4.0,9.0,13.0,2.0,0.0,0.0,2.0,3.0,10.0,11.3,+22,4.0,4.0,1.0,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,14.0,78.0,4.875,10.499999999999996,91.30000000000004,5.7062500000000025
17,18,18,2022-11-23,30-201,NOP,@,SAS,W (+19),1,26:07,9.0,11.0,.818,4.0,5.0,.800,0,0.0,,1.0,9.0,10.0,2.0,0.0,1.0,3.0,2.0,22.0,19.6,+24,6.0,5.0,0.8333333333333334,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,21.0,74.0,4.625,19.6,71.7,4.48125
18,19,19,2022-11-25,30-203,NOP,@,MEM,L (-21),1,17:24,2.0,5.0,.400,0.0,1.0,.000,0,0.0,,0.0,3.0,3.0,1.0,0.0,0.0,4.0,5.0,4.0,-3.1,-21,4.0,2.0,0.5,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,-1.0,73.0,4.5625,-3.1000000000000005,75.7,4.73125
19,20,20,2022-11-28,30-206,NOP,,OKC,W (+4),1,20:23,3.0,6.0,.500,0.0,1.0,.000,2,2.0,1.000,4.0,6.0,10.0,1.0,0.0,0.0,5.0,2.0,8.0,4.5,-3,5.0,3.0,0.6,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,6.0,74.0,4.625,3.6999999999999993,68.20000000000002,4.262500000000001
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,,0.0,0.0,0.0,0.0,0.0
21,21,21,2022-11-30,30-208,NOP,,TOR,W (+18),1,25:55,6.0,12.0,.500,2.0,5.0,.400,2,2.0,1.000,2.0,11.0,13.0,3.0,0.0,0.0,3.0,1.0,16.0,13.4,+15,7.0,4.0,0.5714285714285714,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,15.0,77.0,4.8125,12.599999999999996,89.89999999999999,5.6187499999999995
22,22,22,2022-12-02,30-210,NOP,@,SAS,W (+18),1,25:39,8.0,11.0,.727,1.0,2.0,.500,4,4.0,1.000,2.0,9.0,11.0,2.0,0.0,1.0,0.0,1.0,21.0,22.3,+14,9.0,7.0,0.7777777777777778,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,20.0,76.0,4.75,20.7,71.5,4.46875
23,23,23,2022-12-04,30-212,NOP,,DEN,W (+15),1,13:45,6.0,9.0,.667,0.0,2.0,.000,1,1.0,1.000,0.0,2.0,2.0,1.0,0.0,1.0,1.0,5.0,13.0,8.1,-21,7.0,6.0,0.8571428571428571,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,6.0,69.0,4.3125,7.699999999999997,81.20000000000002,5.075000000000001
24,24,24,2022-12-07,30-215,NOP,,DET,W (+6),1,28:21,7.0,16.0,.438,0.0,2.0,.000,0,0.0,,3.0,9.0,12.0,2.0,0.0,0.0,2.0,3.0,14.0,8.6,+11,14.0,7.0,0.5,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,10.0,65.0,4.0625,8.599999999999998,62.49999999999999,3.9062499999999996
25,25,25,2022-12-09,30-217,NOP,,PHO,W (+11),1,28:09,4.0,16.0,.250,0.0,3.0,.000,4,4.0,1.000,2.0,8.0,10.0,0.0,0.0,0.0,2.0,1.0,12.0,3.8,-4,13.0,4.0,0.3076923076923077,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,0.0,70.0,4.375,2.2,97.7,6.10625
26,26,26,2022-12-11,30-219,NOP,,PHO,W (+5),1,17:41,2.0,4.0,.500,0.0,0.0,,4,6.0,.667,2.0,8.0,10.0,0.0,0.0,0.0,3.0,5.0,8.0,4.0,-3,4.0,2.0,0.5,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,5.0,90.0,5.625,2.4000000000000004,101.90000000000002,6.368750000000001
27,27,27,2022-12-13,30-221,NOP,@,UTA,L (-21),1,19:15,6.0,13.0,.462,0.0,2.0,.000,3,4.0,.750,5.0,1.0,6.0,1.0,2.0,0.0,3.0,5.0,15.0,9.4,+5,11.0,6.0,0.5454545454545454,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,4.0,45.0,2.8125,8.2,68.9,4.30625
28,28,28,2022-12-15,30-223,NOP,@,UTA,L (-3),1,26:09,3.0,6.0,.500,0.0,0.0,,0,0.0,,3.0,6.0,9.0,1.0,0.0,1.0,1.0,3.0,6.0,6.1,-6,6.0,3.0,0.5,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,10.0,64.0,4.0,6.1000000000000005,87.69999999999999,5.481249999999999
29,29,29,2022-12-17,30-225,NOP,@,PHO,L (-4),1,26:01,6.0,9.0,.667,0.0,1.0,.000,0,0.0,,0.0,8.0,8.0,0.0,0.0,1.0,2.0,5.0,12.0,7.2,-1,8.0,6.0,0.75,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,10.0,65.0,4.0625,7.199999999999999,74.0,4.625
30,30,30,2022-12-19,30-227,NOP,,MIL,L (-9),1,37:02,14.0,24.0,.583,7.0,10.0,.700,2,2.0,1.000,6.0,12.0,18.0,5.0,1.0,0.0,2.0,4.0,37.0,34.5,+6,14.0,7.0,0.5,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,33.0,43.0,2.6875,33.7,50.89999999999999,3.1812499999999995
31,31,31,2022-12-22,30-230,NOP,,SAS,W (+9),1,25:50,6.0,14.0,.429,0.0,2.0,.000,4,4.0,1.000,5.0,5.0,10.0,1.0,1.0,0.0,2.0,5.0,16.0,11.3,+10,12.0,6.0,0.5,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,8.0,79.0,4.9375,9.7,88.6,5.5375
