Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Cedi Osman,Shared Games with Darius Garland,Shared Games with Dean Wade,Shared Games with Donovan Mitchell,Shared Games with Dylan Windler,Shared Games with Evan Mobley,Shared Games with Isaac Okoro,Shared Games with Isaiah Mobley,Shared Games with Jarrett Allen,Shared Games with Kevin Love,Shared Games with Lamar Stevens,Shared Games with Mamadi Diakite,Shared Games with Raul Neto,Shared Games with Ricky Rubio,Shared Games with Robin Lopez,Cedi Osman,Darius Garland,Dean Wade,Donovan Mitchell,Dylan Windler,Evan Mobley,Isaac Okoro,Isaiah Mobley,Jarrett Allen,Kevin Love,Lamar Stevens,Mamadi Diakite,Raul Neto,Ricky Rubio,Robin Lopez,Sam Merrill,co_inf with Cedi Osman,co_inf with Darius Garland,co_inf with Dean Wade,co_inf with Donovan Mitchell,co_inf with Dylan Windler,co_inf with Evan Mobley,co_inf with Isaac Okoro,co_inf with Isaiah Mobley,co_inf with Jarrett Allen,co_inf with Kevin Love,co_inf with Lamar Stevens,co_inf with Mamadi Diakite,co_inf with Raul Neto,co_inf with Ricky Rubio,co_inf with Robin Lopez,co_inf with Sam Merrill,Shared Games with Danny Green,Danny Green,Dejounte Murray,co_inf with Danny Green,co_inf with Dejounte Murray,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,11,2022-11-09,28-076,CLE,@,SAC,L (-7),1,38:21,9.0,18.0,.500,1.0,3.0,.333,2,2.0,1.000,4.0,6.0,10.0,6.0,2.0,0.0,5.0,3.0,21.0,16.6,-10,15.0,8.0,0.5333333333333333,69,63,37,62,3,72,70,8,62,40,56,17,41,29,30,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8961038961038961,0.9130434782608696,0.8409090909090909,0.9117647058823528,1.0,0.9113924050632912,0.9210526315789472,0.6666666666666666,0.9117647058823528,0.6451612903225806,0.9032258064516128,0.7727272727272727,0.8541666666666666,0.8787878787878788,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,14.0,57.0,3.5625,15.800000000000004,76.5,4.78125
11,12,12,2022-11-11,28-078,CLE,@,GSW,L (-5),1,33:40,4.0,11.0,.364,2.0,6.0,.333,1,2.0,.500,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,11.0,4.7,-1,5.0,2.0,0.4,69,63,37,62,3,72,70,8,62,40,56,17,41,29,30,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8961038961038961,0.9130434782608696,0.8409090909090909,0.9117647058823528,1.0,0.9113924050632912,0.9210526315789472,0.6666666666666666,0.9117647058823528,0.6451612903225806,0.9032258064516128,0.7727272727272727,0.8541666666666666,0.8787878787878788,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,0.0,55.0,3.4375,4.300000000000001,67.6,4.225
12,13,13,2022-11-13,28-080,CLE,,MIN,L (-5),1,27:35,6.0,12.0,.500,1.0,2.0,.500,0,0.0,,3.0,2.0,5.0,5.0,0.0,1.0,2.0,1.0,13.0,11.5,-13,10.0,5.0,0.5,69,63,37,62,3,72,70,8,62,40,56,17,41,29,30,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8961038961038961,0.9130434782608696,0.8409090909090909,0.9117647058823528,1.0,0.9113924050632912,0.9210526315789472,0.6666666666666666,0.9117647058823528,0.6451612903225806,0.9032258064516128,0.7727272727272727,0.8541666666666666,0.8787878787878788,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,10.0,52.0,3.25,11.500000000000002,82.89999999999999,5.1812499999999995
13,14,14,2022-11-16,28-083,CLE,@,MIL,L (-15),1,19:36,1.0,5.0,.200,0.0,2.0,.000,0,0.0,,0.0,2.0,2.0,3.0,0.0,0.0,1.0,2.0,2.0,-0.2,-8,3.0,1.0,0.3333333333333333,69,63,37,62,3,72,70,8,62,40,56,17,41,29,30,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8961038961038961,0.9130434782608696,0.8409090909090909,0.9117647058823528,1.0,0.9113924050632912,0.9210526315789472,0.6666666666666666,0.9117647058823528,0.6451612903225806,0.9032258064516128,0.7727272727272727,0.8541666666666666,0.8787878787878788,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,1.0,59.0,3.6875,-0.2000000000000004,79.7,4.98125
14,15,15,2022-11-18,28-085,CLE,,CHO,W (+10),0,30:19,1.0,8.0,.125,0.0,2.0,.000,2,2.0,1.000,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,4.0,1.1,+8,6.0,1.0,0.1666666666666666,69,63,37,62,3,72,70,8,62,40,56,17,41,29,30,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8961038961038961,0.9130434782608696,0.8409090909090909,0.9117647058823528,1.0,0.9113924050632912,0.9210526315789472,0.6666666666666666,0.9117647058823528,0.6451612903225806,0.9032258064516128,0.7727272727272727,0.8541666666666666,0.8787878787878788,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,-1.0,79.0,4.9375,0.3000000000000014,100.2,6.2625
15,16,16,2022-11-20,28-087,CLE,,MIA,W (+26),0,14:17,0.0,4.0,.000,0.0,4.0,.000,0,0.0,,1.0,4.0,5.0,4.0,1.0,0.0,0.0,2.0,0.0,2.1,+22,0.0,0.0,,69,63,37,62,3,72,70,8,62,40,56,17,41,29,30,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8961038961038961,0.9130434782608696,0.8409090909090909,0.9117647058823528,1.0,0.9113924050632912,0.9210526315789472,0.6666666666666666,0.9117647058823528,0.6451612903225806,0.9032258064516128,0.7727272727272727,0.8541666666666666,0.8787878787878788,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,6.0,93.0,5.8125,2.1,103.3,6.45625
16,17,,2022-11-21,28-088,CLE,,ATL,W (+12),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,69,63,37,62,3,72,70,8,62,40,56,17,41,29,30,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8961038961038961,0.9130434782608696,0.8409090909090909,0.9117647058823528,1.0,0.9113924050632912,0.9210526315789472,0.6666666666666666,0.9117647058823528,0.6451612903225806,0.9032258064516128,0.7727272727272727,0.8541666666666666,0.8787878787878788,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,,81.0,5.0625,0.0,102.9,6.43125
17,18,,2022-11-23,28-090,CLE,,POR,W (+18),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,69,63,37,62,3,72,70,8,62,40,56,17,41,29,30,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8961038961038961,0.9130434782608696,0.8409090909090909,0.9117647058823528,1.0,0.9113924050632912,0.9210526315789472,0.6666666666666666,0.9117647058823528,0.6451612903225806,0.9032258064516128,0.7727272727272727,0.8541666666666666,0.8787878787878788,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,,77.0,4.8125,0.0,95.8,5.9875
18,19,,2022-11-25,28-092,CLE,@,MIL,L (-15),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,69,63,37,62,3,72,70,8,62,40,56,17,41,29,30,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8961038961038961,0.9130434782608696,0.8409090909090909,0.9117647058823528,1.0,0.9113924050632912,0.9210526315789472,0.6666666666666666,0.9117647058823528,0.6451612903225806,0.9032258064516128,0.7727272727272727,0.8541666666666666,0.8787878787878788,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,,61.0,3.8125,0.0,91.4,5.7125
19,20,,2022-11-27,28-094,CLE,@,DET,W (+8),Did Not Dress,Did Not Dress,0.0,0.0,Did Not Dress,,,Did Not Dress,Did Not Dress,0.0,Did Not Dress,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Dress,Did Not Dress,,,,69,63,37,62,3,72,70,8,62,40,56,17,41,29,30,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8961038961038961,0.9130434782608696,0.8409090909090909,0.9117647058823528,1.0,0.9113924050632912,0.9210526315789472,0.6666666666666666,0.9117647058823528,0.6451612903225806,0.9032258064516128,0.7727272727272727,0.8541666666666666,0.8787878787878788,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,,41.0,2.5625,0.0,62.9,3.93125
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,69,63,37,62,3,72,70,8,62,40,56,17,41,29,30,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8961038961038961,0.9130434782608696,0.8409090909090909,0.9117647058823528,1.0,0.9113924050632912,0.9210526315789472,0.6666666666666666,0.9117647058823528,0.6451612903225806,0.9032258064516128,0.7727272727272727,0.8541666666666666,0.8787878787878788,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,,0.0,0.0,0.0,0.0,0.0
21,21,17,2022-11-28,28-095,CLE,@,TOR,L (-12),0,29:19,2.0,9.0,.222,1.0,4.0,.250,3,4.0,.750,1.0,5.0,6.0,3.0,0.0,0.0,2.0,2.0,8.0,3.6,-12,5.0,1.0,0.2,69,63,37,62,3,72,70,8,62,40,56,17,41,29,30,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8961038961038961,0.9130434782608696,0.8409090909090909,0.9117647058823528,1.0,0.9113924050632912,0.9210526315789472,0.6666666666666666,0.9117647058823528,0.6451612903225806,0.9032258064516128,0.7727272727272727,0.8541666666666666,0.8787878787878788,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,2.0,57.0,3.5625,2.3999999999999995,65.8,4.1125
22,22,18,2022-11-30,28-097,CLE,,PHI,W (+28),0,33:16,8.0,11.0,.727,3.0,4.0,.750,3,4.0,.750,1.0,5.0,6.0,4.0,1.0,0.0,3.0,1.0,22.0,19.7,+13,7.0,5.0,0.7142857142857143,69,63,37,62,3,72,70,8,62,40,56,17,41,29,30,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8961038961038961,0.9130434782608696,0.8409090909090909,0.9117647058823528,1.0,0.9113924050632912,0.9210526315789472,0.6666666666666666,0.9117647058823528,0.6451612903225806,0.9032258064516128,0.7727272727272727,0.8541666666666666,0.8787878787878788,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,15.0,85.0,5.3125,18.5,96.1,6.00625
23,23,19,2022-12-02,28-099,CLE,,ORL,W (+11),0,24:05,2.0,7.0,.286,1.0,6.0,.167,0,0.0,,0.0,1.0,1.0,4.0,2.0,0.0,1.0,2.0,5.0,4.2,+17,1.0,1.0,1.0,69,63,37,62,3,72,70,8,62,40,56,17,41,29,30,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8961038961038961,0.9130434782608696,0.8409090909090909,0.9117647058823528,1.0,0.9113924050632912,0.9210526315789472,0.6666666666666666,0.9117647058823528,0.6451612903225806,0.9032258064516128,0.7727272727272727,0.8541666666666666,0.8787878787878788,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,4.0,67.0,4.1875,4.199999999999999,93.70000000000002,5.856250000000001
24,24,20,2022-12-04,28-101,CLE,@,NYK,L (-11),0,16:14,1.0,4.0,.250,0.0,1.0,.000,2,2.0,1.000,0.0,4.0,4.0,1.0,1.0,0.0,3.0,2.0,4.0,0.7,-13,3.0,1.0,0.3333333333333333,69,63,37,62,3,72,70,8,62,40,56,17,41,29,30,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8961038961038961,0.9130434782608696,0.8409090909090909,0.9117647058823528,1.0,0.9113924050632912,0.9210526315789472,0.6666666666666666,0.9117647058823528,0.6451612903225806,0.9032258064516128,0.7727272727272727,0.8541666666666666,0.8787878787878788,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,1.0,37.0,2.3125,-0.0999999999999987,57.4,3.5875
25,25,21,2022-12-06,28-103,CLE,,LAL,W (+14),0,23:11,3.0,8.0,.375,1.0,3.0,.333,0,0.0,,0.0,2.0,2.0,4.0,1.0,0.0,2.0,4.0,7.0,3.4,-4,5.0,2.0,0.4,69,63,37,62,3,72,70,8,62,40,56,17,41,29,30,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8961038961038961,0.9130434782608696,0.8409090909090909,0.9117647058823528,1.0,0.9113924050632912,0.9210526315789472,0.6666666666666666,0.9117647058823528,0.6451612903225806,0.9032258064516128,0.7727272727272727,0.8541666666666666,0.8787878787878788,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,4.0,77.0,4.8125,3.3999999999999986,94.20000000000002,5.887500000000001
26,26,22,2022-12-09,28-106,CLE,,SAC,L (-11),1,36:37,9.0,21.0,.429,2.0,7.0,.286,2,2.0,1.000,0.0,6.0,6.0,6.0,0.0,0.0,2.0,3.0,22.0,13.7,-21,14.0,7.0,0.5,69,63,37,62,3,72,70,8,62,40,56,17,41,29,30,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8961038961038961,0.9130434782608696,0.8409090909090909,0.9117647058823528,1.0,0.9113924050632912,0.9210526315789472,0.6666666666666666,0.9117647058823528,0.6451612903225806,0.9032258064516128,0.7727272727272727,0.8541666666666666,0.8787878787878788,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,9.0,33.0,2.0625,12.900000000000002,41.2,2.575
27,27,23,2022-12-10,28-107,CLE,,OKC,W (+8),1,38:00,9.0,22.0,.409,4.0,9.0,.444,0,0.0,,1.0,3.0,4.0,4.0,0.0,0.0,0.0,1.0,22.0,14.2,+6,13.0,5.0,0.3846153846153846,69,63,37,62,3,72,70,8,62,40,56,17,41,29,30,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8961038961038961,0.9130434782608696,0.8409090909090909,0.9117647058823528,1.0,0.9113924050632912,0.9210526315789472,0.6666666666666666,0.9117647058823528,0.6451612903225806,0.9032258064516128,0.7727272727272727,0.8541666666666666,0.8787878787878788,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,8.0,63.0,3.9375,14.2,70.79999999999998,4.424999999999999
28,28,24,2022-12-12,28-109,CLE,@,SAS,L (-1),0,29:15,9.0,13.0,.692,1.0,4.0,.250,4,4.0,1.000,1.0,1.0,2.0,3.0,2.0,0.0,2.0,1.0,23.0,20.2,+14,9.0,8.0,0.8888888888888888,69,63,37,62,3,72,70,8,62,40,56,17,41,29,30,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8961038961038961,0.9130434782608696,0.8409090909090909,0.9117647058823528,1.0,0.9113924050632912,0.9210526315789472,0.6666666666666666,0.9117647058823528,0.6451612903225806,0.9032258064516128,0.7727272727272727,0.8541666666666666,0.8787878787878788,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,11.0,53.0,3.3125,18.6,61.49999999999999,3.8437499999999996
29,29,25,2022-12-14,28-111,CLE,@,DAL,W (+15),0,28:41,4.0,10.0,.400,0.0,3.0,.000,3,6.0,.500,0.0,3.0,3.0,3.0,0.0,0.0,1.0,1.0,11.0,6.0,+4,7.0,4.0,0.5714285714285714,69,63,37,62,3,72,70,8,62,40,56,17,41,29,30,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8961038961038961,0.9130434782608696,0.8409090909090909,0.9117647058823528,1.0,0.9113924050632912,0.9210526315789472,0.6666666666666666,0.9117647058823528,0.6451612903225806,0.9032258064516128,0.7727272727272727,0.8541666666666666,0.8787878787878788,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,0.0,71.0,4.4375,4.799999999999999,79.0,4.9375
