Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Caris LeVert,Shared Games with Cedi Osman,Shared Games with Darius Garland,Shared Games with Dean Wade,Shared Games with Donovan Mitchell,Shared Games with Evan Mobley,Shared Games with Isaac Okoro,Shared Games with Jarrett Allen,Shared Games with Kevin Love,Shared Games with Lamar Stevens,Shared Games with Mamadi Diakite,Shared Games with Raul Neto,Shared Games with Ricky Rubio,Shared Games with Robin Lopez,Caris LeVert,Cedi Osman,Darius Garland,Dean Wade,Donovan Mitchell,Dylan Windler,Evan Mobley,Isaac Okoro,Jarrett Allen,Kevin Love,Lamar Stevens,Mamadi Diakite,Raul Neto,Ricky Rubio,Robin Lopez,Sam Merrill,co_inf with Caris LeVert,co_inf with Cedi Osman,co_inf with Darius Garland,co_inf with Dean Wade,co_inf with Donovan Mitchell,co_inf with Dylan Windler,co_inf with Evan Mobley,co_inf with Isaac Okoro,co_inf with Jarrett Allen,co_inf with Kevin Love,co_inf with Lamar Stevens,co_inf with Mamadi Diakite,co_inf with Raul Neto,co_inf with Ricky Rubio,co_inf with Robin Lopez,co_inf with Sam Merrill,Shared Games with Danny Green,Danny Green,Dejounte Murray,co_inf with Danny Green,co_inf with Dejounte Murray,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,,2022-11-09,23-046,CLE,@,SAC,L (-7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,8,11,9,7,10,12,10,7,3,9,7,11,3,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.1081081081081081,0.1428571428571428,0.1304347826086956,0.1590909090909091,0.1470588235294117,0.0,0.1518987341772152,0.131578947368421,0.1029411764705882,0.0483870967741935,0.1451612903225806,0.3181818181818182,0.2291666666666666,0.0909090909090909,0.2702702702702703,0.0,1,11.0,74.0,0.0909090909090909,0.0,15,,71.0,4.733333333333333,0.0,92.3,6.153333333333333
11,12,,2022-11-11,23-048,CLE,@,GSW,L (-5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,8,11,9,7,10,12,10,7,3,9,7,11,3,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.1081081081081081,0.1428571428571428,0.1304347826086956,0.1590909090909091,0.1470588235294117,0.0,0.1518987341772152,0.131578947368421,0.1029411764705882,0.0483870967741935,0.1451612903225806,0.3181818181818182,0.2291666666666666,0.0909090909090909,0.2702702702702703,0.0,1,11.0,74.0,0.0909090909090909,0.0,15,,55.0,3.6666666666666665,0.0,71.9,4.793333333333334
12,13,,2022-11-13,23-050,CLE,,MIN,L (-5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,8,11,9,7,10,12,10,7,3,9,7,11,3,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.1081081081081081,0.1428571428571428,0.1304347826086956,0.1590909090909091,0.1470588235294117,0.0,0.1518987341772152,0.131578947368421,0.1029411764705882,0.0483870967741935,0.1451612903225806,0.3181818181818182,0.2291666666666666,0.0909090909090909,0.2702702702702703,0.0,1,11.0,74.0,0.0909090909090909,0.0,15,,62.0,4.133333333333334,0.0,94.4,6.293333333333334
13,14,2,2022-11-16,23-053,CLE,@,MIL,L (-15),0,4:57,1.0,2.0,.500,0.0,0.0,,0,0.0,,0.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,2.5,0,2.0,1.0,0.5,8,11,9,7,10,12,10,7,3,9,7,11,3,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.1081081081081081,0.1428571428571428,0.1304347826086956,0.1590909090909091,0.1470588235294117,0.0,0.1518987341772152,0.131578947368421,0.1029411764705882,0.0483870967741935,0.1451612903225806,0.3181818181818182,0.2291666666666666,0.0909090909090909,0.2702702702702703,0.0,1,11.0,74.0,0.0909090909090909,0.0,15,4.0,56.0,3.733333333333333,2.5,77.00000000000001,5.133333333333335
14,15,,2022-11-18,23-055,CLE,,CHO,W (+10),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,8,11,9,7,10,12,10,7,3,9,7,11,3,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.1081081081081081,0.1428571428571428,0.1304347826086956,0.1590909090909091,0.1470588235294117,0.0,0.1518987341772152,0.131578947368421,0.1029411764705882,0.0483870967741935,0.1451612903225806,0.3181818181818182,0.2291666666666666,0.0909090909090909,0.2702702702702703,0.0,1,11.0,74.0,0.0909090909090909,0.0,15,,78.0,5.2,0.0,100.5,6.7
15,16,3,2022-11-20,23-057,CLE,,MIA,W (+26),0,4:28,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,+4,0.0,0.0,,8,11,9,7,10,12,10,7,3,9,7,11,3,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.1081081081081081,0.1428571428571428,0.1304347826086956,0.1590909090909091,0.1470588235294117,0.0,0.1518987341772152,0.131578947368421,0.1029411764705882,0.0483870967741935,0.1451612903225806,0.3181818181818182,0.2291666666666666,0.0909090909090909,0.2702702702702703,0.0,1,11.0,74.0,0.0909090909090909,0.0,15,1.0,98.0,6.533333333333333,-0.0999999999999999,105.5,7.033333333333333
16,17,,2022-11-21,23-058,CLE,,ATL,W (+12),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,8,11,9,7,10,12,10,7,3,9,7,11,3,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.1081081081081081,0.1428571428571428,0.1304347826086956,0.1590909090909091,0.1470588235294117,0.0,0.1518987341772152,0.131578947368421,0.1029411764705882,0.0483870967741935,0.1451612903225806,0.3181818181818182,0.2291666666666666,0.0909090909090909,0.2702702702702703,0.0,1,11.0,74.0,0.0909090909090909,0.0,15,,81.0,5.4,0.0,102.9,6.86
17,18,4,2022-11-23,23-060,CLE,,POR,W (+18),0,1:34,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,+1,0.0,0.0,,8,11,9,7,10,12,10,7,3,9,7,11,3,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.1081081081081081,0.1428571428571428,0.1304347826086956,0.1590909090909091,0.1470588235294117,0.0,0.1518987341772152,0.131578947368421,0.1029411764705882,0.0483870967741935,0.1451612903225806,0.3181818181818182,0.2291666666666666,0.0909090909090909,0.2702702702702703,0.0,1,11.0,74.0,0.0909090909090909,0.0,15,1.0,76.0,5.066666666666666,0.3,95.5,6.366666666666666
18,19,5,2022-11-25,23-062,CLE,@,MIL,L (-15),0,3:03,1.0,2.0,.500,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,+7,2.0,1.0,0.5,8,11,9,7,10,12,10,7,3,9,7,11,3,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.1081081081081081,0.1428571428571428,0.1304347826086956,0.1590909090909091,0.1470588235294117,0.0,0.1518987341772152,0.131578947368421,0.1029411764705882,0.0483870967741935,0.1451612903225806,0.3181818181818182,0.2291666666666666,0.0909090909090909,0.2702702702702703,0.0,1,11.0,74.0,0.0909090909090909,0.0,15,0.0,61.0,4.066666666666666,1.0,90.4,6.026666666666667
19,20,6,2022-11-27,23-064,CLE,@,DET,W (+8),0,0:03,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,8,11,9,7,10,12,10,7,3,9,7,11,3,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.1081081081081081,0.1428571428571428,0.1304347826086956,0.1590909090909091,0.1470588235294117,0.0,0.1518987341772152,0.131578947368421,0.1029411764705882,0.0483870967741935,0.1451612903225806,0.3181818181818182,0.2291666666666666,0.0909090909090909,0.2702702702702703,0.0,1,11.0,74.0,0.0909090909090909,0.0,15,0.0,41.0,2.7333333333333334,0.0,62.9,4.193333333333333
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,8,11,9,7,10,12,10,7,3,9,7,11,3,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.1081081081081081,0.1428571428571428,0.1304347826086956,0.1590909090909091,0.1470588235294117,0.0,0.1518987341772152,0.131578947368421,0.1029411764705882,0.0483870967741935,0.1451612903225806,0.3181818181818182,0.2291666666666666,0.0909090909090909,0.2702702702702703,0.0,1,11.0,74.0,0.0909090909090909,0.0,15,,0.0,0.0,0.0,0.0,0.0
21,21,7,2022-11-28,23-065,CLE,@,TOR,L (-12),0,6:35,1.0,2.0,.500,0.0,0.0,,0,0.0,,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.6,+7,2.0,1.0,0.5,8,11,9,7,10,12,10,7,3,9,7,11,3,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.1081081081081081,0.1428571428571428,0.1304347826086956,0.1590909090909091,0.1470588235294117,0.0,0.1518987341772152,0.131578947368421,0.1029411764705882,0.0483870967741935,0.1451612903225806,0.3181818181818182,0.2291666666666666,0.0909090909090909,0.2702702702702703,0.0,1,11.0,74.0,0.0909090909090909,0.0,15,4.0,55.0,3.6666666666666665,2.6,65.6,4.373333333333333
22,22,,2022-11-30,23-067,CLE,,PHI,W (+28),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,8,11,9,7,10,12,10,7,3,9,7,11,3,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.1081081081081081,0.1428571428571428,0.1304347826086956,0.1590909090909091,0.1470588235294117,0.0,0.1518987341772152,0.131578947368421,0.1029411764705882,0.0483870967741935,0.1451612903225806,0.3181818181818182,0.2291666666666666,0.0909090909090909,0.2702702702702703,0.0,1,11.0,74.0,0.0909090909090909,0.0,15,,100.0,6.666666666666667,0.0,114.6,7.64
23,23,,2022-12-02,23-069,CLE,,ORL,W (+11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,8,11,9,7,10,12,10,7,3,9,7,11,3,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.1081081081081081,0.1428571428571428,0.1304347826086956,0.1590909090909091,0.1470588235294117,0.0,0.1518987341772152,0.131578947368421,0.1029411764705882,0.0483870967741935,0.1451612903225806,0.3181818181818182,0.2291666666666666,0.0909090909090909,0.2702702702702703,0.0,1,11.0,74.0,0.0909090909090909,0.0,15,,71.0,4.733333333333333,0.0,97.90000000000003,6.526666666666669
24,24,,2022-12-04,23-071,CLE,@,NYK,L (-11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,8,11,9,7,10,12,10,7,3,9,7,11,3,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.1081081081081081,0.1428571428571428,0.1304347826086956,0.1590909090909091,0.1470588235294117,0.0,0.1518987341772152,0.131578947368421,0.1029411764705882,0.0483870967741935,0.1451612903225806,0.3181818181818182,0.2291666666666666,0.0909090909090909,0.2702702702702703,0.0,1,11.0,74.0,0.0909090909090909,0.0,15,,38.0,2.533333333333333,0.0,57.3,3.82
25,25,,2022-12-06,23-073,CLE,,LAL,W (+14),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,8,11,9,7,10,12,10,7,3,9,7,11,3,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.1081081081081081,0.1428571428571428,0.1304347826086956,0.1590909090909091,0.1470588235294117,0.0,0.1518987341772152,0.131578947368421,0.1029411764705882,0.0483870967741935,0.1451612903225806,0.3181818181818182,0.2291666666666666,0.0909090909090909,0.2702702702702703,0.0,1,11.0,74.0,0.0909090909090909,0.0,15,,81.0,5.4,0.0,97.60000000000002,6.506666666666669
26,26,,2022-12-09,23-076,CLE,,SAC,L (-11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,8,11,9,7,10,12,10,7,3,9,7,11,3,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.1081081081081081,0.1428571428571428,0.1304347826086956,0.1590909090909091,0.1470588235294117,0.0,0.1518987341772152,0.131578947368421,0.1029411764705882,0.0483870967741935,0.1451612903225806,0.3181818181818182,0.2291666666666666,0.0909090909090909,0.2702702702702703,0.0,1,11.0,74.0,0.0909090909090909,0.0,15,,42.0,2.8,0.0,54.1,3.606666666666667
27,27,,2022-12-10,23-077,CLE,,OKC,W (+8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,8,11,9,7,10,12,10,7,3,9,7,11,3,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.1081081081081081,0.1428571428571428,0.1304347826086956,0.1590909090909091,0.1470588235294117,0.0,0.1518987341772152,0.131578947368421,0.1029411764705882,0.0483870967741935,0.1451612903225806,0.3181818181818182,0.2291666666666666,0.0909090909090909,0.2702702702702703,0.0,1,11.0,74.0,0.0909090909090909,0.0,15,,71.0,4.733333333333333,0.0,84.99999999999999,5.666666666666666
28,28,,2022-12-12,23-079,CLE,@,SAS,L (-1),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,8,11,9,7,10,12,10,7,3,9,7,11,3,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.1081081081081081,0.1428571428571428,0.1304347826086956,0.1590909090909091,0.1470588235294117,0.0,0.1518987341772152,0.131578947368421,0.1029411764705882,0.0483870967741935,0.1451612903225806,0.3181818181818182,0.2291666666666666,0.0909090909090909,0.2702702702702703,0.0,1,11.0,74.0,0.0909090909090909,0.0,15,,64.0,4.266666666666667,0.0,80.10000000000001,5.340000000000001
29,29,8,2022-12-14,23-081,CLE,@,DAL,W (+15),0,1:16,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,8,11,9,7,10,12,10,7,3,9,7,11,3,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.1081081081081081,0.1428571428571428,0.1304347826086956,0.1590909090909091,0.1470588235294117,0.0,0.1518987341772152,0.131578947368421,0.1029411764705882,0.0483870967741935,0.1451612903225806,0.3181818181818182,0.2291666666666666,0.0909090909090909,0.2702702702702703,0.0,1,11.0,74.0,0.0909090909090909,0.0,15,0.0,71.0,4.733333333333333,0.0,83.8,5.586666666666667
