Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Caris LeVert,Shared Games with Cedi Osman,Shared Games with Darius Garland,Shared Games with Dean Wade,Shared Games with Donovan Mitchell,Shared Games with Dylan Windler,Shared Games with Evan Mobley,Shared Games with Isaac Okoro,Shared Games with Isaiah Mobley,Shared Games with Jarrett Allen,Shared Games with Kevin Love,Shared Games with Lamar Stevens,Shared Games with Mamadi Diakite,Shared Games with Raul Neto,Shared Games with Robin Lopez,Caris LeVert,Cedi Osman,Darius Garland,Dean Wade,Donovan Mitchell,Dylan Windler,Evan Mobley,Isaac Okoro,Isaiah Mobley,Jarrett Allen,Kevin Love,Lamar Stevens,Mamadi Diakite,Raul Neto,Robin Lopez,Sam Merrill,co_inf with Caris LeVert,co_inf with Cedi Osman,co_inf with Darius Garland,co_inf with Dean Wade,co_inf with Donovan Mitchell,co_inf with Dylan Windler,co_inf with Evan Mobley,co_inf with Isaac Okoro,co_inf with Isaiah Mobley,co_inf with Jarrett Allen,co_inf with Kevin Love,co_inf with Lamar Stevens,co_inf with Mamadi Diakite,co_inf with Raul Neto,co_inf with Robin Lopez,co_inf with Sam Merrill,Shared Games with Danny Green,Danny Green,Dejounte Murray,co_inf with Danny Green,co_inf with Dejounte Murray,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
53,52,8,2023-01-29,32-100,CLE,,LAC,W (+23),0,19:07,1.0,5.0,.200,1.0,3.0,.333,0,0.0,,0.0,3.0,3.0,4.0,1.0,0.0,0.0,1.0,3.0,4.2,-10,2.0,0.0,0.0,29,31,29,22,26,3,32,27,3,27,6,29,7,14,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,37.0,5.0,0.3918918918918919,0.4025974025974026,0.4202898550724637,0.5,0.3823529411764705,1.0,0.4050632911392405,0.3552631578947368,0.25,0.3970588235294117,0.0967741935483871,0.4677419354838709,0.3181818181818182,0.2916666666666667,0.2702702702702703,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,6.0,113.0,7.0625,4.199999999999999,123.6,7.725
54,53,9,2023-01-31,32-102,CLE,,MIA,L (-3),0,17:16,3.0,6.0,.500,2.0,4.0,.500,0,2.0,.000,0.0,5.0,5.0,5.0,1.0,0.0,1.0,1.0,8.0,8.8,+6,2.0,1.0,0.5,29,31,29,22,26,3,32,27,3,27,6,29,7,14,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,37.0,5.0,0.3918918918918919,0.4025974025974026,0.4202898550724637,0.5,0.3823529411764705,1.0,0.4050632911392405,0.3552631578947368,0.25,0.3970588235294117,0.0967741935483871,0.4677419354838709,0.3181818181818182,0.2916666666666667,0.2702702702702703,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,10.0,74.0,4.625,8.799999999999999,81.89999999999999,5.1187499999999995
55,54,10,2023-02-02,32-104,CLE,,MEM,W (+15),0,21:01,4.0,9.0,.444,3.0,6.0,.500,2,2.0,1.000,0.0,2.0,2.0,4.0,2.0,1.0,2.0,1.0,13.0,12.0,+15,3.0,1.0,0.3333333333333333,29,31,29,22,26,3,32,27,3,27,6,29,7,14,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,37.0,5.0,0.3918918918918919,0.4025974025974026,0.4202898550724637,0.5,0.3823529411764705,1.0,0.4050632911392405,0.3552631578947368,0.25,0.3970588235294117,0.0967741935483871,0.4677419354838709,0.3181818181818182,0.2916666666666667,0.2702702702702703,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,9.0,96.0,6.0,11.199999999999998,118.3,7.39375
56,55,11,2023-02-05,32-107,CLE,@,IND,W (+19),0,19:55,3.0,7.0,.429,1.0,3.0,.333,0,0.0,,0.0,3.0,3.0,9.0,0.0,0.0,1.0,3.0,7.0,8.3,+8,4.0,2.0,0.5,29,31,29,22,26,3,32,27,3,27,6,29,7,14,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,37.0,5.0,0.3918918918918919,0.4025974025974026,0.4202898550724637,0.5,0.3823529411764705,1.0,0.4050632911392405,0.3552631578947368,0.25,0.3970588235294117,0.0967741935483871,0.4677419354838709,0.3181818181818182,0.2916666666666667,0.2702702702702703,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,11.0,98.0,6.125,8.3,108.6,6.7875
57,56,,2023-02-06,32-108,CLE,@,WAS,W (+23),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,29,31,29,22,26,3,32,27,3,27,6,29,7,14,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,37.0,5.0,0.3918918918918919,0.4025974025974026,0.4202898550724637,0.5,0.3823529411764705,1.0,0.4050632911392405,0.3552631578947368,0.25,0.3970588235294117,0.0967741935483871,0.4677419354838709,0.3181818181818182,0.2916666666666667,0.2702702702702703,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,,98.0,6.125,0.0,109.80000000000004,6.8625000000000025
58,57,12,2023-02-08,32-110,CLE,,DET,W (+28),0,16:20,3.0,6.0,.500,0.0,3.0,.000,2,2.0,1.000,0.0,2.0,2.0,4.0,2.0,0.0,1.0,1.0,8.0,9.0,+11,3.0,3.0,1.0,29,31,29,22,26,3,32,27,3,27,6,29,7,14,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,37.0,5.0,0.3918918918918919,0.4025974025974026,0.4202898550724637,0.5,0.3823529411764705,1.0,0.4050632911392405,0.3552631578947368,0.25,0.3970588235294117,0.0967741935483871,0.4677419354838709,0.3181818181818182,0.2916666666666667,0.2702702702702703,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,7.0,86.0,5.375,8.199999999999998,99.5,6.21875
59,58,,2023-02-10,32-112,CLE,@,NOP,W (+11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,29,31,29,22,26,3,32,27,3,27,6,29,7,14,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,37.0,5.0,0.3918918918918919,0.4025974025974026,0.4202898550724637,0.5,0.3823529411764705,1.0,0.4050632911392405,0.3552631578947368,0.25,0.3970588235294117,0.0967741935483871,0.4677419354838709,0.3181818181818182,0.2916666666666667,0.2702702702702703,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,,104.0,6.5,0.0,119.0,7.4375
60,59,13,2023-02-11,32-113,CLE,,CHI,W (+8),0,16:51,0.0,6.0,.000,0.0,5.0,.000,0,0.0,,0.0,1.0,1.0,5.0,3.0,1.0,1.0,0.0,0.0,2.3,+14,1.0,0.0,0.0,29,31,29,22,26,3,32,27,3,27,6,29,7,14,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,37.0,5.0,0.3918918918918919,0.4025974025974026,0.4202898550724637,0.5,0.3823529411764705,1.0,0.4050632911392405,0.3552631578947368,0.25,0.3970588235294117,0.0967741935483871,0.4677419354838709,0.3181818181818182,0.2916666666666667,0.2702702702702703,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,3.0,56.0,3.5,2.3000000000000007,70.89999999999999,4.4312499999999995
61,60,14,2023-02-13,32-115,CLE,,SAS,W (+8),0,22:50,1.0,3.0,.333,0.0,1.0,.000,7,8.0,.875,1.0,2.0,3.0,2.0,2.0,0.0,0.0,1.0,9.0,11.2,+1,2.0,1.0,0.5,29,31,29,22,26,3,32,27,3,27,6,29,7,14,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,37.0,5.0,0.3918918918918919,0.4025974025974026,0.4202898550724637,0.5,0.3823529411764705,1.0,0.4050632911392405,0.3552631578947368,0.25,0.3970588235294117,0.0967741935483871,0.4677419354838709,0.3181818181818182,0.2916666666666667,0.2702702702702703,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,5.0,86.0,5.375,8.4,105.3,6.58125
62,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,29,31,29,22,26,3,32,27,3,27,6,29,7,14,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,37.0,5.0,0.3918918918918919,0.4025974025974026,0.4202898550724637,0.5,0.3823529411764705,1.0,0.4050632911392405,0.3552631578947368,0.25,0.3970588235294117,0.0967741935483871,0.4677419354838709,0.3181818181818182,0.2916666666666667,0.2702702702702703,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,,0.0,0.0,0.0,0.0,0.0
63,61,,2023-02-15,32-117,CLE,@,PHI,L (-6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,29,31,29,22,26,3,32,27,3,27,6,29,7,14,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,37.0,5.0,0.3918918918918919,0.4025974025974026,0.4202898550724637,0.5,0.3823529411764705,1.0,0.4050632911392405,0.3552631578947368,0.25,0.3970588235294117,0.0967741935483871,0.4677419354838709,0.3181818181818182,0.2916666666666667,0.2702702702702703,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,,83.0,5.1875,0.0,112.00000000000004,7.000000000000003
64,62,,2023-02-23,32-125,CLE,,DEN,L (-6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,29,31,29,22,26,3,32,27,3,27,6,29,7,14,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,37.0,5.0,0.3918918918918919,0.4025974025974026,0.4202898550724637,0.5,0.3823529411764705,1.0,0.4050632911392405,0.3552631578947368,0.25,0.3970588235294117,0.0967741935483871,0.4677419354838709,0.3181818181818182,0.2916666666666667,0.2702702702702703,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,,69.0,4.3125,0.0,90.8,5.675
65,63,15,2023-02-24,32-126,CLE,@,ATL,L (-17),0,11:56,1.0,4.0,.250,0.0,1.0,.000,0,0.0,,1.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,2.3,-10,3.0,1.0,0.3333333333333333,29,31,29,22,26,3,32,27,3,27,6,29,7,14,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,37.0,5.0,0.3918918918918919,0.4025974025974026,0.4202898550724637,0.5,0.3823529411764705,1.0,0.4050632911392405,0.3552631578947368,0.25,0.3970588235294117,0.0967741935483871,0.4677419354838709,0.3181818181818182,0.2916666666666667,0.2702702702702703,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,2.0,83.0,5.1875,2.3000000000000003,114.1,7.13125
66,64,16,2023-02-26,32-128,CLE,,TOR,W (+25),0,19:46,0.0,5.0,.000,0.0,2.0,.000,0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,2.0,4.0,0.0,-5.1,+7,3.0,0.0,0.0,29,31,29,22,26,3,32,27,3,27,6,29,7,14,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,37.0,5.0,0.3918918918918919,0.4025974025974026,0.4202898550724637,0.5,0.3823529411764705,1.0,0.4050632911392405,0.3552631578947368,0.25,0.3970588235294117,0.0967741935483871,0.4677419354838709,0.3181818181818182,0.2916666666666667,0.2702702702702703,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,-4.0,98.0,6.125,-5.1,107.1,6.69375
67,65,17,2023-03-01,32-131,CLE,@,BOS,L (-4),0,7:29,1.0,1.0,1.000,1.0,1.0,1.000,1,2.0,.500,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,5.3,0,0.0,0.0,,29,31,29,22,26,3,32,27,3,27,6,29,7,14,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,37.0,5.0,0.3918918918918919,0.4025974025974026,0.4202898550724637,0.5,0.3823529411764705,1.0,0.4050632911392405,0.3552631578947368,0.25,0.3970588235294117,0.0967741935483871,0.4677419354838709,0.3181818181818182,0.2916666666666667,0.2702702702702703,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,5.0,75.0,4.6875,4.9,101.20000000000002,6.325000000000001
68,66,18,2023-03-04,32-134,CLE,,DET,W (+24),0,19:50,2.0,5.0,.400,1.0,2.0,.500,0,0.0,,2.0,3.0,5.0,3.0,2.0,2.0,0.0,1.0,5.0,9.7,+10,3.0,1.0,0.3333333333333333,29,31,29,22,26,3,32,27,3,27,6,29,7,14,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,37.0,5.0,0.3918918918918919,0.4025974025974026,0.4202898550724637,0.5,0.3823529411764705,1.0,0.4050632911392405,0.3552631578947368,0.25,0.3970588235294117,0.0967741935483871,0.4677419354838709,0.3181818181818182,0.2916666666666667,0.2702702702702703,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,12.0,77.0,4.8125,9.7,94.59999999999998,5.912499999999999
69,67,19,2023-03-06,32-136,CLE,,BOS,W (+4),0,6:59,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,-1.3,-6,1.0,1.0,1.0,29,31,29,22,26,3,32,27,3,27,6,29,7,14,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,37.0,5.0,0.3918918918918919,0.4025974025974026,0.4202898550724637,0.5,0.3823529411764705,1.0,0.4050632911392405,0.3552631578947368,0.25,0.3970588235294117,0.0967741935483871,0.4677419354838709,0.3181818181818182,0.2916666666666667,0.2702702702702703,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,-2.0,90.0,5.625,-1.3,101.7,6.35625
70,68,20,2023-03-08,32-138,CLE,@,MIA,W (+4),0,22:54,2.0,7.0,.286,1.0,2.0,.500,0,0.0,,0.0,0.0,0.0,4.0,2.0,0.0,1.0,2.0,5.0,3.9,0,5.0,1.0,0.2,29,31,29,22,26,3,32,27,3,27,6,29,7,14,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,37.0,5.0,0.3918918918918919,0.4025974025974026,0.4202898550724637,0.5,0.3823529411764705,1.0,0.4050632911392405,0.3552631578947368,0.25,0.3970588235294117,0.0967741935483871,0.4677419354838709,0.3181818181818182,0.2916666666666667,0.2702702702702703,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,3.0,64.0,4.0,3.9,81.8,5.1125
71,69,21,2023-03-10,32-140,CLE,@,MIA,L (-4),0,25:10,3.0,8.0,.375,2.0,7.0,.286,0,0.0,,0.0,3.0,3.0,8.0,0.0,0.0,3.0,3.0,8.0,5.9,-8,1.0,1.0,1.0,29,31,29,22,26,3,32,27,3,27,6,29,7,14,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,37.0,5.0,0.3918918918918919,0.4025974025974026,0.4202898550724637,0.5,0.3823529411764705,1.0,0.4050632911392405,0.3552631578947368,0.25,0.3970588235294117,0.0967741935483871,0.4677419354838709,0.3181818181818182,0.2916666666666667,0.2702702702702703,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,8.0,57.0,3.5625,5.899999999999999,78.0,4.875
72,70,22,2023-03-12,32-142,CLE,@,CHO,W (+6),0,19:42,4.0,7.0,.571,0.0,1.0,.000,3,3.0,1.000,0.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,11.0,8.3,+17,6.0,4.0,0.6666666666666666,29,31,29,22,26,3,32,27,3,27,6,29,7,14,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,37.0,5.0,0.3918918918918919,0.4025974025974026,0.4202898550724637,0.5,0.3823529411764705,1.0,0.4050632911392405,0.3552631578947368,0.25,0.3970588235294117,0.0967741935483871,0.4677419354838709,0.3181818181818182,0.2916666666666667,0.2702702702702703,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,4.0,56.0,3.5,7.100000000000001,77.30000000000001,4.831250000000001
73,71,23,2023-03-14,32-144,CLE,@,CHO,W (+16),0,20:41,5.0,11.0,.455,0.0,2.0,.000,1,1.0,1.000,0.0,5.0,5.0,4.0,0.0,1.0,3.0,3.0,11.0,6.1,+8,9.0,5.0,0.5555555555555556,29,31,29,22,26,3,32,27,3,27,6,29,7,14,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,37.0,5.0,0.3918918918918919,0.4025974025974026,0.4202898550724637,0.5,0.3823529411764705,1.0,0.4050632911392405,0.3552631578947368,0.25,0.3970588235294117,0.0967741935483871,0.4677419354838709,0.3181818181818182,0.2916666666666667,0.2702702702702703,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,6.0,79.0,4.9375,5.699999999999999,105.6,6.6
74,72,,2023-03-15,32-145,CLE,,PHI,L (-9),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,29,31,29,22,26,3,32,27,3,27,6,29,7,14,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,37.0,5.0,0.3918918918918919,0.4025974025974026,0.4202898550724637,0.5,0.3823529411764705,1.0,0.4050632911392405,0.3552631578947368,0.25,0.3970588235294117,0.0967741935483871,0.4677419354838709,0.3181818181818182,0.2916666666666667,0.2702702702702703,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,,55.0,3.4375,0.0,77.6,4.85
75,73,24,2023-03-17,32-147,CLE,,WAS,W (+23),0,21:13,3.0,4.0,.750,0.0,0.0,,2,3.0,.667,1.0,2.0,3.0,5.0,0.0,0.0,0.0,1.0,8.0,10.4,+15,4.0,3.0,0.75,29,31,29,22,26,3,32,27,3,27,6,29,7,14,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,37.0,5.0,0.3918918918918919,0.4025974025974026,0.4202898550724637,0.5,0.3823529411764705,1.0,0.4050632911392405,0.3552631578947368,0.25,0.3970588235294117,0.0967741935483871,0.4677419354838709,0.3181818181818182,0.2916666666666667,0.2702702702702703,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,9.0,77.0,4.8125,9.6,89.8,5.6125
76,74,25,2023-03-21,32-151,CLE,@,BRK,W (+6),0,19:23,3.0,6.0,.500,0.0,2.0,.000,2,2.0,1.000,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,8.0,5.3,-4,4.0,3.0,0.75,29,31,29,22,26,3,32,27,3,27,6,29,7,14,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,37.0,5.0,0.3918918918918919,0.4025974025974026,0.4202898550724637,0.5,0.3823529411764705,1.0,0.4050632911392405,0.3552631578947368,0.25,0.3970588235294117,0.0967741935483871,0.4677419354838709,0.3181818181818182,0.2916666666666667,0.2702702702702703,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,1.0,74.0,4.625,4.499999999999999,94.30000000000004,5.8937500000000025
77,75,26,2023-03-23,32-153,CLE,@,BRK,W (+2),0,19:39,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,3.4,-6,0.0,0.0,,29,31,29,22,26,3,32,27,3,27,6,29,7,14,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,37.0,5.0,0.3918918918918919,0.4025974025974026,0.4202898550724637,0.5,0.3823529411764705,1.0,0.4050632911392405,0.3552631578947368,0.25,0.3970588235294117,0.0967741935483871,0.4677419354838709,0.3181818181818182,0.2916666666666667,0.2702702702702703,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,6.0,67.0,4.1875,3.3999999999999995,93.4,5.8375
78,76,27,2023-03-26,32-156,CLE,,HOU,W (+17),0,15:31,0.0,4.0,.000,0.0,2.0,.000,2,2.0,1.000,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,0.5,-11,2.0,0.0,0.0,29,31,29,22,26,3,32,27,3,27,6,29,7,14,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,37.0,5.0,0.3918918918918919,0.4025974025974026,0.4202898550724637,0.5,0.3823529411764705,1.0,0.4050632911392405,0.3552631578947368,0.25,0.3970588235294117,0.0967741935483871,0.4677419354838709,0.3181818181818182,0.2916666666666667,0.2702702702702703,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,-1.0,94.0,5.875,-0.3000000000000006,125.1,7.81875
79,77,28,2023-03-28,32-158,CLE,@,ATL,L (-2),0,19:13,4.0,7.0,.571,1.0,2.0,.500,0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,1.0,4.0,9.0,4.4,-5,5.0,3.0,0.6,29,31,29,22,26,3,32,27,3,27,6,29,7,14,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,37.0,5.0,0.3918918918918919,0.4025974025974026,0.4202898550724637,0.5,0.3823529411764705,1.0,0.4050632911392405,0.3552631578947368,0.25,0.3970588235294117,0.0967741935483871,0.4677419354838709,0.3181818181818182,0.2916666666666667,0.2702702702702703,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,4.0,80.0,5.0,4.399999999999999,103.60000000000002,6.475000000000001
80,78,29,2023-03-31,32-161,CLE,,NYK,L (-14),0,9:22,1.0,3.0,.333,0.0,2.0,.000,0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.9,-8,1.0,1.0,1.0,29,31,29,22,26,3,32,27,3,27,6,29,7,14,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,37.0,5.0,0.3918918918918919,0.4025974025974026,0.4202898550724637,0.5,0.3823529411764705,1.0,0.4050632911392405,0.3552631578947368,0.25,0.3970588235294117,0.0967741935483871,0.4677419354838709,0.3181818181818182,0.2916666666666667,0.2702702702702703,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,1.0,93.0,5.8125,0.9000000000000001,106.0,6.625
81,79,30,2023-04-02,32-163,CLE,,IND,W (+10),0,14:03,0.0,1.0,.000,0.0,0.0,,0,0.0,,0.0,1.0,1.0,5.0,1.0,0.0,1.0,2.0,0.0,2.3,+1,1.0,0.0,0.0,29,31,29,22,26,3,32,27,3,27,6,29,7,14,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,37.0,5.0,0.3918918918918919,0.4025974025974026,0.4202898550724637,0.5,0.3823529411764705,1.0,0.4050632911392405,0.3552631578947368,0.25,0.3970588235294117,0.0967741935483871,0.4677419354838709,0.3181818181818182,0.2916666666666667,0.2702702702702703,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,5.0,77.0,4.8125,2.3,100.9,6.30625
82,80,31,2023-04-04,32-165,CLE,@,ORL,W (+4),0,11:16,1.0,6.0,.167,1.0,3.0,.333,0,0.0,,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,3.0,1.6,-9,3.0,0.0,0.0,29,31,29,22,26,3,32,27,3,27,6,29,7,14,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,37.0,5.0,0.3918918918918919,0.4025974025974026,0.4202898550724637,0.5,0.3823529411764705,1.0,0.4050632911392405,0.3552631578947368,0.25,0.3970588235294117,0.0967741935483871,0.4677419354838709,0.3181818181818182,0.2916666666666667,0.2702702702702703,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,1.0,78.0,4.875,1.600000000000001,99.8,6.2375
83,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,29,31,29,22,26,3,32,27,3,27,6,29,7,14,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,37.0,5.0,0.3918918918918919,0.4025974025974026,0.4202898550724637,0.5,0.3823529411764705,1.0,0.4050632911392405,0.3552631578947368,0.25,0.3970588235294117,0.0967741935483871,0.4677419354838709,0.3181818181818182,0.2916666666666667,0.2702702702702703,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,,0.0,0.0,0.0,0.0,0.0
84,81,32,2023-04-06,32-167,CLE,@,ORL,W (+24),1,20:28,2.0,7.0,.286,1.0,2.0,.500,0,0.0,,0.0,2.0,2.0,5.0,1.0,0.0,0.0,2.0,5.0,5.2,+15,5.0,1.0,0.2,29,31,29,22,26,3,32,27,3,27,6,29,7,14,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,37.0,5.0,0.3918918918918919,0.4025974025974026,0.4202898550724637,0.5,0.3823529411764705,1.0,0.4050632911392405,0.3552631578947368,0.25,0.3970588235294117,0.0967741935483871,0.4677419354838709,0.3181818181818182,0.2916666666666667,0.2702702702702703,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,6.0,61.0,3.8125,5.199999999999999,66.60000000000001,4.1625000000000005
85,82,33,2023-04-09,32-170,CLE,,CHO,L (-11),1,26:24,2.0,11.0,.182,0.0,4.0,.000,2,2.0,1.000,1.0,4.0,5.0,7.0,0.0,0.0,3.0,1.0,6.0,2.5,+1,7.0,2.0,0.2857142857142857,29,31,29,22,26,3,32,27,3,27,6,29,7,14,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,37.0,5.0,0.3918918918918919,0.4025974025974026,0.4202898550724637,0.5,0.3823529411764705,1.0,0.4050632911392405,0.3552631578947368,0.25,0.3970588235294117,0.0967741935483871,0.4677419354838709,0.3181818181818182,0.2916666666666667,0.2702702702702703,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,2.0,55.0,3.4375,1.6999999999999984,60.39999999999999,3.7749999999999995
