Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Caris LeVert,Shared Games with Cedi Osman,Shared Games with Darius Garland,Shared Games with Dean Wade,Shared Games with Dylan Windler,Shared Games with Evan Mobley,Shared Games with Isaac Okoro,Shared Games with Isaiah Mobley,Shared Games with Jarrett Allen,Shared Games with Kevin Love,Shared Games with Lamar Stevens,Shared Games with Mamadi Diakite,Shared Games with Raul Neto,Shared Games with Ricky Rubio,Shared Games with Robin Lopez,Caris LeVert,Cedi Osman,Darius Garland,Dean Wade,Dylan Windler,Evan Mobley,Isaac Okoro,Isaiah Mobley,Jarrett Allen,Kevin Love,Lamar Stevens,Mamadi Diakite,Raul Neto,Ricky Rubio,Robin Lopez,Sam Merrill,co_inf with Caris LeVert,co_inf with Cedi Osman,co_inf with Darius Garland,co_inf with Dean Wade,co_inf with Dylan Windler,co_inf with Evan Mobley,co_inf with Isaac Okoro,co_inf with Isaiah Mobley,co_inf with Jarrett Allen,co_inf with Kevin Love,co_inf with Lamar Stevens,co_inf with Mamadi Diakite,co_inf with Raul Neto,co_inf with Ricky Rubio,co_inf with Robin Lopez,co_inf with Sam Merrill,Shared Games with Danny Green,Danny Green,Dejounte Murray,co_inf with Danny Green,co_inf with Dejounte Murray,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,10,2022-11-09,26-063,CLE,@,SAC,L (-7),1,38:59,16.0,28.0,.571,6.0,14.0,.429,0,0.0,,3.0,2.0,5.0,4.0,1.0,0.0,3.0,3.0,38.0,27.1,-8,14.0,10.0,0.7142857142857143,62,63,59,36,2,66,64,10,57,35,48,17,35,26,30,74.0,77.0,69.0,44.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8378378378378378,0.8181818181818182,0.855072463768116,0.8181818181818182,0.6666666666666666,0.8354430379746836,0.8421052631578947,0.8333333333333334,0.8382352941176471,0.5645161290322581,0.7741935483870968,0.7727272727272727,0.7291666666666666,0.7878787878787878,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,17.0,54.0,3.375,27.1,65.19999999999999,4.074999999999999
11,12,11,2022-11-11,26-065,CLE,@,GSW,L (-5),1,37:16,10.0,20.0,.500,3.0,10.0,.300,6,6.0,1.000,0.0,10.0,10.0,9.0,2.0,1.0,3.0,0.0,29.0,28.0,+7,10.0,7.0,0.7,62,63,59,36,2,66,64,10,57,35,48,17,35,26,30,74.0,77.0,69.0,44.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8378378378378378,0.8181818181818182,0.855072463768116,0.8181818181818182,0.6666666666666666,0.8354430379746836,0.8421052631578947,0.8333333333333334,0.8382352941176471,0.5645161290322581,0.7741935483870968,0.7727272727272727,0.7291666666666666,0.7878787878787878,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,22.0,33.0,2.0625,25.6,46.3,2.89375
12,13,,2022-11-13,26-067,CLE,,MIN,L (-5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,62,63,59,36,2,66,64,10,57,35,48,17,35,26,30,74.0,77.0,69.0,44.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8378378378378378,0.8181818181818182,0.855072463768116,0.8181818181818182,0.6666666666666666,0.8354430379746836,0.8421052631578947,0.8333333333333334,0.8382352941176471,0.5645161290322581,0.7741935483870968,0.7727272727272727,0.7291666666666666,0.7878787878787878,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,,62.0,3.875,0.0,94.4,5.9
13,14,12,2022-11-16,26-070,CLE,@,MIL,L (-15),1,34:26,7.0,19.0,.368,3.0,9.0,.333,6,6.0,1.000,0.0,2.0,2.0,3.0,2.0,0.0,2.0,1.0,23.0,14.8,-17,10.0,4.0,0.4,62,63,59,36,2,66,64,10,57,35,48,17,35,26,30,74.0,77.0,69.0,44.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8378378378378378,0.8181818181818182,0.855072463768116,0.8181818181818182,0.6666666666666666,0.8354430379746836,0.8421052631578947,0.8333333333333334,0.8382352941176471,0.5645161290322581,0.7741935483870968,0.7727272727272727,0.7291666666666666,0.7878787878787878,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,3.0,57.0,3.5625,12.400000000000002,67.1,4.19375
14,15,13,2022-11-18,26-072,CLE,,CHO,W (+10),1,43:34,11.0,22.0,.500,2.0,9.0,.222,10,11.0,.909,1.0,3.0,4.0,6.0,1.0,0.0,6.0,2.0,34.0,22.6,+10,13.0,9.0,0.6923076923076923,62,63,59,36,2,66,64,10,57,35,48,17,35,26,30,74.0,77.0,69.0,44.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8378378378378378,0.8181818181818182,0.855072463768116,0.8181818181818182,0.6666666666666666,0.8354430379746836,0.8421052631578947,0.8333333333333334,0.8382352941176471,0.5645161290322581,0.7741935483870968,0.7727272727272727,0.7291666666666666,0.7878787878787878,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,6.0,72.0,4.5,18.600000000000005,81.89999999999999,5.1187499999999995
15,16,14,2022-11-20,26-074,CLE,,MIA,W (+26),1,26:47,5.0,12.0,.417,2.0,7.0,.286,1,2.0,.500,1.0,2.0,3.0,5.0,2.0,0.0,1.0,4.0,13.0,10.4,+15,5.0,3.0,0.6,62,63,59,36,2,66,64,10,57,35,48,17,35,26,30,74.0,77.0,69.0,44.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8378378378378378,0.8181818181818182,0.855072463768116,0.8181818181818182,0.6666666666666666,0.8354430379746836,0.8421052631578947,0.8333333333333334,0.8382352941176471,0.5645161290322581,0.7741935483870968,0.7727272727272727,0.7291666666666666,0.7878787878787878,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,8.0,91.0,5.6875,10.000000000000002,95.4,5.9625
16,17,15,2022-11-21,26-075,CLE,,ATL,W (+12),1,38:39,11.0,22.0,.500,4.0,8.0,.500,3,4.0,.750,0.0,4.0,4.0,9.0,3.0,0.0,3.0,2.0,29.0,24.3,+14,14.0,7.0,0.5,62,63,59,36,2,66,64,10,57,35,48,17,35,26,30,74.0,77.0,69.0,44.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8378378378378378,0.8181818181818182,0.855072463768116,0.8181818181818182,0.6666666666666666,0.8354430379746836,0.8421052631578947,0.8333333333333334,0.8382352941176471,0.5645161290322581,0.7741935483870968,0.7727272727272727,0.7291666666666666,0.7878787878787878,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,16.0,65.0,4.0625,23.1,79.79999999999998,4.987499999999999
17,18,16,2022-11-23,26-077,CLE,,POR,W (+18),1,31:23,11.0,18.0,.611,6.0,10.0,.600,6,7.0,.857,0.0,2.0,2.0,1.0,2.0,0.0,4.0,1.0,34.0,24.3,-5,8.0,5.0,0.625,62,63,59,36,2,66,64,10,57,35,48,17,35,26,30,74.0,77.0,69.0,44.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8378378378378378,0.8181818181818182,0.855072463768116,0.8181818181818182,0.6666666666666666,0.8354430379746836,0.8421052631578947,0.8333333333333334,0.8382352941176471,0.5645161290322581,0.7741935483870968,0.7727272727272727,0.7291666666666666,0.7878787878787878,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,10.0,67.0,4.1875,21.9,73.9,4.61875
18,19,17,2022-11-25,26-079,CLE,@,MIL,L (-15),1,32:21,11.0,24.0,.458,5.0,11.0,.455,2,2.0,1.000,2.0,1.0,3.0,1.0,1.0,0.0,2.0,2.0,29.0,17.2,-20,13.0,6.0,0.4615384615384615,62,63,59,36,2,66,64,10,57,35,48,17,35,26,30,74.0,77.0,69.0,44.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8378378378378378,0.8181818181818182,0.855072463768116,0.8181818181818182,0.6666666666666666,0.8354430379746836,0.8421052631578947,0.8333333333333334,0.8382352941176471,0.5645161290322581,0.7741935483870968,0.7727272727272727,0.7291666666666666,0.7878787878787878,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,6.0,55.0,3.4375,16.4,75.0,4.6875
19,20,18,2022-11-27,26-081,CLE,@,DET,W (+8),1,38:39,9.0,23.0,.391,2.0,8.0,.250,12,13.0,.923,1.0,4.0,5.0,1.0,1.0,0.0,3.0,2.0,32.0,18.9,+11,15.0,7.0,0.4666666666666667,62,63,59,36,2,66,64,10,57,35,48,17,35,26,30,74.0,77.0,69.0,44.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8378378378378378,0.8181818181818182,0.855072463768116,0.8181818181818182,0.6666666666666666,0.8354430379746836,0.8421052631578947,0.8333333333333334,0.8382352941176471,0.5645161290322581,0.7741935483870968,0.7727272727272727,0.7291666666666666,0.7878787878787878,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,0.0,41.0,2.5625,14.100000000000012,48.79999999999999,3.0499999999999994
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,62,63,59,36,2,66,64,10,57,35,48,17,35,26,30,74.0,77.0,69.0,44.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8378378378378378,0.8181818181818182,0.855072463768116,0.8181818181818182,0.6666666666666666,0.8354430379746836,0.8421052631578947,0.8333333333333334,0.8382352941176471,0.5645161290322581,0.7741935483870968,0.7727272727272727,0.7291666666666666,0.7878787878787878,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,,0.0,0.0,0.0,0.0,0.0
21,21,19,2022-11-28,26-082,CLE,@,TOR,L (-12),1,25:28,3.0,11.0,.273,1.0,5.0,.200,1,1.0,1.000,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,8.0,2.8,-21,6.0,2.0,0.3333333333333333,62,63,59,36,2,66,64,10,57,35,48,17,35,26,30,74.0,77.0,69.0,44.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8378378378378378,0.8181818181818182,0.855072463768116,0.8181818181818182,0.6666666666666666,0.8354430379746836,0.8421052631578947,0.8333333333333334,0.8382352941176471,0.5645161290322581,0.7741935483870968,0.7727272727272727,0.7291666666666666,0.7878787878787878,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,-1.0,60.0,3.75,2.400000000000001,65.8,4.1125
22,22,20,2022-11-30,26-084,CLE,,PHI,W (+28),1,25:56,5.0,9.0,.556,5.0,7.0,.714,3,3.0,1.000,0.0,3.0,3.0,6.0,2.0,1.0,2.0,0.0,18.0,19.5,+20,2.0,0.0,0.0,62,63,59,36,2,66,64,10,57,35,48,17,35,26,30,74.0,77.0,69.0,44.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8378378378378378,0.8181818181818182,0.855072463768116,0.8181818181818182,0.6666666666666666,0.8354430379746836,0.8421052631578947,0.8333333333333334,0.8382352941176471,0.5645161290322581,0.7741935483870968,0.7727272727272727,0.7291666666666666,0.7878787878787878,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,16.0,84.0,5.25,18.3,96.3,6.01875
23,23,21,2022-12-02,26-086,CLE,,ORL,W (+11),1,36:53,12.0,21.0,.571,7.0,11.0,.636,3,3.0,1.000,1.0,1.0,2.0,1.0,1.0,1.0,5.0,4.0,34.0,20.9,+7,10.0,5.0,0.5,62,63,59,36,2,66,64,10,57,35,48,17,35,26,30,74.0,77.0,69.0,44.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8378378378378378,0.8181818181818182,0.855072463768116,0.8181818181818182,0.6666666666666666,0.8354430379746836,0.8421052631578947,0.8333333333333334,0.8382352941176471,0.5645161290322581,0.7741935483870968,0.7727272727272727,0.7291666666666666,0.7878787878787878,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,10.0,61.0,3.8125,19.700000000000003,78.20000000000002,4.887500000000001
24,24,22,2022-12-04,26-088,CLE,@,NYK,L (-11),1,39:41,8.0,22.0,.364,2.0,11.0,.182,5,6.0,.833,1.0,3.0,4.0,5.0,0.0,1.0,3.0,3.0,23.0,12.0,+2,11.0,6.0,0.5454545454545454,62,63,59,36,2,66,64,10,57,35,48,17,35,26,30,74.0,77.0,69.0,44.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8378378378378378,0.8181818181818182,0.855072463768116,0.8181818181818182,0.6666666666666666,0.8354430379746836,0.8421052631578947,0.8333333333333334,0.8382352941176471,0.5645161290322581,0.7741935483870968,0.7727272727272727,0.7291666666666666,0.7878787878787878,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,2.0,36.0,2.25,9.999999999999996,47.3,2.95625
25,25,23,2022-12-06,26-090,CLE,,LAL,W (+14),1,39:32,17.0,27.0,.630,4.0,8.0,.500,5,5.0,1.000,2.0,4.0,6.0,5.0,4.0,0.0,2.0,1.0,43.0,38.6,+21,19.0,13.0,0.6842105263157895,62,63,59,36,2,66,64,10,57,35,48,17,35,26,30,74.0,77.0,69.0,44.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8378378378378378,0.8181818181818182,0.855072463768116,0.8181818181818182,0.6666666666666666,0.8354430379746836,0.8421052631578947,0.8333333333333334,0.8382352941176471,0.5645161290322581,0.7741935483870968,0.7727272727272727,0.7291666666666666,0.7878787878787878,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,24.0,57.0,3.5625,36.6,61.00000000000001,3.8125000000000004
26,26,,2022-12-09,26-093,CLE,,SAC,L (-11),Did Not Dress,Did Not Dress,0.0,0.0,Did Not Dress,,,Did Not Dress,Did Not Dress,0.0,Did Not Dress,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Dress,Did Not Dress,,,,62,63,59,36,2,66,64,10,57,35,48,17,35,26,30,74.0,77.0,69.0,44.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8378378378378378,0.8181818181818182,0.855072463768116,0.8181818181818182,0.6666666666666666,0.8354430379746836,0.8421052631578947,0.8333333333333334,0.8382352941176471,0.5645161290322581,0.7741935483870968,0.7727272727272727,0.7291666666666666,0.7878787878787878,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,,42.0,2.625,0.0,54.1,3.38125
27,27,,2022-12-10,26-094,CLE,,OKC,W (+8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,62,63,59,36,2,66,64,10,57,35,48,17,35,26,30,74.0,77.0,69.0,44.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8378378378378378,0.8181818181818182,0.855072463768116,0.8181818181818182,0.6666666666666666,0.8354430379746836,0.8421052631578947,0.8333333333333334,0.8382352941176471,0.5645161290322581,0.7741935483870968,0.7727272727272727,0.7291666666666666,0.7878787878787878,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,,71.0,4.4375,0.0,84.99999999999999,5.312499999999999
28,28,24,2022-12-12,26-096,CLE,@,SAS,L (-1),1,36:34,12.0,24.0,.500,2.0,7.0,.286,2,2.0,1.000,4.0,1.0,5.0,1.0,0.0,0.0,3.0,3.0,28.0,15.6,-9,17.0,10.0,0.5882352941176471,62,63,59,36,2,66,64,10,57,35,48,17,35,26,30,74.0,77.0,69.0,44.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8378378378378378,0.8181818181818182,0.855072463768116,0.8181818181818182,0.6666666666666666,0.8354430379746836,0.8421052631578947,0.8333333333333334,0.8382352941176471,0.5645161290322581,0.7741935483870968,0.7727272727272727,0.7291666666666666,0.7878787878787878,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,5.0,59.0,3.6875,14.799999999999995,65.30000000000001,4.081250000000001
29,29,25,2022-12-14,26-098,CLE,@,DAL,W (+15),1,37:38,13.0,20.0,.650,6.0,9.0,.667,2,2.0,1.000,1.0,2.0,3.0,4.0,1.0,0.0,3.0,5.0,34.0,25.3,+20,11.0,7.0,0.6363636363636364,62,63,59,36,2,66,64,10,57,35,48,17,35,26,30,74.0,77.0,69.0,44.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8378378378378378,0.8181818181818182,0.855072463768116,0.8181818181818182,0.6666666666666666,0.8354430379746836,0.8421052631578947,0.8333333333333334,0.8382352941176471,0.5645161290322581,0.7741935483870968,0.7727272727272727,0.7291666666666666,0.7878787878787878,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,17.0,54.0,3.375,24.500000000000004,59.3,3.70625
