Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alperen Şengün,Shared Games with Boban Marjanović,Shared Games with Bruno Fernando,Shared Games with Daishen Nix,Shared Games with Darius Days,Shared Games with Garrison Mathews,Shared Games with Jabari Smith Jr.,Shared Games with Jae'Sean Tate,Shared Games with Jalen Green,Shared Games with Josh Christopher,Shared Games with Kenyon Martin Jr.,Shared Games with Kevin Porter Jr.,Shared Games with Tari Eason,Shared Games with Trevor Hudgins,Shared Games with TyTy Washington Jr.,Shared Games with Usman Garuba,Shared Games with Willie Cauley-Stein,Alperen Şengün,Boban Marjanović,Bruno Fernando,Daishen Nix,Darius Days,Garrison Mathews,Jabari Smith Jr.,Jae'Sean Tate,Jalen Green,Josh Christopher,Kenyon Martin Jr.,Kevin Porter Jr.,Tari Eason,Trevor Hudgins,TyTy Washington Jr.,Usman Garuba,Willie Cauley-Stein,co_inf with Alperen Şengün,co_inf with Boban Marjanović,co_inf with Bruno Fernando,co_inf with Daishen Nix,co_inf with Darius Days,co_inf with Garrison Mathews,co_inf with Jabari Smith Jr.,co_inf with Jae'Sean Tate,co_inf with Jalen Green,co_inf with Josh Christopher,co_inf with Kenyon Martin Jr.,co_inf with Kevin Porter Jr.,co_inf with Tari Eason,co_inf with Trevor Hudgins,co_inf with TyTy Washington Jr.,co_inf with Usman Garuba,co_inf with Willie Cauley-Stein
13,14,12,2022-11-14,33-324,HOU,,LAC,L (-16),1,25.516666666666666,1.0,4.0,.250,0.0,1.0,.000,2,2,1.000,0,1,1,0,0,0,1,1,4,0.5,-8,3.0,1.0,0.3333333333333333,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
14,15,13,2022-11-16,33-326,HOU,@,DAL,W (+9),1,30.7,3.0,9.0,.333,1.0,4.0,.250,3,3,1.000,0,3,3,1,0,0,3,0,10,3.5,+13,5.0,2.0,0.4,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
15,16,14,2022-11-18,33-328,HOU,,IND,L (-8),1,36.21666666666667,8.0,17.0,.471,1.0,6.0,.167,7,7,1.000,2,4,6,3,1,2,2,1,24,20.0,+8,11.0,7.0,0.6363636363636364,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
16,17,15,2022-11-20,33-330,HOU,,GSW,L (-7),1,29.716666666666665,5.0,12.0,.417,3.0,7.0,.429,1,1,1.000,0,2,2,2,1,0,2,0,14,8.6,0,5.0,2.0,0.4,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
17,18,,2022-11-25,33-335,HOU,,ATL,W (+6),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
18,19,16,2022-11-26,33-336,HOU,,OKC,W (+13),1,27.05,5.0,7.0,.714,4.0,6.0,.667,1,1,1.000,0,0,0,2,1,0,3,1,15,11.1,+17,1.0,1.0,1.0,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
19,20,17,2022-11-28,33-338,HOU,@,DEN,L (-16),1,28.1,4.0,10.0,.400,3.0,7.0,.429,0,0,,2,0,2,1,0,0,0,0,11,7.7,-10,3.0,1.0,0.3333333333333333,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
20,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
21,21,18,2022-11-30,33-340,HOU,@,DEN,L (-20),1,18.533333333333335,1.0,4.0,.250,0.0,3.0,.000,0,0,,0,0,0,0,0,0,3,0,2,-3.4,-11,1.0,1.0,1.0,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
22,22,19,2022-12-02,33-342,HOU,@,PHO,W (+1),1,27.866666666666667,2.0,7.0,.286,1.0,6.0,.167,5,6,.833,0,0,0,1,1,0,1,1,10,5.8,-8,1.0,1.0,1.0,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
23,23,,2022-12-03,33-343,HOU,@,GSW,L (-19),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
24,24,20,2022-12-05,33-345,HOU,,PHI,W (+9),1,40.416666666666664,4.0,10.0,.400,3.0,8.0,.375,3,4,.750,0,3,3,4,1,0,2,1,14,10.5,+2,2.0,1.0,0.5,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
25,25,21,2022-12-08,33-348,HOU,@,SAS,L (-9),1,31.666666666666668,6.0,11.0,.545,2.0,5.0,.400,0,0,,1,1,2,4,0,1,2,1,14,10.8,-14,6.0,4.0,0.6666666666666666,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
26,26,22,2022-12-11,33-351,HOU,,MIL,W (+5),1,30.466666666666665,4.0,10.0,.400,1.0,5.0,.200,0,0,,0,3,3,1,1,0,1,0,9,5.2,+11,5.0,3.0,0.6,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
27,27,23,2022-12-13,33-353,HOU,,PHO,W (+14),1,22.616666666666667,3.0,10.0,.300,2.0,6.0,.333,2,2,1.000,0,3,3,1,0,2,3,3,10,3.0,+6,4.0,1.0,0.25,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
28,28,24,2022-12-15,33-355,HOU,,MIA,L (-3),1,32.18333333333333,4.0,11.0,.364,4.0,9.0,.444,0,1,.000,0,1,1,3,1,0,2,0,12,6.9,-5,2.0,0.0,0.0,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
29,29,25,2022-12-17,33-357,HOU,,POR,L (-12),1,20.466666666666665,2.0,6.0,.333,1.0,3.0,.333,0,0,,0,1,1,0,0,0,1,0,5,0.9,-14,3.0,1.0,0.3333333333333333,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
30,30,26,2022-12-19,33-359,HOU,,SAS,L (-19),1,27.9,2.0,7.0,.286,1.0,2.0,.500,0,0,,0,0,0,1,1,0,0,0,5,2.6,-26,5.0,1.0,0.2,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
31,31,27,2022-12-21,33-361,HOU,,ORL,L (-6),1,32.28333333333333,3.0,11.0,.273,2.0,6.0,.333,0,0,,1,4,5,4,1,0,1,2,8,5.4,+2,5.0,1.0,0.2,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
32,32,,2022-12-23,33-363,HOU,,DAL,L (-6),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
33,33,28,2022-12-26,34-001,HOU,@,CHI,W (+15),1,35.9,4.0,11.0,.364,1.0,6.0,.167,3,4,.750,0,2,2,3,0,0,1,0,12,7.2,+22,5.0,3.0,0.6,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
34,34,,2022-12-27,34-002,HOU,@,BOS,L (-24),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
35,35,29,2022-12-29,34-004,HOU,@,DAL,L (-15),1,26.783333333333335,0.0,7.0,.000,0.0,3.0,.000,4,6,.667,0,3,3,1,0,0,0,1,4,-0.5,-13,4.0,0.0,0.0,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
