Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alperen Şengün,Shared Games with Boban Marjanović,Shared Games with Bruno Fernando,Shared Games with Daishen Nix,Shared Games with Darius Days,Shared Games with Eric Gordon,Shared Games with Garrison Mathews,Shared Games with Jabari Smith Jr.,Shared Games with Jae'Sean Tate,Shared Games with Jalen Green,Shared Games with Josh Christopher,Shared Games with Kenyon Martin Jr.,Shared Games with Kevin Porter Jr.,Shared Games with Trevor Hudgins,Shared Games with TyTy Washington Jr.,Shared Games with Usman Garuba,Alperen Şengün,Boban Marjanović,Bruno Fernando,Daishen Nix,Darius Days,Eric Gordon,Garrison Mathews,Jabari Smith Jr.,Jae'Sean Tate,Jalen Green,Josh Christopher,Kenyon Martin Jr.,Kevin Porter Jr.,Trevor Hudgins,TyTy Washington Jr.,Usman Garuba,Willie Cauley-Stein,co_inf with Alperen Şengün,co_inf with Boban Marjanović,co_inf with Bruno Fernando,co_inf with Daishen Nix,co_inf with Darius Days,co_inf with Eric Gordon,co_inf with Garrison Mathews,co_inf with Jabari Smith Jr.,co_inf with Jae'Sean Tate,co_inf with Jalen Green,co_inf with Josh Christopher,co_inf with Kenyon Martin Jr.,co_inf with Kevin Porter Jr.,co_inf with Trevor Hudgins,co_inf with TyTy Washington Jr.,co_inf with Usman Garuba,co_inf with Willie Cauley-Stein,Shared Games with Frank Kaminsky,Shared Games with Justin Holiday,Frank Kaminsky,Jarrett Culver,John Wall,co_inf with Frank Kaminsky,co_inf with John Wall,co_inf with Jarrett Culver,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,11,2022-11-07,21-181,HOU,ORL,0,19.716666666666665,3.0,7.0,0.429,2.0,3.0,0.667,0,0.0,,2.0,4.0,6.0,0.0,2.0,0.0,1.0,3.0,8.0,6.7,13,4.0,1.0,0.25,75,31,31,57,4,47,45,79,31,76,64,82,59,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,8.0,66.0,3.6666666666666665,6.699999999999998,77.30000000000001,4.294444444444445,15.2,2.6,-1.7,-1.3,-0.4,0.0836912234335425,0.525,0.261,0.22,0.1,0.9,W (+7),W (+7)
12.0,12,2022-11-09,21-183,HOU,TOR,0,21.416666666666668,5.0,15.0,0.333,0.0,2.0,0.0,4,5.0,0.8,4.0,2.0,6.0,5.0,5.0,0.0,2.0,2.0,14.0,14.2,9,13.0,5.0,0.3846153846153846,75,31,31,57,4,47,45,79,31,76,64,82,59,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,8.0,75.0,4.166666666666667,12.6,69.29999999999998,3.849999999999999,15.2,2.6,-1.7,-1.3,-0.4,0.0836912234335425,0.525,0.261,0.22,0.1,0.9,L (-7),L (-7)
13.0,13,2022-11-12,21-186,HOU,NOP,0,21.05,1.0,4.0,0.25,1.0,3.0,0.333,2,2.0,1.0,0.0,2.0,2.0,3.0,3.0,0.0,1.0,3.0,5.0,6.1,6,1.0,0.0,0.0,75,31,31,57,4,47,45,79,31,76,64,82,59,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,6.0,59.0,3.2777777777777777,5.300000000000001,57.0,3.1666666666666665,15.2,2.6,-1.7,-1.3,-0.4,0.0836912234335425,0.525,0.261,0.22,0.1,0.9,L (-13),L (-13)
14.0,14,2022-11-14,21-188,HOU,LAC,0,14.733333333333333,4.0,7.0,0.571,1.0,3.0,0.333,0,0.0,,2.0,1.0,3.0,0.0,2.0,0.0,0.0,1.0,9.0,9.0,-7,4.0,3.0,0.75,75,31,31,57,4,47,45,79,31,76,64,82,59,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,7.0,43.0,2.388888888888889,9.000000000000002,60.0,3.333333333333333,15.2,2.6,-1.7,-1.3,-0.4,0.0836912234335425,0.525,0.261,0.22,0.1,0.9,L (-16),L (-16)
15.0,15,2022-11-16,21-190,HOU,DAL,0,17.866666666666667,3.0,5.0,0.6,0.0,1.0,0.0,2,2.0,1.0,1.0,6.0,7.0,0.0,0.0,1.0,2.0,3.0,8.0,5.7,12,4.0,3.0,0.75,75,31,31,57,4,47,45,79,31,76,64,82,59,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,7.0,85.0,4.722222222222222,4.899999999999998,71.19999999999999,3.955555555555555,15.2,2.6,-1.7,-1.3,-0.4,0.0836912234335425,0.525,0.261,0.22,0.1,0.9,W (+9),W (+9)
16.0,16,2022-11-18,21-192,HOU,IND,0,18.883333333333333,1.0,9.0,0.111,0.0,1.0,0.0,2,2.0,1.0,3.0,3.0,6.0,0.0,0.0,0.0,2.0,2.0,4.0,-1.7,-12,8.0,1.0,0.125,75,31,31,57,4,47,45,79,31,76,64,82,59,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,-3.0,23.0,1.2777777777777777,-2.5,29.1,1.6166666666666667,15.2,2.6,-1.7,-1.3,-0.4,0.0836912234335425,0.525,0.261,0.22,0.1,0.9,L (-8),L (-8)
17.0,17,2022-11-20,21-194,HOU,GSW,0,22.666666666666668,8.0,14.0,0.571,1.0,5.0,0.2,2,2.0,1.0,2.0,6.0,8.0,1.0,3.0,0.0,0.0,1.0,19.0,18.9,6,9.0,7.0,0.7777777777777778,75,31,31,57,4,47,45,79,31,76,64,82,59,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,15.0,72.0,4.0,18.1,68.30000000000001,3.794444444444445,15.2,2.6,-1.7,-1.3,-0.4,0.0836912234335425,0.525,0.261,0.22,0.1,0.9,L (-7),L (-7)
18.0,18,2022-11-25,21-199,HOU,ATL,0,18.5,2.0,9.0,0.222,0.0,1.0,0.0,2,2.0,1.0,4.0,3.0,7.0,0.0,1.0,0.0,0.0,2.0,6.0,4.4,4,8.0,2.0,0.25,75,31,31,57,4,47,45,79,31,76,64,82,59,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,3.0,66.0,3.6666666666666665,3.6000000000000005,66.0,3.6666666666666665,15.2,2.6,-1.7,-1.3,-0.4,0.0836912234335425,0.525,0.261,0.22,0.1,0.9,W (+6),W (+6)
19.0,19,2022-11-26,21-200,HOU,OKC,0,16.583333333333332,3.0,8.0,0.375,1.0,1.0,1.0,0,0.0,,1.0,5.0,6.0,0.0,2.0,0.0,2.0,2.0,7.0,4.0,-10,7.0,2.0,0.2857142857142857,75,31,31,57,4,47,45,79,31,76,64,82,59,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,5.0,65.0,3.611111111111111,3.999999999999999,66.5,3.6944444444444446,15.2,2.6,-1.7,-1.3,-0.4,0.0836912234335425,0.525,0.261,0.22,0.1,0.9,W (+13),W (+13)
20.0,20,2022-11-28,21-202,HOU,DEN,0,18.95,2.0,6.0,0.333,1.0,3.0,0.333,1,2.0,0.5,1.0,2.0,3.0,0.0,1.0,0.0,1.0,1.0,6.0,3.1,-12,3.0,1.0,0.3333333333333333,75,31,31,57,4,47,45,79,31,76,64,82,59,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,1.0,59.0,3.2777777777777777,2.7000000000000006,63.99999999999999,3.555555555555556,15.2,2.6,-1.7,-1.3,-0.4,0.0836912234335425,0.525,0.261,0.22,0.1,0.9,L (-16),L (-16)
21.0,21,2022-11-30,21-204,HOU,DEN,0,13.983333333333333,0.0,5.0,0.0,0.0,4.0,0.0,4,4.0,1.0,2.0,3.0,5.0,2.0,1.0,1.0,0.0,2.0,4.0,5.1,-8,1.0,0.0,0.0,75,31,31,57,4,47,45,79,31,76,64,82,59,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,4.0,50.0,2.7777777777777777,3.500000000000001,56.09999999999999,3.116666666666666,15.2,2.6,-1.7,-1.3,-0.4,0.0836912234335425,0.525,0.261,0.22,0.1,0.9,,
22.0,22,2022-12-02,21-206,HOU,PHO,0,17.566666666666666,4.0,8.0,0.5,0.0,0.0,,1,1.0,1.0,3.0,2.0,5.0,0.0,0.0,0.0,1.0,4.0,9.0,5.1,6,8.0,4.0,0.5,75,31,31,57,4,47,45,79,31,76,64,82,59,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,4.0,45.0,2.5,4.699999999999999,56.6,3.1444444444444444,15.2,2.6,-1.7,-1.3,-0.4,0.0836912234335425,0.525,0.261,0.22,0.1,0.9,L (-20),L (-20)
23.0,23,2022-12-03,21-207,HOU,GSW,0,29.133333333333333,6.0,10.0,0.6,0.0,0.0,,1,2.0,0.5,3.0,7.0,10.0,1.0,0.0,0.0,0.0,1.0,13.0,12.5,10,10.0,6.0,0.6,75,31,31,57,4,47,45,79,31,76,64,82,59,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,12.0,39.0,2.1666666666666665,12.1,45.6,2.533333333333333,15.2,2.6,-1.7,-1.3,-0.4,0.0836912234335425,0.525,0.261,0.22,0.1,0.9,W (+1),W (+1)
24.0,24,2022-12-05,21-209,HOU,PHI,0,20.78333333333333,7.0,11.0,0.636,2.0,3.0,0.667,2,2.0,1.0,3.0,3.0,6.0,0.0,3.0,1.0,0.0,1.0,18.0,19.4,0,8.0,5.0,0.625,75,31,31,57,4,47,45,79,31,76,64,82,59,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,15.0,39.0,2.1666666666666665,18.6,46.7,2.594444444444445,15.2,2.6,-1.7,-1.3,-0.4,0.0836912234335425,0.525,0.261,0.22,0.1,0.9,L (-19),L (-19)
25.0,25,2022-12-08,21-212,HOU,SAS,0,22.95,3.0,4.0,0.75,2.0,3.0,0.667,0,0.0,,3.0,3.0,6.0,2.0,0.0,1.0,1.0,2.0,8.0,9.7,7,1.0,1.0,1.0,75,31,31,57,4,47,45,79,31,76,64,82,59,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,12.0,46.0,2.555555555555556,9.7,51.8,2.8777777777777778,15.2,2.6,-1.7,-1.3,-0.4,0.0836912234335425,0.525,0.261,0.22,0.1,0.9,W (+9),W (+9)
26.0,26,2022-12-11,21-215,HOU,MIL,0,13.1,0.0,2.0,0.0,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,-0.3,-8,2.0,0.0,0.0,75,31,31,57,4,47,45,79,31,76,64,82,59,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,1.0,63.0,3.5,-0.3000000000000002,64.99999999999999,3.6111111111111103,15.2,2.6,-1.7,-1.3,-0.4,0.0836912234335425,0.525,0.261,0.22,0.1,0.9,L (-9),L (-9)
27.0,27,2022-12-13,21-217,HOU,PHO,0,18.75,3.0,8.0,0.375,0.0,3.0,0.0,4,4.0,1.0,3.0,4.0,7.0,0.0,1.0,2.0,3.0,2.0,10.0,7.5,1,5.0,3.0,0.6,75,31,31,57,4,47,45,79,31,76,64,82,59,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,5.0,59.0,3.2777777777777777,5.899999999999999,57.2,3.177777777777778,15.2,2.6,-1.7,-1.3,-0.4,0.0836912234335425,0.525,0.261,0.22,0.1,0.9,W (+5),W (+5)
28.0,28,2022-12-15,21-219,HOU,MIA,0,15.7,2.0,7.0,0.286,1.0,2.0,0.5,0,0.0,,1.0,4.0,5.0,1.0,0.0,1.0,1.0,3.0,5.0,2.0,4,5.0,1.0,0.2,75,31,31,57,4,47,45,79,31,76,64,82,59,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,4.0,67.0,3.7222222222222223,2.0,76.89999999999999,4.272222222222222,15.2,2.6,-1.7,-1.3,-0.4,0.0836912234335425,0.525,0.261,0.22,0.1,0.9,W (+14),W (+14)
