Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alex Len,Shared Games with Chima Moneke,Shared Games with Chimezie Metu,Shared Games with De'Aaron Fox,Shared Games with Domantas Sabonis,Shared Games with Harrison Barnes,Shared Games with Keegan Murray,Shared Games with Keon Ellis,Shared Games with Kevin Huerter,Shared Games with KZ Okpala,Shared Games with Malik Monk,Shared Games with Matthew Dellavedova,Shared Games with Neemias Queta,Shared Games with PJ Dozier,Shared Games with Richaun Holmes,Shared Games with Terence Davis,Shared Games with Trey Lyles,Alex Len,Chima Moneke,Chimezie Metu,De'Aaron Fox,Deonte Burton,Domantas Sabonis,Harrison Barnes,Keegan Murray,Keon Ellis,Kevin Huerter,KZ Okpala,Malik Monk,Matthew Dellavedova,Neemias Queta,PJ Dozier,Richaun Holmes,Terence Davis,Trey Lyles,co_inf with Alex Len,co_inf with Chima Moneke,co_inf with Chimezie Metu,co_inf with De'Aaron Fox,co_inf with Deonte Burton,co_inf with Domantas Sabonis,co_inf with Harrison Barnes,co_inf with Keegan Murray,co_inf with Keon Ellis,co_inf with Kevin Huerter,co_inf with KZ Okpala,co_inf with Malik Monk,co_inf with Matthew Dellavedova,co_inf with Neemias Queta,co_inf with PJ Dozier,co_inf with Richaun Holmes,co_inf with Terence Davis,co_inf with Trey Lyles,Shared Games with Kessler Edwards,JD Davison,Kessler Edwards,co_inf with Kessler Edwards,co_inf with JD Davison,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,11,2022-11-11,24-067,SAC,@,LAL,W (+6),0,19:34,2.0,4.0,.500,2.0,3.0,.667,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,3.6,-14,1.0,0.0,0.0,25,2,64,71,77,80,78,15,73,35,75,31,4,15,40,62,73,26.0,2.0,66.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9615384615384616,1.0,0.9696969696969696,0.9726027397260274,0.0,0.9746835443037974,0.975609756097561,0.975,0.9375,0.9733333333333334,1.0,0.974025974025974,0.96875,0.8,0.9375,0.9523809523809524,0.96875,0.9864864864864864,20,12.0,36.0,0.5555555555555556,0.0,18,2.0,76.0,4.222222222222222,3.6,91.00000000000004,5.055555555555558
11,12,12,2022-11-13,24-069,SAC,,GSW,W (+7),0,14:09,1.0,3.0,.333,0.0,2.0,.000,0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.3,-8,1.0,1.0,1.0,25,2,64,71,77,80,78,15,73,35,75,31,4,15,40,62,73,26.0,2.0,66.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9615384615384616,1.0,0.9696969696969696,0.9726027397260274,0.0,0.9746835443037974,0.975609756097561,0.975,0.9375,0.9733333333333334,1.0,0.974025974025974,0.96875,0.8,0.9375,0.9523809523809524,0.96875,0.9864864864864864,20,12.0,36.0,0.5555555555555556,0.0,18,1.0,82.0,4.555555555555555,1.3000000000000005,93.20000000000002,5.177777777777779
12,13,13,2022-11-15,24-071,SAC,,BRK,W (+32),0,16:46,3.0,4.0,.750,0.0,1.0,.000,2,3.0,.667,0.0,0.0,0.0,3.0,0.0,1.0,1.0,2.0,8.0,7.0,+26,3.0,3.0,1.0,25,2,64,71,77,80,78,15,73,35,75,31,4,15,40,62,73,26.0,2.0,66.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9615384615384616,1.0,0.9696969696969696,0.9726027397260274,0.0,0.9746835443037974,0.975609756097561,0.975,0.9375,0.9733333333333334,1.0,0.974025974025974,0.96875,0.8,0.9375,0.9523809523809524,0.96875,0.9864864864864864,20,12.0,36.0,0.5555555555555556,0.0,18,4.0,108.0,6.0,6.199999999999999,122.7,6.816666666666666
13,14,14,2022-11-17,24-073,SAC,,SAS,W (+18),0,27:39,3.0,6.0,.500,0.0,1.0,.000,0,0.0,,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,6.0,6.4,+9,5.0,3.0,0.6,25,2,64,71,77,80,78,15,73,35,75,31,4,15,40,62,73,26.0,2.0,66.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9615384615384616,1.0,0.9696969696969696,0.9726027397260274,0.0,0.9746835443037974,0.975609756097561,0.975,0.9375,0.9733333333333334,1.0,0.974025974025974,0.96875,0.8,0.9375,0.9523809523809524,0.96875,0.9864864864864864,20,12.0,36.0,0.5555555555555556,0.0,18,6.0,77.0,4.277777777777778,6.4,96.4,5.355555555555556
14,15,15,2022-11-20,24-076,SAC,,DET,W (+8),0,14:11,2.0,5.0,.400,1.0,3.0,.333,0,0.0,,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,5.0,4.3,-4,2.0,1.0,0.5,25,2,64,71,77,80,78,15,73,35,75,31,4,15,40,62,73,26.0,2.0,66.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9615384615384616,1.0,0.9696969696969696,0.9726027397260274,0.0,0.9746835443037974,0.975609756097561,0.975,0.9375,0.9733333333333334,1.0,0.974025974025974,0.96875,0.8,0.9375,0.9523809523809524,0.96875,0.9864864864864864,20,12.0,36.0,0.5555555555555556,0.0,18,4.0,78.0,4.333333333333333,4.299999999999999,105.8,5.877777777777777
15,16,16,2022-11-22,24-078,SAC,@,MEM,W (+4),0,18:57,1.0,5.0,.200,0.0,3.0,.000,0,0.0,,1.0,1.0,2.0,4.0,1.0,0.0,2.0,2.0,2.0,0.9,+4,2.0,1.0,0.5,25,2,64,71,77,80,78,15,73,35,75,31,4,15,40,62,73,26.0,2.0,66.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9615384615384616,1.0,0.9696969696969696,0.9726027397260274,0.0,0.9746835443037974,0.975609756097561,0.975,0.9375,0.9733333333333334,1.0,0.974025974025974,0.96875,0.8,0.9375,0.9523809523809524,0.96875,0.9864864864864864,20,12.0,36.0,0.5555555555555556,0.0,18,2.0,61.0,3.388888888888889,0.8999999999999995,74.3,4.127777777777777
16,17,17,2022-11-23,24-079,SAC,@,ATL,L (-9),0,19:18,2.0,6.0,.333,0.0,1.0,.000,0,1.0,.000,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,1.2,0,5.0,2.0,0.4,25,2,64,71,77,80,78,15,73,35,75,31,4,15,40,62,73,26.0,2.0,66.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9615384615384616,1.0,0.9696969696969696,0.9726027397260274,0.0,0.9746835443037974,0.975609756097561,0.975,0.9375,0.9733333333333334,1.0,0.974025974025974,0.96875,0.8,0.9375,0.9523809523809524,0.96875,0.9864864864864864,20,12.0,36.0,0.5555555555555556,0.0,18,-1.0,61.0,3.388888888888889,1.2000000000000002,66.99999999999999,3.7222222222222214
17,18,18,2022-11-25,24-081,SAC,@,BOS,L (-18),0,14:08,5.0,6.0,.833,1.0,1.0,1.000,2,2.0,1.000,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,13.0,10.8,-3,5.0,4.0,0.8,25,2,64,71,77,80,78,15,73,35,75,31,4,15,40,62,73,26.0,2.0,66.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9615384615384616,1.0,0.9696969696969696,0.9726027397260274,0.0,0.9746835443037974,0.975609756097561,0.975,0.9375,0.9733333333333334,1.0,0.974025974025974,0.96875,0.8,0.9375,0.9523809523809524,0.96875,0.9864864864864864,20,12.0,36.0,0.5555555555555556,0.0,18,6.0,38.0,2.111111111111111,9.999999999999998,47.29999999999998,2.627777777777777
18,19,19,2022-11-28,24-084,SAC,,PHO,L (-5),0,25:20,2.0,7.0,.286,1.0,3.0,.333,2,2.0,1.000,0.0,3.0,3.0,2.0,1.0,0.0,0.0,2.0,7.0,5.4,+6,4.0,1.0,0.25,25,2,64,71,77,80,78,15,73,35,75,31,4,15,40,62,73,26.0,2.0,66.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9615384615384616,1.0,0.9696969696969696,0.9726027397260274,0.0,0.9746835443037974,0.975609756097561,0.975,0.9375,0.9733333333333334,1.0,0.974025974025974,0.96875,0.8,0.9375,0.9523809523809524,0.96875,0.9864864864864864,20,12.0,36.0,0.5555555555555556,0.0,18,4.0,77.0,4.277777777777778,4.6000000000000005,90.90000000000002,5.050000000000001
19,20,20,2022-11-30,24-086,SAC,,IND,W (+23),0,20:04,3.0,6.0,.500,2.0,3.0,.667,0,0.0,,0.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,8.0,8.1,+11,3.0,1.0,0.3333333333333333,25,2,64,71,77,80,78,15,73,35,75,31,4,15,40,62,73,26.0,2.0,66.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9615384615384616,1.0,0.9696969696969696,0.9726027397260274,0.0,0.9746835443037974,0.975609756097561,0.975,0.9375,0.9733333333333334,1.0,0.974025974025974,0.96875,0.8,0.9375,0.9523809523809524,0.96875,0.9864864864864864,20,12.0,36.0,0.5555555555555556,0.0,18,7.0,86.0,4.777777777777778,8.100000000000001,94.2,5.233333333333333
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,25,2,64,71,77,80,78,15,73,35,75,31,4,15,40,62,73,26.0,2.0,66.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9615384615384616,1.0,0.9696969696969696,0.9726027397260274,0.0,0.9746835443037974,0.975609756097561,0.975,0.9375,0.9733333333333334,1.0,0.974025974025974,0.96875,0.8,0.9375,0.9523809523809524,0.96875,0.9864864864864864,20,12.0,36.0,0.5555555555555556,0.0,18,,0.0,0.0,0.0,0.0,0.0
21,21,21,2022-12-03,24-089,SAC,@,LAC,W (+27),0,16:32,2.0,6.0,.333,0.0,3.0,.000,0,0.0,,0.0,3.0,3.0,4.0,0.0,0.0,0.0,3.0,4.0,3.1,+8,3.0,2.0,0.6666666666666666,25,2,64,71,77,80,78,15,73,35,75,31,4,15,40,62,73,26.0,2.0,66.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9615384615384616,1.0,0.9696969696969696,0.9726027397260274,0.0,0.9746835443037974,0.975609756097561,0.975,0.9375,0.9733333333333334,1.0,0.974025974025974,0.96875,0.8,0.9375,0.9523809523809524,0.96875,0.9864864864864864,20,12.0,36.0,0.5555555555555556,0.0,18,5.0,81.0,4.5,3.1000000000000005,96.29999999999998,5.349999999999999
22,22,22,2022-12-04,24-090,SAC,,CHI,W (+9),0,24:16,3.0,9.0,.333,0.0,3.0,.000,3,4.0,.750,0.0,3.0,3.0,5.0,3.0,1.0,2.0,4.0,9.0,8.0,+8,6.0,3.0,0.5,25,2,64,71,77,80,78,15,73,35,75,31,4,15,40,62,73,26.0,2.0,66.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9615384615384616,1.0,0.9696969696969696,0.9726027397260274,0.0,0.9746835443037974,0.975609756097561,0.975,0.9375,0.9733333333333334,1.0,0.974025974025974,0.96875,0.8,0.9375,0.9523809523809524,0.96875,0.9864864864864864,20,12.0,36.0,0.5555555555555556,0.0,18,6.0,69.0,3.8333333333333335,6.800000000000001,74.80000000000001,4.155555555555556
23,23,23,2022-12-07,24-093,SAC,@,MIL,L (-13),0,20:15,2.0,5.0,.400,0.0,2.0,.000,0,0.0,,0.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,4.0,1.9,-10,3.0,2.0,0.6666666666666666,25,2,64,71,77,80,78,15,73,35,75,31,4,15,40,62,73,26.0,2.0,66.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9615384615384616,1.0,0.9696969696969696,0.9726027397260274,0.0,0.9746835443037974,0.975609756097561,0.975,0.9375,0.9733333333333334,1.0,0.974025974025974,0.96875,0.8,0.9375,0.9523809523809524,0.96875,0.9864864864864864,20,12.0,36.0,0.5555555555555556,0.0,18,2.0,60.0,3.333333333333333,1.9,75.29999999999997,4.183333333333332
24,24,24,2022-12-09,24-095,SAC,@,CLE,W (+11),1,32:37,3.0,5.0,.600,1.0,2.0,.500,1,2.0,.500,0.0,4.0,4.0,6.0,0.0,0.0,2.0,2.0,8.0,7.9,+15,3.0,2.0,0.6666666666666666,25,2,64,71,77,80,78,15,73,35,75,31,4,15,40,62,73,26.0,2.0,66.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9615384615384616,1.0,0.9696969696969696,0.9726027397260274,0.0,0.9746835443037974,0.975609756097561,0.975,0.9375,0.9733333333333334,1.0,0.974025974025974,0.96875,0.8,0.9375,0.9523809523809524,0.96875,0.9864864864864864,20,12.0,36.0,0.5555555555555556,0.0,18,9.0,57.0,3.1666666666666665,7.4999999999999964,70.29999999999998,3.9055555555555546
25,25,25,2022-12-11,24-097,SAC,@,NYK,L (-13),1,24:33,3.0,5.0,.600,1.0,2.0,.500,0,0.0,,0.0,3.0,3.0,2.0,1.0,0.0,2.0,3.0,7.0,4.8,+1,3.0,2.0,0.6666666666666666,25,2,64,71,77,80,78,15,73,35,75,31,4,15,40,62,73,26.0,2.0,66.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9615384615384616,1.0,0.9696969696969696,0.9726027397260274,0.0,0.9746835443037974,0.975609756097561,0.975,0.9375,0.9733333333333334,1.0,0.974025974025974,0.96875,0.8,0.9375,0.9523809523809524,0.96875,0.9864864864864864,20,12.0,36.0,0.5555555555555556,0.0,18,6.0,26.0,1.4444444444444444,4.8,47.899999999999984,2.66111111111111
26,26,26,2022-12-13,24-099,SAC,@,PHI,L (-20),0,18:37,1.0,8.0,.125,0.0,2.0,.000,0,0.0,,1.0,2.0,3.0,4.0,0.0,2.0,2.0,1.0,2.0,-0.1,-6,6.0,1.0,0.1666666666666666,25,2,64,71,77,80,78,15,73,35,75,31,4,15,40,62,73,26.0,2.0,66.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9615384615384616,1.0,0.9696969696969696,0.9726027397260274,0.0,0.9746835443037974,0.975609756097561,0.975,0.9375,0.9733333333333334,1.0,0.974025974025974,0.96875,0.8,0.9375,0.9523809523809524,0.96875,0.9864864864864864,20,12.0,36.0,0.5555555555555556,0.0,18,1.0,51.0,2.833333333333333,-0.0999999999999992,62.19999999999998,3.4555555555555544
27,27,27,2022-12-14,24-100,SAC,@,TOR,W (+1),0,12:16,1.0,3.0,.333,0.0,2.0,.000,0,0.0,,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,2.0,2.4,-13,1.0,1.0,1.0,25,2,64,71,77,80,78,15,73,35,75,31,4,15,40,62,73,26.0,2.0,66.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9615384615384616,1.0,0.9696969696969696,0.9726027397260274,0.0,0.9746835443037974,0.975609756097561,0.975,0.9375,0.9733333333333334,1.0,0.974025974025974,0.96875,0.8,0.9375,0.9523809523809524,0.96875,0.9864864864864864,20,12.0,36.0,0.5555555555555556,0.0,18,3.0,78.0,4.333333333333333,2.4000000000000004,91.29999999999998,5.072222222222221
28,28,,2022-12-16,24-102,SAC,@,DET,W (+9),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,25,2,64,71,77,80,78,15,73,35,75,31,4,15,40,62,73,26.0,2.0,66.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9615384615384616,1.0,0.9696969696969696,0.9726027397260274,0.0,0.9746835443037974,0.975609756097561,0.975,0.9375,0.9733333333333334,1.0,0.974025974025974,0.96875,0.8,0.9375,0.9523809523809524,0.96875,0.9864864864864864,20,12.0,36.0,0.5555555555555556,0.0,18,,74.0,4.111111111111111,0.0,90.8,5.044444444444444
