Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alex Len,Shared Games with Chima Moneke,Shared Games with Chimezie Metu,Shared Games with Davion Mitchell,Shared Games with De'Aaron Fox,Shared Games with Domantas Sabonis,Shared Games with Keegan Murray,Shared Games with Keon Ellis,Shared Games with Kevin Huerter,Shared Games with KZ Okpala,Shared Games with Malik Monk,Shared Games with Matthew Dellavedova,Shared Games with Neemias Queta,Shared Games with PJ Dozier,Shared Games with Richaun Holmes,Shared Games with Terence Davis,Shared Games with Trey Lyles,Alex Len,Chima Moneke,Chimezie Metu,Davion Mitchell,De'Aaron Fox,Deonte Burton,Domantas Sabonis,Keegan Murray,Keon Ellis,Kevin Huerter,KZ Okpala,Malik Monk,Matthew Dellavedova,Neemias Queta,PJ Dozier,Richaun Holmes,Terence Davis,Trey Lyles,co_inf with Alex Len,co_inf with Chima Moneke,co_inf with Chimezie Metu,co_inf with Davion Mitchell,co_inf with De'Aaron Fox,co_inf with Deonte Burton,co_inf with Domantas Sabonis,co_inf with Keegan Murray,co_inf with Keon Ellis,co_inf with Kevin Huerter,co_inf with KZ Okpala,co_inf with Malik Monk,co_inf with Matthew Dellavedova,co_inf with Neemias Queta,co_inf with PJ Dozier,co_inf with Richaun Holmes,co_inf with Terence Davis,co_inf with Trey Lyles,Shared Games with Kessler Edwards,JD Davison,Kessler Edwards,co_inf with Kessler Edwards,co_inf with JD Davison,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,11,2022-11-11,30-165,SAC,@,LAL,W (+6),1,30:34,3.0,7.0,.429,1.0,3.0,.333,6,6.0,1.000,3.0,5.0,8.0,2.0,1.0,1.0,2.0,1.0,13.0,13.6,+9,4.0,2.0,0.5,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,10.0,68.0,3.7777777777777777,11.199999999999996,83.4,4.633333333333334
11,12,12,2022-11-13,30-167,SAC,,GSW,W (+7),1,27:25,4.0,8.0,.500,1.0,3.0,.333,0,0.0,,0.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,9.0,8.4,+3,5.0,3.0,0.6,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,6.0,77.0,4.277777777777778,8.399999999999999,86.10000000000002,4.783333333333335
12,13,13,2022-11-15,30-169,SAC,,BRK,W (+32),1,21:26,5.0,8.0,.625,2.0,4.0,.500,4,4.0,1.000,1.0,3.0,4.0,3.0,1.0,0.0,0.0,4.0,16.0,15.5,+33,4.0,3.0,0.75,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,12.0,100.0,5.555555555555555,13.899999999999997,115.0,6.388888888888889
13,14,14,2022-11-17,30-171,SAC,,SAS,W (+18),1,29:21,4.0,7.0,.571,1.0,3.0,.333,7,8.0,.875,1.0,7.0,8.0,2.0,2.0,0.0,1.0,0.0,16.0,17.5,+7,4.0,3.0,0.75,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,12.0,71.0,3.9444444444444446,14.700000000000005,88.10000000000001,4.894444444444445
14,15,15,2022-11-20,30-174,SAC,,DET,W (+8),1,36:09,8.0,11.0,.727,1.0,2.0,.500,10,11.0,.909,2.0,7.0,9.0,3.0,0.0,0.0,0.0,0.0,27.0,27.7,+20,9.0,7.0,0.7777777777777778,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,17.0,65.0,3.611111111111111,23.7,86.4,4.800000000000001
15,16,16,2022-11-22,30-176,SAC,@,MEM,W (+4),1,33:02,7.0,13.0,.538,4.0,8.0,.500,8,8.0,1.000,0.0,4.0,4.0,0.0,1.0,0.0,5.0,2.0,26.0,16.1,-3,5.0,3.0,0.6,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,5.0,58.0,3.2222222222222223,12.9,62.3,3.461111111111111
16,17,17,2022-11-23,30-177,SAC,@,ATL,L (-9),1,32:21,4.0,8.0,.500,0.0,2.0,.000,0,0.0,,0.0,7.0,7.0,1.0,0.0,0.0,1.0,0.0,8.0,5.8,-5,6.0,4.0,0.6666666666666666,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,7.0,53.0,2.9444444444444446,5.799999999999999,62.39999999999999,3.4666666666666663
17,18,18,2022-11-25,30-179,SAC,@,BOS,L (-18),1,22:36,4.0,9.0,.444,0.0,0.0,,4,4.0,1.000,3.0,2.0,5.0,1.0,0.0,0.0,2.0,3.0,12.0,7.5,-19,9.0,4.0,0.4444444444444444,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,3.0,41.0,2.2777777777777777,5.9,51.39999999999999,2.855555555555555
18,19,19,2022-11-28,30-182,SAC,,PHO,L (-5),1,28:03,1.0,4.0,.250,0.0,1.0,.000,4,5.0,.800,1.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,6.0,7.2,+1,3.0,1.0,0.3333333333333333,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,3.0,78.0,4.333333333333333,5.6,89.89999999999999,4.994444444444444
19,20,20,2022-11-30,30-184,SAC,,IND,W (+23),1,25:57,6.0,9.0,.667,1.0,4.0,.250,9,10.0,.900,0.0,5.0,5.0,2.0,2.0,0.0,1.0,3.0,22.0,20.4,+30,5.0,5.0,1.0,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,11.0,82.0,4.555555555555555,16.799999999999997,85.49999999999999,4.749999999999999
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,,0.0,0.0,0.0,0.0,0.0
21,21,21,2022-12-03,30-187,SAC,@,LAC,W (+27),1,25:54,4.0,6.0,.667,1.0,3.0,.333,1,5.0,.200,0.0,5.0,5.0,2.0,1.0,0.0,1.0,1.0,10.0,8.3,+26,3.0,3.0,1.0,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,6.0,80.0,4.444444444444445,7.9,91.49999999999996,5.083333333333331
22,22,22,2022-12-04,30-188,SAC,,CHI,W (+9),1,37:43,6.0,10.0,.600,3.0,6.0,.500,2,2.0,1.000,1.0,5.0,6.0,0.0,1.0,0.0,3.0,1.0,17.0,12.2,+1,4.0,3.0,0.75,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,9.0,66.0,3.6666666666666665,11.399999999999997,70.2,3.9000000000000004
23,23,23,2022-12-07,30-191,SAC,@,MIL,L (-13),1,32:48,6.0,11.0,.545,2.0,6.0,.333,6,7.0,.857,0.0,3.0,3.0,2.0,0.0,0.0,0.0,1.0,20.0,16.2,-13,5.0,4.0,0.8,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,7.0,55.0,3.055555555555556,13.799999999999995,63.399999999999984,3.5222222222222213
24,24,24,2022-12-09,30-193,SAC,@,CLE,W (+11),1,36:26,5.0,9.0,.556,3.0,6.0,.500,7,10.0,.700,0.0,3.0,3.0,1.0,0.0,1.0,4.0,2.0,20.0,12.0,+9,3.0,2.0,0.6666666666666666,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,2.0,64.0,3.555555555555556,9.199999999999996,68.59999999999998,3.81111111111111
25,25,25,2022-12-11,30-195,SAC,@,NYK,L (-13),1,34:53,4.0,10.0,.400,1.0,5.0,.200,6,9.0,.667,0.0,2.0,2.0,2.0,0.0,0.0,3.0,2.0,15.0,6.6,-12,5.0,3.0,0.6,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,-3.0,35.0,1.9444444444444444,4.200000000000002,48.49999999999999,2.694444444444444
26,26,26,2022-12-13,30-197,SAC,@,PHI,L (-20),1,30:35,4.0,12.0,.333,1.0,6.0,.167,2,2.0,1.000,1.0,7.0,8.0,2.0,1.0,0.0,1.0,1.0,11.0,8.0,-20,6.0,3.0,0.5,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,7.0,45.0,2.5,7.1999999999999975,54.899999999999984,3.049999999999999
27,27,27,2022-12-14,30-198,SAC,@,TOR,W (+1),1,36:21,4.0,8.0,.500,0.0,4.0,.000,4,4.0,1.000,2.0,6.0,8.0,3.0,0.0,0.0,0.0,1.0,12.0,12.9,+8,4.0,4.0,1.0,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,11.0,70.0,3.888888888888889,11.3,82.39999999999999,4.5777777777777775
28,28,28,2022-12-16,30-200,SAC,@,DET,W (+9),1,36:35,5.0,9.0,.556,3.0,4.0,.750,6,6.0,1.000,1.0,6.0,7.0,2.0,3.0,0.0,3.0,3.0,19.0,17.4,+16,5.0,2.0,0.4,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,13.0,61.0,3.388888888888889,14.999999999999996,75.80000000000001,4.211111111111112
29,29,29,2022-12-19,30-203,SAC,,CHO,L (-6),1,29:29,3.0,7.0,.429,0.0,2.0,.000,5,8.0,.625,0.0,3.0,3.0,3.0,2.0,0.0,1.0,1.0,11.0,9.7,+2,5.0,3.0,0.6,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,3.0,57.0,3.1666666666666665,7.700000000000001,75.3,4.183333333333334
30,30,30,2022-12-21,30-205,SAC,,LAL,W (+14),1,33:56,8.0,15.0,.533,3.0,7.0,.429,1,3.0,.333,1.0,7.0,8.0,1.0,0.0,0.0,0.0,0.0,20.0,15.4,+8,8.0,5.0,0.625,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,11.0,73.0,4.055555555555555,15.0,86.8,4.822222222222222
31,31,31,2022-12-23,30-207,SAC,,WAS,L (-14),1,37:59,4.0,13.0,.308,2.0,7.0,.286,1,2.0,.500,0.0,5.0,5.0,0.0,0.0,0.0,2.0,1.0,11.0,2.2,-2,6.0,2.0,0.3333333333333333,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,-1.0,53.0,2.9444444444444446,1.8000000000000005,69.2,3.8444444444444446
32,32,32,2022-12-27,30-211,SAC,,DEN,L (-7),1,32:49,5.0,11.0,.455,1.0,4.0,.250,2,2.0,1.000,2.0,6.0,8.0,1.0,1.0,0.0,0.0,3.0,13.0,11.0,-9,7.0,4.0,0.5714285714285714,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,10.0,49.0,2.7222222222222223,10.2,63.6,3.533333333333333
