Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alex Len,Shared Games with Chima Moneke,Shared Games with Chimezie Metu,Shared Games with Davion Mitchell,Shared Games with De'Aaron Fox,Shared Games with Domantas Sabonis,Shared Games with Harrison Barnes,Shared Games with Keegan Murray,Shared Games with Keon Ellis,Shared Games with Kevin Huerter,Shared Games with KZ Okpala,Shared Games with Matthew Dellavedova,Shared Games with Neemias Queta,Shared Games with PJ Dozier,Shared Games with Richaun Holmes,Shared Games with Terence Davis,Shared Games with Trey Lyles,Alex Len,Chima Moneke,Chimezie Metu,Davion Mitchell,De'Aaron Fox,Deonte Burton,Domantas Sabonis,Harrison Barnes,Keegan Murray,Keon Ellis,Kevin Huerter,KZ Okpala,Matthew Dellavedova,Neemias Queta,PJ Dozier,Richaun Holmes,Terence Davis,Trey Lyles,co_inf with Alex Len,co_inf with Chima Moneke,co_inf with Chimezie Metu,co_inf with Davion Mitchell,co_inf with De'Aaron Fox,co_inf with Deonte Burton,co_inf with Domantas Sabonis,co_inf with Harrison Barnes,co_inf with Keegan Murray,co_inf with Keon Ellis,co_inf with Kevin Huerter,co_inf with KZ Okpala,co_inf with Matthew Dellavedova,co_inf with Neemias Queta,co_inf with PJ Dozier,co_inf with Richaun Holmes,co_inf with Terence Davis,co_inf with Trey Lyles,Shared Games with Kessler Edwards,JD Davison,Kessler Edwards,co_inf with Kessler Edwards,co_inf with JD Davison,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
51,50,49,2023-02-01,24-362,SAC,@,SAS,W (+10),0,32:53,8.0,13.0,.615,2.0,3.0,.667,4,4.0,1.000,0.0,3.0,3.0,5.0,3.0,0.0,2.0,1.0,22.0,21.1,+9,10.0,6.0,0.6,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,14.0,59.0,3.2777777777777777,19.5,76.1,4.227777777777778
52,51,50,2023-02-03,24-364,SAC,@,IND,L (-3),0,27:58,4.0,10.0,.400,1.0,1.0,1.000,3,3.0,1.000,2.0,3.0,5.0,5.0,0.0,1.0,5.0,3.0,12.0,6.9,+9,9.0,3.0,0.3333333333333333,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,5.0,58.0,3.2222222222222223,5.699999999999999,65.3,3.6277777777777778
53,52,51,2023-02-05,25-001,SAC,@,NOP,L (-32),0,23:35,7.0,13.0,.538,0.0,4.0,.000,2,2.0,1.000,1.0,3.0,4.0,3.0,1.0,0.0,2.0,2.0,16.0,11.6,-1,9.0,7.0,0.7777777777777778,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,7.0,45.0,2.5,10.8,56.3,3.1277777777777778
54,53,52,2023-02-06,25-002,SAC,@,HOU,W (+20),0,22:25,6.0,12.0,.500,4.0,7.0,.571,4,4.0,1.000,0.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,20.0,13.7,+11,5.0,2.0,0.4,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,5.0,104.0,5.777777777777778,12.1,112.1,6.227777777777778
55,54,53,2023-02-08,25-004,SAC,@,HOU,W (+2),0,28:55,5.0,11.0,.455,3.0,6.0,.500,4,4.0,1.000,1.0,3.0,4.0,3.0,2.0,0.0,2.0,1.0,17.0,14.6,+5,5.0,2.0,0.4,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,9.0,64.0,3.555555555555556,12.999999999999996,90.39999999999998,5.022222222222221
56,55,54,2023-02-10,25-006,SAC,,DAL,L (-8),0,15:04,3.0,7.0,.429,0.0,2.0,.000,2,2.0,1.000,0.0,2.0,2.0,4.0,0.0,1.0,2.0,1.0,8.0,6.0,-18,5.0,3.0,0.6,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,4.0,57.0,3.1666666666666665,5.199999999999998,72.5,4.027777777777778
57,56,,2023-02-11,25-007,SAC,,DAL,W (+5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,,82.0,4.555555555555555,0.0,103.4,5.7444444444444445
58,57,,2023-02-14,25-010,SAC,@,PHO,L (-11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,,58.0,3.2222222222222223,0.0,73.80000000000001,4.1000000000000005
59,58,55,2023-02-23,25-019,SAC,,POR,W (+17),0,20:45,6.0,10.0,.600,1.0,3.0,.333,2,4.0,.500,1.0,2.0,3.0,2.0,0.0,0.0,1.0,1.0,15.0,10.9,+18,7.0,5.0,0.7142857142857143,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,5.0,87.0,4.833333333333333,10.099999999999998,98.0,5.444444444444445
60,59,56,2023-02-24,25-020,SAC,@,LAC,W (+1),0,40:38,15.0,24.0,.625,6.0,12.0,.500,9,10.0,.900,0.0,2.0,2.0,6.0,0.0,0.0,2.0,3.0,45.0,35.4,+22,12.0,9.0,0.75,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,17.0,92.0,5.111111111111111,31.8,111.8,6.211111111111111
61,60,57,2023-02-26,25-022,SAC,@,OKC,W (+9),0,20:07,4.0,6.0,.667,4.0,5.0,.800,0,0.0,,0.0,3.0,3.0,2.0,0.0,0.0,4.0,4.0,12.0,6.1,-2,1.0,0.0,0.0,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,7.0,77.0,4.277777777777778,6.100000000000001,89.1,4.949999999999999
62,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,,0.0,0.0,0.0,0.0,0.0
63,61,58,2023-02-28,25-024,SAC,@,OKC,W (+6),0,15:26,2.0,4.0,.500,1.0,3.0,.333,2,2.0,1.000,1.0,2.0,3.0,2.0,0.0,0.0,3.0,2.0,7.0,3.9,-12,1.0,1.0,1.0,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,3.0,82.0,4.555555555555555,3.1000000000000005,89.10000000000001,4.95
64,62,59,2023-03-03,25-027,SAC,,LAC,W (+1),0,23:14,1.0,8.0,.125,0.0,5.0,.000,2,2.0,1.000,0.0,2.0,2.0,8.0,0.0,0.0,3.0,1.0,4.0,1.6,+13,3.0,1.0,0.3333333333333333,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,1.0,79.0,4.388888888888889,0.8000000000000003,94.2,5.233333333333333
65,63,60,2023-03-04,25-028,SAC,,MIN,L (-4),0,20:01,1.0,4.0,.250,0.0,2.0,.000,6,7.0,.857,0.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,8.0,8.6,-6,2.0,1.0,0.5,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,3.0,71.0,3.9444444444444446,6.200000000000001,95.3,5.294444444444444
66,64,61,2023-03-06,25-030,SAC,,NOP,W (+15),0,12:16,3.0,4.0,.750,1.0,2.0,.500,4,5.0,.800,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,11.0,7.6,+1,2.0,2.0,1.0,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,2.0,96.0,5.333333333333333,5.999999999999998,107.8,5.988888888888889
67,65,62,2023-03-09,25-033,SAC,,NYK,W (+5),0,19:57,6.0,10.0,.600,4.0,6.0,.667,3,3.0,1.000,0.0,5.0,5.0,5.0,0.0,1.0,1.0,2.0,19.0,18.3,+1,4.0,2.0,0.5,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,16.0,61.0,3.388888888888889,17.099999999999998,77.19999999999999,4.288888888888888
68,66,63,2023-03-11,25-035,SAC,@,PHO,W (+9),0,24:58,5.0,10.0,.500,4.0,6.0,.667,4,5.0,.800,0.0,4.0,4.0,5.0,2.0,1.0,2.0,2.0,18.0,17.2,+20,4.0,1.0,0.25,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,13.0,37.0,2.055555555555556,15.599999999999998,62.7,3.4833333333333334
69,67,64,2023-03-13,25-037,SAC,,MIL,L (-9),0,20:01,3.0,8.0,.375,0.0,1.0,.000,0,2.0,.000,1.0,1.0,2.0,5.0,2.0,0.0,2.0,1.0,6.0,4.9,+3,7.0,3.0,0.4285714285714285,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,3.0,93.0,5.166666666666667,4.900000000000001,98.90000000000002,5.494444444444445
70,68,65,2023-03-15,25-039,SAC,@,CHI,W (+3),0,23:40,6.0,10.0,.600,5.0,8.0,.625,2,2.0,1.000,0.0,4.0,4.0,3.0,1.0,1.0,3.0,2.0,19.0,15.6,-5,2.0,1.0,0.5,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,13.0,56.0,3.111111111111111,14.799999999999994,63.59999999999998,3.5333333333333323
71,69,66,2023-03-16,25-040,SAC,@,BRK,W (+5),0,28:34,3.0,11.0,.273,3.0,8.0,.375,3,4.0,.750,1.0,4.0,5.0,6.0,0.0,0.0,2.0,1.0,12.0,8.8,+20,3.0,0.0,0.0,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,6.0,49.0,2.7222222222222223,7.599999999999998,54.8,3.0444444444444443
72,70,67,2023-03-18,25-042,SAC,@,WAS,W (+14),0,23:23,6.0,12.0,.500,5.0,7.0,.714,0,0.0,,0.0,4.0,4.0,6.0,0.0,1.0,1.0,3.0,17.0,14.9,+14,5.0,1.0,0.2,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,15.0,90.0,5.0,14.9,100.0,5.555555555555555
73,71,68,2023-03-20,25-044,SAC,@,UTA,L (-8),0,23:43,4.0,15.0,.267,3.0,12.0,.250,4,5.0,.800,0.0,3.0,3.0,3.0,1.0,0.0,1.0,4.0,15.0,7.1,-24,3.0,1.0,0.3333333333333333,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,1.0,74.0,4.111111111111111,5.500000000000002,85.39999999999999,4.744444444444444
74,72,69,2023-03-21,25-045,SAC,,BOS,L (-23),0,17:08,1.0,7.0,.143,0.0,4.0,.000,4,4.0,1.000,0.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,6.0,4.1,-19,3.0,1.0,0.3333333333333333,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,0.0,63.0,3.5,2.499999999999999,72.89999999999999,4.05
75,73,70,2023-03-24,25-048,SAC,,PHO,W (+8),0,18:55,2.0,7.0,.286,1.0,4.0,.250,3,3.0,1.000,1.0,2.0,3.0,3.0,0.0,0.0,0.0,1.0,8.0,6.9,-14,3.0,1.0,0.3333333333333333,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,4.0,82.0,4.555555555555555,5.699999999999999,105.9,5.883333333333334
76,74,71,2023-03-25,25-049,SAC,,UTA,W (+8),0,9:46,3.0,5.0,.600,2.0,3.0,.667,0,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,8.0,6.4,-3,2.0,1.0,0.5,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,5.0,74.0,4.111111111111111,6.399999999999999,92.4,5.133333333333334
77,75,72,2023-03-27,25-051,SAC,,MIN,L (-4),0,26:36,4.0,13.0,.308,0.0,4.0,.000,4,4.0,1.000,0.0,1.0,1.0,3.0,0.0,0.0,2.0,2.0,12.0,4.1,-6,9.0,4.0,0.4444444444444444,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,-3.0,60.0,3.333333333333333,2.500000000000001,72.60000000000002,4.033333333333335
78,76,73,2023-03-29,25-053,SAC,@,POR,W (+40),0,21:55,6.0,12.0,.500,5.0,9.0,.556,2,2.0,1.000,0.0,6.0,6.0,6.0,1.0,0.0,1.0,0.0,19.0,19.0,+34,3.0,1.0,0.3333333333333333,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,17.0,78.0,4.333333333333333,18.2,84.80000000000001,4.711111111111112
79,77,74,2023-03-31,25-055,SAC,@,POR,W (+24),0,24:47,8.0,12.0,.667,4.0,7.0,.571,0,0.0,,0.0,2.0,2.0,5.0,1.0,1.0,0.0,3.0,20.0,19.4,,5.0,4.0,0.8,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,17.0,99.0,5.5,19.4,102.8,5.711111111111111
80,78,,2023-04-02,25-057,SAC,,SAS,L (-8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,,65.0,3.611111111111111,0.0,96.5,5.361111111111111
81,79,75,2023-04-04,25-059,SAC,@,NOP,W (+18),0,23:03,6.0,9.0,.667,2.0,5.0,.400,3,4.0,.750,0.0,2.0,2.0,3.0,2.0,0.0,0.0,2.0,17.0,16.6,+23,4.0,4.0,1.0,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,11.0,85.0,4.722222222222222,15.4,90.89999999999998,5.049999999999999
