Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alex Len,Shared Games with Chima Moneke,Shared Games with Chimezie Metu,Shared Games with Davion Mitchell,Shared Games with Domantas Sabonis,Shared Games with Harrison Barnes,Shared Games with Keegan Murray,Shared Games with Keon Ellis,Shared Games with Kevin Huerter,Shared Games with KZ Okpala,Shared Games with Malik Monk,Shared Games with Matthew Dellavedova,Shared Games with Neemias Queta,Shared Games with PJ Dozier,Shared Games with Richaun Holmes,Shared Games with Terence Davis,Shared Games with Trey Lyles,Alex Len,Chima Moneke,Chimezie Metu,Davion Mitchell,Deonte Burton,Domantas Sabonis,Harrison Barnes,Keegan Murray,Keon Ellis,Kevin Huerter,KZ Okpala,Malik Monk,Matthew Dellavedova,Neemias Queta,PJ Dozier,Richaun Holmes,Terence Davis,Trey Lyles,co_inf with Alex Len,co_inf with Chima Moneke,co_inf with Chimezie Metu,co_inf with Davion Mitchell,co_inf with Deonte Burton,co_inf with Domantas Sabonis,co_inf with Harrison Barnes,co_inf with Keegan Murray,co_inf with Keon Ellis,co_inf with Kevin Huerter,co_inf with KZ Okpala,co_inf with Malik Monk,co_inf with Matthew Dellavedova,co_inf with Neemias Queta,co_inf with PJ Dozier,co_inf with Richaun Holmes,co_inf with Terence Davis,co_inf with Trey Lyles,Shared Games with Kessler Edwards,JD Davison,Kessler Edwards,co_inf with Kessler Edwards,co_inf with JD Davison,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
30,30,27,2022-12-21,25-001,SAC,,LAL,W (+14),1,30:19,7.0,13.0,.538,0.0,3.0,.000,8,9.0,.889,0.0,4.0,4.0,6.0,0.0,0.0,2.0,4.0,22.0,17.1,-3,10.0,7.0,0.7,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,8.0,76.0,4.222222222222222,13.9,87.89999999999999,4.883333333333333
31,31,28,2022-12-23,25-003,SAC,,WAS,L (-14),1,34:41,9.0,16.0,.563,0.0,3.0,.000,8,13.0,.615,1.0,6.0,7.0,3.0,1.0,1.0,1.0,4.0,26.0,20.1,-10,13.0,9.0,0.6923076923076923,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,8.0,44.0,2.4444444444444446,16.900000000000006,54.1,3.0055555555555555
32,32,29,2022-12-27,25-007,SAC,,DEN,L (-7),1,30:30,10.0,16.0,.625,3.0,5.0,.600,3,5.0,.600,0.0,1.0,1.0,4.0,0.0,0.0,5.0,1.0,26.0,15.7,-8,11.0,7.0,0.6363636363636364,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,5.0,54.0,3.0,14.500000000000004,59.29999999999998,3.2944444444444434
33,33,30,2022-12-28,25-008,SAC,,DEN,W (+1),1,36:55,12.0,21.0,.571,2.0,6.0,.333,5,5.0,1.000,0.0,2.0,2.0,13.0,1.0,0.0,4.0,1.0,31.0,27.4,+5,15.0,10.0,0.6666666666666666,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,17.0,73.0,4.055555555555555,25.4,85.7,4.761111111111111
34,34,31,2022-12-30,25-010,SAC,,UTA,W (+1),1,38:42,10.0,24.0,.417,1.0,5.0,.200,3,4.0,.750,0.0,3.0,3.0,10.0,0.0,0.0,1.0,2.0,24.0,16.9,+8,19.0,9.0,0.4736842105263157,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,8.0,72.0,4.0,15.7,81.19999999999999,4.51111111111111
35,35,32,2023-01-01,25-012,SAC,@,MEM,L (-10),1,35:32,7.0,18.0,.389,2.0,4.0,.500,3,3.0,1.000,1.0,3.0,4.0,6.0,1.0,0.0,5.0,1.0,19.0,10.6,-2,14.0,5.0,0.3571428571428571,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,4.0,60.0,3.333333333333333,9.399999999999997,65.1,3.6166666666666663
36,36,33,2023-01-03,25-014,SAC,@,UTA,W (+2),1,37:51,15.0,22.0,.682,1.0,5.0,.200,6,8.0,.750,0.0,3.0,3.0,6.0,1.0,2.0,4.0,2.0,37.0,29.5,-6,17.0,14.0,0.8235294117647058,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,15.0,55.0,3.055555555555556,27.099999999999994,54.19999999999998,3.01111111111111
37,37,34,2023-01-04,25-015,SAC,,ATL,L (-3),1,36:59,9.0,20.0,.450,0.0,1.0,.000,7,7.0,1.000,0.0,5.0,5.0,5.0,2.0,0.0,1.0,2.0,25.0,19.8,-7,19.0,9.0,0.4736842105263157,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,9.0,63.0,3.5,17.0,72.3,4.016666666666667
38,38,35,2023-01-07,25-018,SAC,,LAL,L (-2),1,37:53,11.0,21.0,.524,0.0,2.0,.000,12,14.0,.857,0.0,2.0,2.0,9.0,0.0,0.0,3.0,4.0,34.0,25.2,-2,19.0,11.0,0.5789473684210527,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,7.0,58.0,3.2222222222222223,20.399999999999995,72.89999999999999,4.05
39,39,36,2023-01-09,25-020,SAC,,ORL,W (+25),1,28:34,5.0,14.0,.357,1.0,7.0,.143,0,0.0,,1.0,1.0,2.0,9.0,0.0,0.0,2.0,1.0,11.0,8.1,+19,7.0,4.0,0.5714285714285714,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,6.0,102.0,5.666666666666667,8.100000000000001,109.8,6.1
40,40,37,2023-01-11,25-022,SAC,,HOU,W (+20),1,32:02,9.0,18.0,.500,2.0,4.0,.500,4,6.0,.667,1.0,1.0,2.0,9.0,1.0,0.0,1.0,0.0,24.0,21.5,+11,14.0,7.0,0.5,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,11.0,68.0,3.7777777777777777,19.9,78.1,4.338888888888889
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,,0.0,0.0,0.0,0.0,0.0
42,41,38,2023-01-13,25-024,SAC,,HOU,W (+25),1,33:25,9.0,14.0,.643,3.0,5.0,.600,3,3.0,1.000,2.0,3.0,5.0,5.0,1.0,0.0,5.0,1.0,24.0,19.2,+19,9.0,6.0,0.6666666666666666,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,13.0,95.0,5.277777777777778,18.000000000000004,105.20000000000002,5.844444444444445
43,42,39,2023-01-15,25-026,SAC,@,SAS,W (+13),1,36:35,11.0,21.0,.524,1.0,4.0,.250,0,0.0,,0.0,1.0,1.0,3.0,0.0,0.0,1.0,3.0,23.0,12.9,+4,17.0,10.0,0.5882352941176471,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,5.0,77.0,4.277777777777778,12.9,91.2,5.066666666666666
44,43,40,2023-01-18,25-029,SAC,@,LAL,W (+5),1,39:07,13.0,23.0,.565,2.0,7.0,.286,3,7.0,.429,0.0,3.0,3.0,6.0,1.0,0.0,2.0,0.0,31.0,22.6,+19,16.0,11.0,0.6875,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,9.0,60.0,3.333333333333333,21.4,65.8,3.6555555555555554
45,44,41,2023-01-20,25-031,SAC,,OKC,W (+5),1,38:18,10.0,23.0,.435,2.0,6.0,.333,3,7.0,.429,0.0,4.0,4.0,2.0,0.0,0.0,1.0,3.0,25.0,11.7,+3,17.0,8.0,0.4705882352941176,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,0.0,69.0,3.8333333333333335,10.5,70.99999999999999,3.9444444444444438
46,45,42,2023-01-21,25-032,SAC,,PHI,L (-2),1,38:13,11.0,19.0,.579,0.0,2.0,.000,9,10.0,.900,0.0,4.0,4.0,9.0,2.0,0.0,1.0,2.0,31.0,29.4,+3,17.0,11.0,0.6470588235294118,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,16.0,58.0,3.2222222222222223,25.8,72.6,4.033333333333333
47,46,43,2023-01-23,25-034,SAC,,MEM,W (+33),1,32:54,7.0,14.0,.500,1.0,3.0,.333,2,2.0,1.000,1.0,4.0,5.0,10.0,4.0,0.0,6.0,1.0,17.0,16.5,+14,11.0,6.0,0.5454545454545454,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,14.0,94.0,5.222222222222222,15.700000000000006,96.6,5.366666666666666
48,47,44,2023-01-25,25-036,SAC,,TOR,L (-18),1,30:15,7.0,12.0,.583,1.0,2.0,.500,1,1.0,1.000,1.0,3.0,4.0,8.0,0.0,0.0,4.0,4.0,16.0,12.0,-30,10.0,6.0,0.6,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,11.0,50.0,2.7777777777777777,11.600000000000003,56.8,3.1555555555555554
49,48,45,2023-01-28,25-039,SAC,@,MIN,L (-7),1,34:45,10.0,24.0,.417,1.0,7.0,.143,8,10.0,.800,0.0,3.0,3.0,6.0,2.0,0.0,0.0,5.0,29.0,20.5,-7,17.0,9.0,0.5294117647058824,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,6.0,41.0,2.2777777777777777,17.299999999999997,54.2,3.011111111111111
50,49,46,2023-01-30,25-041,SAC,@,MIN,W (+7),1,41:01,13.0,27.0,.481,2.0,4.0,.500,4,5.0,.800,0.0,5.0,5.0,4.0,2.0,1.0,2.0,2.0,32.0,22.1,+2,23.0,11.0,0.4782608695652174,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,10.0,63.0,3.5,20.500000000000004,67.9,3.7722222222222226
51,50,47,2023-02-01,25-043,SAC,@,SAS,W (+10),1,38:20,13.0,23.0,.565,2.0,4.0,.500,3,3.0,1.000,1.0,1.0,2.0,10.0,3.0,1.0,1.0,3.0,31.0,29.6,+17,19.0,11.0,0.5789473684210527,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,20.0,53.0,2.9444444444444446,28.40000000000001,67.19999999999997,3.733333333333332
52,51,,2023-02-03,25-045,SAC,@,IND,L (-3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,,63.0,3.5,0.0,71.0,3.9444444444444446
53,52,,2023-02-05,25-047,SAC,@,NOP,L (-32),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,,52.0,2.888888888888889,0.0,67.1,3.7277777777777774
54,53,48,2023-02-06,25-048,SAC,@,HOU,W (+20),1,29:18,5.0,12.0,.417,0.0,1.0,.000,6,9.0,.667,1.0,3.0,4.0,8.0,2.0,1.0,4.0,3.0,16.0,13.1,+13,11.0,5.0,0.4545454545454545,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,6.0,103.0,5.722222222222222,10.699999999999996,113.5,6.305555555555555
55,54,49,2023-02-08,25-050,SAC,@,HOU,W (+2),1,37:34,11.0,23.0,.478,0.0,3.0,.000,9,10.0,.900,1.0,4.0,5.0,11.0,2.0,0.0,3.0,2.0,31.0,26.7,-4,20.0,11.0,0.55,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,13.0,60.0,3.333333333333333,23.1,80.29999999999998,4.46111111111111
56,55,50,2023-02-10,25-052,SAC,,DAL,L (-8),1,38:36,10.0,16.0,.625,1.0,5.0,.200,12,14.0,.857,0.0,6.0,6.0,5.0,0.0,1.0,3.0,4.0,33.0,26.4,+7,11.0,9.0,0.8181818181818182,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,12.0,49.0,2.7222222222222223,21.6,56.09999999999998,3.1166666666666654
57,56,51,2023-02-11,25-053,SAC,,DAL,W (+5),1,41:30,12.0,23.0,.522,0.0,4.0,.000,12,14.0,.857,1.0,3.0,4.0,5.0,2.0,0.0,4.0,0.0,36.0,27.0,+4,19.0,12.0,0.631578947368421,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,6.0,76.0,4.222222222222222,22.2,81.2,4.511111111111111
58,57,52,2023-02-14,25-056,SAC,@,PHO,L (-11),1,38:26,12.0,22.0,.545,4.0,7.0,.571,7,8.0,.875,2.0,2.0,4.0,4.0,1.0,0.0,5.0,3.0,35.0,23.6,+3,15.0,8.0,0.5333333333333333,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,9.0,49.0,2.7222222222222223,20.8,53.000000000000014,2.944444444444445
59,58,53,2023-02-23,25-065,SAC,,POR,W (+17),1,25:41,11.0,15.0,.733,2.0,4.0,.500,7,8.0,.875,0.0,3.0,3.0,3.0,1.0,0.0,4.0,1.0,31.0,24.1,+3,11.0,9.0,0.8181818181818182,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,11.0,81.0,4.5,21.3,86.79999999999998,4.822222222222221
60,59,54,2023-02-24,25-066,SAC,@,LAC,W (+1),1,45:02,17.0,27.0,.630,2.0,4.0,.500,6,11.0,.545,0.0,5.0,5.0,12.0,5.0,0.0,3.0,3.0,42.0,38.6,-2,23.0,15.0,0.6521739130434783,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,23.0,86.0,4.777777777777778,36.2,107.39999999999998,5.966666666666665
61,60,55,2023-02-26,25-068,SAC,@,OKC,W (+9),1,36:48,11.0,19.0,.579,3.0,9.0,.333,8,12.0,.667,1.0,2.0,3.0,8.0,2.0,0.0,2.0,3.0,33.0,28.2,+10,10.0,8.0,0.8,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,13.0,71.0,3.9444444444444446,25.000000000000007,70.19999999999999,3.8999999999999995
