Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alex Len,Shared Games with Chima Moneke,Shared Games with Chimezie Metu,Shared Games with Davion Mitchell,Shared Games with De'Aaron Fox,Shared Games with Domantas Sabonis,Shared Games with Harrison Barnes,Shared Games with Keegan Murray,Shared Games with Keon Ellis,Shared Games with KZ Okpala,Shared Games with Malik Monk,Shared Games with Matthew Dellavedova,Shared Games with Neemias Queta,Shared Games with PJ Dozier,Shared Games with Richaun Holmes,Shared Games with Terence Davis,Shared Games with Trey Lyles,Alex Len,Chima Moneke,Chimezie Metu,Davion Mitchell,De'Aaron Fox,Deonte Burton,Domantas Sabonis,Harrison Barnes,Keegan Murray,Keon Ellis,KZ Okpala,Malik Monk,Matthew Dellavedova,Neemias Queta,PJ Dozier,Richaun Holmes,Terence Davis,Trey Lyles,co_inf with Alex Len,co_inf with Chima Moneke,co_inf with Chimezie Metu,co_inf with Davion Mitchell,co_inf with De'Aaron Fox,co_inf with Deonte Burton,co_inf with Domantas Sabonis,co_inf with Harrison Barnes,co_inf with Keegan Murray,co_inf with Keon Ellis,co_inf with KZ Okpala,co_inf with Malik Monk,co_inf with Matthew Dellavedova,co_inf with Neemias Queta,co_inf with PJ Dozier,co_inf with Richaun Holmes,co_inf with Terence Davis,co_inf with Trey Lyles,Shared Games with Kessler Edwards,JD Davison,Kessler Edwards,co_inf with Kessler Edwards,co_inf with JD Davison,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
18,19,19,2022-11-28,24-093,SAC,,PHO,L (-5),1,32:26,8.0,15.0,.533,0.0,5.0,.000,2,3.0,.667,1.0,6.0,7.0,3.0,3.0,0.0,2.0,2.0,18.0,15.1,-6,10.0,8.0,0.8,24,2,59,73,67,73,75,73,10,33,71,27,5,15,37,57,68,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8939393939393939,0.9125,0.9178082191780822,0.0,0.9240506329113924,0.9146341463414634,0.9125,0.625,0.9428571428571428,0.922077922077922,0.84375,1.0,0.9375,0.8809523809523809,0.890625,0.918918918918919,17,12.0,36.0,0.4722222222222222,0.0,18,11.0,70.0,3.888888888888889,14.299999999999995,81.2,4.511111111111111
19,20,20,2022-11-30,24-095,SAC,,IND,W (+23),1,27:31,5.0,10.0,.500,2.0,6.0,.333,1,2.0,.500,1.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,13.0,9.1,+25,4.0,3.0,0.75,24,2,59,73,67,73,75,73,10,33,71,27,5,15,37,57,68,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8939393939393939,0.9125,0.9178082191780822,0.0,0.9240506329113924,0.9146341463414634,0.9125,0.625,0.9428571428571428,0.922077922077922,0.84375,1.0,0.9375,0.8809523809523809,0.890625,0.918918918918919,17,12.0,36.0,0.4722222222222222,0.0,18,6.0,87.0,4.833333333333333,8.699999999999998,93.6,5.199999999999999
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,24,2,59,73,67,73,75,73,10,33,71,27,5,15,37,57,68,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8939393939393939,0.9125,0.9178082191780822,0.0,0.9240506329113924,0.9146341463414634,0.9125,0.625,0.9428571428571428,0.922077922077922,0.84375,1.0,0.9375,0.8809523809523809,0.890625,0.918918918918919,17,12.0,36.0,0.4722222222222222,0.0,18,,0.0,0.0,0.0,0.0,0.0
21,21,21,2022-12-03,24-098,SAC,@,LAC,W (+27),1,30:04,4.0,8.0,.500,1.0,3.0,.333,3,3.0,1.000,1.0,1.0,2.0,4.0,1.0,0.0,0.0,2.0,12.0,12.0,+22,5.0,3.0,0.6,24,2,59,73,67,73,75,73,10,33,71,27,5,15,37,57,68,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8939393939393939,0.9125,0.9178082191780822,0.0,0.9240506329113924,0.9146341463414634,0.9125,0.625,0.9428571428571428,0.922077922077922,0.84375,1.0,0.9375,0.8809523809523809,0.890625,0.918918918918919,17,12.0,36.0,0.4722222222222222,0.0,18,8.0,78.0,4.333333333333333,10.799999999999995,88.6,4.922222222222222
22,22,22,2022-12-04,24-099,SAC,,CHI,W (+9),1,31:37,5.0,18.0,.278,1.0,11.0,.091,1,2.0,.500,0.0,0.0,0.0,3.0,1.0,0.0,2.0,3.0,12.0,0.9,+7,7.0,4.0,0.5714285714285714,24,2,59,73,67,73,75,73,10,33,71,27,5,15,37,57,68,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8939393939393939,0.9125,0.9178082191780822,0.0,0.9240506329113924,0.9146341463414634,0.9125,0.625,0.9428571428571428,0.922077922077922,0.84375,1.0,0.9375,0.8809523809523809,0.890625,0.918918918918919,17,12.0,36.0,0.4722222222222222,0.0,18,-6.0,81.0,4.5,0.5000000000000018,81.10000000000001,4.505555555555556
23,23,23,2022-12-07,24-102,SAC,@,MIL,L (-13),1,32:40,5.0,9.0,.556,3.0,6.0,.500,0,0.0,,1.0,2.0,3.0,3.0,0.0,0.0,2.0,3.0,13.0,8.9,-19,3.0,2.0,0.6666666666666666,24,2,59,73,67,73,75,73,10,33,71,27,5,15,37,57,68,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8939393939393939,0.9125,0.9178082191780822,0.0,0.9240506329113924,0.9146341463414634,0.9125,0.625,0.9428571428571428,0.922077922077922,0.84375,1.0,0.9375,0.8809523809523809,0.890625,0.918918918918919,17,12.0,36.0,0.4722222222222222,0.0,18,8.0,54.0,3.0,8.899999999999999,68.29999999999997,3.7944444444444425
24,24,24,2022-12-09,24-104,SAC,@,CLE,W (+11),1,33:49,7.0,15.0,.467,3.0,7.0,.429,2,2.0,1.000,0.0,5.0,5.0,2.0,3.0,0.0,1.0,2.0,19.0,15.4,+14,8.0,4.0,0.5,24,2,59,73,67,73,75,73,10,33,71,27,5,15,37,57,68,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8939393939393939,0.9125,0.9178082191780822,0.0,0.9240506329113924,0.9146341463414634,0.9125,0.625,0.9428571428571428,0.922077922077922,0.84375,1.0,0.9375,0.8809523809523809,0.890625,0.918918918918919,17,12.0,36.0,0.4722222222222222,0.0,18,11.0,55.0,3.055555555555556,14.599999999999998,63.19999999999997,3.5111111111111093
25,25,25,2022-12-11,24-106,SAC,@,NYK,L (-13),1,39:22,6.0,16.0,.375,2.0,9.0,.222,3,6.0,.500,2.0,3.0,5.0,6.0,2.0,0.0,2.0,3.0,17.0,12.3,+4,7.0,4.0,0.5714285714285714,24,2,59,73,67,73,75,73,10,33,71,27,5,15,37,57,68,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8939393939393939,0.9125,0.9178082191780822,0.0,0.9240506329113924,0.9146341463414634,0.9125,0.625,0.9428571428571428,0.922077922077922,0.84375,1.0,0.9375,0.8809523809523809,0.890625,0.918918918918919,17,12.0,36.0,0.4722222222222222,0.0,18,6.0,26.0,1.4444444444444444,11.099999999999994,41.6,2.3111111111111113
26,26,26,2022-12-13,24-108,SAC,@,PHI,L (-20),1,23:48,3.0,8.0,.375,1.0,5.0,.200,0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,7.0,-0.1,-20,3.0,2.0,0.6666666666666666,24,2,59,73,67,73,75,73,10,33,71,27,5,15,37,57,68,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8939393939393939,0.9125,0.9178082191780822,0.0,0.9240506329113924,0.9146341463414634,0.9125,0.625,0.9428571428571428,0.922077922077922,0.84375,1.0,0.9375,0.8809523809523809,0.890625,0.918918918918919,17,12.0,36.0,0.4722222222222222,0.0,18,-3.0,55.0,3.055555555555556,-0.1000000000000009,62.19999999999999,3.455555555555555
27,27,,2022-12-14,24-109,SAC,@,TOR,W (+1),Did Not Dress,Did Not Dress,0.0,0.0,Did Not Dress,,,Did Not Dress,Did Not Dress,0.0,Did Not Dress,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Dress,Did Not Dress,,,,24,2,59,73,67,73,75,73,10,33,71,27,5,15,37,57,68,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8939393939393939,0.9125,0.9178082191780822,0.0,0.9240506329113924,0.9146341463414634,0.9125,0.625,0.9428571428571428,0.922077922077922,0.84375,1.0,0.9375,0.8809523809523809,0.890625,0.918918918918919,17,12.0,36.0,0.4722222222222222,0.0,18,,81.0,4.5,0.0,93.7,5.205555555555556
28,28,27,2022-12-16,24-111,SAC,@,DET,W (+9),1,28:42,5.0,9.0,.556,3.0,6.0,.500,0,0.0,,1.0,1.0,2.0,4.0,1.0,0.0,0.0,5.0,13.0,11.5,+21,3.0,2.0,0.6666666666666666,24,2,59,73,67,73,75,73,10,33,71,27,5,15,37,57,68,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8939393939393939,0.9125,0.9178082191780822,0.0,0.9240506329113924,0.9146341463414634,0.9125,0.625,0.9428571428571428,0.922077922077922,0.84375,1.0,0.9375,0.8809523809523809,0.890625,0.918918918918919,17,12.0,36.0,0.4722222222222222,0.0,18,11.0,63.0,3.5,11.5,79.30000000000001,4.405555555555556
