Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alex Len,Shared Games with Chima Moneke,Shared Games with Chimezie Metu,Shared Games with Davion Mitchell,Shared Games with De'Aaron Fox,Shared Games with Harrison Barnes,Shared Games with Keegan Murray,Shared Games with Keon Ellis,Shared Games with Kevin Huerter,Shared Games with KZ Okpala,Shared Games with Malik Monk,Shared Games with Matthew Dellavedova,Shared Games with Neemias Queta,Shared Games with PJ Dozier,Shared Games with Richaun Holmes,Shared Games with Terence Davis,Shared Games with Trey Lyles,Alex Len,Chima Moneke,Chimezie Metu,Davion Mitchell,De'Aaron Fox,Deonte Burton,Harrison Barnes,Keegan Murray,Keon Ellis,Kevin Huerter,KZ Okpala,Malik Monk,Matthew Dellavedova,Neemias Queta,PJ Dozier,Richaun Holmes,Terence Davis,Trey Lyles,co_inf with Alex Len,co_inf with Chima Moneke,co_inf with Chimezie Metu,co_inf with Davion Mitchell,co_inf with De'Aaron Fox,co_inf with Deonte Burton,co_inf with Harrison Barnes,co_inf with Keegan Murray,co_inf with Keon Ellis,co_inf with Kevin Huerter,co_inf with KZ Okpala,co_inf with Malik Monk,co_inf with Matthew Dellavedova,co_inf with Neemias Queta,co_inf with PJ Dozier,co_inf with Richaun Holmes,co_inf with Terence Davis,co_inf with Trey Lyles,Shared Games with Kessler Edwards,JD Davison,Kessler Edwards,co_inf with Kessler Edwards,co_inf with JD Davison,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
29,29,29,2022-12-19,26-230,SAC,,CHO,L (-6),1,40:44,12.0,19.0,.632,2.0,2.0,1.000,2,5.0,.400,5.0,18.0,23.0,7.0,1.0,0.0,1.0,4.0,28.0,30.5,+6,17.0,10.0,0.5882352941176471,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,34.0,26.0,1.4444444444444444,29.7,53.3,2.961111111111111
30,30,30,2022-12-21,26-232,SAC,,LAL,W (+14),1,37:21,4.0,8.0,.500,1.0,2.0,.500,4,4.0,1.000,7.0,14.0,21.0,12.0,1.0,0.0,4.0,4.0,13.0,21.9,+20,6.0,3.0,0.5,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,31.0,53.0,2.9444444444444446,20.29999999999999,81.5,4.527777777777778
31,31,31,2022-12-23,26-234,SAC,,WAS,L (-14),1,34:26,5.0,14.0,.357,0.0,2.0,.000,10,10.0,1.000,7.0,8.0,15.0,10.0,0.0,0.0,1.0,2.0,20.0,24.7,-6,12.0,5.0,0.4166666666666667,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,20.0,32.0,1.7777777777777777,20.7,50.3,2.7944444444444443
32,32,,2022-12-27,26-238,SAC,,DEN,L (-7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,,59.0,3.2777777777777777,0.0,73.8,4.1
33,33,32,2022-12-28,26-239,SAC,,DEN,W (+1),1,38:04,12.0,18.0,.667,2.0,2.0,1.000,5,8.0,.625,3.0,7.0,10.0,5.0,1.0,1.0,2.0,5.0,31.0,27.4,-4,16.0,10.0,0.625,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,20.0,70.0,3.888888888888889,25.4,85.7,4.761111111111111
34,34,33,2022-12-30,26-241,SAC,,UTA,W (+1),1,37:10,12.0,12.0,1.000,2.0,2.0,1.000,2,3.0,.667,3.0,8.0,11.0,8.0,0.0,0.0,7.0,3.0,28.0,25.9,+3,10.0,10.0,1.0,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,25.0,55.0,3.055555555555556,25.099999999999994,71.79999999999998,3.988888888888888
35,35,34,2023-01-01,26-243,SAC,@,MEM,L (-10),1,32:57,8.0,14.0,.571,0.0,2.0,.000,2,2.0,1.000,6.0,8.0,14.0,4.0,1.0,0.0,0.0,4.0,18.0,20.2,-1,12.0,8.0,0.6666666666666666,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,21.0,43.0,2.388888888888889,19.399999999999995,55.1,3.0611111111111113
36,36,35,2023-01-03,26-245,SAC,@,UTA,W (+2),1,38:51,8.0,13.0,.615,0.0,1.0,.000,5,5.0,1.000,3.0,11.0,14.0,8.0,0.0,0.0,2.0,5.0,21.0,22.1,+21,12.0,8.0,0.6666666666666666,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,23.0,47.0,2.611111111111111,20.099999999999994,61.19999999999999,3.3999999999999995
37,37,36,2023-01-04,26-246,SAC,,ATL,L (-3),1,39:30,7.0,13.0,.538,0.0,0.0,,6,8.0,.750,4.0,10.0,14.0,8.0,2.0,1.0,4.0,4.0,20.0,21.4,-5,13.0,7.0,0.5384615384615384,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,20.0,52.0,2.888888888888889,19.000000000000004,70.29999999999998,3.9055555555555546
38,38,37,2023-01-07,26-249,SAC,,LAL,L (-2),1,35:45,10.0,17.0,.588,0.0,2.0,.000,5,7.0,.714,2.0,10.0,12.0,7.0,0.0,1.0,4.0,6.0,25.0,19.9,+4,15.0,10.0,0.6666666666666666,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,17.0,48.0,2.6666666666666665,17.9,75.39999999999999,4.188888888888888
39,39,38,2023-01-09,26-251,SAC,,ORL,W (+25),1,31:47,5.0,12.0,.417,1.0,1.0,1.000,1,2.0,.500,2.0,8.0,10.0,8.0,0.0,0.0,3.0,0.0,12.0,11.6,+14,11.0,4.0,0.3636363636363636,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,13.0,95.0,5.277777777777778,11.2,106.7,5.927777777777778
40,40,39,2023-01-11,26-253,SAC,,HOU,W (+20),1,37:57,9.0,12.0,.750,0.0,0.0,,7,9.0,.778,2.0,12.0,14.0,9.0,0.0,0.0,4.0,3.0,25.0,25.5,+13,12.0,9.0,0.75,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,23.0,56.0,3.111111111111111,22.7,75.3,4.183333333333334
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,,0.0,0.0,0.0,0.0,0.0
42,41,40,2023-01-13,26-255,SAC,,HOU,W (+25),1,37:28,6.0,14.0,.429,0.0,3.0,.000,7,10.0,.700,5.0,10.0,15.0,16.0,2.0,2.0,2.0,3.0,19.0,28.3,+26,11.0,6.0,0.5454545454545454,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,28.0,80.0,4.444444444444445,25.5,97.70000000000002,5.427777777777779
43,42,41,2023-01-15,26-257,SAC,@,SAS,W (+13),1,35:08,7.0,14.0,.500,0.0,1.0,.000,4,4.0,1.000,4.0,14.0,18.0,8.0,0.0,0.0,2.0,4.0,18.0,20.0,+10,13.0,7.0,0.5384615384615384,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,24.0,58.0,3.2222222222222223,18.4,85.69999999999999,4.76111111111111
44,43,,2023-01-18,26-260,SAC,@,LAL,W (+5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,,69.0,3.8333333333333335,0.0,87.2,4.844444444444445
45,44,42,2023-01-20,26-262,SAC,,OKC,W (+5),1,37:47,5.0,9.0,.556,0.0,1.0,.000,8,8.0,1.000,4.0,10.0,14.0,14.0,0.0,0.0,6.0,3.0,18.0,22.1,+4,8.0,5.0,0.625,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,23.0,46.0,2.555555555555556,18.9,62.6,3.477777777777778
46,45,43,2023-01-21,26-263,SAC,,PHI,L (-2),1,37:41,7.0,10.0,.700,0.0,1.0,.000,2,4.0,.500,1.0,8.0,9.0,10.0,0.0,0.0,4.0,3.0,16.0,15.9,-2,9.0,7.0,0.7777777777777778,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,17.0,57.0,3.1666666666666665,15.099999999999998,83.3,4.627777777777777
47,46,44,2023-01-23,26-265,SAC,,MEM,W (+33),1,30:20,7.0,13.0,.538,0.0,1.0,.000,0,0.0,,2.0,8.0,10.0,11.0,0.0,0.0,8.0,3.0,14.0,10.0,+22,12.0,7.0,0.5833333333333334,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,14.0,94.0,5.222222222222222,9.999999999999996,102.3,5.683333333333334
48,47,45,2023-01-25,26-267,SAC,,TOR,L (-18),1,34:39,4.0,9.0,.444,1.0,1.0,1.000,0,0.0,,2.0,6.0,8.0,4.0,3.0,0.0,9.0,3.0,9.0,3.1,-11,8.0,3.0,0.375,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,6.0,55.0,3.055555555555556,3.1000000000000014,65.3,3.6277777777777778
49,48,46,2023-01-28,26-270,SAC,@,MIN,L (-7),1,39:24,9.0,13.0,.692,0.0,1.0,.000,5,8.0,.625,4.0,6.0,10.0,5.0,0.0,0.0,3.0,4.0,23.0,19.8,-5,12.0,9.0,0.75,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,14.0,33.0,1.8333333333333333,17.8,53.7,2.9833333333333334
50,49,47,2023-01-30,26-272,SAC,@,MIN,W (+7),1,36:04,7.0,10.0,.700,0.0,0.0,,3,4.0,.750,2.0,11.0,13.0,1.0,1.0,2.0,3.0,6.0,17.0,14.8,+3,10.0,7.0,0.7,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,17.0,56.0,3.111111111111111,13.599999999999994,74.8,4.155555555555555
51,50,48,2023-02-01,26-274,SAC,@,SAS,W (+10),1,36:41,15.0,20.0,.750,1.0,2.0,.500,3,5.0,.600,2.0,9.0,11.0,4.0,2.0,2.0,3.0,3.0,34.0,31.3,+4,18.0,14.0,0.7777777777777778,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,25.0,48.0,2.6666666666666665,30.099999999999994,65.5,3.638888888888889
52,51,49,2023-02-03,26-276,SAC,@,IND,L (-3),1,37:43,6.0,13.0,.462,0.0,2.0,.000,3,4.0,.750,4.0,12.0,16.0,6.0,1.0,1.0,4.0,3.0,15.0,15.0,-3,11.0,6.0,0.5454545454545454,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,18.0,45.0,2.5,13.799999999999994,57.2,3.177777777777778
53,52,50,2023-02-05,26-278,SAC,@,NOP,L (-32),1,27:28,5.0,10.0,.500,1.0,1.0,1.000,1,1.0,1.000,2.0,9.0,11.0,3.0,0.0,0.0,2.0,2.0,12.0,10.4,-32,9.0,4.0,0.4444444444444444,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,13.0,39.0,2.1666666666666665,10.000000000000002,57.1,3.1722222222222225
54,53,51,2023-02-06,26-279,SAC,@,HOU,W (+20),1,31:45,7.0,10.0,.700,1.0,2.0,.500,2,2.0,1.000,1.0,6.0,7.0,10.0,2.0,0.0,2.0,5.0,17.0,20.3,+5,8.0,6.0,0.75,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,22.0,87.0,4.833333333333333,19.5,104.7,5.816666666666666
55,54,52,2023-02-08,26-281,SAC,@,HOU,W (+2),1,32:03,8.0,15.0,.533,0.0,2.0,.000,6,7.0,.857,3.0,6.0,9.0,5.0,1.0,0.0,1.0,5.0,22.0,19.7,+4,13.0,8.0,0.6153846153846154,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,14.0,59.0,3.2777777777777777,17.299999999999994,86.1,4.783333333333333
56,55,53,2023-02-10,26-283,SAC,,DAL,L (-8),1,37:15,6.0,12.0,.500,0.0,1.0,.000,6,7.0,.857,3.0,8.0,11.0,7.0,2.0,0.0,2.0,6.0,18.0,18.6,-15,11.0,6.0,0.5454545454545454,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,17.0,44.0,2.4444444444444446,16.199999999999996,61.49999999999999,3.416666666666666
57,56,54,2023-02-11,26-284,SAC,,DAL,W (+5),1,41:11,10.0,12.0,.833,0.0,0.0,,2,2.0,1.000,4.0,10.0,14.0,2.0,1.0,0.0,1.0,6.0,22.0,22.4,+1,12.0,10.0,0.8333333333333334,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,24.0,58.0,3.2222222222222223,21.599999999999994,81.8,4.544444444444444
58,57,55,2023-02-14,26-287,SAC,@,PHO,L (-11),1,37:44,7.0,12.0,.583,0.0,1.0,.000,10,10.0,1.000,6.0,9.0,15.0,7.0,2.0,0.0,4.0,3.0,24.0,27.0,-19,11.0,7.0,0.6363636363636364,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,22.0,36.0,2.0,23.000000000000004,50.80000000000001,2.822222222222223
59,58,56,2023-02-23,26-296,SAC,,POR,W (+17),1,31:31,6.0,10.0,.600,0.0,1.0,.000,6,6.0,1.000,3.0,14.0,17.0,10.0,3.0,0.0,5.0,0.0,18.0,24.7,+2,9.0,6.0,0.6666666666666666,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,27.0,65.0,3.611111111111111,22.300000000000004,85.79999999999998,4.766666666666666
