Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Gill,Shared Games with Bradley Beal,Shared Games with Corey Kispert,Shared Games with Daniel Gafford,Shared Games with Delon Wright,Shared Games with Deni Avdija,Shared Games with Devon Dotson,Shared Games with Isaiah Todd,Shared Games with Jay Huff,Shared Games with Johnny Davis,Shared Games with Kristaps Porziņģis,Shared Games with Kyle Kuzma,Shared Games with Monte Morris,Shared Games with Quenton Jackson,Shared Games with Rui Hachimura,Shared Games with Taj Gibson,Shared Games with Vernon Carey Jr.,Shared Games with Will Barton,Anthony Gill,Bradley Beal,Corey Kispert,Daniel Gafford,Delon Wright,Deni Avdija,Devon Dotson,Isaiah Todd,Jay Huff,Johnny Davis,Jordan Schakel,Kristaps Porziņģis,Kyle Kuzma,Monte Morris,Quenton Jackson,Rui Hachimura,Taj Gibson,Vernon Carey Jr.,Will Barton,Xavier Cooks,co_inf with Anthony Gill,co_inf with Bradley Beal,co_inf with Corey Kispert,co_inf with Daniel Gafford,co_inf with Delon Wright,co_inf with Deni Avdija,co_inf with Devon Dotson,co_inf with Isaiah Todd,co_inf with Jay Huff,co_inf with Johnny Davis,co_inf with Jordan Schakel,co_inf with Kristaps Porziņģis,co_inf with Kyle Kuzma,co_inf with Monte Morris,co_inf with Quenton Jackson,co_inf with Rui Hachimura,co_inf with Taj Gibson,co_inf with Vernon Carey Jr.,co_inf with Will Barton,co_inf with Xavier Cooks,A.J. Green,A.J. Lawson,Aaron Gordon,Aaron Holiday,Aaron Nesmith,Aaron Wiggins,Admiral Schofield,AJ Griffin,Al Horford,Alec Burks,Aleksej Pokusevski,Alex Caruso,Alex Len,Alize Johnson,Alondes Williams,Alperen Şengün,Amir Coffey,Andre Drummond,Andre Iguodala,Andrew Nembhard,Andrew Wiggins,Anfernee Simons,Marcus Smart,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11,5,2022-11-07,24-015,WAS,CHO,0,21.383333333333333,7.0,7.0,1.000,1.0,1.0,1.000,2,2.0,1.000,2.0,2.0,4.0,5.0,0.0,2.0,1.0,1.0,17.0,20.4,+10,6.0,6.0,1.0,48,30,60,59,34,57,5,5,6,24,47,45,42,6,19,37,8,32,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.8135593220338984,0.6,0.8108108108108109,0.7564102564102564,0.68,0.75,0.8333333333333334,0.8333333333333334,0.8571428571428571,0.8571428571428571,0.0,0.7230769230769231,0.703125,0.6774193548387096,0.6666666666666666,0.3015873015873015,0.7551020408163265,0.7272727272727273,0.5714285714285714,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,18.0,58.0,3.2222222222222223,19.6,57.8,3.211111111111111,14.8,2.2,0.7,-0.7,1.4,0.0438624851815928,0.531,0.334,0.195,0.8,0.9,W (+8),W (+8)
12,6,2022-11-10,24-018,WAS,DAL,0,28.73333333333333,1.0,4.0,.250,0.0,1.0,.000,0,0.0,,1.0,6.0,7.0,6.0,1.0,0.0,2.0,2.0,2.0,4.5,+12,3.0,1.0,0.3333333333333333,48,30,60,59,34,57,5,5,6,24,47,45,42,6,19,37,8,32,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.8135593220338984,0.6,0.8108108108108109,0.7564102564102564,0.68,0.75,0.8333333333333334,0.8333333333333334,0.8571428571428571,0.8571428571428571,0.0,0.7230769230769231,0.703125,0.6774193548387096,0.6666666666666666,0.3015873015873015,0.7551020408163265,0.7272727272727273,0.5714285714285714,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,10.0,84.0,4.666666666666667,4.499999999999998,77.80000000000003,4.322222222222224,14.8,2.2,0.7,-0.7,1.4,0.0438624851815928,0.531,0.334,0.195,0.8,0.9,W (+8),W (+8)
13,7,2022-11-12,24-020,WAS,UTA,0,20.53333333333333,3.0,8.0,.375,3.0,3.0,1.000,0,0.0,,1.0,1.0,2.0,2.0,1.0,2.0,0.0,3.0,9.0,8.2,-8,5.0,0.0,0.0,48,30,60,59,34,57,5,5,6,24,47,45,42,6,19,37,8,32,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.8135593220338984,0.6,0.8108108108108109,0.7564102564102564,0.68,0.75,0.8333333333333334,0.8333333333333334,0.8571428571428571,0.8571428571428571,0.0,0.7230769230769231,0.703125,0.6774193548387096,0.6666666666666666,0.3015873015873015,0.7551020408163265,0.7272727272727273,0.5714285714285714,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,8.0,84.0,4.666666666666667,8.2,93.9,5.216666666666667,14.8,2.2,0.7,-0.7,1.4,0.0438624851815928,0.531,0.334,0.195,0.8,0.9,W (+9),W (+9)
14,8,2022-11-13,24-021,WAS,MEM,0,26.133333333333333,3.0,7.0,.429,3.0,4.0,.750,1,2.0,.500,1.0,7.0,8.0,4.0,1.0,1.0,0.0,2.0,10.0,12.4,+3,3.0,0.0,0.0,48,30,60,59,34,57,5,5,6,24,47,45,42,6,19,37,8,32,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.8135593220338984,0.6,0.8108108108108109,0.7564102564102564,0.68,0.75,0.8333333333333334,0.8333333333333334,0.8571428571428571,0.8571428571428571,0.0,0.7230769230769231,0.703125,0.6774193548387096,0.6666666666666666,0.3015873015873015,0.7551020408163265,0.7272727272727273,0.5714285714285714,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,15.0,53.0,2.9444444444444446,11.999999999999996,63.89999999999999,3.5499999999999994,14.8,2.2,0.7,-0.7,1.4,0.0438624851815928,0.531,0.334,0.195,0.8,0.9,W (+10),W (+10)
15,9,2022-11-16,24-024,WAS,OKC,0,19.716666666666665,2.0,3.0,.667,0.0,0.0,,0,0.0,,2.0,1.0,3.0,1.0,0.0,1.0,3.0,2.0,4.0,2.0,-15,3.0,2.0,0.6666666666666666,48,30,60,59,34,57,5,5,6,24,47,45,42,6,19,37,8,32,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.8135593220338984,0.6,0.8108108108108109,0.7564102564102564,0.68,0.75,0.8333333333333334,0.8333333333333334,0.8571428571428571,0.8571428571428571,0.0,0.7230769230769231,0.703125,0.6774193548387096,0.6666666666666666,0.3015873015873015,0.7551020408163265,0.7272727272727273,0.5714285714285714,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,3.0,81.0,4.5,2.0,92.20000000000002,5.122222222222224,14.8,2.2,0.7,-0.7,1.4,0.0438624851815928,0.531,0.334,0.195,0.8,0.9,L (-1),L (-1)
16,,2022-11-18,24-026,WAS,MIA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,48,30,60,59,34,57,5,5,6,24,47,45,42,6,19,37,8,32,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.8135593220338984,0.6,0.8108108108108109,0.7564102564102564,0.68,0.75,0.8333333333333334,0.8333333333333334,0.8571428571428571,0.8571428571428571,0.0,0.7230769230769231,0.703125,0.6774193548387096,0.6666666666666666,0.3015873015873015,0.7551020408163265,0.7272727272727273,0.5714285714285714,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,,79.0,4.388888888888889,0.0,76.90000000000002,4.272222222222223,14.8,2.2,0.7,-0.7,1.4,0.0438624851815928,0.531,0.334,0.195,0.8,0.9,W (+1),W (+1)
17,10,2022-11-20,24-028,WAS,CHO,0,24.48333333333333,2.0,4.0,.500,1.0,1.0,1.000,0,2.0,.000,1.0,1.0,2.0,1.0,0.0,3.0,1.0,2.0,5.0,4.2,-13,3.0,1.0,0.3333333333333333,48,30,60,59,34,57,5,5,6,24,47,45,42,6,19,37,8,32,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.8135593220338984,0.6,0.8108108108108109,0.7564102564102564,0.68,0.75,0.8333333333333334,0.8333333333333334,0.8571428571428571,0.8571428571428571,0.0,0.7230769230769231,0.703125,0.6774193548387096,0.6666666666666666,0.3015873015873015,0.7551020408163265,0.7272727272727273,0.5714285714285714,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,4.0,65.0,3.611111111111111,4.2,72.69999999999999,4.038888888888888,14.8,2.2,0.7,-0.7,1.4,0.0438624851815928,0.531,0.334,0.195,0.8,0.9,W (+4),W (+4)
18,11,2022-11-23,24-031,WAS,MIA,1,24.65,3.0,7.0,.429,1.0,2.0,.500,1,3.0,.333,0.0,1.0,1.0,3.0,1.0,0.0,0.0,2.0,8.0,6.1,-1,5.0,2.0,0.4,48,30,60,59,34,57,5,5,6,24,47,45,42,6,19,37,8,32,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.8135593220338984,0.6,0.8108108108108109,0.7564102564102564,0.68,0.75,0.8333333333333334,0.8333333333333334,0.8571428571428571,0.8571428571428571,0.0,0.7230769230769231,0.703125,0.6774193548387096,0.6666666666666666,0.3015873015873015,0.7551020408163265,0.7272727272727273,0.5714285714285714,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,3.0,77.0,4.277777777777778,5.7,84.20000000000002,4.677777777777779,14.8,2.2,0.7,-0.7,1.4,0.0438624851815928,0.531,0.334,0.195,0.8,0.9,L (-8),L (-8)
19,12,2022-11-25,24-033,WAS,MIA,0,25.066666666666663,2.0,4.0,.500,1.0,2.0,.500,2,2.0,1.000,1.0,5.0,6.0,2.0,2.0,0.0,2.0,3.0,7.0,7.4,0,2.0,1.0,0.5,48,30,60,59,34,57,5,5,6,24,47,45,42,6,19,37,8,32,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.8135593220338984,0.6,0.8108108108108109,0.7564102564102564,0.68,0.75,0.8333333333333334,0.8333333333333334,0.8571428571428571,0.8571428571428571,0.0,0.7230769230769231,0.703125,0.6774193548387096,0.6666666666666666,0.3015873015873015,0.7551020408163265,0.7272727272727273,0.5714285714285714,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,9.0,77.0,4.277777777777778,6.600000000000001,91.89999999999998,5.105555555555554,14.8,2.2,0.7,-0.7,1.4,0.0438624851815928,0.531,0.334,0.195,0.8,0.9,L (-3),L (-3)
20,13,2022-11-27,24-035,WAS,BOS,0,24.316666666666663,4.0,8.0,.500,0.0,3.0,.000,1,2.0,.500,0.0,1.0,1.0,2.0,2.0,1.0,0.0,3.0,9.0,7.8,-6,5.0,4.0,0.8,48,30,60,59,34,57,5,5,6,24,47,45,42,6,19,37,8,32,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.8135593220338984,0.6,0.8108108108108109,0.7564102564102564,0.68,0.75,0.8333333333333334,0.8333333333333334,0.8571428571428571,0.8571428571428571,0.0,0.7230769230769231,0.703125,0.6774193548387096,0.6666666666666666,0.3015873015873015,0.7551020408163265,0.7272727272727273,0.5714285714285714,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,5.0,60.0,3.333333333333333,7.399999999999999,90.1,5.005555555555556,14.8,2.2,0.7,-0.7,1.4,0.0438624851815928,0.531,0.334,0.195,0.8,0.9,L (-9),L (-9)
