Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Gill,Shared Games with Bradley Beal,Shared Games with Corey Kispert,Shared Games with Daniel Gafford,Shared Games with Deni Avdija,Shared Games with Devon Dotson,Shared Games with Johnny Davis,Shared Games with Jordan Goodwin,Shared Games with Kristaps Porziņģis,Shared Games with Kyle Kuzma,Shared Games with Monte Morris,Shared Games with Quenton Jackson,Shared Games with Rui Hachimura,Shared Games with Taj Gibson,Shared Games with Will Barton,Anthony Gill,Bradley Beal,Corey Kispert,Daniel Gafford,Delon Wright,Deni Avdija,Devon Dotson,Isaiah Todd,Johnny Davis,Jordan Goodwin,Jordan Schakel,Kristaps Porziņģis,Kyle Kuzma,Monte Morris,Quenton Jackson,Rui Hachimura,Taj Gibson,Vernon Carey Jr.,Will Barton,Xavier Cooks,co_inf with Anthony Gill,co_inf with Bradley Beal,co_inf with Corey Kispert,co_inf with Daniel Gafford,co_inf with Delon Wright,co_inf with Deni Avdija,co_inf with Devon Dotson,co_inf with Isaiah Todd,co_inf with Johnny Davis,co_inf with Jordan Goodwin,co_inf with Jordan Schakel,co_inf with Kristaps Porziņģis,co_inf with Kyle Kuzma,co_inf with Monte Morris,co_inf with Quenton Jackson,co_inf with Rui Hachimura,co_inf with Taj Gibson,co_inf with Vernon Carey Jr.,co_inf with Will Barton,co_inf with Xavier Cooks,A.J. Green,A.J. Lawson,Aaron Gordon,Aaron Holiday,Aaron Nesmith,Aaron Wiggins,Admiral Schofield,AJ Griffin,Al Horford,Alec Burks,Aleksej Pokusevski,Alex Caruso,Alex Len,Alize Johnson,Alondes Williams,Alperen Şengün,Amir Coffey,Andre Drummond,Andre Iguodala,Andrew Nembhard,Andrew Wiggins,Anfernee Simons,Marcus Smart,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11,,2023-03-21,24-208,WAS,ORL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,6,4,6,7,7,2,2,6,6,6,4,1,3,4,7,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.1016949152542373,0.08,0.081081081081081,0.0897435897435897,0.0,0.0921052631578947,0.3333333333333333,0.0,0.0714285714285714,0.0967741935483871,0.0,0.0923076923076923,0.09375,0.064516129032258,0.1111111111111111,0.0476190476190476,0.0816326530612244,0.0,0.125,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,15,,76.0,5.066666666666666,0.0,77.39999999999999,5.159999999999999,22.3,0.5,4.0,2.8,1.2,0.0054962819269317,0.796,0.48,0.64,0.1,0.4,L (-10),L (-10)
12,3,2023-03-22,24-209,WAS,DEN,0,3.65,0.0,1.0,.000,0.0,1.0,.000,2,2.0,1.000,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.3,+6,0.0,0.0,,6,4,6,7,7,2,2,6,6,6,4,1,3,4,7,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.1016949152542373,0.08,0.081081081081081,0.0897435897435897,0.0,0.0921052631578947,0.3333333333333333,0.0,0.0714285714285714,0.0967741935483871,0.0,0.0923076923076923,0.09375,0.064516129032258,0.1111111111111111,0.0476190476190476,0.0816326530612244,0.0,0.125,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,15,1.0,93.0,6.2,1.4999999999999998,80.80000000000001,5.386666666666668,22.3,0.5,4.0,2.8,1.2,0.0054962819269317,0.796,0.48,0.64,0.1,0.4,L (-14),L (-14)
13,,2023-03-24,24-211,WAS,SAS,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,6,4,6,7,7,2,2,6,6,6,4,1,3,4,7,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.1016949152542373,0.08,0.081081081081081,0.0897435897435897,0.0,0.0921052631578947,0.3333333333333333,0.0,0.0714285714285714,0.0967741935483871,0.0,0.0923076923076923,0.09375,0.064516129032258,0.1111111111111111,0.0476190476190476,0.0816326530612244,0.0,0.125,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,15,,92.0,6.133333333333334,0.0,102.5,6.833333333333333,22.3,0.5,4.0,2.8,1.2,0.0054962819269317,0.796,0.48,0.64,0.1,0.4,W (+12),W (+12)
14,,2023-03-26,24-213,WAS,TOR,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,6,4,6,7,7,2,2,6,6,6,4,1,3,4,7,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.1016949152542373,0.08,0.081081081081081,0.0897435897435897,0.0,0.0921052631578947,0.3333333333333333,0.0,0.0714285714285714,0.0967741935483871,0.0,0.0923076923076923,0.09375,0.064516129032258,0.1111111111111111,0.0476190476190476,0.0816326530612244,0.0,0.125,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,15,,68.0,4.533333333333333,0.0,75.89999999999999,5.06,22.3,0.5,4.0,2.8,1.2,0.0054962819269317,0.796,0.48,0.64,0.1,0.4,L (-10),L (-10)
15,,2023-03-28,24-215,WAS,BOS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,6,4,6,7,7,2,2,6,6,6,4,1,3,4,7,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.1016949152542373,0.08,0.081081081081081,0.0897435897435897,0.0,0.0921052631578947,0.3333333333333333,0.0,0.0714285714285714,0.0967741935483871,0.0,0.0923076923076923,0.09375,0.064516129032258,0.1111111111111111,0.0476190476190476,0.0816326530612244,0.0,0.125,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,15,,84.0,5.6,0.0,94.20000000000002,6.280000000000001,22.3,0.5,4.0,2.8,1.2,0.0054962819269317,0.796,0.48,0.64,0.1,0.4,W (+19),W (+19)
16,,2023-03-31,24-218,WAS,ORL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,6,4,6,7,7,2,2,6,6,6,4,1,3,4,7,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.1016949152542373,0.08,0.081081081081081,0.0897435897435897,0.0,0.0921052631578947,0.3333333333333333,0.0,0.0714285714285714,0.0967741935483871,0.0,0.0923076923076923,0.09375,0.064516129032258,0.1111111111111111,0.0476190476190476,0.0816326530612244,0.0,0.125,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,15,,79.0,5.266666666666667,0.0,76.90000000000002,5.126666666666668,22.3,0.5,4.0,2.8,1.2,0.0054962819269317,0.796,0.48,0.64,0.1,0.4,L (-7),L (-7)
17,4,2023-04-02,24-220,WAS,NYK,0,2.7333333333333334,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.4,+9,0.0,0.0,,6,4,6,7,7,2,2,6,6,6,4,1,3,4,7,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.1016949152542373,0.08,0.081081081081081,0.0897435897435897,0.0,0.0921052631578947,0.3333333333333333,0.0,0.0714285714285714,0.0967741935483871,0.0,0.0923076923076923,0.09375,0.064516129032258,0.1111111111111111,0.0476190476190476,0.0816326530612244,0.0,0.125,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,15,2.0,67.0,4.466666666666667,1.4,75.5,5.033333333333333,22.3,0.5,4.0,2.8,1.2,0.0054962819269317,0.796,0.48,0.64,0.1,0.4,L (-9),L (-9)
18,5,2023-04-04,24-222,WAS,MIL,0,26.85,5.0,10.0,.500,3.0,6.0,.500,4,5.0,.800,2.0,7.0,9.0,2.0,2.0,0.0,0.0,5.0,17.0,16.5,+7,4.0,2.0,0.5,6,4,6,7,7,2,2,6,6,6,4,1,3,4,7,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.1016949152542373,0.08,0.081081081081081,0.0897435897435897,0.0,0.0921052631578947,0.3333333333333333,0.0,0.0714285714285714,0.0967741935483871,0.0,0.0923076923076923,0.09375,0.064516129032258,0.1111111111111111,0.0476190476190476,0.0816326530612244,0.0,0.125,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,15,15.0,65.0,4.333333333333333,14.9,75.00000000000001,5.000000000000001,22.3,0.5,4.0,2.8,1.2,0.0054962819269317,0.796,0.48,0.64,0.1,0.4,L (-12),L (-12)
19,6,2023-04-05,24-223,WAS,ATL,0,29.566666666666663,5.0,6.0,.833,2.0,3.0,.667,2,2.0,1.000,2.0,2.0,4.0,3.0,1.0,3.0,1.0,4.0,14.0,16.4,-16,3.0,3.0,1.0,6,4,6,7,7,2,2,6,6,6,4,1,3,4,7,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.1016949152542373,0.08,0.081081081081081,0.0897435897435897,0.0,0.0921052631578947,0.3333333333333333,0.0,0.0714285714285714,0.0967741935483871,0.0,0.0923076923076923,0.09375,0.064516129032258,0.1111111111111111,0.0476190476190476,0.0816326530612244,0.0,0.125,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,15,16.0,70.0,4.666666666666667,15.6,82.89999999999999,5.526666666666666,22.3,0.5,4.0,2.8,1.2,0.0054962819269317,0.796,0.48,0.64,0.1,0.4,L (-18),L (-18)
20,7,2023-04-07,24-225,WAS,MIA,0,23.383333333333333,4.0,7.0,.571,1.0,2.0,.500,4,4.0,1.000,2.0,2.0,4.0,2.0,0.0,1.0,2.0,5.0,13.0,9.8,-18,5.0,3.0,0.6,6,4,6,7,7,2,2,6,6,6,4,1,3,4,7,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.1016949152542373,0.08,0.081081081081081,0.0897435897435897,0.0,0.0921052631578947,0.3333333333333333,0.0,0.0714285714285714,0.0967741935483871,0.0,0.0923076923076923,0.09375,0.064516129032258,0.1111111111111111,0.0476190476190476,0.0816326530612244,0.0,0.125,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,15,7.0,58.0,3.866666666666666,8.200000000000001,89.3,5.953333333333333,22.3,0.5,4.0,2.8,1.2,0.0054962819269317,0.796,0.48,0.64,0.1,0.4,W (+6),W (+6)
Rk,G,Date,Age,Tm,Opp,GS,0.0,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,6,4,6,7,7,2,2,6,6,6,4,1,3,4,7,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.1016949152542373,0.08,0.081081081081081,0.0897435897435897,0.0,0.0921052631578947,0.3333333333333333,0.0,0.0714285714285714,0.0967741935483871,0.0,0.0923076923076923,0.09375,0.064516129032258,0.1111111111111111,0.0476190476190476,0.0816326530612244,0.0,0.125,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,15,,0.0,0.0,0.0,0.0,0.0,22.3,0.5,4.0,2.8,1.2,0.0054962819269317,0.796,0.48,0.64,0.1,0.4,,
21,,2023-04-09,24-227,WAS,HOU,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,6,4,6,7,7,2,2,6,6,6,4,1,3,4,7,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.1016949152542373,0.08,0.081081081081081,0.0897435897435897,0.0,0.0921052631578947,0.3333333333333333,0.0,0.0714285714285714,0.0967741935483871,0.0,0.0923076923076923,0.09375,0.064516129032258,0.1111111111111111,0.0476190476190476,0.0816326530612244,0.0,0.125,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,15,,100.0,6.666666666666667,0.0,125.4,8.360000000000001,22.3,0.5,4.0,2.8,1.2,0.0054962819269317,0.796,0.48,0.64,0.1,0.4,L (-5),L (-5)
