Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Gill,Shared Games with Bradley Beal,Shared Games with Corey Kispert,Shared Games with Daniel Gafford,Shared Games with Delon Wright,Shared Games with Deni Avdija,Shared Games with Devon Dotson,Shared Games with Isaiah Todd,Shared Games with Jay Huff,Shared Games with Johnny Davis,Shared Games with Jordan Goodwin,Shared Games with Kristaps Porziņģis,Shared Games with Kyle Kuzma,Shared Games with Monte Morris,Shared Games with Quenton Jackson,Shared Games with Rui Hachimura,Shared Games with Taj Gibson,Shared Games with Vernon Carey Jr.,Anthony Gill,Bradley Beal,Corey Kispert,Daniel Gafford,Delon Wright,Deni Avdija,Devon Dotson,Isaiah Todd,Jay Huff,Johnny Davis,Jordan Goodwin,Jordan Schakel,Kristaps Porziņģis,Kyle Kuzma,Monte Morris,Quenton Jackson,Rui Hachimura,Taj Gibson,Vernon Carey Jr.,Xavier Cooks,co_inf with Anthony Gill,co_inf with Bradley Beal,co_inf with Corey Kispert,co_inf with Daniel Gafford,co_inf with Delon Wright,co_inf with Deni Avdija,co_inf with Devon Dotson,co_inf with Isaiah Todd,co_inf with Jay Huff,co_inf with Johnny Davis,co_inf with Jordan Goodwin,co_inf with Jordan Schakel,co_inf with Kristaps Porziņģis,co_inf with Kyle Kuzma,co_inf with Monte Morris,co_inf with Quenton Jackson,co_inf with Rui Hachimura,co_inf with Taj Gibson,co_inf with Vernon Carey Jr.,co_inf with Xavier Cooks,A.J. Green,A.J. Lawson,Aaron Gordon,Aaron Holiday,Aaron Nesmith,Aaron Wiggins,Admiral Schofield,AJ Griffin,Al Horford,Alec Burks,Aleksej Pokusevski,Alex Caruso,Alex Len,Alize Johnson,Alondes Williams,Alperen Şengün,Amir Coffey,Andre Drummond,Andre Iguodala,Andrew Nembhard,Andrew Wiggins,Anfernee Simons,Marcus Smart,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11,11,2022-11-07,31-305,WAS,CHO,0,26.65,3.0,10.0,.300,0.0,3.0,.000,0,0.0,,1.0,5.0,6.0,1.0,0.0,0.0,3.0,0.0,6.0,0.1,+8,7.0,3.0,0.4285714285714285,33,25,32,39,13,39,6,4,7,10,32,33,37,34,7,22,23,7,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,10.0,0.559322033898305,0.5,0.4324324324324324,0.5,0.26,0.5131578947368421,1.0,0.6666666666666666,1.0,0.3571428571428571,0.5161290322580645,0.0,0.5076923076923077,0.578125,0.5483870967741935,0.7777777777777778,0.3492063492063492,0.4693877551020408,0.6363636363636364,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,0.0,76.0,4.222222222222222,0.0999999999999996,77.3,4.294444444444444,10.0,0.4,-2.6,-2.0,-0.6,0.0330854617954521,0.493,0.495,0.129,-0.2,-0.4,W (+8),W (+8)
12,12,2022-11-10,31-308,WAS,DAL,0,28.933333333333334,4.0,12.0,.333,3.0,7.0,.429,3,3.0,1.000,1.0,6.0,7.0,4.0,0.0,1.0,2.0,1.0,14.0,10.8,+7,5.0,1.0,0.2,33,25,32,39,13,39,6,4,7,10,32,33,37,34,7,22,23,7,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,10.0,0.559322033898305,0.5,0.4324324324324324,0.5,0.26,0.5131578947368421,1.0,0.6666666666666666,1.0,0.3571428571428571,0.5161290322580645,0.0,0.5076923076923077,0.578125,0.5483870967741935,0.7777777777777778,0.3492063492063492,0.4693877551020408,0.6363636363636364,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,9.0,85.0,4.722222222222222,9.600000000000003,72.7,4.038888888888889,10.0,0.4,-2.6,-2.0,-0.6,0.0330854617954521,0.493,0.495,0.129,-0.2,-0.4,W (+8),W (+8)
13,13,2022-11-12,31-310,WAS,UTA,0,16.383333333333333,3.0,7.0,.429,1.0,5.0,.200,2,2.0,1.000,0.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,9.0,5.9,-6,2.0,2.0,1.0,33,25,32,39,13,39,6,4,7,10,32,33,37,34,7,22,23,7,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,10.0,0.559322033898305,0.5,0.4324324324324324,0.5,0.26,0.5131578947368421,1.0,0.6666666666666666,1.0,0.3571428571428571,0.5161290322580645,0.0,0.5076923076923077,0.578125,0.5483870967741935,0.7777777777777778,0.3492063492063492,0.4693877551020408,0.6363636363636364,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,3.0,89.0,4.944444444444445,5.099999999999998,97.0,5.388888888888889,10.0,0.4,-2.6,-2.0,-0.6,0.0330854617954521,0.493,0.495,0.129,-0.2,-0.4,W (+9),W (+9)
14,14,2022-11-13,31-311,WAS,MEM,0,22.683333333333334,3.0,9.0,.333,1.0,4.0,.250,0,0.0,,1.0,4.0,5.0,3.0,1.0,0.0,1.0,0.0,7.0,5.9,+2,5.0,2.0,0.4,33,25,32,39,13,39,6,4,7,10,32,33,37,34,7,22,23,7,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,10.0,0.559322033898305,0.5,0.4324324324324324,0.5,0.26,0.5131578947368421,1.0,0.6666666666666666,1.0,0.3571428571428571,0.5161290322580645,0.0,0.5076923076923077,0.578125,0.5483870967741935,0.7777777777777778,0.3492063492063492,0.4693877551020408,0.6363636363636364,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,6.0,62.0,3.4444444444444446,5.899999999999998,70.0,3.888888888888889,10.0,0.4,-2.6,-2.0,-0.6,0.0330854617954521,0.493,0.495,0.129,-0.2,-0.4,W (+10),W (+10)
15,15,2022-11-16,31-314,WAS,OKC,0,16.433333333333334,2.0,5.0,.400,1.0,2.0,.500,0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,5.0,3.2,-17,3.0,1.0,0.3333333333333333,33,25,32,39,13,39,6,4,7,10,32,33,37,34,7,22,23,7,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,10.0,0.559322033898305,0.5,0.4324324324324324,0.5,0.26,0.5131578947368421,1.0,0.6666666666666666,1.0,0.3571428571428571,0.5161290322580645,0.0,0.5076923076923077,0.578125,0.5483870967741935,0.7777777777777778,0.3492063492063492,0.4693877551020408,0.6363636363636364,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,3.0,81.0,4.5,3.2,91.0,5.055555555555555,10.0,0.4,-2.6,-2.0,-0.6,0.0330854617954521,0.493,0.495,0.129,-0.2,-0.4,L (-1),L (-1)
16,16,2022-11-18,31-316,WAS,MIA,0,8.216666666666667,0.0,2.0,.000,0.0,1.0,.000,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,-11,1.0,0.0,0.0,33,25,32,39,13,39,6,4,7,10,32,33,37,34,7,22,23,7,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,10.0,0.559322033898305,0.5,0.4324324324324324,0.5,0.26,0.5131578947368421,1.0,0.6666666666666666,1.0,0.3571428571428571,0.5161290322580645,0.0,0.5076923076923077,0.578125,0.5483870967741935,0.7777777777777778,0.3492063492063492,0.4693877551020408,0.6363636363636364,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,-1.0,80.0,4.444444444444445,-1.1,78.00000000000001,4.333333333333334,10.0,0.4,-2.6,-2.0,-0.6,0.0330854617954521,0.493,0.495,0.129,-0.2,-0.4,W (+1),W (+1)
17,17,2022-11-20,31-318,WAS,CHO,0,20.73333333333333,1.0,6.0,.167,1.0,2.0,.500,0,0.0,,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,3.0,2.3,-1,4.0,0.0,0.0,33,25,32,39,13,39,6,4,7,10,32,33,37,34,7,22,23,7,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,10.0,0.559322033898305,0.5,0.4324324324324324,0.5,0.26,0.5131578947368421,1.0,0.6666666666666666,1.0,0.3571428571428571,0.5161290322580645,0.0,0.5076923076923077,0.578125,0.5483870967741935,0.7777777777777778,0.3492063492063492,0.4693877551020408,0.6363636363636364,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,2.0,67.0,3.7222222222222223,2.3000000000000007,74.6,4.144444444444444,10.0,0.4,-2.6,-2.0,-0.6,0.0330854617954521,0.493,0.495,0.129,-0.2,-0.4,W (+4),W (+4)
18,18,2022-11-23,31-321,WAS,MIA,0,29.35,5.0,10.0,.500,2.0,5.0,.400,1,2.0,.500,0.0,7.0,7.0,7.0,1.0,0.0,2.0,2.0,13.0,12.8,-10,5.0,3.0,0.6,33,25,32,39,13,39,6,4,7,10,32,33,37,34,7,22,23,7,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,10.0,0.559322033898305,0.5,0.4324324324324324,0.5,0.26,0.5131578947368421,1.0,0.6666666666666666,1.0,0.3571428571428571,0.5161290322580645,0.0,0.5076923076923077,0.578125,0.5483870967741935,0.7777777777777778,0.3492063492063492,0.4693877551020408,0.6363636363636364,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,14.0,66.0,3.6666666666666665,12.4,77.50000000000001,4.305555555555556,10.0,0.4,-2.6,-2.0,-0.6,0.0330854617954521,0.493,0.495,0.129,-0.2,-0.4,L (-8),L (-8)
19,19,2022-11-25,31-323,WAS,MIA,0,16.15,1.0,8.0,.125,1.0,5.0,.200,2,2.0,1.000,0.0,3.0,3.0,4.0,1.0,0.0,1.0,1.0,5.0,3.1,+4,3.0,0.0,0.0,33,25,32,39,13,39,6,4,7,10,32,33,37,34,7,22,23,7,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,10.0,0.559322033898305,0.5,0.4324324324324324,0.5,0.26,0.5131578947368421,1.0,0.6666666666666666,1.0,0.3571428571428571,0.5161290322580645,0.0,0.5076923076923077,0.578125,0.5483870967741935,0.7777777777777778,0.3492063492063492,0.4693877551020408,0.6363636363636364,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,2.0,84.0,4.666666666666667,2.300000000000002,96.2,5.344444444444445,10.0,0.4,-2.6,-2.0,-0.6,0.0330854617954521,0.493,0.495,0.129,-0.2,-0.4,L (-3),L (-3)
20,20,2022-11-27,31-325,WAS,BOS,0,30.866666666666667,2.0,8.0,.250,0.0,4.0,.000,2,3.0,.667,0.0,4.0,4.0,2.0,1.0,0.0,1.0,1.0,6.0,3.0,-2,4.0,2.0,0.5,33,25,32,39,13,39,6,4,7,10,32,33,37,34,7,22,23,7,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,10.0,0.559322033898305,0.5,0.4324324324324324,0.5,0.26,0.5131578947368421,1.0,0.6666666666666666,1.0,0.3571428571428571,0.5161290322580645,0.0,0.5076923076923077,0.578125,0.5483870967741935,0.7777777777777778,0.3492063492063492,0.4693877551020408,0.6363636363636364,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,1.0,64.0,3.555555555555556,2.2000000000000006,95.3,5.294444444444444,10.0,0.4,-2.6,-2.0,-0.6,0.0330854617954521,0.493,0.495,0.129,-0.2,-0.4,L (-9),L (-9)
