Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Gill,Shared Games with Bradley Beal,Shared Games with Corey Kispert,Shared Games with Daniel Gafford,Shared Games with Delon Wright,Shared Games with Deni Avdija,Shared Games with Devon Dotson,Shared Games with Isaiah Todd,Shared Games with Jay Huff,Shared Games with Johnny Davis,Shared Games with Jordan Goodwin,Shared Games with Kristaps Porziņģis,Shared Games with Monte Morris,Shared Games with Quenton Jackson,Shared Games with Rui Hachimura,Shared Games with Taj Gibson,Shared Games with Vernon Carey Jr.,Shared Games with Will Barton,Anthony Gill,Bradley Beal,Corey Kispert,Daniel Gafford,Delon Wright,Deni Avdija,Devon Dotson,Isaiah Todd,Jay Huff,Johnny Davis,Jordan Goodwin,Jordan Schakel,Kristaps Porziņģis,Monte Morris,Quenton Jackson,Rui Hachimura,Taj Gibson,Vernon Carey Jr.,Will Barton,Xavier Cooks,co_inf with Anthony Gill,co_inf with Bradley Beal,co_inf with Corey Kispert,co_inf with Daniel Gafford,co_inf with Delon Wright,co_inf with Deni Avdija,co_inf with Devon Dotson,co_inf with Isaiah Todd,co_inf with Jay Huff,co_inf with Johnny Davis,co_inf with Jordan Goodwin,co_inf with Jordan Schakel,co_inf with Kristaps Porziņģis,co_inf with Monte Morris,co_inf with Quenton Jackson,co_inf with Rui Hachimura,co_inf with Taj Gibson,co_inf with Vernon Carey Jr.,co_inf with Will Barton,co_inf with Xavier Cooks,A.J. Green,A.J. Lawson,Aaron Gordon,Aaron Holiday,Aaron Nesmith,Aaron Wiggins,Admiral Schofield,AJ Griffin,Al Horford,Alec Burks,Aleksej Pokusevski,Alex Caruso,Alex Len,Alize Johnson,Alondes Williams,Alperen Şengün,Amir Coffey,Andre Drummond,Andre Iguodala,Andrew Nembhard,Andrew Wiggins,Anfernee Simons,Marcus Smart,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11,11,2022-11-07,27-106,WAS,CHO,1,31.416666666666668,9.0,16.0,.563,1.0,3.0,.333,1,5.0,.200,0.0,6.0,6.0,1.0,0.0,1.0,2.0,0.0,20.0,12.0,+10,13.0,8.0,0.6153846153846154,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,5.0,71.0,3.9444444444444446,11.6,65.8,3.655555555555555,14.3,0.9,-1.7,-0.2,-1.5,0.1462442073499299,0.544,0.421,0.208,0.2,-1.0,W (+8),W (+8)
12,12,2022-11-10,27-109,WAS,DAL,1,41.2,14.0,26.0,.538,5.0,11.0,.455,3,3.0,1.000,2.0,9.0,11.0,6.0,1.0,0.0,4.0,2.0,36.0,27.9,-2,15.0,9.0,0.6,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,21.0,73.0,4.055555555555555,26.700000000000003,55.6,3.088888888888889,14.3,0.9,-1.7,-0.2,-1.5,0.1462442073499299,0.544,0.421,0.208,0.2,-1.0,W (+8),W (+8)
13,13,2022-11-12,27-111,WAS,UTA,1,33.166666666666664,8.0,19.0,.421,1.0,7.0,.143,6,7.0,.857,1.0,7.0,8.0,6.0,0.0,0.0,4.0,2.0,23.0,14.7,+12,12.0,7.0,0.5833333333333334,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,7.0,85.0,4.722222222222222,12.300000000000004,89.79999999999998,4.988888888888888,14.3,0.9,-1.7,-0.2,-1.5,0.1462442073499299,0.544,0.421,0.208,0.2,-1.0,W (+9),W (+9)
14,14,2022-11-13,27-112,WAS,MEM,1,34.416666666666664,4.0,13.0,.308,1.0,7.0,.143,0,1.0,.000,1.0,10.0,11.0,3.0,0.0,0.0,4.0,1.0,9.0,2.5,+10,6.0,3.0,0.5,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,5.0,63.0,3.5,2.4999999999999982,73.39999999999999,4.0777777777777775,14.3,0.9,-1.7,-0.2,-1.5,0.1462442073499299,0.544,0.421,0.208,0.2,-1.0,W (+10),W (+10)
15,15,2022-11-16,27-115,WAS,OKC,1,38.93333333333333,7.0,15.0,.467,3.0,8.0,.375,1,1.0,1.000,2.0,8.0,10.0,9.0,1.0,0.0,7.0,3.0,18.0,13.2,+13,7.0,4.0,0.5714285714285714,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,15.0,69.0,3.8333333333333335,12.8,81.4,4.522222222222222,14.3,0.9,-1.7,-0.2,-1.5,0.1462442073499299,0.544,0.421,0.208,0.2,-1.0,L (-1),L (-1)
16,16,2022-11-18,27-117,WAS,MIA,1,40.46666666666667,9.0,24.0,.375,2.0,12.0,.167,1,3.0,.333,0.0,8.0,8.0,5.0,1.0,0.0,4.0,2.0,21.0,9.1,+1,12.0,7.0,0.5833333333333334,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,4.0,75.0,4.166666666666667,8.700000000000003,68.2,3.788888888888889,14.3,0.9,-1.7,-0.2,-1.5,0.1462442073499299,0.544,0.421,0.208,0.2,-1.0,W (+1),W (+1)
17,17,2022-11-20,27-119,WAS,CHO,1,37.766666666666666,10.0,19.0,.526,4.0,9.0,.444,4,5.0,.800,1.0,9.0,10.0,5.0,0.0,0.0,4.0,2.0,28.0,20.4,+7,10.0,6.0,0.6,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,15.0,54.0,3.0,18.800000000000008,58.1,3.227777777777778,14.3,0.9,-1.7,-0.2,-1.5,0.1462442073499299,0.544,0.421,0.208,0.2,-1.0,W (+4),W (+4)
18,18,2022-11-23,27-122,WAS,MIA,1,39.96666666666667,13.0,27.0,.481,2.0,13.0,.154,5,7.0,.714,0.0,7.0,7.0,1.0,1.0,0.0,0.0,1.0,33.0,21.9,-9,14.0,11.0,0.7857142857142857,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,8.0,72.0,4.0,19.90000000000001,70.0,3.888888888888889,14.3,0.9,-1.7,-0.2,-1.5,0.1462442073499299,0.544,0.421,0.208,0.2,-1.0,L (-8),L (-8)
19,19,2022-11-25,27-124,WAS,MIA,1,38.86666666666667,11.0,22.0,.500,3.0,10.0,.300,3,3.0,1.000,3.0,4.0,7.0,5.0,1.0,0.0,3.0,2.0,28.0,21.0,-5,12.0,8.0,0.6666666666666666,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,13.0,73.0,4.055555555555555,19.800000000000004,78.69999999999999,4.372222222222222,14.3,0.9,-1.7,-0.2,-1.5,0.1462442073499299,0.544,0.421,0.208,0.2,-1.0,L (-3),L (-3)
20,,2022-11-27,27-126,WAS,BOS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,,65.0,3.611111111111111,0.0,97.5,5.416666666666667,14.3,0.9,-1.7,-0.2,-1.5,0.1462442073499299,0.544,0.421,0.208,0.2,-1.0,L (-9),L (-9)
