Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Gill,Shared Games with Bradley Beal,Shared Games with Daniel Gafford,Shared Games with Delon Wright,Shared Games with Deni Avdija,Shared Games with Devon Dotson,Shared Games with Isaiah Todd,Shared Games with Jay Huff,Shared Games with Johnny Davis,Shared Games with Jordan Goodwin,Shared Games with Kristaps Porziņģis,Shared Games with Kyle Kuzma,Shared Games with Monte Morris,Shared Games with Quenton Jackson,Shared Games with Rui Hachimura,Shared Games with Taj Gibson,Shared Games with Vernon Carey Jr.,Shared Games with Will Barton,Anthony Gill,Bradley Beal,Daniel Gafford,Delon Wright,Deni Avdija,Devon Dotson,Isaiah Todd,Jay Huff,Johnny Davis,Jordan Goodwin,Jordan Schakel,Kristaps Porziņģis,Kyle Kuzma,Monte Morris,Quenton Jackson,Rui Hachimura,Taj Gibson,Vernon Carey Jr.,Will Barton,Xavier Cooks,co_inf with Anthony Gill,co_inf with Bradley Beal,co_inf with Daniel Gafford,co_inf with Delon Wright,co_inf with Deni Avdija,co_inf with Devon Dotson,co_inf with Isaiah Todd,co_inf with Jay Huff,co_inf with Johnny Davis,co_inf with Jordan Goodwin,co_inf with Jordan Schakel,co_inf with Kristaps Porziņģis,co_inf with Kyle Kuzma,co_inf with Monte Morris,co_inf with Quenton Jackson,co_inf with Rui Hachimura,co_inf with Taj Gibson,co_inf with Vernon Carey Jr.,co_inf with Will Barton,co_inf with Xavier Cooks,A.J. Green,A.J. Lawson,Aaron Gordon,Aaron Holiday,Aaron Nesmith,Aaron Wiggins,Admiral Schofield,AJ Griffin,Al Horford,Alec Burks,Aleksej Pokusevski,Alex Caruso,Alex Len,Alize Johnson,Alondes Williams,Alperen Şengün,Amir Coffey,Andre Drummond,Andre Iguodala,Andrew Nembhard,Andrew Wiggins,Anfernee Simons,Marcus Smart,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11,3,2022-11-07,23-249,WAS,CHO,1,19.25,3.0,4.0,.750,1.0,2.0,.500,1,1.0,1.000,0.0,3.0,3.0,1.0,0.0,0.0,1.0,4.0,8.0,5.4,-7,2.0,2.0,1.0,51,42,70,46,68,4,3,6,24,60,57,56,54,6,22,46,10,32,59.0,50.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.864406779661017,0.84,0.8974358974358975,0.92,0.8947368421052632,0.6666666666666666,0.5,0.8571428571428571,0.8571428571428571,0.967741935483871,0.0,0.8769230769230769,0.875,0.8709677419354839,0.6666666666666666,0.3492063492063492,0.9387755102040816,0.9090909090909092,0.5714285714285714,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,6.0,70.0,3.888888888888889,4.999999999999998,72.39999999999999,4.022222222222222,11.5,3.8,-1.5,-0.1,-1.4,0.0883715917663541,0.657,0.656,0.15,0.2,2.9,W (+8),W (+8)
12,4,2022-11-10,23-252,WAS,DAL,1,23.433333333333334,2.0,4.0,.500,1.0,2.0,.500,2,2.0,1.000,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,7.0,7.3,+5,2.0,1.0,0.5,51,42,70,46,68,4,3,6,24,60,57,56,54,6,22,46,10,32,59.0,50.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.864406779661017,0.84,0.8974358974358975,0.92,0.8947368421052632,0.6666666666666666,0.5,0.8571428571428571,0.8571428571428571,0.967741935483871,0.0,0.8769230769230769,0.875,0.8709677419354839,0.6666666666666666,0.3492063492063492,0.9387755102040816,0.9090909090909092,0.5714285714285714,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,4.0,90.0,5.0,6.5,75.80000000000001,4.211111111111112,11.5,3.8,-1.5,-0.1,-1.4,0.0883715917663541,0.657,0.656,0.15,0.2,2.9,W (+8),W (+8)
13,5,2022-11-12,23-254,WAS,UTA,1,28.75,6.0,6.0,1.000,4.0,4.0,1.000,2,2.0,1.000,0.0,4.0,4.0,2.0,1.0,0.0,0.0,2.0,18.0,19.0,+14,2.0,2.0,1.0,51,42,70,46,68,4,3,6,24,60,57,56,54,6,22,46,10,32,59.0,50.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.864406779661017,0.84,0.8974358974358975,0.92,0.8947368421052632,0.6666666666666666,0.5,0.8571428571428571,0.8571428571428571,0.967741935483871,0.0,0.8769230769230769,0.875,0.8709677419354839,0.6666666666666666,0.3492063492063492,0.9387755102040816,0.9090909090909092,0.5714285714285714,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,17.0,75.0,4.166666666666667,18.2,83.89999999999999,4.661111111111111,11.5,3.8,-1.5,-0.1,-1.4,0.0883715917663541,0.657,0.656,0.15,0.2,2.9,W (+9),W (+9)
14,6,2022-11-13,23-255,WAS,MEM,1,32.05,5.0,8.0,.625,2.0,2.0,1.000,0,0.0,,0.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,12.0,10.7,+13,6.0,3.0,0.5,51,42,70,46,68,4,3,6,24,60,57,56,54,6,22,46,10,32,59.0,50.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.864406779661017,0.84,0.8974358974358975,0.92,0.8947368421052632,0.6666666666666666,0.5,0.8571428571428571,0.8571428571428571,0.967741935483871,0.0,0.8769230769230769,0.875,0.8709677419354839,0.6666666666666666,0.3492063492063492,0.9387755102040816,0.9090909090909092,0.5714285714285714,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,8.0,60.0,3.333333333333333,10.7,65.19999999999999,3.622222222222222,11.5,3.8,-1.5,-0.1,-1.4,0.0883715917663541,0.657,0.656,0.15,0.2,2.9,W (+10),W (+10)
15,7,2022-11-16,23-258,WAS,OKC,0,11.166666666666666,1.0,3.0,.333,0.0,2.0,.000,0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,-0.7,-20,1.0,1.0,1.0,51,42,70,46,68,4,3,6,24,60,57,56,54,6,22,46,10,32,59.0,50.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.864406779661017,0.84,0.8974358974358975,0.92,0.8947368421052632,0.6666666666666666,0.5,0.8571428571428571,0.8571428571428571,0.967741935483871,0.0,0.8769230769230769,0.875,0.8709677419354839,0.6666666666666666,0.3492063492063492,0.9387755102040816,0.9090909090909092,0.5714285714285714,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,-1.0,85.0,4.722222222222222,-0.6999999999999997,94.9,5.272222222222222,11.5,3.8,-1.5,-0.1,-1.4,0.0883715917663541,0.657,0.656,0.15,0.2,2.9,L (-1),L (-1)
16,8,2022-11-18,23-260,WAS,MIA,0,38.48333333333333,6.0,9.0,.667,5.0,8.0,.625,0,0.0,,2.0,2.0,4.0,3.0,2.0,0.0,0.0,2.0,17.0,18.4,+8,1.0,1.0,1.0,51,42,70,46,68,4,3,6,24,60,57,56,54,6,22,46,10,32,59.0,50.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.864406779661017,0.84,0.8974358974358975,0.92,0.8947368421052632,0.6666666666666666,0.5,0.8571428571428571,0.8571428571428571,0.967741935483871,0.0,0.8769230769230769,0.875,0.8709677419354839,0.6666666666666666,0.3492063492063492,0.9387755102040816,0.9090909090909092,0.5714285714285714,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,17.0,62.0,3.4444444444444446,18.4,58.49999999999999,3.25,11.5,3.8,-1.5,-0.1,-1.4,0.0883715917663541,0.657,0.656,0.15,0.2,2.9,W (+1),W (+1)
17,9,2022-11-20,23-262,WAS,CHO,1,32.333333333333336,4.0,7.0,.571,2.0,3.0,.667,4,4.0,1.000,2.0,4.0,6.0,3.0,0.0,1.0,0.0,0.0,14.0,16.1,+19,4.0,2.0,0.5,51,42,70,46,68,4,3,6,24,60,57,56,54,6,22,46,10,32,59.0,50.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.864406779661017,0.84,0.8974358974358975,0.92,0.8947368421052632,0.6666666666666666,0.5,0.8571428571428571,0.8571428571428571,0.967741935483871,0.0,0.8769230769230769,0.875,0.8709677419354839,0.6666666666666666,0.3492063492063492,0.9387755102040816,0.9090909090909092,0.5714285714285714,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,13.0,56.0,3.111111111111111,14.499999999999998,62.39999999999999,3.4666666666666663,11.5,3.8,-1.5,-0.1,-1.4,0.0883715917663541,0.657,0.656,0.15,0.2,2.9,W (+4),W (+4)
18,10,2022-11-23,23-265,WAS,MIA,1,39.36666666666667,3.0,8.0,.375,2.0,6.0,.333,0,0.0,,1.0,1.0,2.0,2.0,1.0,0.0,2.0,1.0,8.0,4.6,-5,2.0,1.0,0.5,51,42,70,46,68,4,3,6,24,60,57,56,54,6,22,46,10,32,59.0,50.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.864406779661017,0.84,0.8974358974358975,0.92,0.8947368421052632,0.6666666666666666,0.5,0.8571428571428571,0.8571428571428571,0.967741935483871,0.0,0.8769230769230769,0.875,0.8709677419354839,0.6666666666666666,0.3492063492063492,0.9387755102040816,0.9090909090909092,0.5714285714285714,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,3.0,77.0,4.277777777777778,4.6,85.30000000000001,4.73888888888889,11.5,3.8,-1.5,-0.1,-1.4,0.0883715917663541,0.657,0.656,0.15,0.2,2.9,L (-8),L (-8)
19,11,2022-11-25,23-267,WAS,MIA,1,34.53333333333333,2.0,9.0,.222,1.0,7.0,.143,0,1.0,.000,2.0,0.0,2.0,4.0,1.0,0.0,1.0,2.0,5.0,2.5,-9,2.0,1.0,0.5,51,42,70,46,68,4,3,6,24,60,57,56,54,6,22,46,10,32,59.0,50.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.864406779661017,0.84,0.8974358974358975,0.92,0.8947368421052632,0.6666666666666666,0.5,0.8571428571428571,0.8571428571428571,0.967741935483871,0.0,0.8769230769230769,0.875,0.8709677419354839,0.6666666666666666,0.3492063492063492,0.9387755102040816,0.9090909090909092,0.5714285714285714,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,1.0,85.0,4.722222222222222,2.5,96.0,5.333333333333333,11.5,3.8,-1.5,-0.1,-1.4,0.0883715917663541,0.657,0.656,0.15,0.2,2.9,L (-3),L (-3)
20,12,2022-11-27,23-269,WAS,BOS,1,21.866666666666667,3.0,8.0,.375,1.0,3.0,.333,1,2.0,.500,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,3.1,-18,5.0,2.0,0.4,51,42,70,46,68,4,3,6,24,60,57,56,54,6,22,46,10,32,59.0,50.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.864406779661017,0.84,0.8974358974358975,0.92,0.8947368421052632,0.6666666666666666,0.5,0.8571428571428571,0.8571428571428571,0.967741935483871,0.0,0.8769230769230769,0.875,0.8709677419354839,0.6666666666666666,0.3492063492063492,0.9387755102040816,0.9090909090909092,0.5714285714285714,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,-1.0,66.0,3.6666666666666665,2.7000000000000006,94.8,5.266666666666667,11.5,3.8,-1.5,-0.1,-1.4,0.0883715917663541,0.657,0.656,0.15,0.2,2.9,L (-9),L (-9)
Rk,G,Date,Age,Tm,Opp,GS,0.0,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,51,42,70,46,68,4,3,6,24,60,57,56,54,6,22,46,10,32,59.0,50.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.864406779661017,0.84,0.8974358974358975,0.92,0.8947368421052632,0.6666666666666666,0.5,0.8571428571428571,0.8571428571428571,0.967741935483871,0.0,0.8769230769230769,0.875,0.8709677419354839,0.6666666666666666,0.3492063492063492,0.9387755102040816,0.9090909090909092,0.5714285714285714,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,,0.0,0.0,0.0,0.0,0.0,11.5,3.8,-1.5,-0.1,-1.4,0.0883715917663541,0.657,0.656,0.15,0.2,2.9,,
