Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Holiday,Shared Games with AJ Griffin,Shared Games with Bogdan Bogdanović,Shared Games with Clint Capela,Shared Games with De'Andre Hunter,Shared Games with Dejounte Murray,Shared Games with Donovan Williams,Shared Games with Frank Kaminsky,Shared Games with Jalen Johnson,Shared Games with Jarrett Culver,Shared Games with John Collins,Shared Games with Justin Holiday,Shared Games with Onyeka Okongwu,Shared Games with Trent Forrest,Shared Games with Tyrese Martin,Shared Games with Vit Krejci,Aaron Holiday,AJ Griffin,Bogdan Bogdanović,Clint Capela,De'Andre Hunter,Dejounte Murray,Derrick Favors,Donovan Williams,Frank Kaminsky,Jalen Johnson,Jarrett Culver,John Collins,Justin Holiday,Onyeka Okongwu,Trent Forrest,Tyrese Martin,Vit Krejci,co_inf with Aaron Holiday,co_inf with AJ Griffin,co_inf with Bogdan Bogdanović,co_inf with Clint Capela,co_inf with De'Andre Hunter,co_inf with Dejounte Murray,co_inf with Derrick Favors,co_inf with Donovan Williams,co_inf with Frank Kaminsky,co_inf with Jalen Johnson,co_inf with Jarrett Culver,co_inf with John Collins,co_inf with Justin Holiday,co_inf with Onyeka Okongwu,co_inf with Trent Forrest,co_inf with Tyrese Martin,co_inf with Vit Krejci,Shared Games with Saddiq Bey,Shared Games with Bruno Fernando,Shared Games with Garrison Mathews,Bruno Fernando,Garrison Mathews,Saddiq Bey,co_inf with Saddiq Bey,co_inf with Bruno Fernando,co_inf with Garrison Mathews,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11,10,2022/11/9,24-051,ATL,UTA,1,35.75,10,28,0.357,2,5,0.4,0,0,,1,3,4,9,2,0,2,0,22,14.3,8,23,8,0.347826087,54,63,48,60,61,67,2,29,62,7,65,35,71,16,12,23,63,72,54,65,67,74,,2,36,70,10,71,46,80,23,16,29,0.857142857,0.875,0.888888889,0.923076923,0.910447761,0.905405405,,1,0.805555556,0.885714286,0.7,0.915492958,0.760869565,0.8875,0.695652174,0.75,0.793103448,23,7,8,39,54,77,0.298701299,0.179487179,0.148148148,19,7,78,4.105263158,14.3,91.8,4.831578947,22,6.7,3.3,5.3,-2,0.197096077,0.573,0.331,0.46,3.4,5.3,L (-6),L (-6)
12,11,2022/11/10,24-052,ATL,PHI,1,33.06666667,7,21,0.333,2,8,0.25,10,10,1,1,2,3,7,1,0,6,0,26,15.3,16,13,5,0.384615385,54,63,48,60,61,67,2,29,62,7,65,35,71,16,12,23,63,72,54,65,67,74,,2,36,70,10,71,46,80,23,16,29,0.857142857,0.875,0.888888889,0.923076923,0.910447761,0.905405405,,1,0.805555556,0.885714286,0.7,0.915492958,0.760869565,0.8875,0.695652174,0.75,0.793103448,23,7,8,39,54,77,0.298701299,0.179487179,0.148148148,19,0,52,2.736842105,11.3,57.7,3.036842105,22,6.7,3.3,5.3,-2,0.197096077,0.573,0.331,0.46,3.4,5.3,W (+9),W (+9)
13,12,2022/11/12,24-054,ATL,PHI,1,37.75,8,18,0.444,2,7,0.286,9,12,0.75,1,0,1,11,1,0,7,1,27,18.4,-5,11,6,0.545454545,54,63,48,60,61,67,2,29,62,7,65,35,71,16,12,23,63,72,54,65,67,74,,2,36,70,10,71,46,80,23,16,29,0.857142857,0.875,0.888888889,0.923076923,0.910447761,0.905405405,,1,0.805555556,0.885714286,0.7,0.915492958,0.760869565,0.8875,0.695652174,0.75,0.793103448,23,7,8,39,54,77,0.298701299,0.179487179,0.148148148,19,3,36,1.894736842,14.8,51,2.684210526,22,6.7,3.3,5.3,-2,0.197096077,0.573,0.331,0.46,3.4,5.3,L (-12),L (-12)
14,13,2022/11/14,24-056,ATL,MIL,1,33.76666667,7,19,0.368,2,5,0.4,5,5,1,0,3,3,9,1,0,2,0,21,16.7,10,14,5,0.357142857,54,63,48,60,61,67,2,29,62,7,65,35,71,16,12,23,63,72,54,65,67,74,,2,36,70,10,71,46,80,23,16,29,0.857142857,0.875,0.888888889,0.923076923,0.910447761,0.905405405,,1,0.805555556,0.885714286,0.7,0.915492958,0.760869565,0.8875,0.695652174,0.75,0.793103448,23,7,8,39,54,77,0.298701299,0.179487179,0.148148148,19,8,59,3.105263158,14.7,74.6,3.926315789,22,6.7,3.3,5.3,-2,0.197096077,0.573,0.331,0.46,3.4,5.3,W (+15),W (+15)
15,14,2022/11/16,24-058,ATL,BOS,1,30.7,10,23,0.435,2,7,0.286,5,6,0.833,1,4,5,9,1,0,1,1,27,22.3,-10,16,8,0.5,54,63,48,60,61,67,2,29,62,7,65,35,71,16,12,23,63,72,54,65,67,74,,2,36,70,10,71,46,80,23,16,29,0.857142857,0.875,0.888888889,0.923076923,0.910447761,0.905405405,,1,0.805555556,0.885714286,0.7,0.915492958,0.760869565,0.8875,0.695652174,0.75,0.793103448,23,7,8,39,54,77,0.298701299,0.179487179,0.148148148,19,12,43,2.263157895,20.3,52.9,2.784210526,22,6.7,3.3,5.3,-2,0.197096077,0.573,0.331,0.46,3.4,5.3,L (-25),L (-25)
16,15,2022/11/19,24-061,ATL,TOR,1,41.73333333,12,21,0.571,2,4,0.5,7,9,0.778,1,2,3,12,1,1,2,3,33,30.5,11,17,10,0.588235294,54,63,48,60,61,67,2,29,62,7,65,35,71,16,12,23,63,72,54,65,67,74,,2,36,70,10,71,46,80,23,16,29,0.857142857,0.875,0.888888889,0.923076923,0.910447761,0.905405405,,1,0.805555556,0.885714286,0.7,0.915492958,0.760869565,0.8875,0.695652174,0.75,0.793103448,23,7,8,39,54,77,0.298701299,0.179487179,0.148148148,19,18,61,3.210526316,27.7,67.3,3.542105263,22,6.7,3.3,5.3,-2,0.197096077,0.573,0.331,0.46,3.4,5.3,W (+2),W (+2)
17,16,2022/11/21,24-063,ATL,CLE,1,35.45,10,22,0.455,1,7,0.143,4,6,0.667,0,2,2,10,1,0,6,1,25,15,-19,15,9,0.6,54,63,48,60,61,67,2,29,62,7,65,35,71,16,12,23,63,72,54,65,67,74,,2,36,70,10,71,46,80,23,16,29,0.857142857,0.875,0.888888889,0.923076923,0.910447761,0.905405405,,1,0.805555556,0.885714286,0.7,0.915492958,0.760869565,0.8875,0.695652174,0.75,0.793103448,23,7,8,39,54,77,0.298701299,0.179487179,0.148148148,19,4,53,2.789473684,13.4,58.1,3.057894737,22,6.7,3.3,5.3,-2,0.197096077,0.573,0.331,0.46,3.4,5.3,L (-12),L (-12)
18,17,2022/11/23,24-065,ATL,SAC,1,34.61666667,11,19,0.579,4,7,0.571,9,9,1,0,1,1,7,0,0,4,2,35,26.5,13,12,7,0.583333333,54,63,48,60,61,67,2,29,62,7,65,35,71,16,12,23,63,72,54,65,67,74,,2,36,70,10,71,46,80,23,16,29,0.857142857,0.875,0.888888889,0.923076923,0.910447761,0.905405405,,1,0.805555556,0.885714286,0.7,0.915492958,0.760869565,0.8875,0.695652174,0.75,0.793103448,23,7,8,39,54,77,0.298701299,0.179487179,0.148148148,19,11,76,4,22.9,82,4.315789474,22,6.7,3.3,5.3,-2,0.197096077,0.573,0.331,0.46,3.4,5.3,W (+9),W (+9)
19,18,2022/11/25,24-067,ATL,HOU,1,37.56666667,13,28,0.464,4,10,0.4,14,16,0.875,0,0,0,5,1,0,4,4,44,27.7,-6,18,9,0.5,54,63,48,60,61,67,2,29,62,7,65,35,71,16,12,23,63,72,54,65,67,74,,2,36,70,10,71,46,80,23,16,29,0.857142857,0.875,0.888888889,0.923076923,0.910447761,0.905405405,,1,0.805555556,0.885714286,0.7,0.915492958,0.760869565,0.8875,0.695652174,0.75,0.793103448,23,7,8,39,54,77,0.298701299,0.179487179,0.148148148,19,2,51,2.684210526,22.1,60.4,3.178947368,22,6.7,3.3,5.3,-2,0.197096077,0.573,0.331,0.46,3.4,5.3,L (-6),L (-6)
20,19,2022/11/27,24-069,ATL,MIA,1,38.41666667,4,16,0.25,1,8,0.125,13,13,1,3,2,5,14,1,0,3,1,22,22.5,2,8,3,0.375,54,63,48,60,61,67,2,29,62,7,65,35,71,16,12,23,63,72,54,65,67,74,,2,36,70,10,71,46,80,23,16,29,0.857142857,0.875,0.888888889,0.923076923,0.910447761,0.905405405,,1,0.805555556,0.885714286,0.7,0.915492958,0.760869565,0.8875,0.695652174,0.75,0.793103448,23,7,8,39,54,77,0.298701299,0.179487179,0.148148148,19,10,44,2.315789474,17.3,50.9,2.678947368,22,6.7,3.3,5.3,-2,0.197096077,0.573,0.331,0.46,3.4,5.3,L (-8),L (-8)
21,20,2022/11/28,24-070,ATL,PHI,1,34.06666667,6,14,0.429,1,4,0.25,5,5,1,1,1,2,10,0,0,3,0,18,15.6,-7,10,5,0.5,54,63,48,60,61,67,2,29,62,7,65,35,71,16,12,23,63,72,54,65,67,74,,2,36,70,10,71,46,80,23,16,29,0.857142857,0.875,0.888888889,0.923076923,0.910447761,0.905405405,,1,0.805555556,0.885714286,0.7,0.915492958,0.760869565,0.8875,0.695652174,0.75,0.793103448,23,7,8,39,54,77,0.298701299,0.179487179,0.148148148,19,8,55,2.894736842,13.6,52.7,2.773684211,22,6.7,3.3,5.3,-2,0.197096077,0.573,0.331,0.46,3.4,5.3,,
22,21,2022/11/30,24-072,ATL,ORL,1,36.21666667,12,23,0.522,2,11,0.182,4,5,0.8,0,2,2,14,0,0,2,0,30,26.7,24,12,10,0.833333333,54,63,48,60,61,67,2,29,62,7,65,35,71,16,12,23,63,72,54,65,67,74,,2,36,70,10,71,46,80,23,16,29,0.857142857,0.875,0.888888889,0.923076923,0.910447761,0.905405405,,1,0.805555556,0.885714286,0.7,0.915492958,0.760869565,0.8875,0.695652174,0.75,0.793103448,23,7,8,39,54,77,0.298701299,0.179487179,0.148148148,19,16,92,4.842105263,25.1,101.9,5.363157895,22,6.7,3.3,5.3,-2,0.197096077,0.573,0.331,0.46,3.4,5.3,L (-3),L (-3)
23,,2022/12/2,24-074,ATL,DEN,,0,0,0,,,,,,0,,0,0,,0,0,0,0,0,0,,,,,,54,63,48,60,61,67,2,29,62,7,65,35,71,16,12,23,63,72,54,65,67,74,,2,36,70,10,71,46,80,23,16,29,0.857142857,0.875,0.888888889,0.923076923,0.910447761,0.905405405,,1,0.805555556,0.885714286,0.7,0.915492958,0.760869565,0.8875,0.695652174,0.75,0.793103448,23,7,8,39,54,77,0.298701299,0.179487179,0.148148148,19,,89,4.684210526,0,106.5,5.605263158,22,6.7,3.3,5.3,-2,0.197096077,0.573,0.331,0.46,3.4,5.3,W (+17),W (+17)
24,22,2022/12/5,24-077,ATL,OKC,1,36.66666667,6,19,0.316,1,7,0.143,10,11,0.909,0,3,3,10,0,0,4,1,23,15.2,-11,12,5,0.416666667,54,63,48,60,61,67,2,29,62,7,65,35,71,16,12,23,63,72,54,65,67,74,,2,36,70,10,71,46,80,23,16,29,0.857142857,0.875,0.888888889,0.923076923,0.910447761,0.905405405,,1,0.805555556,0.885714286,0.7,0.915492958,0.760869565,0.8875,0.695652174,0.75,0.793103448,23,7,8,39,54,77,0.298701299,0.179487179,0.148148148,19,2,64,3.368421053,11.2,74.6,3.926315789,22,6.7,3.3,5.3,-2,0.197096077,0.573,0.331,0.46,3.4,5.3,W (+8),W (+8)
25,23,2022/12/7,24-079,ATL,NYK,1,30.05,9,20,0.45,0,4,0,1,2,0.5,1,3,4,6,0,0,4,0,19,10,-26,16,9,0.5625,54,63,48,60,61,67,2,29,62,7,65,35,71,16,12,23,63,72,54,65,67,74,,2,36,70,10,71,46,80,23,16,29,0.857142857,0.875,0.888888889,0.923076923,0.910447761,0.905405405,,1,0.805555556,0.885714286,0.7,0.915492958,0.760869565,0.8875,0.695652174,0.75,0.793103448,23,7,8,39,54,77,0.298701299,0.179487179,0.148148148,19,3,43,2.263157895,9.6,54.4,2.863157895,22,6.7,3.3,5.3,-2,0.197096077,0.573,0.331,0.46,3.4,5.3,L (-7),L (-7)
26,24,2022/12/9,24-081,ATL,BRK,1,37.33333333,12,25,0.48,2,7,0.286,7,7,1,0,0,0,9,3,1,8,2,33,21.5,-6,18,10,0.555555556,54,63,48,60,61,67,2,29,62,7,65,35,71,16,12,23,63,72,54,65,67,74,,2,36,70,10,71,46,80,23,16,29,0.857142857,0.875,0.888888889,0.923076923,0.910447761,0.905405405,,1,0.805555556,0.885714286,0.7,0.915492958,0.760869565,0.8875,0.695652174,0.75,0.793103448,23,7,8,39,54,77,0.298701299,0.179487179,0.148148148,19,6,59,3.105263158,18.7,84.1,4.426315789,22,6.7,3.3,5.3,-2,0.197096077,0.573,0.331,0.46,3.4,5.3,L (-24),L (-24)
27,25,2022/12/11,24-083,ATL,CHI,1,42.45,5,18,0.278,2,8,0.25,7,9,0.778,0,2,2,14,0,0,6,4,19,10.4,7,10,3,0.3,54,63,48,60,61,67,2,29,62,7,65,35,71,16,12,23,63,72,54,65,67,74,,2,36,70,10,71,46,80,23,16,29,0.857142857,0.875,0.888888889,0.923076923,0.910447761,0.905405405,,1,0.805555556,0.885714286,0.7,0.915492958,0.760869565,0.8875,0.695652174,0.75,0.793103448,23,7,8,39,54,77,0.298701299,0.179487179,0.148148148,19,2,78,4.105263158,7.6,104.2,5.484210526,22,6.7,3.3,5.3,-2,0.197096077,0.573,0.331,0.46,3.4,5.3,L (-4),L (-4)
28,,2022/12/12,24-084,ATL,MEM,,0,0,0,,,,,,0,,0,0,,0,0,0,0,0,0,,,,,,54,63,48,60,61,67,2,29,62,7,65,35,71,16,12,23,63,72,54,65,67,74,,2,36,70,10,71,46,80,23,16,29,0.857142857,0.875,0.888888889,0.923076923,0.910447761,0.905405405,,1,0.805555556,0.885714286,0.7,0.915492958,0.760869565,0.8875,0.695652174,0.75,0.793103448,23,7,8,39,54,77,0.298701299,0.179487179,0.148148148,19,,32,1.684210526,0,58.8,3.094736842,22,6.7,3.3,5.3,-2,0.197096077,0.573,0.331,0.46,3.4,5.3,W (+1),W (+1)
29,26,2022/12/14,24-086,ATL,ORL,1,38.73333333,6,15,0.4,1,5,0.2,6,7,0.857,1,2,3,16,0,0,5,3,19,16.8,-17,10,5,0.5,54,63,48,60,61,67,2,29,62,7,65,35,71,16,12,23,63,72,54,65,67,74,,2,36,70,10,71,46,80,23,16,29,0.857142857,0.875,0.888888889,0.923076923,0.910447761,0.905405405,,1,0.805555556,0.885714286,0.7,0.915492958,0.760869565,0.8875,0.695652174,0.75,0.793103448,23,7,8,39,54,77,0.298701299,0.179487179,0.148148148,19,11,60,3.157894737,14.4,87.2,4.589473684,22,6.7,3.3,5.3,-2,0.197096077,0.573,0.331,0.46,3.4,5.3,L (-25),L (-25)
30,27,2022/12/16,24-088,ATL,CHO,1,33.65,8,18,0.444,2,5,0.4,13,14,0.929,0,1,1,9,1,0,4,1,31,24.4,3,13,6,0.461538462,54,63,48,60,61,67,2,29,62,7,65,35,71,16,12,23,63,72,54,65,67,74,,2,36,70,10,71,46,80,23,16,29,0.857142857,0.875,0.888888889,0.923076923,0.910447761,0.905405405,,1,0.805555556,0.885714286,0.7,0.915492958,0.760869565,0.8875,0.695652174,0.75,0.793103448,23,7,8,39,54,77,0.298701299,0.179487179,0.148148148,19,6,41,2.157894737,19.2,64,3.368421053,22,6.7,3.3,5.3,-2,0.197096077,0.573,0.331,0.46,3.4,5.3,L (-11),L (-11)
31,28,2022/12/19,24-091,ATL,ORL,1,36.28333333,11,22,0.5,3,7,0.429,12,12,1,1,2,3,13,0,0,4,1,37,32,4,15,8,0.533333333,54,63,48,60,61,67,2,29,62,7,65,35,71,16,12,23,63,72,54,65,67,74,,2,36,70,10,71,46,80,23,16,29,0.857142857,0.875,0.888888889,0.923076923,0.910447761,0.905405405,,1,0.805555556,0.885714286,0.7,0.915492958,0.760869565,0.8875,0.695652174,0.75,0.793103448,23,7,8,39,54,77,0.298701299,0.179487179,0.148148148,19,15,64,3.368421053,27.2,79,4.157894737,22,6.7,3.3,5.3,-2,0.197096077,0.573,0.331,0.46,3.4,5.3,W (+19),W (+19)
32,29,2022/12/21,24-093,ATL,CHI,1,38.1,9,24,0.375,7,14,0.5,9,9,1,2,4,6,6,1,0,5,1,34,23.2,2,10,2,0.2,54,63,48,60,61,67,2,29,62,7,65,35,71,16,12,23,63,72,54,65,67,74,,2,36,70,10,71,46,80,23,16,29,0.857142857,0.875,0.888888889,0.923076923,0.910447761,0.905405405,,1,0.805555556,0.885714286,0.7,0.915492958,0.760869565,0.8875,0.695652174,0.75,0.793103448,23,7,8,39,54,77,0.298701299,0.179487179,0.148148148,19,9,59,3.105263158,19.6,65.8,3.463157895,22,6.7,3.3,5.3,-2,0.197096077,0.573,0.331,0.46,3.4,5.3,W (+1),W (+1)
33,30,2022/12/23,24-095,ATL,DET,1,31.08333333,9,15,0.6,3,7,0.429,5,8,0.625,0,2,2,13,2,0,1,0,26,28.6,17,8,6,0.75,54,63,48,60,61,67,2,29,62,7,65,35,71,16,12,23,63,72,54,65,67,74,,2,36,70,10,71,46,80,23,16,29,0.857142857,0.875,0.888888889,0.923076923,0.910447761,0.905405405,,1,0.805555556,0.885714286,0.7,0.915492958,0.760869565,0.8875,0.695652174,0.75,0.793103448,23,7,8,39,54,77,0.298701299,0.179487179,0.148148148,19,19,82,4.315789474,26.6,90,4.736842105,22,6.7,3.3,5.3,-2,0.197096077,0.573,0.331,0.46,3.4,5.3,L (-2),L (-2)
34,31,2022/12/27,24-099,ATL,IND,1,34.1,5,15,0.333,3,6,0.5,9,10,0.9,0,3,3,10,0,1,4,1,22,17.3,-15,9,2,0.222222222,54,63,48,60,61,67,2,29,62,7,65,35,71,16,12,23,63,72,54,65,67,74,,2,36,70,10,71,46,80,23,16,29,0.857142857,0.875,0.888888889,0.923076923,0.910447761,0.905405405,,1,0.805555556,0.885714286,0.7,0.915492958,0.760869565,0.8875,0.695652174,0.75,0.793103448,23,7,8,39,54,77,0.298701299,0.179487179,0.148148148,19,7,50,2.631578947,13.7,75.9,3.994736842,22,6.7,3.3,5.3,-2,0.197096077,0.573,0.331,0.46,3.4,5.3,W (+25),W (+25)
35,,2022/12/28,24-100,ATL,BRK,,0,0,0,,,,,,0,,0,0,,0,0,0,0,0,0,,,,,,54,63,48,60,61,67,2,29,62,7,65,35,71,16,12,23,63,72,54,65,67,74,,2,36,70,10,71,46,80,23,16,29,0.857142857,0.875,0.888888889,0.923076923,0.910447761,0.905405405,,1,0.805555556,0.885714286,0.7,0.915492958,0.760869565,0.8875,0.695652174,0.75,0.793103448,23,7,8,39,54,77,0.298701299,0.179487179,0.148148148,19,,60,3.157894737,0,87.6,4.610526316,22,6.7,3.3,5.3,-2,0.197096077,0.573,0.331,0.46,3.4,5.3,L (-15),L (-15)
