Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Holiday,Shared Games with AJ Griffin,Shared Games with Bogdan Bogdanović,Shared Games with Clint Capela,Shared Games with De'Andre Hunter,Shared Games with Dejounte Murray,Shared Games with Derrick Favors,Shared Games with Donovan Williams,Shared Games with Jalen Johnson,Shared Games with Jarrett Culver,Shared Games with John Collins,Shared Games with Justin Holiday,Shared Games with Onyeka Okongwu,Shared Games with Trae Young,Shared Games with Trent Forrest,Shared Games with Tyrese Martin,Shared Games with Vit Krejci,Aaron Holiday,AJ Griffin,Bogdan Bogdanović,Clint Capela,De'Andre Hunter,Dejounte Murray,Derrick Favors,Donovan Williams,Jalen Johnson,Jarrett Culver,John Collins,Justin Holiday,Onyeka Okongwu,Trae Young,Trent Forrest,Tyrese Martin,Vit Krejci,co_inf with Aaron Holiday,co_inf with AJ Griffin,co_inf with Bogdan Bogdanović,co_inf with Clint Capela,co_inf with De'Andre Hunter,co_inf with Dejounte Murray,co_inf with Derrick Favors,co_inf with Donovan Williams,co_inf with Jalen Johnson,co_inf with Jarrett Culver,co_inf with John Collins,co_inf with Justin Holiday,co_inf with Onyeka Okongwu,co_inf with Trae Young,co_inf with Trent Forrest,co_inf with Tyrese Martin,co_inf with Vit Krejci
10,11,,2022-11-09,29-219,ATL,,UTA,L (-6),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
11,12,,2022-11-10,29-220,ATL,,PHI,W (+9),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
12,13,5,2022-11-12,29-222,ATL,@,PHI,L (-12),0,13.283333333333333,3.0,3.0,1.000,0.0,0.0,,0,0,,0,3,3,1,0,0,0,3,6,5.5,+6,3.0,3.0,1.0,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
13,14,,2022-11-14,29-224,ATL,@,MIL,W (+15),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
14,15,6,2022-11-16,29-226,ATL,,BOS,L (-25),0,5.366666666666666,1.0,1.0,1.000,1.0,1.0,1.000,0,0,,0,1,1,1,0,0,0,0,3,3.7,+4,0.0,0.0,,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
15,16,,2022-11-19,29-229,ATL,,TOR,W (+2),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
16,17,7,2022-11-21,29-231,ATL,@,CLE,L (-12),0,1.1333333333333333,0.0,0.0,,0.0,0.0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+3,0.0,0.0,,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
17,18,,2022-11-23,29-233,ATL,,SAC,W (+9),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
18,19,8,2022-11-25,29-235,ATL,@,HOU,L (-6),0,8.316666666666666,1.0,1.0,1.000,0.0,0.0,,0,0,,0,0,0,0,0,0,0,1,2,1.3,-9,1.0,1.0,1.0,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
19,20,9,2022-11-27,29-237,ATL,,MIA,L (-8),0,11.766666666666667,2.0,4.0,.500,2.0,3.0,.667,0,0,,0,4,4,1,0,0,1,2,6,4.1,+3,1.0,0.0,0.0,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
20,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
21,21,,2022-11-28,29-238,ATL,@,PHI,L (-3),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
22,22,10,2022-11-30,29-240,ATL,@,ORL,W (+17),0,6.65,0.0,1.0,.000,0.0,1.0,.000,0,0,,0,1,1,1,0,0,1,0,0,-0.7,-4,0.0,0.0,,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
23,23,,2022-12-02,29-242,ATL,,DEN,W (+8),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
24,24,,2022-12-05,29-245,ATL,,OKC,L (-7),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
25,25,11,2022-12-07,29-247,ATL,@,NYK,L (-24),0,6.566666666666666,0.0,0.0,,0.0,0.0,,0,0,,0,1,1,1,0,0,0,0,0,1.0,+1,0.0,0.0,,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
26,26,,2022-12-09,29-249,ATL,@,BRK,L (-4),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
27,27,,2022-12-11,29-251,ATL,,CHI,W (+1),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
28,28,12,2022-12-12,29-252,ATL,@,MEM,L (-25),0,19.533333333333335,4.0,9.0,.444,3.0,7.0,.429,2,2,1.000,1,2,3,2,1,0,1,1,13,10.6,-6,2.0,1.0,0.5,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
29,29,,2022-12-14,29-254,ATL,@,ORL,L (-11),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
30,30,13,2022-12-16,29-256,ATL,@,CHO,W (+19),0,22.216666666666665,4.0,5.0,.800,2.0,3.0,.667,2,2,1.000,0,7,7,5,1,0,1,4,12,14.1,+17,2.0,2.0,1.0,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
31,31,,2022-12-19,29-259,ATL,,ORL,W (+1),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
32,32,14,2022-12-21,29-261,ATL,,CHI,L (-2),0,4.733333333333333,0.0,1.0,.000,0.0,1.0,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,-10,0.0,0.0,,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
33,33,15,2022-12-23,29-263,ATL,,DET,W (+25),0,2.6166666666666667,0.0,0.0,,0.0,0.0,,0,0,,0,0,0,1,0,0,1,0,0,-0.3,0,0.0,0.0,,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
34,34,16,2022-12-27,29-267,ATL,@,IND,L (-15),0,8.416666666666666,2.0,3.0,.667,0.0,1.0,.000,0,0,,0,1,1,1,0,0,0,0,4,3.7,+1,2.0,2.0,1.0,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
