Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Edwards,Shared Games with Austin Rivers,Shared Games with Bryn Forbes,Shared Games with D'Angelo Russell,Shared Games with Jaden McDaniels,Shared Games with Jaylen Nowell,Shared Games with Jordan McLaughlin,Shared Games with Josh Minott,Shared Games with Karl-Anthony Towns,Shared Games with Kyle Anderson,Shared Games with Nathan Knight,Shared Games with Naz Reid,Shared Games with Rudy Gobert,Shared Games with Taurean Prince,Shared Games with Wendell Moore Jr.,A.J. Lawson,Anthony Edwards,Austin Rivers,Bryn Forbes,D'Angelo Russell,Jaden McDaniels,Jaylen Nowell,Jordan McLaughlin,Josh Minott,Karl-Anthony Towns,Kyle Anderson,Nathan Knight,Naz Reid,Rudy Gobert,Taurean Prince,Wendell Moore Jr.,co_inf with A.J. Lawson,co_inf with Anthony Edwards,co_inf with Austin Rivers,co_inf with Bryn Forbes,co_inf with D'Angelo Russell,co_inf with Jaden McDaniels,co_inf with Jaylen Nowell,co_inf with Jordan McLaughlin,co_inf with Josh Minott,co_inf with Karl-Anthony Towns,co_inf with Kyle Anderson,co_inf with Nathan Knight,co_inf with Naz Reid,co_inf with Rudy Gobert,co_inf with Taurean Prince,co_inf with Wendell Moore Jr.,Shared Games with Matt Ryan,Shared Games with Mike Conley,Shared Games with Nickeil Alexander-Walker,Matt Ryan,Mike Conley,Nickeil Alexander-Walker,Vit Krejci,co_inf with Matt Ryan,co_inf with Mike Conley,co_inf with Nickeil Alexander-Walker,co_inf with Vit Krejci,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,,2022-11-07,23-315,MIN,,NYK,L (-13),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,27,20,8,18,28,22,10,13,3,24,22,22,19,18,18,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,38.0,68.0,70.0,54.0,29.0,0.0,0.3417721518987341,0.3846153846153846,0.32,0.2535211267605634,0.3544303797468354,0.3384615384615385,0.2325581395348837,0.8666666666666667,0.1034482758620689,0.3478260869565217,0.5789473684210527,0.3235294117647059,0.2714285714285714,0.3333333333333333,0.6206896551724138,10,8,7,34.0,67.0,59.0,29.0,0.2941176470588235,0.1194029850746268,0.1186440677966101,0.0,18,,72.0,4.0,0.0,79.69999999999999,4.427777777777777
11,12,,2022-11-09,23-317,MIN,,PHO,L (-12),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,27,20,8,18,28,22,10,13,3,24,22,22,19,18,18,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,38.0,68.0,70.0,54.0,29.0,0.0,0.3417721518987341,0.3846153846153846,0.32,0.2535211267605634,0.3544303797468354,0.3384615384615385,0.2325581395348837,0.8666666666666667,0.1034482758620689,0.3478260869565217,0.5789473684210527,0.3235294117647059,0.2714285714285714,0.3333333333333333,0.6206896551724138,10,8,7,34.0,67.0,59.0,29.0,0.2941176470588235,0.1194029850746268,0.1186440677966101,0.0,18,,70.0,3.888888888888889,0.0,82.1,4.561111111111111
12,13,,2022-11-11,23-319,MIN,@,MEM,L (-11),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,27,20,8,18,28,22,10,13,3,24,22,22,19,18,18,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,38.0,68.0,70.0,54.0,29.0,0.0,0.3417721518987341,0.3846153846153846,0.32,0.2535211267605634,0.3544303797468354,0.3384615384615385,0.2325581395348837,0.8666666666666667,0.1034482758620689,0.3478260869565217,0.5789473684210527,0.3235294117647059,0.2714285714285714,0.3333333333333333,0.6206896551724138,10,8,7,34.0,67.0,59.0,29.0,0.2941176470588235,0.1194029850746268,0.1186440677966101,0.0,18,,73.0,4.055555555555555,0.0,84.70000000000002,4.705555555555557
13,14,,2022-11-13,23-321,MIN,@,CLE,W (+5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,27,20,8,18,28,22,10,13,3,24,22,22,19,18,18,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,38.0,68.0,70.0,54.0,29.0,0.0,0.3417721518987341,0.3846153846153846,0.32,0.2535211267605634,0.3544303797468354,0.3384615384615385,0.2325581395348837,0.8666666666666667,0.1034482758620689,0.3478260869565217,0.5789473684210527,0.3235294117647059,0.2714285714285714,0.3333333333333333,0.6206896551724138,10,8,7,34.0,67.0,59.0,29.0,0.2941176470588235,0.1194029850746268,0.1186440677966101,0.0,18,,69.0,3.8333333333333335,0.0,73.2,4.066666666666666
14,15,,2022-11-16,23-324,MIN,@,ORL,W (+18),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,27,20,8,18,28,22,10,13,3,24,22,22,19,18,18,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,38.0,68.0,70.0,54.0,29.0,0.0,0.3417721518987341,0.3846153846153846,0.32,0.2535211267605634,0.3544303797468354,0.3384615384615385,0.2325581395348837,0.8666666666666667,0.1034482758620689,0.3478260869565217,0.5789473684210527,0.3235294117647059,0.2714285714285714,0.3333333333333333,0.6206896551724138,10,8,7,34.0,67.0,59.0,29.0,0.2941176470588235,0.1194029850746268,0.1186440677966101,0.0,18,,80.0,4.444444444444445,0.0,96.4,5.355555555555556
15,16,,2022-11-19,23-327,MIN,@,PHI,W (+3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,27,20,8,18,28,22,10,13,3,24,22,22,19,18,18,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,38.0,68.0,70.0,54.0,29.0,0.0,0.3417721518987341,0.3846153846153846,0.32,0.2535211267605634,0.3544303797468354,0.3384615384615385,0.2325581395348837,0.8666666666666667,0.1034482758620689,0.3478260869565217,0.5789473684210527,0.3235294117647059,0.2714285714285714,0.3333333333333333,0.6206896551724138,10,8,7,34.0,67.0,59.0,29.0,0.2941176470588235,0.1194029850746268,0.1186440677966101,0.0,18,,68.0,3.7777777777777777,0.0,73.49999999999999,4.083333333333332
16,17,,2022-11-21,23-329,MIN,,MIA,W (+4),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,27,20,8,18,28,22,10,13,3,24,22,22,19,18,18,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,38.0,68.0,70.0,54.0,29.0,0.0,0.3417721518987341,0.3846153846153846,0.32,0.2535211267605634,0.3544303797468354,0.3384615384615385,0.2325581395348837,0.8666666666666667,0.1034482758620689,0.3478260869565217,0.5789473684210527,0.3235294117647059,0.2714285714285714,0.3333333333333333,0.6206896551724138,10,8,7,34.0,67.0,59.0,29.0,0.2941176470588235,0.1194029850746268,0.1186440677966101,0.0,18,,75.0,4.166666666666667,0.0,81.89999999999999,4.55
17,18,1,2022-11-23,23-331,MIN,@,IND,W (+14),0,0:57,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,0.0,0.0,,27,20,8,18,28,22,10,13,3,24,22,22,19,18,18,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,38.0,68.0,70.0,54.0,29.0,0.0,0.3417721518987341,0.3846153846153846,0.32,0.2535211267605634,0.3544303797468354,0.3384615384615385,0.2325581395348837,0.8666666666666667,0.1034482758620689,0.3478260869565217,0.5789473684210527,0.3235294117647059,0.2714285714285714,0.3333333333333333,0.6206896551724138,10,8,7,34.0,67.0,59.0,29.0,0.2941176470588235,0.1194029850746268,0.1186440677966101,0.0,18,0.0,83.0,4.611111111111111,0.0,82.7,4.594444444444445
18,19,,2022-11-25,23-333,MIN,@,CHO,L (-2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,27,20,8,18,28,22,10,13,3,24,22,22,19,18,18,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,38.0,68.0,70.0,54.0,29.0,0.0,0.3417721518987341,0.3846153846153846,0.32,0.2535211267605634,0.3544303797468354,0.3384615384615385,0.2325581395348837,0.8666666666666667,0.1034482758620689,0.3478260869565217,0.5789473684210527,0.3235294117647059,0.2714285714285714,0.3333333333333333,0.6206896551724138,10,8,7,34.0,67.0,59.0,29.0,0.2941176470588235,0.1194029850746268,0.1186440677966101,0.0,18,,45.0,2.5,0.0,51.49999999999999,2.8611111111111107
19,20,,2022-11-27,23-335,MIN,,GSW,L (-23),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,27,20,8,18,28,22,10,13,3,24,22,22,19,18,18,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,38.0,68.0,70.0,54.0,29.0,0.0,0.3417721518987341,0.3846153846153846,0.32,0.2535211267605634,0.3544303797468354,0.3384615384615385,0.2325581395348837,0.8666666666666667,0.1034482758620689,0.3478260869565217,0.5789473684210527,0.3235294117647059,0.2714285714285714,0.3333333333333333,0.6206896551724138,10,8,7,34.0,67.0,59.0,29.0,0.2941176470588235,0.1194029850746268,0.1186440677966101,0.0,18,,35.0,1.9444444444444444,0.0,57.1,3.1722222222222225
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,27,20,8,18,28,22,10,13,3,24,22,22,19,18,18,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,38.0,68.0,70.0,54.0,29.0,0.0,0.3417721518987341,0.3846153846153846,0.32,0.2535211267605634,0.3544303797468354,0.3384615384615385,0.2325581395348837,0.8666666666666667,0.1034482758620689,0.3478260869565217,0.5789473684210527,0.3235294117647059,0.2714285714285714,0.3333333333333333,0.6206896551724138,10,8,7,34.0,67.0,59.0,29.0,0.2941176470588235,0.1194029850746268,0.1186440677966101,0.0,18,,0.0,0.0,0.0,0.0,0.0
21,21,,2022-11-28,23-336,MIN,@,WAS,L (-15),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,27,20,8,18,28,22,10,13,3,24,22,22,19,18,18,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,38.0,68.0,70.0,54.0,29.0,0.0,0.3417721518987341,0.3846153846153846,0.32,0.2535211267605634,0.3544303797468354,0.3384615384615385,0.2325581395348837,0.8666666666666667,0.1034482758620689,0.3478260869565217,0.5789473684210527,0.3235294117647059,0.2714285714285714,0.3333333333333333,0.6206896551724138,10,8,7,34.0,67.0,59.0,29.0,0.2941176470588235,0.1194029850746268,0.1186440677966101,0.0,18,,58.0,3.2222222222222223,0.0,79.8,4.433333333333334
22,22,,2022-11-30,23-338,MIN,,MEM,W (+8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,27,20,8,18,28,22,10,13,3,24,22,22,19,18,18,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,38.0,68.0,70.0,54.0,29.0,0.0,0.3417721518987341,0.3846153846153846,0.32,0.2535211267605634,0.3544303797468354,0.3384615384615385,0.2325581395348837,0.8666666666666667,0.1034482758620689,0.3478260869565217,0.5789473684210527,0.3235294117647059,0.2714285714285714,0.3333333333333333,0.6206896551724138,10,8,7,34.0,67.0,59.0,29.0,0.2941176470588235,0.1194029850746268,0.1186440677966101,0.0,18,,63.0,3.5,0.0,79.89999999999999,4.438888888888888
23,23,,2022-12-03,23-341,MIN,,OKC,L (-7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,27,20,8,18,28,22,10,13,3,24,22,22,19,18,18,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,38.0,68.0,70.0,54.0,29.0,0.0,0.3417721518987341,0.3846153846153846,0.32,0.2535211267605634,0.3544303797468354,0.3384615384615385,0.2325581395348837,0.8666666666666667,0.1034482758620689,0.3478260869565217,0.5789473684210527,0.3235294117647059,0.2714285714285714,0.3333333333333333,0.6206896551724138,10,8,7,34.0,67.0,59.0,29.0,0.2941176470588235,0.1194029850746268,0.1186440677966101,0.0,18,,74.0,4.111111111111111,0.0,79.8,4.433333333333334
24,24,2,2022-12-07,23-345,MIN,,IND,W (+6),0,4:22,1.0,3.0,.333,0.0,1.0,.000,2,2.0,1.000,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,2.6,-11,2.0,1.0,0.5,27,20,8,18,28,22,10,13,3,24,22,22,19,18,18,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,38.0,68.0,70.0,54.0,29.0,0.0,0.3417721518987341,0.3846153846153846,0.32,0.2535211267605634,0.3544303797468354,0.3384615384615385,0.2325581395348837,0.8666666666666667,0.1034482758620689,0.3478260869565217,0.5789473684210527,0.3235294117647059,0.2714285714285714,0.3333333333333333,0.6206896551724138,10,8,7,34.0,67.0,59.0,29.0,0.2941176470588235,0.1194029850746268,0.1186440677966101,0.0,18,0.0,70.0,3.888888888888889,1.8000000000000012,77.9,4.327777777777778
25,25,,2022-12-09,23-347,MIN,@,UTA,W (+10),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,27,20,8,18,28,22,10,13,3,24,22,22,19,18,18,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,38.0,68.0,70.0,54.0,29.0,0.0,0.3417721518987341,0.3846153846153846,0.32,0.2535211267605634,0.3544303797468354,0.3384615384615385,0.2325581395348837,0.8666666666666667,0.1034482758620689,0.3478260869565217,0.5789473684210527,0.3235294117647059,0.2714285714285714,0.3333333333333333,0.6206896551724138,10,8,7,34.0,67.0,59.0,29.0,0.2941176470588235,0.1194029850746268,0.1186440677966101,0.0,18,,67.0,3.7222222222222223,0.0,66.6,3.6999999999999997
26,26,,2022-12-10,23-348,MIN,@,POR,L (-6),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,27,20,8,18,28,22,10,13,3,24,22,22,19,18,18,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,38.0,68.0,70.0,54.0,29.0,0.0,0.3417721518987341,0.3846153846153846,0.32,0.2535211267605634,0.3544303797468354,0.3384615384615385,0.2325581395348837,0.8666666666666667,0.1034482758620689,0.3478260869565217,0.5789473684210527,0.3235294117647059,0.2714285714285714,0.3333333333333333,0.6206896551724138,10,8,7,34.0,67.0,59.0,29.0,0.2941176470588235,0.1194029850746268,0.1186440677966101,0.0,18,,57.0,3.1666666666666665,0.0,72.00000000000001,4.000000000000001
