Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with A.J. Lawson,Shared Games with Anthony Edwards,Shared Games with Austin Rivers,Shared Games with Bryn Forbes,Shared Games with D'Angelo Russell,Shared Games with Jaylen Nowell,Shared Games with Jordan McLaughlin,Shared Games with Josh Minott,Shared Games with Karl-Anthony Towns,Shared Games with Kyle Anderson,Shared Games with Luka Garza,Shared Games with Nathan Knight,Shared Games with Naz Reid,Shared Games with Rudy Gobert,Shared Games with Taurean Prince,Shared Games with Wendell Moore Jr.,A.J. Lawson,Anthony Edwards,Austin Rivers,Bryn Forbes,D'Angelo Russell,Jaylen Nowell,Jordan McLaughlin,Josh Minott,Karl-Anthony Towns,Kyle Anderson,Luka Garza,Nathan Knight,Naz Reid,Rudy Gobert,Taurean Prince,Wendell Moore Jr.,co_inf with A.J. Lawson,co_inf with Anthony Edwards,co_inf with Austin Rivers,co_inf with Bryn Forbes,co_inf with D'Angelo Russell,co_inf with Jaylen Nowell,co_inf with Jordan McLaughlin,co_inf with Josh Minott,co_inf with Karl-Anthony Towns,co_inf with Kyle Anderson,co_inf with Luka Garza,co_inf with Nathan Knight,co_inf with Naz Reid,co_inf with Rudy Gobert,co_inf with Taurean Prince,co_inf with Wendell Moore Jr.,Shared Games with Matt Ryan,Shared Games with Mike Conley,Shared Games with Nickeil Alexander-Walker,Matt Ryan,Mike Conley,Nickeil Alexander-Walker,Vit Krejci,co_inf with Matt Ryan,co_inf with Mike Conley,co_inf with Nickeil Alexander-Walker,co_inf with Vit Krejci,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,11,2022-11-07,22-039,MIN,,NYK,L (-13),1,16:33,3.0,6.0,.500,0.0,2.0,.000,0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,2.0,6.0,6.0,0.3,-1,4.0,3.0,0.75,1,76,49,22,51,62,43,14,27,66,28,36,65,67,54,26,15.0,79.0,52.0,25.0,71.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9620253164556962,0.9423076923076924,0.88,0.7183098591549296,0.953846153846154,1.0,0.9333333333333332,0.9310344827586208,0.9565217391304348,1.0,0.9473684210526316,0.9558823529411764,0.9571428571428572,1.0,0.896551724137931,22,24,23,34.0,67.0,59.0,29.0,0.6470588235294118,0.3582089552238806,0.3898305084745763,0.0,19,1.0,71.0,3.736842105263158,0.3000000000000007,79.4,4.178947368421053
11,12,12,2022-11-09,22-041,MIN,,PHO,L (-12),1,38:04,10.0,14.0,.714,2.0,4.0,.500,2,3.0,.667,4.0,4.0,8.0,3.0,0.0,1.0,2.0,2.0,24.0,21.8,+8,10.0,8.0,0.8,1,76,49,22,51,62,43,14,27,66,28,36,65,67,54,26,15.0,79.0,52.0,25.0,71.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9620253164556962,0.9423076923076924,0.88,0.7183098591549296,0.953846153846154,1.0,0.9333333333333332,0.9310344827586208,0.9565217391304348,1.0,0.9473684210526316,0.9558823529411764,0.9571428571428572,1.0,0.896551724137931,22,24,23,34.0,67.0,59.0,29.0,0.6470588235294118,0.3582089552238806,0.3898305084745763,0.0,19,17.0,53.0,2.789473684210526,21.000000000000007,61.1,3.2157894736842105
12,13,13,2022-11-11,22-043,MIN,@,MEM,L (-11),1,33:30,4.0,8.0,.500,2.0,4.0,.500,5,6.0,.833,1.0,3.0,4.0,0.0,3.0,2.0,0.0,6.0,15.0,14.2,-1,4.0,2.0,0.5,1,76,49,22,51,62,43,14,27,66,28,36,65,67,54,26,15.0,79.0,52.0,25.0,71.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9620253164556962,0.9423076923076924,0.88,0.7183098591549296,0.953846153846154,1.0,0.9333333333333332,0.9310344827586208,0.9565217391304348,1.0,0.9473684210526316,0.9558823529411764,0.9571428571428572,1.0,0.896551724137931,22,24,23,34.0,67.0,59.0,29.0,0.6470588235294118,0.3582089552238806,0.3898305084745763,0.0,19,10.0,63.0,3.3157894736842106,12.2,72.5,3.8157894736842106
13,14,14,2022-11-13,22-045,MIN,@,CLE,W (+5),1,30:56,4.0,9.0,.444,1.0,2.0,.500,0,2.0,.000,2.0,0.0,2.0,0.0,1.0,1.0,0.0,6.0,9.0,4.2,-13,7.0,3.0,0.4285714285714285,1,76,49,22,51,62,43,14,27,66,28,36,65,67,54,26,15.0,79.0,52.0,25.0,71.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9620253164556962,0.9423076923076924,0.88,0.7183098591549296,0.953846153846154,1.0,0.9333333333333332,0.9310344827586208,0.9565217391304348,1.0,0.9473684210526316,0.9558823529411764,0.9571428571428572,1.0,0.896551724137931,22,24,23,34.0,67.0,59.0,29.0,0.6470588235294118,0.3582089552238806,0.3898305084745763,0.0,19,2.0,67.0,3.526315789473684,4.199999999999999,69.0,3.6315789473684212
14,15,15,2022-11-16,22-048,MIN,@,ORL,W (+18),1,35:02,4.0,12.0,.333,1.0,5.0,.200,1,2.0,.500,4.0,4.0,8.0,2.0,1.0,1.0,1.0,4.0,10.0,7.3,+19,7.0,3.0,0.4285714285714285,1,76,49,22,51,62,43,14,27,66,28,36,65,67,54,26,15.0,79.0,52.0,25.0,71.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9620253164556962,0.9423076923076924,0.88,0.7183098591549296,0.953846153846154,1.0,0.9333333333333332,0.9310344827586208,0.9565217391304348,1.0,0.9473684210526316,0.9558823529411764,0.9571428571428572,1.0,0.896551724137931,22,24,23,34.0,67.0,59.0,29.0,0.6470588235294118,0.3582089552238806,0.3898305084745763,0.0,19,7.0,73.0,3.842105263157895,6.899999999999997,89.50000000000001,4.710526315789474
15,16,16,2022-11-19,22-051,MIN,@,PHI,W (+3),1,31:33,4.0,6.0,.667,1.0,2.0,.500,2,2.0,1.000,0.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,11.0,9.9,-4,4.0,3.0,0.75,1,76,49,22,51,62,43,14,27,66,28,36,65,67,54,26,15.0,79.0,52.0,25.0,71.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9620253164556962,0.9423076923076924,0.88,0.7183098591549296,0.953846153846154,1.0,0.9333333333333332,0.9310344827586208,0.9565217391304348,1.0,0.9473684210526316,0.9558823529411764,0.9571428571428572,1.0,0.896551724137931,22,24,23,34.0,67.0,59.0,29.0,0.6470588235294118,0.3582089552238806,0.3898305084745763,0.0,19,7.0,61.0,3.210526315789474,9.1,64.39999999999999,3.3894736842105258
16,17,17,2022-11-21,22-053,MIN,,MIA,W (+4),1,32:07,7.0,14.0,.500,3.0,6.0,.500,1,1.0,1.000,2.0,2.0,4.0,3.0,0.0,0.0,2.0,2.0,18.0,12.3,+18,8.0,4.0,0.5,1,76,49,22,51,62,43,14,27,66,28,36,65,67,54,26,15.0,79.0,52.0,25.0,71.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9620253164556962,0.9423076923076924,0.88,0.7183098591549296,0.953846153846154,1.0,0.9333333333333332,0.9310344827586208,0.9565217391304348,1.0,0.9473684210526316,0.9558823529411764,0.9571428571428572,1.0,0.896551724137931,22,24,23,34.0,67.0,59.0,29.0,0.6470588235294118,0.3582089552238806,0.3898305084745763,0.0,19,8.0,67.0,3.526315789473684,11.9,70.0,3.6842105263157894
17,18,18,2022-11-23,22-055,MIN,@,IND,W (+14),1,30:43,8.0,11.0,.727,2.0,4.0,.500,0,0.0,,0.0,3.0,3.0,3.0,0.0,4.0,1.0,4.0,18.0,16.7,+21,7.0,6.0,0.8571428571428571,1,76,49,22,51,62,43,14,27,66,28,36,65,67,54,26,15.0,79.0,52.0,25.0,71.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9620253164556962,0.9423076923076924,0.88,0.7183098591549296,0.953846153846154,1.0,0.9333333333333332,0.9310344827586208,0.9565217391304348,1.0,0.9473684210526316,0.9558823529411764,0.9571428571428572,1.0,0.896551724137931,22,24,23,34.0,67.0,59.0,29.0,0.6470588235294118,0.3582089552238806,0.3898305084745763,0.0,19,16.0,67.0,3.526315789473684,16.699999999999996,66.0,3.473684210526316
18,19,19,2022-11-25,22-057,MIN,@,CHO,L (-2),1,24:16,1.0,7.0,.143,0.0,3.0,.000,0,0.0,,1.0,3.0,4.0,1.0,0.0,2.0,2.0,4.0,2.0,-2.4,0,4.0,1.0,0.25,1,76,49,22,51,62,43,14,27,66,28,36,65,67,54,26,15.0,79.0,52.0,25.0,71.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9620253164556962,0.9423076923076924,0.88,0.7183098591549296,0.953846153846154,1.0,0.9333333333333332,0.9310344827586208,0.9565217391304348,1.0,0.9473684210526316,0.9558823529411764,0.9571428571428572,1.0,0.896551724137931,22,24,23,34.0,67.0,59.0,29.0,0.6470588235294118,0.3582089552238806,0.3898305084745763,0.0,19,0.0,45.0,2.3684210526315788,-2.4,53.89999999999999,2.8368421052631576
19,20,,2022-11-27,22-059,MIN,,GSW,L (-23),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,76,49,22,51,62,43,14,27,66,28,36,65,67,54,26,15.0,79.0,52.0,25.0,71.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9620253164556962,0.9423076923076924,0.88,0.7183098591549296,0.953846153846154,1.0,0.9333333333333332,0.9310344827586208,0.9565217391304348,1.0,0.9473684210526316,0.9558823529411764,0.9571428571428572,1.0,0.896551724137931,22,24,23,34.0,67.0,59.0,29.0,0.6470588235294118,0.3582089552238806,0.3898305084745763,0.0,19,,35.0,1.8421052631578947,0.0,57.1,3.005263157894737
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,1,76,49,22,51,62,43,14,27,66,28,36,65,67,54,26,15.0,79.0,52.0,25.0,71.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9620253164556962,0.9423076923076924,0.88,0.7183098591549296,0.953846153846154,1.0,0.9333333333333332,0.9310344827586208,0.9565217391304348,1.0,0.9473684210526316,0.9558823529411764,0.9571428571428572,1.0,0.896551724137931,22,24,23,34.0,67.0,59.0,29.0,0.6470588235294118,0.3582089552238806,0.3898305084745763,0.0,19,,0.0,0.0,0.0,0.0,0.0
21,21,,2022-11-28,22-060,MIN,@,WAS,L (-15),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,76,49,22,51,62,43,14,27,66,28,36,65,67,54,26,15.0,79.0,52.0,25.0,71.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9620253164556962,0.9423076923076924,0.88,0.7183098591549296,0.953846153846154,1.0,0.9333333333333332,0.9310344827586208,0.9565217391304348,1.0,0.9473684210526316,0.9558823529411764,0.9571428571428572,1.0,0.896551724137931,22,24,23,34.0,67.0,59.0,29.0,0.6470588235294118,0.3582089552238806,0.3898305084745763,0.0,19,,58.0,3.0526315789473686,0.0,79.8,4.2
22,22,,2022-11-30,22-062,MIN,,MEM,W (+8),Not With Team,Not With Team,0.0,0.0,Not With Team,,,Not With Team,Not With Team,0.0,Not With Team,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Not With Team,Not With Team,,,,1,76,49,22,51,62,43,14,27,66,28,36,65,67,54,26,15.0,79.0,52.0,25.0,71.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9620253164556962,0.9423076923076924,0.88,0.7183098591549296,0.953846153846154,1.0,0.9333333333333332,0.9310344827586208,0.9565217391304348,1.0,0.9473684210526316,0.9558823529411764,0.9571428571428572,1.0,0.896551724137931,22,24,23,34.0,67.0,59.0,29.0,0.6470588235294118,0.3582089552238806,0.3898305084745763,0.0,19,,63.0,3.3157894736842106,0.0,79.89999999999999,4.205263157894737
23,23,20,2022-12-03,22-065,MIN,,OKC,L (-7),1,18:13,3.0,4.0,.750,2.0,3.0,.667,0,0.0,,1.0,0.0,1.0,0.0,1.0,1.0,2.0,5.0,8.0,4.8,-22,1.0,1.0,1.0,1,76,49,22,51,62,43,14,27,66,28,36,65,67,54,26,15.0,79.0,52.0,25.0,71.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9620253164556962,0.9423076923076924,0.88,0.7183098591549296,0.953846153846154,1.0,0.9333333333333332,0.9310344827586208,0.9565217391304348,1.0,0.9473684210526316,0.9558823529411764,0.9571428571428572,1.0,0.896551724137931,22,24,23,34.0,67.0,59.0,29.0,0.6470588235294118,0.3582089552238806,0.3898305084745763,0.0,19,5.0,69.0,3.631578947368421,4.799999999999997,75.00000000000001,3.9473684210526323
24,24,21,2022-12-07,22-069,MIN,,IND,W (+6),1,36:46,5.0,10.0,.500,2.0,4.0,.500,0,0.0,,1.0,2.0,3.0,1.0,2.0,0.0,3.0,2.0,12.0,7.2,-5,6.0,3.0,0.5,1,76,49,22,51,62,43,14,27,66,28,36,65,67,54,26,15.0,79.0,52.0,25.0,71.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9620253164556962,0.9423076923076924,0.88,0.7183098591549296,0.953846153846154,1.0,0.9333333333333332,0.9310344827586208,0.9565217391304348,1.0,0.9473684210526316,0.9558823529411764,0.9571428571428572,1.0,0.896551724137931,22,24,23,34.0,67.0,59.0,29.0,0.6470588235294118,0.3582089552238806,0.3898305084745763,0.0,19,5.0,65.0,3.421052631578948,7.199999999999996,72.50000000000001,3.815789473684211
25,25,22,2022-12-09,22-071,MIN,@,UTA,W (+10),1,32:04,5.0,7.0,.714,1.0,3.0,.333,0,0.0,,0.0,3.0,3.0,2.0,1.0,0.0,2.0,3.0,11.0,8.2,0,4.0,4.0,1.0,1,76,49,22,51,62,43,14,27,66,28,36,65,67,54,26,15.0,79.0,52.0,25.0,71.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9620253164556962,0.9423076923076924,0.88,0.7183098591549296,0.953846153846154,1.0,0.9333333333333332,0.9310344827586208,0.9565217391304348,1.0,0.9473684210526316,0.9558823529411764,0.9571428571428572,1.0,0.896551724137931,22,24,23,34.0,67.0,59.0,29.0,0.6470588235294118,0.3582089552238806,0.3898305084745763,0.0,19,8.0,59.0,3.1052631578947367,8.200000000000003,58.39999999999999,3.073684210526315
26,26,23,2022-12-10,22-072,MIN,@,POR,L (-6),1,29:08,3.0,6.0,.500,2.0,4.0,.500,1,1.0,1.000,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,9.0,6.9,+12,2.0,1.0,0.5,1,76,49,22,51,62,43,14,27,66,28,36,65,67,54,26,15.0,79.0,52.0,25.0,71.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9620253164556962,0.9423076923076924,0.88,0.7183098591549296,0.953846153846154,1.0,0.9333333333333332,0.9310344827586208,0.9565217391304348,1.0,0.9473684210526316,0.9558823529411764,0.9571428571428572,1.0,0.896551724137931,22,24,23,34.0,67.0,59.0,29.0,0.6470588235294118,0.3582089552238806,0.3898305084745763,0.0,19,5.0,52.0,2.736842105263158,6.499999999999999,65.5,3.4473684210526314
27,27,24,2022-12-12,22-074,MIN,@,POR,L (-21),1,28:21,1.0,4.0,.250,0.0,2.0,.000,0,0.0,,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.3,-15,2.0,1.0,0.5,1,76,49,22,51,62,43,14,27,66,28,36,65,67,54,26,15.0,79.0,52.0,25.0,71.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9620253164556962,0.9423076923076924,0.88,0.7183098591549296,0.953846153846154,1.0,0.9333333333333332,0.9310344827586208,0.9565217391304348,1.0,0.9473684210526316,0.9558823529411764,0.9571428571428572,1.0,0.896551724137931,22,24,23,34.0,67.0,59.0,29.0,0.6470588235294118,0.3582089552238806,0.3898305084745763,0.0,19,2.0,67.0,3.526315789473684,2.3000000000000003,74.9,3.9421052631578952
