Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Edwards,Shared Games with Austin Rivers,Shared Games with Bryn Forbes,Shared Games with D'Angelo Russell,Shared Games with Jaden McDaniels,Shared Games with Jaylen Nowell,Shared Games with Jordan McLaughlin,Shared Games with Josh Minott,Shared Games with Karl-Anthony Towns,Shared Games with Kyle Anderson,Shared Games with Luka Garza,Shared Games with Nathan Knight,Shared Games with Rudy Gobert,Shared Games with Taurean Prince,Shared Games with Wendell Moore Jr.,A.J. Lawson,Anthony Edwards,Austin Rivers,Bryn Forbes,D'Angelo Russell,Jaden McDaniels,Jaylen Nowell,Jordan McLaughlin,Josh Minott,Karl-Anthony Towns,Kyle Anderson,Luka Garza,Nathan Knight,Rudy Gobert,Taurean Prince,Wendell Moore Jr.,co_inf with A.J. Lawson,co_inf with Anthony Edwards,co_inf with Austin Rivers,co_inf with Bryn Forbes,co_inf with D'Angelo Russell,co_inf with Jaden McDaniels,co_inf with Jaylen Nowell,co_inf with Jordan McLaughlin,co_inf with Josh Minott,co_inf with Karl-Anthony Towns,co_inf with Kyle Anderson,co_inf with Luka Garza,co_inf with Nathan Knight,co_inf with Rudy Gobert,co_inf with Taurean Prince,co_inf with Wendell Moore Jr.,Shared Games with Matt Ryan,Shared Games with Mike Conley,Shared Games with Nickeil Alexander-Walker,Matt Ryan,Mike Conley,Nickeil Alexander-Walker,Vit Krejci,co_inf with Matt Ryan,co_inf with Mike Conley,co_inf with Nickeil Alexander-Walker,co_inf with Vit Krejci,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,9,2022-11-07,23-073,MIN,,NYK,L (-13),0,18:17,5.0,8.0,.625,0.0,3.0,.000,1,2.0,.500,2.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,11.0,8.3,-14,5.0,5.0,1.0,65,46,22,47,65,57,34,13,18,56,22,32,56,41,25,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,70.0,54.0,29.0,0.0,0.8227848101265823,0.8846153846153846,0.88,0.6619718309859155,0.8227848101265823,0.8769230769230769,0.7906976744186046,0.8666666666666667,0.6206896551724138,0.8115942028985508,0.7857142857142857,0.8421052631578947,0.8,0.7592592592592593,0.8620689655172413,21,20,19,34.0,67.0,59.0,29.0,0.6176470588235294,0.2985074626865671,0.3220338983050847,0.0,18,4.0,68.0,3.7777777777777777,7.899999999999999,71.80000000000001,3.9888888888888894
11,12,,2022-11-09,23-075,MIN,,PHO,L (-12),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,65,46,22,47,65,57,34,13,18,56,22,32,56,41,25,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,70.0,54.0,29.0,0.0,0.8227848101265823,0.8846153846153846,0.88,0.6619718309859155,0.8227848101265823,0.8769230769230769,0.7906976744186046,0.8666666666666667,0.6206896551724138,0.8115942028985508,0.7857142857142857,0.8421052631578947,0.8,0.7592592592592593,0.8620689655172413,21,20,19,34.0,67.0,59.0,29.0,0.6176470588235294,0.2985074626865671,0.3220338983050847,0.0,18,,70.0,3.888888888888889,0.0,82.1,4.561111111111111
12,13,,2022-11-11,23-077,MIN,@,MEM,L (-11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,65,46,22,47,65,57,34,13,18,56,22,32,56,41,25,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,70.0,54.0,29.0,0.0,0.8227848101265823,0.8846153846153846,0.88,0.6619718309859155,0.8227848101265823,0.8769230769230769,0.7906976744186046,0.8666666666666667,0.6206896551724138,0.8115942028985508,0.7857142857142857,0.8421052631578947,0.8,0.7592592592592593,0.8620689655172413,21,20,19,34.0,67.0,59.0,29.0,0.6176470588235294,0.2985074626865671,0.3220338983050847,0.0,18,,73.0,4.055555555555555,0.0,84.70000000000002,4.705555555555557
13,14,,2022-11-13,23-079,MIN,@,CLE,W (+5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,65,46,22,47,65,57,34,13,18,56,22,32,56,41,25,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,70.0,54.0,29.0,0.0,0.8227848101265823,0.8846153846153846,0.88,0.6619718309859155,0.8227848101265823,0.8769230769230769,0.7906976744186046,0.8666666666666667,0.6206896551724138,0.8115942028985508,0.7857142857142857,0.8421052631578947,0.8,0.7592592592592593,0.8620689655172413,21,20,19,34.0,67.0,59.0,29.0,0.6176470588235294,0.2985074626865671,0.3220338983050847,0.0,18,,69.0,3.8333333333333335,0.0,73.2,4.066666666666666
14,15,10,2022-11-16,23-082,MIN,@,ORL,W (+18),0,1:46,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-5,0.0,0.0,,65,46,22,47,65,57,34,13,18,56,22,32,56,41,25,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,70.0,54.0,29.0,0.0,0.8227848101265823,0.8846153846153846,0.88,0.6619718309859155,0.8227848101265823,0.8769230769230769,0.7906976744186046,0.8666666666666667,0.6206896551724138,0.8115942028985508,0.7857142857142857,0.8421052631578947,0.8,0.7592592592592593,0.8620689655172413,21,20,19,34.0,67.0,59.0,29.0,0.6176470588235294,0.2985074626865671,0.3220338983050847,0.0,18,2.0,78.0,4.333333333333333,1.0,95.4,5.300000000000001
15,16,11,2022-11-19,23-085,MIN,@,PHI,W (+3),0,10:23,3.0,4.0,.750,1.0,1.0,1.000,2,2.0,1.000,1.0,3.0,4.0,1.0,0.0,0.0,0.0,5.0,9.0,7.7,+3,3.0,2.0,0.6666666666666666,65,46,22,47,65,57,34,13,18,56,22,32,56,41,25,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,70.0,54.0,29.0,0.0,0.8227848101265823,0.8846153846153846,0.88,0.6619718309859155,0.8227848101265823,0.8769230769230769,0.7906976744186046,0.8666666666666667,0.6206896551724138,0.8115942028985508,0.7857142857142857,0.8421052631578947,0.8,0.7592592592592593,0.8620689655172413,21,20,19,34.0,67.0,59.0,29.0,0.6176470588235294,0.2985074626865671,0.3220338983050847,0.0,18,8.0,60.0,3.333333333333333,6.899999999999999,66.6,3.6999999999999997
16,17,12,2022-11-21,23-087,MIN,,MIA,W (+4),0,16:11,3.0,9.0,.333,0.0,2.0,.000,3,4.0,.750,0.0,4.0,4.0,2.0,0.0,1.0,1.0,3.0,9.0,4.6,-25,7.0,3.0,0.4285714285714285,65,46,22,47,65,57,34,13,18,56,22,32,56,41,25,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,70.0,54.0,29.0,0.0,0.8227848101265823,0.8846153846153846,0.88,0.6619718309859155,0.8227848101265823,0.8769230769230769,0.7906976744186046,0.8666666666666667,0.6206896551724138,0.8115942028985508,0.7857142857142857,0.8421052631578947,0.8,0.7592592592592593,0.8620689655172413,21,20,19,34.0,67.0,59.0,29.0,0.6176470588235294,0.2985074626865671,0.3220338983050847,0.0,18,2.0,73.0,4.055555555555555,3.3999999999999977,78.5,4.361111111111111
17,18,,2022-11-23,23-089,MIN,@,IND,W (+14),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,65,46,22,47,65,57,34,13,18,56,22,32,56,41,25,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,70.0,54.0,29.0,0.0,0.8227848101265823,0.8846153846153846,0.88,0.6619718309859155,0.8227848101265823,0.8769230769230769,0.7906976744186046,0.8666666666666667,0.6206896551724138,0.8115942028985508,0.7857142857142857,0.8421052631578947,0.8,0.7592592592592593,0.8620689655172413,21,20,19,34.0,67.0,59.0,29.0,0.6176470588235294,0.2985074626865671,0.3220338983050847,0.0,18,,83.0,4.611111111111111,0.0,82.7,4.594444444444445
18,19,13,2022-11-25,23-091,MIN,@,CHO,L (-2),0,13:27,3.0,5.0,.600,1.0,2.0,.500,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,2.5,-3,3.0,2.0,0.6666666666666666,65,46,22,47,65,57,34,13,18,56,22,32,56,41,25,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,70.0,54.0,29.0,0.0,0.8227848101265823,0.8846153846153846,0.88,0.6619718309859155,0.8227848101265823,0.8769230769230769,0.7906976744186046,0.8666666666666667,0.6206896551724138,0.8115942028985508,0.7857142857142857,0.8421052631578947,0.8,0.7592592592592593,0.8620689655172413,21,20,19,34.0,67.0,59.0,29.0,0.6176470588235294,0.2985074626865671,0.3220338983050847,0.0,18,1.0,44.0,2.4444444444444446,2.499999999999999,48.99999999999999,2.722222222222222
19,20,14,2022-11-27,23-093,MIN,,GSW,L (-23),0,16:01,3.0,6.0,.500,2.0,3.0,.667,0,1.0,.000,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,8.0,6.2,-4,3.0,1.0,0.3333333333333333,65,46,22,47,65,57,34,13,18,56,22,32,56,41,25,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,70.0,54.0,29.0,0.0,0.8227848101265823,0.8846153846153846,0.88,0.6619718309859155,0.8227848101265823,0.8769230769230769,0.7906976744186046,0.8666666666666667,0.6206896551724138,0.8115942028985508,0.7857142857142857,0.8421052631578947,0.8,0.7592592592592593,0.8620689655172413,21,20,19,34.0,67.0,59.0,29.0,0.6176470588235294,0.2985074626865671,0.3220338983050847,0.0,18,5.0,30.0,1.6666666666666667,6.199999999999999,50.89999999999999,2.8277777777777775
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,65,46,22,47,65,57,34,13,18,56,22,32,56,41,25,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,70.0,54.0,29.0,0.0,0.8227848101265823,0.8846153846153846,0.88,0.6619718309859155,0.8227848101265823,0.8769230769230769,0.7906976744186046,0.8666666666666667,0.6206896551724138,0.8115942028985508,0.7857142857142857,0.8421052631578947,0.8,0.7592592592592593,0.8620689655172413,21,20,19,34.0,67.0,59.0,29.0,0.6176470588235294,0.2985074626865671,0.3220338983050847,0.0,18,,0.0,0.0,0.0,0.0,0.0
21,21,15,2022-11-28,23-094,MIN,@,WAS,L (-15),0,17:43,2.0,6.0,.333,1.0,3.0,.333,1,2.0,.500,0.0,3.0,3.0,0.0,0.0,0.0,1.0,5.0,6.0,0.1,-2,3.0,1.0,0.3333333333333333,65,46,22,47,65,57,34,13,18,56,22,32,56,41,25,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,70.0,54.0,29.0,0.0,0.8227848101265823,0.8846153846153846,0.88,0.6619718309859155,0.8227848101265823,0.8769230769230769,0.7906976744186046,0.8666666666666667,0.6206896551724138,0.8115942028985508,0.7857142857142857,0.8421052631578947,0.8,0.7592592592592593,0.8620689655172413,21,20,19,34.0,67.0,59.0,29.0,0.6176470588235294,0.2985074626865671,0.3220338983050847,0.0,18,0.0,58.0,3.2222222222222223,-0.2999999999999998,80.1,4.449999999999999
22,22,16,2022-11-30,23-096,MIN,,MEM,W (+8),0,22:12,3.0,8.0,.375,0.0,5.0,.000,1,2.0,.500,0.0,3.0,3.0,1.0,1.0,5.0,1.0,2.0,7.0,6.5,-5,3.0,3.0,1.0,65,46,22,47,65,57,34,13,18,56,22,32,56,41,25,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,70.0,54.0,29.0,0.0,0.8227848101265823,0.8846153846153846,0.88,0.6619718309859155,0.8227848101265823,0.8769230769230769,0.7906976744186046,0.8666666666666667,0.6206896551724138,0.8115942028985508,0.7857142857142857,0.8421052631578947,0.8,0.7592592592592593,0.8620689655172413,21,20,19,34.0,67.0,59.0,29.0,0.6176470588235294,0.2985074626865671,0.3220338983050847,0.0,18,6.0,57.0,3.1666666666666665,6.1,73.8,4.1
23,23,17,2022-12-03,23-099,MIN,,OKC,L (-7),0,29:47,6.0,12.0,.500,0.0,2.0,.000,1,2.0,.500,3.0,15.0,18.0,3.0,0.0,4.0,1.0,4.0,13.0,15.5,0,10.0,6.0,0.6,65,46,22,47,65,57,34,13,18,56,22,32,56,41,25,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,70.0,54.0,29.0,0.0,0.8227848101265823,0.8846153846153846,0.88,0.6619718309859155,0.8227848101265823,0.8769230769230769,0.7906976744186046,0.8666666666666667,0.6206896551724138,0.8115942028985508,0.7857142857142857,0.8421052631578947,0.8,0.7592592592592593,0.8620689655172413,21,20,19,34.0,67.0,59.0,29.0,0.6176470588235294,0.2985074626865671,0.3220338983050847,0.0,18,23.0,51.0,2.833333333333333,15.1,64.7,3.5944444444444446
24,24,18,2022-12-07,23-103,MIN,,IND,W (+6),0,11:35,3.0,5.0,.600,0.0,1.0,.000,0,0.0,,4.0,3.0,7.0,0.0,1.0,0.0,3.0,3.0,6.0,4.2,+4,4.0,3.0,0.75,65,46,22,47,65,57,34,13,18,56,22,32,56,41,25,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,70.0,54.0,29.0,0.0,0.8227848101265823,0.8846153846153846,0.88,0.6619718309859155,0.8227848101265823,0.8769230769230769,0.7906976744186046,0.8666666666666667,0.6206896551724138,0.8115942028985508,0.7857142857142857,0.8421052631578947,0.8,0.7592592592592593,0.8620689655172413,21,20,19,34.0,67.0,59.0,29.0,0.6176470588235294,0.2985074626865671,0.3220338983050847,0.0,18,6.0,64.0,3.555555555555556,4.2,75.50000000000001,4.1944444444444455
25,25,19,2022-12-09,23-105,MIN,@,UTA,W (+10),0,17:09,4.0,10.0,.400,3.0,6.0,.500,1,1.0,1.000,1.0,3.0,4.0,1.0,0.0,1.0,4.0,2.0,12.0,4.8,-5,4.0,1.0,0.25,65,46,22,47,65,57,34,13,18,56,22,32,56,41,25,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,70.0,54.0,29.0,0.0,0.8227848101265823,0.8846153846153846,0.88,0.6619718309859155,0.8227848101265823,0.8769230769230769,0.7906976744186046,0.8666666666666667,0.6206896551724138,0.8115942028985508,0.7857142857142857,0.8421052631578947,0.8,0.7592592592592593,0.8620689655172413,21,20,19,34.0,67.0,59.0,29.0,0.6176470588235294,0.2985074626865671,0.3220338983050847,0.0,18,3.0,64.0,3.555555555555556,4.399999999999997,62.2,3.4555555555555557
26,26,20,2022-12-10,23-106,MIN,@,POR,L (-6),0,14:27,6.0,12.0,.500,0.0,2.0,.000,3,3.0,1.000,2.0,1.0,3.0,0.0,1.0,2.0,0.0,1.0,15.0,12.7,-17,10.0,6.0,0.6,65,46,22,47,65,57,34,13,18,56,22,32,56,41,25,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,70.0,54.0,29.0,0.0,0.8227848101265823,0.8846153846153846,0.88,0.6619718309859155,0.8227848101265823,0.8769230769230769,0.7906976744186046,0.8666666666666667,0.6206896551724138,0.8115942028985508,0.7857142857142857,0.8421052631578947,0.8,0.7592592592592593,0.8620689655172413,21,20,19,34.0,67.0,59.0,29.0,0.6176470588235294,0.2985074626865671,0.3220338983050847,0.0,18,6.0,51.0,2.833333333333333,11.499999999999998,60.50000000000001,3.3611111111111116
