Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Chris Boucher,Shared Games with Christian Koloko,Shared Games with Dalano Banton,Shared Games with Fred VanVleet,Shared Games with Gary Trent Jr.,Shared Games with Jeff Dowtin,Shared Games with Joe Wieskamp,Shared Games with Juancho Hernangómez,Shared Games with Justin Champagnie,Shared Games with Khem Birch,Shared Games with Malachi Flynn,Shared Games with OG Anunoby,Shared Games with Otto Porter Jr.,Shared Games with Pascal Siakam,Shared Games with Precious Achiuwa,Shared Games with Ron Harper Jr.,Shared Games with Thaddeus Young,Chris Boucher,Christian Koloko,Dalano Banton,Fred VanVleet,Gary Trent Jr.,Jeff Dowtin,Joe Wieskamp,Juancho Hernangómez,Justin Champagnie,Khem Birch,Malachi Flynn,OG Anunoby,Otto Porter Jr.,Pascal Siakam,Precious Achiuwa,Ron Harper Jr.,Thaddeus Young,co_inf with Chris Boucher,co_inf with Christian Koloko,co_inf with Dalano Banton,co_inf with Fred VanVleet,co_inf with Gary Trent Jr.,co_inf with Jeff Dowtin,co_inf with Joe Wieskamp,co_inf with Juancho Hernangómez,co_inf with Justin Champagnie,co_inf with Khem Birch,co_inf with Malachi Flynn,co_inf with OG Anunoby,co_inf with Otto Porter Jr.,co_inf with Pascal Siakam,co_inf with Precious Achiuwa,co_inf with Ron Harper Jr.,co_inf with Thaddeus Young,Shared Games with Jakob Poeltl,Jakob Poeltl,Luke Kornet,co_inf with Jakob Poeltl,co_inf with Luke Kornet,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,10,2022-11-07,21-098,TOR,@,CHI,L (-14),1,30:25,2.0,9.0,.222,0.0,2.0,.000,1,2.0,.500,1.0,5.0,6.0,5.0,0.0,0.0,1.0,3.0,5.0,2.6,+6,7.0,2.0,0.2857142857142857,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,4.0,67.0,3.7222222222222223,2.2,72.9,4.050000000000001
11,12,11,2022-11-09,21-100,TOR,,HOU,W (+7),1,34:06,6.0,16.0,.375,1.0,4.0,.250,0,0.0,,7.0,1.0,8.0,5.0,0.0,2.0,1.0,1.0,13.0,12.9,+6,12.0,5.0,0.4166666666666667,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,11.0,88.0,4.888888888888889,12.9,95.8,5.322222222222222
12,13,12,2022-11-11,21-102,TOR,@,OKC,L (-19),1,28:38,5.0,13.0,.385,1.0,3.0,.333,4,6.0,.667,0.0,3.0,3.0,4.0,1.0,2.0,2.0,1.0,15.0,10.8,-4,10.0,4.0,0.4,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,4.0,64.0,3.555555555555556,9.199999999999998,82.50000000000003,4.583333333333335
13,14,13,2022-11-12,21-103,TOR,@,IND,L (-14),1,39:01,4.0,16.0,.250,0.0,4.0,.000,0,0.0,,4.0,5.0,9.0,5.0,2.0,1.0,2.0,2.0,8.0,6.1,-18,12.0,4.0,0.3333333333333333,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,7.0,49.0,2.7222222222222223,6.099999999999998,66.6,3.6999999999999997
14,15,14,2022-11-14,21-105,TOR,@,DET,W (+4),1,34:11,4.0,9.0,.444,0.0,1.0,.000,0,0.0,,0.0,5.0,5.0,4.0,1.0,1.0,3.0,3.0,8.0,5.1,+1,8.0,4.0,0.5,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,7.0,108.0,6.0,5.099999999999998,103.8,5.766666666666667
15,16,15,2022-11-16,21-107,TOR,,MIA,W (+8),1,41:32,9.0,14.0,.643,1.0,2.0,.500,0,0.0,,3.0,3.0,6.0,6.0,1.0,1.0,4.0,0.0,19.0,17.7,+4,12.0,8.0,0.6666666666666666,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,15.0,66.0,3.6666666666666665,17.700000000000003,69.2,3.8444444444444446
16,17,16,2022-11-19,21-110,TOR,@,ATL,L (-2),1,45:34,11.0,29.0,.379,4.0,8.0,.500,2,2.0,1.000,3.0,8.0,11.0,9.0,1.0,2.0,3.0,3.0,28.0,21.1,-1,21.0,7.0,0.3333333333333333,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,17.0,72.0,4.0,20.3,86.80000000000001,4.822222222222223
17,18,,2022-11-23,21-114,TOR,,BRK,L (-14),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,,37.0,2.055555555555556,0.0,60.69999999999998,3.3722222222222213
18,19,,2022-11-26,21-117,TOR,,DAL,W (+5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,,78.0,4.333333333333333,0.0,76.30000000000001,4.23888888888889
19,20,17,2022-11-28,21-119,TOR,,CLE,W (+12),0,26:31,5.0,12.0,.417,1.0,4.0,.250,0,0.0,,1.0,3.0,4.0,5.0,1.0,3.0,2.0,0.0,11.0,10.8,+12,8.0,4.0,0.5,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,10.0,72.0,4.0,10.800000000000004,70.2,3.9000000000000004
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,,0.0,0.0,0.0,0.0,0.0
21,21,18,2022-11-30,21-121,TOR,@,NOP,L (-18),1,21:04,1.0,7.0,.143,1.0,5.0,.200,1,2.0,.500,0.0,1.0,1.0,5.0,1.0,1.0,3.0,1.0,4.0,1.2,-14,2.0,0.0,0.0,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,0.0,89.0,4.944444444444445,0.7999999999999994,89.5,4.972222222222222
22,22,19,2022-12-02,21-123,TOR,@,BRK,L (-9),1,37:12,6.0,12.0,.500,1.0,2.0,.500,4,7.0,.571,2.0,7.0,9.0,3.0,0.0,0.0,7.0,3.0,17.0,7.2,-11,10.0,5.0,0.5,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,3.0,41.0,2.2777777777777777,5.600000000000001,56.3,3.1277777777777778
23,23,20,2022-12-03,21-124,TOR,,ORL,W (+13),1,32:48,8.0,10.0,.800,0.0,2.0,.000,1,3.0,.333,3.0,11.0,14.0,4.0,2.0,1.0,2.0,2.0,17.0,20.5,+34,8.0,8.0,1.0,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,23.0,63.0,3.5,20.1,77.8,4.322222222222222
24,24,21,2022-12-05,21-126,TOR,,BOS,L (-6),1,41:07,8.0,14.0,.571,1.0,6.0,.167,4,6.0,.667,0.0,7.0,7.0,4.0,1.0,1.0,3.0,3.0,21.0,16.0,-1,8.0,7.0,0.875,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,11.0,47.0,2.611111111111111,14.400000000000002,60.1,3.338888888888889
25,25,22,2022-12-07,21-128,TOR,,LAL,W (+13),1,31:19,6.0,12.0,.500,1.0,2.0,.500,0,0.0,,5.0,12.0,17.0,4.0,0.0,0.0,3.0,0.0,13.0,13.9,-13,10.0,5.0,0.5,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,19.0,66.0,3.6666666666666665,13.900000000000002,80.3,4.461111111111111
26,26,23,2022-12-09,21-130,TOR,@,ORL,L (-4),1,32:09,3.0,7.0,.429,0.0,1.0,.000,0,0.0,,2.0,4.0,6.0,2.0,0.0,0.0,1.0,3.0,6.0,4.1,-24,6.0,3.0,0.5,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,6.0,64.0,3.555555555555556,4.1,73.89999999999999,4.105555555555555
27,27,24,2022-12-11,21-132,TOR,@,ORL,L (-12),1,41:05,3.0,13.0,.231,1.0,3.0,.333,4,4.0,1.000,0.0,2.0,2.0,0.0,1.0,0.0,1.0,5.0,11.0,1.7,-16,10.0,2.0,0.2,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,-4.0,40.0,2.2222222222222223,0.0999999999999992,55.99999999999999,3.1111111111111107
28,28,25,2022-12-14,21-135,TOR,,SAC,L (-1),1,39:58,10.0,16.0,.625,2.0,3.0,.667,5,6.0,.833,2.0,5.0,7.0,10.0,0.0,1.0,3.0,0.0,27.0,27.0,-2,13.0,8.0,0.6153846153846154,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,20.0,58.0,3.2222222222222223,25.0,69.5,3.861111111111111
