Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Chris Boucher,Shared Games with Christian Koloko,Shared Games with Dalano Banton,Shared Games with Gary Trent Jr.,Shared Games with Jeff Dowtin,Shared Games with Joe Wieskamp,Shared Games with Juancho Hernangómez,Shared Games with Justin Champagnie,Shared Games with Khem Birch,Shared Games with Malachi Flynn,Shared Games with OG Anunoby,Shared Games with Otto Porter Jr.,Shared Games with Pascal Siakam,Shared Games with Precious Achiuwa,Shared Games with Ron Harper Jr.,Shared Games with Scottie Barnes,Shared Games with Thaddeus Young,Chris Boucher,Christian Koloko,Dalano Banton,Gary Trent Jr.,Jeff Dowtin,Joe Wieskamp,Juancho Hernangómez,Justin Champagnie,Khem Birch,Malachi Flynn,OG Anunoby,Otto Porter Jr.,Pascal Siakam,Precious Achiuwa,Ron Harper Jr.,Scottie Barnes,Thaddeus Young,co_inf with Chris Boucher,co_inf with Christian Koloko,co_inf with Dalano Banton,co_inf with Gary Trent Jr.,co_inf with Jeff Dowtin,co_inf with Joe Wieskamp,co_inf with Juancho Hernangómez,co_inf with Justin Champagnie,co_inf with Khem Birch,co_inf with Malachi Flynn,co_inf with OG Anunoby,co_inf with Otto Porter Jr.,co_inf with Pascal Siakam,co_inf with Precious Achiuwa,co_inf with Ron Harper Jr.,co_inf with Scottie Barnes,co_inf with Thaddeus Young,Shared Games with Jakob Poeltl,Jakob Poeltl,Luke Kornet,co_inf with Jakob Poeltl,co_inf with Luke Kornet,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,8,2022-11-07,28-255,TOR,@,CHI,L (-14),1,34:22,10.0,19.0,.526,6.0,10.0,.600,1,1.0,1.000,0.0,3.0,3.0,4.0,2.0,2.0,2.0,1.0,27.0,22.4,-8,9.0,4.0,0.4444444444444444,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,16.0,55.0,3.055555555555556,22.0,53.1,2.95
11,12,9,2022-11-09,28-257,TOR,,HOU,W (+7),1,35:07,12.0,26.0,.462,7.0,16.0,.438,1,1.0,1.000,0.0,3.0,3.0,4.0,4.0,1.0,1.0,3.0,32.0,24.8,-1,10.0,5.0,0.5,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,16.0,83.0,4.611111111111111,24.4,84.30000000000001,4.683333333333334
12,13,10,2022-11-11,28-259,TOR,@,OKC,L (-19),1,28:35,5.0,12.0,.417,3.0,7.0,.429,2,5.0,.400,0.0,2.0,2.0,3.0,2.0,0.0,3.0,3.0,15.0,7.9,-22,5.0,2.0,0.4,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,2.0,66.0,3.6666666666666665,7.100000000000005,84.6,4.699999999999999
13,14,,2022-11-12,28-260,TOR,@,IND,L (-14),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,,56.0,3.111111111111111,0.0,72.69999999999997,4.038888888888888
14,15,,2022-11-14,28-262,TOR,@,DET,W (+4),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,,115.0,6.388888888888889,0.0,108.9,6.050000000000001
15,16,11,2022-11-16,28-264,TOR,,MIA,W (+8),1,39:16,7.0,21.0,.333,3.0,10.0,.300,6,7.0,.857,0.0,1.0,1.0,8.0,0.0,0.0,3.0,5.0,23.0,11.6,+10,11.0,4.0,0.3636363636363636,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,1.0,80.0,4.444444444444445,9.200000000000005,77.7,4.316666666666666
16,17,12,2022-11-19,28-267,TOR,@,ATL,L (-2),1,44:27,4.0,18.0,.222,1.0,11.0,.091,6,6.0,1.000,1.0,1.0,2.0,5.0,0.0,0.0,2.0,3.0,15.0,5.3,-16,7.0,3.0,0.4285714285714285,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,-4.0,93.0,5.166666666666667,2.900000000000001,104.2,5.788888888888889
17,18,,2022-11-23,28-271,TOR,,BRK,L (-14),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,,37.0,2.055555555555556,0.0,60.69999999999998,3.3722222222222213
18,19,13,2022-11-26,28-274,TOR,,DAL,W (+5),1,40:58,7.0,18.0,.389,3.0,9.0,.333,9,10.0,.900,1.0,5.0,6.0,7.0,1.0,0.0,3.0,2.0,26.0,20.1,+12,9.0,4.0,0.4444444444444444,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,9.0,69.0,3.8333333333333335,16.499999999999996,59.8,3.322222222222222
19,20,14,2022-11-28,28-276,TOR,,CLE,W (+12),1,32:29,5.0,15.0,.333,3.0,6.0,.500,0,0.0,,0.0,2.0,2.0,5.0,1.0,0.0,2.0,2.0,13.0,6.8,+24,9.0,2.0,0.2222222222222222,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,4.0,78.0,4.333333333333333,6.800000000000001,74.2,4.122222222222223
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,,0.0,0.0,0.0,0.0,0.0
21,21,15,2022-11-30,28-278,TOR,@,NOP,L (-18),1,20:10,1.0,8.0,.125,0.0,7.0,.000,0,0.0,,0.0,6.0,6.0,6.0,1.0,0.0,2.0,2.0,2.0,1.0,-23,1.0,1.0,1.0,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,5.0,84.0,4.666666666666667,0.9999999999999992,89.3,4.961111111111111
22,22,16,2022-12-02,28-280,TOR,@,BRK,L (-9),1,41:14,4.0,14.0,.286,1.0,7.0,.143,1,2.0,.500,0.0,1.0,1.0,6.0,1.0,0.0,2.0,5.0,10.0,2.9,-6,7.0,3.0,0.4285714285714285,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,0.0,44.0,2.4444444444444446,2.5000000000000027,59.4,3.3
23,23,17,2022-12-03,28-281,TOR,,ORL,W (+13),1,37:06,4.0,11.0,.364,3.0,8.0,.375,2,3.0,.667,0.0,2.0,2.0,7.0,3.0,0.0,4.0,4.0,13.0,9.4,+20,3.0,1.0,0.3333333333333333,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,7.0,79.0,4.388888888888889,8.6,89.3,4.961111111111111
24,24,18,2022-12-05,28-283,TOR,,BOS,L (-6),1,38:09,3.0,14.0,.214,1.0,6.0,.167,1,1.0,1.000,1.0,6.0,7.0,3.0,0.0,2.0,1.0,3.0,8.0,3.2,-12,8.0,2.0,0.25,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,4.0,54.0,3.0,2.8,71.7,3.9833333333333334
25,25,19,2022-12-07,28-285,TOR,,LAL,W (+13),1,29:53,8.0,20.0,.400,3.0,12.0,.250,6,6.0,1.000,1.0,3.0,4.0,7.0,0.0,0.0,3.0,1.0,25.0,17.3,+19,8.0,5.0,0.625,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,7.0,78.0,4.333333333333333,14.9,79.3,4.405555555555555
26,26,20,2022-12-09,28-287,TOR,@,ORL,L (-4),1,37:16,5.0,14.0,.357,2.0,9.0,.222,7,9.0,.778,0.0,2.0,2.0,6.0,1.0,1.0,2.0,0.0,19.0,14.9,-15,5.0,3.0,0.6,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,4.0,66.0,3.6666666666666665,12.100000000000003,65.9,3.6611111111111114
27,27,21,2022-12-11,28-289,TOR,@,ORL,L (-12),1,42:18,4.0,11.0,.364,2.0,7.0,.286,10,12.0,.833,1.0,3.0,4.0,7.0,4.0,0.0,1.0,4.0,20.0,21.0,-5,4.0,2.0,0.5,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,11.0,25.0,1.3888888888888888,17.0,39.1,2.1722222222222225
28,28,22,2022-12-14,28-292,TOR,,SAC,L (-1),1,38:10,13.0,25.0,.520,2.0,8.0,.250,11,11.0,1.000,0.0,8.0,8.0,5.0,4.0,1.0,2.0,4.0,39.0,33.7,+8,17.0,11.0,0.6470588235294118,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,19.0,59.0,3.2777777777777777,29.300000000000004,65.2,3.6222222222222222
