Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Chris Boucher,Shared Games with Christian Koloko,Shared Games with Dalano Banton,Shared Games with Fred VanVleet,Shared Games with Gary Trent Jr.,Shared Games with Jeff Dowtin,Shared Games with Juancho Hernangómez,Shared Games with Justin Champagnie,Shared Games with Khem Birch,Shared Games with Malachi Flynn,Shared Games with OG Anunoby,Shared Games with Otto Porter Jr.,Shared Games with Pascal Siakam,Shared Games with Precious Achiuwa,Shared Games with Ron Harper Jr.,Shared Games with Scottie Barnes,Shared Games with Thaddeus Young,Chris Boucher,Christian Koloko,Dalano Banton,Fred VanVleet,Gary Trent Jr.,Jeff Dowtin,Juancho Hernangómez,Justin Champagnie,Khem Birch,Malachi Flynn,OG Anunoby,Otto Porter Jr.,Pascal Siakam,Precious Achiuwa,Ron Harper Jr.,Scottie Barnes,Thaddeus Young,co_inf with Chris Boucher,co_inf with Christian Koloko,co_inf with Dalano Banton,co_inf with Fred VanVleet,co_inf with Gary Trent Jr.,co_inf with Jeff Dowtin,co_inf with Juancho Hernangómez,co_inf with Justin Champagnie,co_inf with Khem Birch,co_inf with Malachi Flynn,co_inf with OG Anunoby,co_inf with Otto Porter Jr.,co_inf with Pascal Siakam,co_inf with Precious Achiuwa,co_inf with Ron Harper Jr.,co_inf with Scottie Barnes,co_inf with Thaddeus Young,Jakob Poeltl,Luke Kornet,co_inf with Jakob Poeltl,co_inf with Luke Kornet,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,,2023-02-12,23-173,TOR,,DET,W (+1),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,9,8,4,5,6,3,7,1,6,7,9,2,8,2,1,9,7,76.0,58.0,31.0,69.0,66.0,25.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.1184210526315789,0.1379310344827586,0.1290322580645161,0.072463768115942,0.0909090909090909,0.12,0.1666666666666666,0.2,0.3,0.1320754716981132,0.1343283582089552,0.25,0.1126760563380281,0.0363636363636363,0.1111111111111111,0.1168831168831168,0.1296296296296296,72.0,69.0,0.0,0.0,17,,71.0,4.176470588235294,0.0,64.10000000000001,3.770588235294118
11,12,,2023-02-14,23-175,TOR,,ORL,W (+10),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,9,8,4,5,6,3,7,1,6,7,9,2,8,2,1,9,7,76.0,58.0,31.0,69.0,66.0,25.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.1184210526315789,0.1379310344827586,0.1290322580645161,0.072463768115942,0.0909090909090909,0.12,0.1666666666666666,0.2,0.3,0.1320754716981132,0.1343283582089552,0.25,0.1126760563380281,0.0363636363636363,0.1111111111111111,0.1168831168831168,0.1296296296296296,72.0,69.0,0.0,0.0,17,,99.0,5.823529411764706,0.0,85.4,5.023529411764706
12,13,,2023-02-23,23-184,TOR,,NOP,W (+5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,9,8,4,5,6,3,7,1,6,7,9,2,8,2,1,9,7,76.0,58.0,31.0,69.0,66.0,25.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.1184210526315789,0.1379310344827586,0.1290322580645161,0.072463768115942,0.0909090909090909,0.12,0.1666666666666666,0.2,0.3,0.1320754716981132,0.1343283582089552,0.25,0.1126760563380281,0.0363636363636363,0.1111111111111111,0.1168831168831168,0.1296296296296296,72.0,69.0,0.0,0.0,17,,68.0,4.0,0.0,76.9,4.523529411764706
13,14,,2023-02-25,23-186,TOR,@,DET,W (+4),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,9,8,4,5,6,3,7,1,6,7,9,2,8,2,1,9,7,76.0,58.0,31.0,69.0,66.0,25.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.1184210526315789,0.1379310344827586,0.1290322580645161,0.072463768115942,0.0909090909090909,0.12,0.1666666666666666,0.2,0.3,0.1320754716981132,0.1343283582089552,0.25,0.1126760563380281,0.0363636363636363,0.1111111111111111,0.1168831168831168,0.1296296296296296,72.0,69.0,0.0,0.0,17,,56.0,3.294117647058824,0.0,68.89999999999998,4.052941176470587
14,15,3,2023-02-26,23-187,TOR,@,CLE,L (-25),0,6:42,0.0,3.0,.000,0.0,3.0,.000,0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.9,-5,0.0,0.0,,9,8,4,5,6,3,7,1,6,7,9,2,8,2,1,9,7,76.0,58.0,31.0,69.0,66.0,25.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.1184210526315789,0.1379310344827586,0.1290322580645161,0.072463768115942,0.0909090909090909,0.12,0.1666666666666666,0.2,0.3,0.1320754716981132,0.1343283582089552,0.25,0.1126760563380281,0.0363636363636363,0.1111111111111111,0.1168831168831168,0.1296296296296296,72.0,69.0,0.0,0.0,17,-1.0,116.0,6.823529411764706,-1.9,82.89999999999998,4.876470588235293
15,16,,2023-02-28,23-189,TOR,,CHI,W (+6),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,9,8,4,5,6,3,7,1,6,7,9,2,8,2,1,9,7,76.0,58.0,31.0,69.0,66.0,25.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.1184210526315789,0.1379310344827586,0.1290322580645161,0.072463768115942,0.0909090909090909,0.12,0.1666666666666666,0.2,0.3,0.1320754716981132,0.1343283582089552,0.25,0.1126760563380281,0.0363636363636363,0.1111111111111111,0.1168831168831168,0.1296296296296296,72.0,69.0,0.0,0.0,17,,81.0,4.764705882352941,0.0,77.00000000000001,4.529411764705883
16,17,,2023-03-02,23-191,TOR,@,WAS,L (-11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,9,8,4,5,6,3,7,1,6,7,9,2,8,2,1,9,7,76.0,58.0,31.0,69.0,66.0,25.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.1184210526315789,0.1379310344827586,0.1290322580645161,0.072463768115942,0.0909090909090909,0.12,0.1666666666666666,0.2,0.3,0.1320754716981132,0.1343283582089552,0.25,0.1126760563380281,0.0363636363636363,0.1111111111111111,0.1168831168831168,0.1296296296296296,72.0,69.0,0.0,0.0,17,,89.0,5.235294117647059,0.0,89.7,5.276470588235294
17,18,,2023-03-04,23-193,TOR,@,WAS,W (+7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,9,8,4,5,6,3,7,1,6,7,9,2,8,2,1,9,7,76.0,58.0,31.0,69.0,66.0,25.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.1184210526315789,0.1379310344827586,0.1290322580645161,0.072463768115942,0.0909090909090909,0.12,0.1666666666666666,0.2,0.3,0.1320754716981132,0.1343283582089552,0.25,0.1126760563380281,0.0363636363636363,0.1111111111111111,0.1168831168831168,0.1296296296296296,72.0,69.0,0.0,0.0,17,,37.0,2.176470588235294,0.0,60.69999999999998,3.5705882352941165
18,19,,2023-03-06,23-195,TOR,@,DEN,L (-5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,9,8,4,5,6,3,7,1,6,7,9,2,8,2,1,9,7,76.0,58.0,31.0,69.0,66.0,25.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.1184210526315789,0.1379310344827586,0.1290322580645161,0.072463768115942,0.0909090909090909,0.12,0.1666666666666666,0.2,0.3,0.1320754716981132,0.1343283582089552,0.25,0.1126760563380281,0.0363636363636363,0.1111111111111111,0.1168831168831168,0.1296296296296296,72.0,69.0,0.0,0.0,17,,78.0,4.588235294117647,0.0,70.50000000000001,4.147058823529413
19,20,,2023-03-08,23-197,TOR,@,LAC,L (-8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,9,8,4,5,6,3,7,1,6,7,9,2,8,2,1,9,7,76.0,58.0,31.0,69.0,66.0,25.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.1184210526315789,0.1379310344827586,0.1290322580645161,0.072463768115942,0.0909090909090909,0.12,0.1666666666666666,0.2,0.3,0.1320754716981132,0.1343283582089552,0.25,0.1126760563380281,0.0363636363636363,0.1111111111111111,0.1168831168831168,0.1296296296296296,72.0,69.0,0.0,0.0,17,,82.0,4.823529411764706,0.0,72.0,4.235294117647059
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,9,8,4,5,6,3,7,1,6,7,9,2,8,2,1,9,7,76.0,58.0,31.0,69.0,66.0,25.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.1184210526315789,0.1379310344827586,0.1290322580645161,0.072463768115942,0.0909090909090909,0.12,0.1666666666666666,0.2,0.3,0.1320754716981132,0.1343283582089552,0.25,0.1126760563380281,0.0363636363636363,0.1111111111111111,0.1168831168831168,0.1296296296296296,72.0,69.0,0.0,0.0,17,,0.0,0.0,0.0,0.0,0.0
21,21,,2023-03-10,23-199,TOR,@,LAL,L (-10),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,9,8,4,5,6,3,7,1,6,7,9,2,8,2,1,9,7,76.0,58.0,31.0,69.0,66.0,25.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.1184210526315789,0.1379310344827586,0.1290322580645161,0.072463768115942,0.0909090909090909,0.12,0.1666666666666666,0.2,0.3,0.1320754716981132,0.1343283582089552,0.25,0.1126760563380281,0.0363636363636363,0.1111111111111111,0.1168831168831168,0.1296296296296296,72.0,69.0,0.0,0.0,17,,89.0,5.235294117647059,0.0,78.3,4.605882352941176
22,22,,2023-03-14,23-203,TOR,,DEN,W (+15),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,9,8,4,5,6,3,7,1,6,7,9,2,8,2,1,9,7,76.0,58.0,31.0,69.0,66.0,25.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.1184210526315789,0.1379310344827586,0.1290322580645161,0.072463768115942,0.0909090909090909,0.12,0.1666666666666666,0.2,0.3,0.1320754716981132,0.1343283582089552,0.25,0.1126760563380281,0.0363636363636363,0.1111111111111111,0.1168831168831168,0.1296296296296296,72.0,69.0,0.0,0.0,17,,44.0,2.588235294117647,0.0,61.9,3.6411764705882352
23,23,4,2023-03-16,23-205,TOR,,OKC,W (+17),0,2:52,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,-1,0.0,0.0,,9,8,4,5,6,3,7,1,6,7,9,2,8,2,1,9,7,76.0,58.0,31.0,69.0,66.0,25.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.1184210526315789,0.1379310344827586,0.1290322580645161,0.072463768115942,0.0909090909090909,0.12,0.1666666666666666,0.2,0.3,0.1320754716981132,0.1343283582089552,0.25,0.1126760563380281,0.0363636363636363,0.1111111111111111,0.1168831168831168,0.1296296296296296,72.0,69.0,0.0,0.0,17,0.0,86.0,5.0588235294117645,-0.4,98.3,5.7823529411764705
24,24,5,2023-03-18,23-207,TOR,,MIN,W (+15),0,3:01,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4,0.0,0.0,,9,8,4,5,6,3,7,1,6,7,9,2,8,2,1,9,7,76.0,58.0,31.0,69.0,66.0,25.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.1184210526315789,0.1379310344827586,0.1290322580645161,0.072463768115942,0.0909090909090909,0.12,0.1666666666666666,0.2,0.3,0.1320754716981132,0.1343283582089552,0.25,0.1126760563380281,0.0363636363636363,0.1111111111111111,0.1168831168831168,0.1296296296296296,72.0,69.0,0.0,0.0,17,0.0,58.0,3.411764705882353,0.0,74.5,4.382352941176471
25,25,,2023-03-19,23-208,TOR,@,MIL,L (-7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,9,8,4,5,6,3,7,1,6,7,9,2,8,2,1,9,7,76.0,58.0,31.0,69.0,66.0,25.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.1184210526315789,0.1379310344827586,0.1290322580645161,0.072463768115942,0.0909090909090909,0.12,0.1666666666666666,0.2,0.3,0.1320754716981132,0.1343283582089552,0.25,0.1126760563380281,0.0363636363636363,0.1111111111111111,0.1168831168831168,0.1296296296296296,72.0,69.0,0.0,0.0,17,,85.0,5.0,0.0,94.2,5.541176470588235
26,26,,2023-03-22,23-211,TOR,,IND,L (-4),Did Not Dress,Did Not Dress,0.0,0.0,Did Not Dress,,,Did Not Dress,Did Not Dress,0.0,Did Not Dress,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Dress,Did Not Dress,,,,9,8,4,5,6,3,7,1,6,7,9,2,8,2,1,9,7,76.0,58.0,31.0,69.0,66.0,25.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.1184210526315789,0.1379310344827586,0.1290322580645161,0.072463768115942,0.0909090909090909,0.12,0.1666666666666666,0.2,0.3,0.1320754716981132,0.1343283582089552,0.25,0.1126760563380281,0.0363636363636363,0.1111111111111111,0.1168831168831168,0.1296296296296296,72.0,69.0,0.0,0.0,17,,70.0,4.117647058823529,0.0,77.99999999999999,4.588235294117646
27,27,,2023-03-24,23-213,TOR,,DET,W (+21),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,9,8,4,5,6,3,7,1,6,7,9,2,8,2,1,9,7,76.0,58.0,31.0,69.0,66.0,25.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.1184210526315789,0.1379310344827586,0.1290322580645161,0.072463768115942,0.0909090909090909,0.12,0.1666666666666666,0.2,0.3,0.1320754716981132,0.1343283582089552,0.25,0.1126760563380281,0.0363636363636363,0.1111111111111111,0.1168831168831168,0.1296296296296296,72.0,69.0,0.0,0.0,17,,36.0,2.117647058823529,0.0,56.1,3.3000000000000003
28,28,,2023-03-26,23-215,TOR,,WAS,W (+10),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,9,8,4,5,6,3,7,1,6,7,9,2,8,2,1,9,7,76.0,58.0,31.0,69.0,66.0,25.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.1184210526315789,0.1379310344827586,0.1290322580645161,0.072463768115942,0.0909090909090909,0.12,0.1666666666666666,0.2,0.3,0.1320754716981132,0.1343283582089552,0.25,0.1126760563380281,0.0363636363636363,0.1111111111111111,0.1168831168831168,0.1296296296296296,72.0,69.0,0.0,0.0,17,,78.0,4.588235294117647,0.0,94.5,5.5588235294117645
