Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Christian Koloko,Shared Games with Dalano Banton,Shared Games with Fred VanVleet,Shared Games with Gary Trent Jr.,Shared Games with Jeff Dowtin,Shared Games with Joe Wieskamp,Shared Games with Juancho Hernangómez,Shared Games with Justin Champagnie,Shared Games with Khem Birch,Shared Games with Malachi Flynn,Shared Games with OG Anunoby,Shared Games with Otto Porter Jr.,Shared Games with Pascal Siakam,Shared Games with Precious Achiuwa,Shared Games with Ron Harper Jr.,Shared Games with Scottie Barnes,Shared Games with Thaddeus Young,Christian Koloko,Dalano Banton,Fred VanVleet,Gary Trent Jr.,Jeff Dowtin,Joe Wieskamp,Juancho Hernangómez,Justin Champagnie,Khem Birch,Malachi Flynn,OG Anunoby,Otto Porter Jr.,Pascal Siakam,Precious Achiuwa,Ron Harper Jr.,Scottie Barnes,Thaddeus Young,co_inf with Christian Koloko,co_inf with Dalano Banton,co_inf with Fred VanVleet,co_inf with Gary Trent Jr.,co_inf with Jeff Dowtin,co_inf with Joe Wieskamp,co_inf with Juancho Hernangómez,co_inf with Justin Champagnie,co_inf with Khem Birch,co_inf with Malachi Flynn,co_inf with OG Anunoby,co_inf with Otto Porter Jr.,co_inf with Pascal Siakam,co_inf with Precious Achiuwa,co_inf with Ron Harper Jr.,co_inf with Scottie Barnes,co_inf with Thaddeus Young,Shared Games with Jakob Poeltl,Jakob Poeltl,Luke Kornet,co_inf with Jakob Poeltl,co_inf with Luke Kornet,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,8,2022-11-07,29-300,TOR,@,CHI,L (-14),0,14:28,0.0,3.0,.000,0.0,2.0,.000,0,2.0,.000,0.0,3.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,-4.2,-10,1.0,0.0,0.0,54,28,63,61,24,9,38,3,19,50,61,8,66,51,9,71,48,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.9310344827586208,0.9032258064516128,0.9130434782608696,0.9242424242424242,0.96,1.0,0.9047619047619048,0.6,0.95,0.9433962264150944,0.9104477611940298,1.0,0.9295774647887324,0.9272727272727272,1.0,0.922077922077922,0.8888888888888888,26,72.0,69.0,0.3611111111111111,0.0,18,-3.0,74.0,4.111111111111111,-4.2,79.3,4.405555555555555
11,12,9,2022-11-09,29-302,TOR,,HOU,W (+7),0,13:23,0.0,2.0,.000,0.0,1.0,.000,2,2.0,1.000,1.0,3.0,4.0,0.0,1.0,1.0,0.0,3.0,2.0,2.7,-10,1.0,0.0,0.0,54,28,63,61,24,9,38,3,19,50,61,8,66,51,9,71,48,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.9310344827586208,0.9032258064516128,0.9130434782608696,0.9242424242424242,0.96,1.0,0.9047619047619048,0.6,0.95,0.9433962264150944,0.9104477611940298,1.0,0.9295774647887324,0.9272727272727272,1.0,0.922077922077922,0.8888888888888888,26,72.0,69.0,0.3611111111111111,0.0,18,4.0,95.0,5.277777777777778,1.9,106.8,5.933333333333334
12,13,10,2022-11-11,29-304,TOR,@,OKC,L (-19),0,31:09,6.0,9.0,.667,0.0,2.0,.000,8,10.0,.800,4.0,8.0,12.0,1.0,2.0,1.0,3.0,1.0,20.0,20.5,-7,7.0,6.0,0.8571428571428571,54,28,63,61,24,9,38,3,19,50,61,8,66,51,9,71,48,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.9310344827586208,0.9032258064516128,0.9130434782608696,0.9242424242424242,0.96,1.0,0.9047619047619048,0.6,0.95,0.9433962264150944,0.9104477611940298,1.0,0.9295774647887324,0.9272727272727272,1.0,0.922077922077922,0.8888888888888888,26,72.0,69.0,0.3611111111111111,0.0,18,14.0,54.0,3.0,17.299999999999997,74.4,4.133333333333334
13,14,11,2022-11-12,29-305,TOR,@,IND,L (-14),0,28:12,6.0,17.0,.353,2.0,8.0,.250,5,7.0,.714,4.0,3.0,7.0,0.0,1.0,1.0,1.0,2.0,19.0,12.3,-3,9.0,4.0,0.4444444444444444,54,28,63,61,24,9,38,3,19,50,61,8,66,51,9,71,48,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.9310344827586208,0.9032258064516128,0.9130434782608696,0.9242424242424242,0.96,1.0,0.9047619047619048,0.6,0.95,0.9433962264150944,0.9104477611940298,1.0,0.9295774647887324,0.9272727272727272,1.0,0.922077922077922,0.8888888888888888,26,72.0,69.0,0.3611111111111111,0.0,18,3.0,53.0,2.9444444444444446,10.299999999999995,62.399999999999984,3.466666666666666
14,15,12,2022-11-14,29-307,TOR,@,DET,W (+4),0,31:13,7.0,12.0,.583,1.0,3.0,.333,5,5.0,1.000,1.0,3.0,4.0,1.0,1.0,0.0,1.0,4.0,20.0,15.1,-3,9.0,6.0,0.6666666666666666,54,28,63,61,24,9,38,3,19,50,61,8,66,51,9,71,48,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.9310344827586208,0.9032258064516128,0.9130434782608696,0.9242424242424242,0.96,1.0,0.9047619047619048,0.6,0.95,0.9433962264150944,0.9104477611940298,1.0,0.9295774647887324,0.9272727272727272,1.0,0.922077922077922,0.8888888888888888,26,72.0,69.0,0.3611111111111111,0.0,18,8.0,107.0,5.944444444444445,13.1,95.79999999999998,5.322222222222221
15,16,13,2022-11-16,29-309,TOR,,MIA,W (+8),0,25:00,4.0,7.0,.571,1.0,3.0,.333,6,9.0,.667,2.0,8.0,10.0,1.0,1.0,0.0,1.0,3.0,15.0,13.8,+7,4.0,3.0,0.75,54,28,63,61,24,9,38,3,19,50,61,8,66,51,9,71,48,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.9310344827586208,0.9032258064516128,0.9130434782608696,0.9242424242424242,0.96,1.0,0.9047619047619048,0.6,0.95,0.9433962264150944,0.9104477611940298,1.0,0.9295774647887324,0.9272727272727272,1.0,0.922077922077922,0.8888888888888888,26,72.0,69.0,0.3611111111111111,0.0,18,10.0,71.0,3.9444444444444446,11.4,75.5,4.194444444444445
16,17,,2022-11-19,29-312,TOR,@,ATL,L (-2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,54,28,63,61,24,9,38,3,19,50,61,8,66,51,9,71,48,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.9310344827586208,0.9032258064516128,0.9130434782608696,0.9242424242424242,0.96,1.0,0.9047619047619048,0.6,0.95,0.9433962264150944,0.9104477611940298,1.0,0.9295774647887324,0.9272727272727272,1.0,0.922077922077922,0.8888888888888888,26,72.0,69.0,0.3611111111111111,0.0,18,,89.0,4.944444444444445,0.0,107.1,5.949999999999999
17,18,14,2022-11-23,29-316,TOR,,BRK,L (-14),0,28:51,2.0,15.0,.133,0.0,3.0,.000,8,8.0,1.000,8.0,8.0,16.0,0.0,1.0,1.0,0.0,0.0,12.0,12.0,0,12.0,2.0,0.1666666666666666,54,28,63,61,24,9,38,3,19,50,61,8,66,51,9,71,48,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.9310344827586208,0.9032258064516128,0.9130434782608696,0.9242424242424242,0.96,1.0,0.9047619047619048,0.6,0.95,0.9433962264150944,0.9104477611940298,1.0,0.9295774647887324,0.9272727272727272,1.0,0.922077922077922,0.8888888888888888,26,72.0,69.0,0.3611111111111111,0.0,18,7.0,30.0,1.6666666666666667,8.799999999999997,51.9,2.8833333333333333
18,19,15,2022-11-26,29-319,TOR,,DAL,W (+5),0,36:04,10.0,19.0,.526,0.0,3.0,.000,2,5.0,.400,5.0,8.0,13.0,0.0,1.0,0.0,0.0,1.0,22.0,18.0,+6,16.0,10.0,0.625,54,28,63,61,24,9,38,3,19,50,61,8,66,51,9,71,48,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.9310344827586208,0.9032258064516128,0.9130434782608696,0.9242424242424242,0.96,1.0,0.9047619047619048,0.6,0.95,0.9433962264150944,0.9104477611940298,1.0,0.9295774647887324,0.9272727272727272,1.0,0.922077922077922,0.8888888888888888,26,72.0,69.0,0.3611111111111111,0.0,18,12.0,66.0,3.6666666666666665,17.200000000000003,59.09999999999999,3.2833333333333328
19,20,16,2022-11-28,29-321,TOR,,CLE,W (+12),0,21:45,1.0,4.0,.250,0.0,1.0,.000,3,4.0,.750,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,0,3.0,1.0,0.3333333333333333,54,28,63,61,24,9,38,3,19,50,61,8,66,51,9,71,48,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.9310344827586208,0.9032258064516128,0.9130434782608696,0.9242424242424242,0.96,1.0,0.9047619047619048,0.6,0.95,0.9433962264150944,0.9104477611940298,1.0,0.9295774647887324,0.9272727272727272,1.0,0.922077922077922,0.8888888888888888,26,72.0,69.0,0.3611111111111111,0.0,18,-1.0,83.0,4.611111111111111,0.8,80.2,4.455555555555556
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,54,28,63,61,24,9,38,3,19,50,61,8,66,51,9,71,48,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.9310344827586208,0.9032258064516128,0.9130434782608696,0.9242424242424242,0.96,1.0,0.9047619047619048,0.6,0.95,0.9433962264150944,0.9104477611940298,1.0,0.9295774647887324,0.9272727272727272,1.0,0.922077922077922,0.8888888888888888,26,72.0,69.0,0.3611111111111111,0.0,18,,0.0,0.0,0.0,0.0,0.0
21,21,17,2022-11-30,29-323,TOR,@,NOP,L (-18),0,26:04,2.0,7.0,.286,0.0,3.0,.000,2,4.0,.500,0.0,2.0,2.0,0.0,1.0,1.0,0.0,4.0,6.0,1.8,-11,4.0,2.0,0.5,54,28,63,61,24,9,38,3,19,50,61,8,66,51,9,71,48,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.9310344827586208,0.9032258064516128,0.9130434782608696,0.9242424242424242,0.96,1.0,0.9047619047619048,0.6,0.95,0.9433962264150944,0.9104477611940298,1.0,0.9295774647887324,0.9272727272727272,1.0,0.922077922077922,0.8888888888888888,26,72.0,69.0,0.3611111111111111,0.0,18,-1.0,90.0,5.0,0.9999999999999982,89.3,4.961111111111111
22,22,18,2022-12-02,29-325,TOR,@,BRK,L (-9),0,19:22,2.0,7.0,.286,1.0,2.0,.500,0,0.0,,1.0,3.0,4.0,2.0,0.0,1.0,0.0,1.0,5.0,4.2,+12,5.0,1.0,0.2,54,28,63,61,24,9,38,3,19,50,61,8,66,51,9,71,48,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.9310344827586208,0.9032258064516128,0.9130434782608696,0.9242424242424242,0.96,1.0,0.9047619047619048,0.6,0.95,0.9433962264150944,0.9104477611940298,1.0,0.9295774647887324,0.9272727272727272,1.0,0.922077922077922,0.8888888888888888,26,72.0,69.0,0.3611111111111111,0.0,18,5.0,39.0,2.1666666666666665,4.2,57.7,3.2055555555555557
23,23,19,2022-12-03,29-326,TOR,,ORL,W (+13),0,17:50,2.0,5.0,.400,1.0,3.0,.333,1,2.0,.500,1.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,6.0,6.2,-13,2.0,1.0,0.5,54,28,63,61,24,9,38,3,19,50,61,8,66,51,9,71,48,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.9310344827586208,0.9032258064516128,0.9130434782608696,0.9242424242424242,0.96,1.0,0.9047619047619048,0.6,0.95,0.9433962264150944,0.9104477611940298,1.0,0.9295774647887324,0.9272727272727272,1.0,0.922077922077922,0.8888888888888888,26,72.0,69.0,0.3611111111111111,0.0,18,6.0,80.0,4.444444444444445,5.8,92.09999999999998,5.116666666666665
24,24,20,2022-12-05,29-328,TOR,,BOS,L (-6),0,16:12,3.0,6.0,.500,0.0,2.0,.000,2,2.0,1.000,3.0,6.0,9.0,0.0,0.0,0.0,0.0,2.0,8.0,8.1,-2,4.0,3.0,0.75,54,28,63,61,24,9,38,3,19,50,61,8,66,51,9,71,48,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.9310344827586208,0.9032258064516128,0.9130434782608696,0.9242424242424242,0.96,1.0,0.9047619047619048,0.6,0.95,0.9433962264150944,0.9104477611940298,1.0,0.9295774647887324,0.9272727272727272,1.0,0.922077922077922,0.8888888888888888,26,72.0,69.0,0.3611111111111111,0.0,18,9.0,49.0,2.7222222222222223,7.299999999999998,67.2,3.7333333333333334
25,25,21,2022-12-07,29-330,TOR,,LAL,W (+13),0,24:49,7.0,11.0,.636,2.0,5.0,.400,0,0.0,,3.0,4.0,7.0,0.0,0.0,0.0,0.0,2.0,16.0,13.6,+5,6.0,5.0,0.8333333333333334,54,28,63,61,24,9,38,3,19,50,61,8,66,51,9,71,48,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.9310344827586208,0.9032258064516128,0.9130434782608696,0.9242424242424242,0.96,1.0,0.9047619047619048,0.6,0.95,0.9433962264150944,0.9104477611940298,1.0,0.9295774647887324,0.9272727272727272,1.0,0.922077922077922,0.8888888888888888,26,72.0,69.0,0.3611111111111111,0.0,18,12.0,73.0,4.055555555555555,13.599999999999998,80.60000000000001,4.477777777777778
26,26,22,2022-12-09,29-332,TOR,@,ORL,L (-4),0,22:10,3.0,10.0,.300,1.0,3.0,.333,3,4.0,.750,1.0,2.0,3.0,0.0,0.0,2.0,0.0,3.0,10.0,5.3,+9,7.0,2.0,0.2857142857142857,54,28,63,61,24,9,38,3,19,50,61,8,66,51,9,71,48,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.9310344827586208,0.9032258064516128,0.9130434782608696,0.9242424242424242,0.96,1.0,0.9047619047619048,0.6,0.95,0.9433962264150944,0.9104477611940298,1.0,0.9295774647887324,0.9272727272727272,1.0,0.922077922077922,0.8888888888888888,26,72.0,69.0,0.3611111111111111,0.0,18,1.0,69.0,3.8333333333333335,4.099999999999999,73.9,4.105555555555556
27,27,23,2022-12-11,29-334,TOR,@,ORL,L (-12),0,27:44,3.0,8.0,.375,0.0,1.0,.000,6,6.0,1.000,3.0,2.0,5.0,0.0,1.0,2.0,0.0,3.0,12.0,11.5,-8,7.0,3.0,0.4285714285714285,54,28,63,61,24,9,38,3,19,50,61,8,66,51,9,71,48,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.9310344827586208,0.9032258064516128,0.9130434782608696,0.9242424242424242,0.96,1.0,0.9047619047619048,0.6,0.95,0.9433962264150944,0.9104477611940298,1.0,0.9295774647887324,0.9272727272727272,1.0,0.922077922077922,0.8888888888888888,26,72.0,69.0,0.3611111111111111,0.0,18,6.0,30.0,1.6666666666666667,9.099999999999998,47.0,2.611111111111111
28,28,24,2022-12-14,29-337,TOR,,SAC,L (-1),0,17:26,2.0,5.0,.400,0.0,2.0,.000,2,2.0,1.000,0.0,4.0,4.0,0.0,1.0,1.0,0.0,1.0,6.0,5.8,+7,3.0,2.0,0.6666666666666666,54,28,63,61,24,9,38,3,19,50,61,8,66,51,9,71,48,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.9310344827586208,0.9032258064516128,0.9130434782608696,0.9242424242424242,0.96,1.0,0.9047619047619048,0.6,0.95,0.9433962264150944,0.9104477611940298,1.0,0.9295774647887324,0.9272727272727272,1.0,0.922077922077922,0.8888888888888888,26,72.0,69.0,0.3611111111111111,0.0,18,5.0,73.0,4.055555555555555,4.999999999999999,89.5,4.972222222222222
