Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Chris Boucher,Shared Games with Christian Koloko,Shared Games with Fred VanVleet,Shared Games with Gary Trent Jr.,Shared Games with Jeff Dowtin,Shared Games with Joe Wieskamp,Shared Games with Juancho Hernangómez,Shared Games with Justin Champagnie,Shared Games with Khem Birch,Shared Games with Malachi Flynn,Shared Games with OG Anunoby,Shared Games with Otto Porter Jr.,Shared Games with Pascal Siakam,Shared Games with Precious Achiuwa,Shared Games with Ron Harper Jr.,Shared Games with Scottie Barnes,Shared Games with Thaddeus Young,Chris Boucher,Christian Koloko,Fred VanVleet,Gary Trent Jr.,Jeff Dowtin,Joe Wieskamp,Juancho Hernangómez,Justin Champagnie,Khem Birch,Malachi Flynn,OG Anunoby,Otto Porter Jr.,Pascal Siakam,Precious Achiuwa,Ron Harper Jr.,Scottie Barnes,Thaddeus Young,co_inf with Chris Boucher,co_inf with Christian Koloko,co_inf with Fred VanVleet,co_inf with Gary Trent Jr.,co_inf with Jeff Dowtin,co_inf with Joe Wieskamp,co_inf with Juancho Hernangómez,co_inf with Justin Champagnie,co_inf with Khem Birch,co_inf with Malachi Flynn,co_inf with OG Anunoby,co_inf with Otto Porter Jr.,co_inf with Pascal Siakam,co_inf with Precious Achiuwa,co_inf with Ron Harper Jr.,co_inf with Scottie Barnes,co_inf with Thaddeus Young,Shared Games with Jakob Poeltl,Jakob Poeltl,Luke Kornet,co_inf with Jakob Poeltl,co_inf with Luke Kornet,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,10,2022-11-07,23-000,TOR,@,CHI,L (-14),0,9:37,2.0,7.0,.286,0.0,3.0,.000,0,0.0,,0.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,4.0,3.6,-3,4.0,2.0,0.5,28,29,24,24,10,4,16,3,12,23,23,7,24,20,6,30,23,76.0,58.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.3684210526315789,0.5,0.3478260869565217,0.3636363636363636,0.4,0.4444444444444444,0.3809523809523809,0.6,0.6,0.4339622641509434,0.3432835820895522,0.875,0.3380281690140845,0.3636363636363636,0.6666666666666666,0.3896103896103896,0.4259259259259259,6,72.0,69.0,0.0833333333333333,0.0,18,3.0,68.0,3.7777777777777777,3.5999999999999988,71.5,3.9722222222222223
11,12,11,2022-11-09,23-002,TOR,,HOU,W (+7),0,11:59,2.0,7.0,.286,0.0,3.0,.000,4,6.0,.667,2.0,1.0,3.0,2.0,1.0,1.0,3.0,4.0,8.0,3.3,+5,4.0,2.0,0.5,28,29,24,24,10,4,16,3,12,23,23,7,24,20,6,30,23,76.0,58.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.3684210526315789,0.5,0.3478260869565217,0.3636363636363636,0.4,0.4444444444444444,0.3809523809523809,0.6,0.6,0.4339622641509434,0.3432835820895522,0.875,0.3380281690140845,0.3636363636363636,0.6666666666666666,0.3896103896103896,0.4259259259259259,6,72.0,69.0,0.0833333333333333,0.0,18,-1.0,100.0,5.555555555555555,1.7000000000000028,107.0,5.944444444444445
12,13,12,2022-11-11,23-004,TOR,@,OKC,L (-19),0,17:19,2.0,8.0,.250,1.0,4.0,.250,0,0.0,,1.0,0.0,1.0,4.0,1.0,0.0,1.0,0.0,5.0,3.7,-1,4.0,1.0,0.25,28,29,24,24,10,4,16,3,12,23,23,7,24,20,6,30,23,76.0,58.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.3684210526315789,0.5,0.3478260869565217,0.3636363636363636,0.4,0.4444444444444444,0.3809523809523809,0.6,0.6,0.4339622641509434,0.3432835820895522,0.875,0.3380281690140845,0.3636363636363636,0.6666666666666666,0.3896103896103896,0.4259259259259259,6,72.0,69.0,0.0833333333333333,0.0,18,2.0,66.0,3.6666666666666665,3.700000000000001,88.0,4.888888888888889
13,14,13,2022-11-12,23-005,TOR,@,IND,L (-14),0,13:01,5.0,8.0,.625,2.0,3.0,.667,2,2.0,1.000,1.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,14.0,11.4,+4,5.0,3.0,0.6,28,29,24,24,10,4,16,3,12,23,23,7,24,20,6,30,23,76.0,58.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.3684210526315789,0.5,0.3478260869565217,0.3636363636363636,0.4,0.4444444444444444,0.3809523809523809,0.6,0.6,0.4339622641509434,0.3432835820895522,0.875,0.3380281690140845,0.3636363636363636,0.6666666666666666,0.3896103896103896,0.4259259259259259,6,72.0,69.0,0.0833333333333333,0.0,18,7.0,49.0,2.7222222222222223,10.599999999999998,62.09999999999999,3.4499999999999993
14,15,14,2022-11-14,23-007,TOR,@,DET,W (+4),1,24:55,9.0,16.0,.563,3.0,7.0,.429,6,6.0,1.000,0.0,4.0,4.0,4.0,3.0,2.0,2.0,4.0,27.0,24.2,0,9.0,6.0,0.6666666666666666,28,29,24,24,10,4,16,3,12,23,23,7,24,20,6,30,23,76.0,58.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.3684210526315789,0.5,0.3478260869565217,0.3636363636363636,0.4,0.4444444444444444,0.3809523809523809,0.6,0.6,0.4339622641509434,0.3432835820895522,0.875,0.3380281690140845,0.3636363636363636,0.6666666666666666,0.3896103896103896,0.4259259259259259,6,72.0,69.0,0.0833333333333333,0.0,18,16.0,99.0,5.5,21.79999999999999,87.1,4.838888888888889
15,16,15,2022-11-16,23-009,TOR,,MIA,W (+8),1,20:36,2.0,10.0,.200,1.0,6.0,.167,0,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,5.0,0.0,-14,4.0,1.0,0.25,28,29,24,24,10,4,16,3,12,23,23,7,24,20,6,30,23,76.0,58.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.3684210526315789,0.5,0.3478260869565217,0.3636363636363636,0.4,0.4444444444444444,0.3809523809523809,0.6,0.6,0.4339622641509434,0.3432835820895522,0.875,0.3380281690140845,0.3636363636363636,0.6666666666666666,0.3896103896103896,0.4259259259259259,6,72.0,69.0,0.0833333333333333,0.0,18,-2.0,83.0,4.611111111111111,-8.881784197001252e-16,86.9,4.827777777777778
16,17,,2022-11-19,23-012,TOR,@,ATL,L (-2),Did Not Dress,Did Not Dress,0.0,0.0,Did Not Dress,,,Did Not Dress,Did Not Dress,0.0,Did Not Dress,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Dress,Did Not Dress,,,,28,29,24,24,10,4,16,3,12,23,23,7,24,20,6,30,23,76.0,58.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.3684210526315789,0.5,0.3478260869565217,0.3636363636363636,0.4,0.4444444444444444,0.3809523809523809,0.6,0.6,0.4339622641509434,0.3432835820895522,0.875,0.3380281690140845,0.3636363636363636,0.6666666666666666,0.3896103896103896,0.4259259259259259,6,72.0,69.0,0.0833333333333333,0.0,18,,89.0,4.944444444444445,0.0,107.1,5.949999999999999
17,18,,2022-11-23,23-016,TOR,,BRK,L (-14),Did Not Dress,Did Not Dress,0.0,0.0,Did Not Dress,,,Did Not Dress,Did Not Dress,0.0,Did Not Dress,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Dress,Did Not Dress,,,,28,29,24,24,10,4,16,3,12,23,23,7,24,20,6,30,23,76.0,58.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.3684210526315789,0.5,0.3478260869565217,0.3636363636363636,0.4,0.4444444444444444,0.3809523809523809,0.6,0.6,0.4339622641509434,0.3432835820895522,0.875,0.3380281690140845,0.3636363636363636,0.6666666666666666,0.3896103896103896,0.4259259259259259,6,72.0,69.0,0.0833333333333333,0.0,18,,37.0,2.055555555555556,0.0,60.69999999999998,3.3722222222222213
18,19,,2022-11-26,23-019,TOR,,DAL,W (+5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,28,29,24,24,10,4,16,3,12,23,23,7,24,20,6,30,23,76.0,58.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.3684210526315789,0.5,0.3478260869565217,0.3636363636363636,0.4,0.4444444444444444,0.3809523809523809,0.6,0.6,0.4339622641509434,0.3432835820895522,0.875,0.3380281690140845,0.3636363636363636,0.6666666666666666,0.3896103896103896,0.4259259259259259,6,72.0,69.0,0.0833333333333333,0.0,18,,78.0,4.333333333333333,0.0,76.30000000000001,4.23888888888889
19,20,16,2022-11-28,23-021,TOR,,CLE,W (+12),0,4:28,1.0,4.0,.250,0.0,1.0,.000,0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.9,-2,3.0,1.0,0.3333333333333333,28,29,24,24,10,4,16,3,12,23,23,7,24,20,6,30,23,76.0,58.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.3684210526315789,0.5,0.3478260869565217,0.3636363636363636,0.4,0.4444444444444444,0.3809523809523809,0.6,0.6,0.4339622641509434,0.3432835820895522,0.875,0.3380281690140845,0.3636363636363636,0.6666666666666666,0.3896103896103896,0.4259259259259259,6,72.0,69.0,0.0833333333333333,0.0,18,1.0,81.0,4.5,0.8999999999999998,80.1,4.449999999999999
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,28,29,24,24,10,4,16,3,12,23,23,7,24,20,6,30,23,76.0,58.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.3684210526315789,0.5,0.3478260869565217,0.3636363636363636,0.4,0.4444444444444444,0.3809523809523809,0.6,0.6,0.4339622641509434,0.3432835820895522,0.875,0.3380281690140845,0.3636363636363636,0.6666666666666666,0.3896103896103896,0.4259259259259259,6,72.0,69.0,0.0833333333333333,0.0,18,,0.0,0.0,0.0,0.0,0.0
21,21,17,2022-11-30,23-023,TOR,@,NOP,L (-18),0,9:28,3.0,6.0,.500,1.0,3.0,.333,0,0.0,,0.0,3.0,3.0,4.0,2.0,0.0,0.0,0.0,7.0,9.7,+7,3.0,2.0,0.6666666666666666,28,29,24,24,10,4,16,3,12,23,23,7,24,20,6,30,23,76.0,58.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.3684210526315789,0.5,0.3478260869565217,0.3636363636363636,0.4,0.4444444444444444,0.3809523809523809,0.6,0.6,0.4339622641509434,0.3432835820895522,0.875,0.3380281690140845,0.3636363636363636,0.6666666666666666,0.3896103896103896,0.4259259259259259,6,72.0,69.0,0.0833333333333333,0.0,18,10.0,79.0,4.388888888888889,9.7,80.59999999999998,4.477777777777777
22,22,,2022-12-02,23-025,TOR,@,BRK,L (-9),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,28,29,24,24,10,4,16,3,12,23,23,7,24,20,6,30,23,76.0,58.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.3684210526315789,0.5,0.3478260869565217,0.3636363636363636,0.4,0.4444444444444444,0.3809523809523809,0.6,0.6,0.4339622641509434,0.3432835820895522,0.875,0.3380281690140845,0.3636363636363636,0.6666666666666666,0.3896103896103896,0.4259259259259259,6,72.0,69.0,0.0833333333333333,0.0,18,,44.0,2.4444444444444446,0.0,61.9,3.4388888888888887
23,23,18,2022-12-03,23-026,TOR,,ORL,W (+13),0,11:16,1.0,2.0,.500,0.0,0.0,,0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,2.0,3.0,2.0,-1.3,-17,2.0,1.0,0.5,28,29,24,24,10,4,16,3,12,23,23,7,24,20,6,30,23,76.0,58.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.3684210526315789,0.5,0.3478260869565217,0.3636363636363636,0.4,0.4444444444444444,0.3809523809523809,0.6,0.6,0.4339622641509434,0.3432835820895522,0.875,0.3380281690140845,0.3636363636363636,0.6666666666666666,0.3896103896103896,0.4259259259259259,6,72.0,69.0,0.0833333333333333,0.0,18,1.0,85.0,4.722222222222222,-1.3000000000000005,99.2,5.511111111111111
24,24,,2022-12-05,23-028,TOR,,BOS,L (-6),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,28,29,24,24,10,4,16,3,12,23,23,7,24,20,6,30,23,76.0,58.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.3684210526315789,0.5,0.3478260869565217,0.3636363636363636,0.4,0.4444444444444444,0.3809523809523809,0.6,0.6,0.4339622641509434,0.3432835820895522,0.875,0.3380281690140845,0.3636363636363636,0.6666666666666666,0.3896103896103896,0.4259259259259259,6,72.0,69.0,0.0833333333333333,0.0,18,,58.0,3.2222222222222223,0.0,74.5,4.138888888888889
25,25,19,2022-12-07,23-030,TOR,,LAL,W (+13),0,3:59,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.7,-2,0.0,0.0,,28,29,24,24,10,4,16,3,12,23,23,7,24,20,6,30,23,76.0,58.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.3684210526315789,0.5,0.3478260869565217,0.3636363636363636,0.4,0.4444444444444444,0.3809523809523809,0.6,0.6,0.4339622641509434,0.3432835820895522,0.875,0.3380281690140845,0.3636363636363636,0.6666666666666666,0.3896103896103896,0.4259259259259259,6,72.0,69.0,0.0833333333333333,0.0,18,2.0,83.0,4.611111111111111,1.7,92.5,5.138888888888889
26,26,,2022-12-09,23-032,TOR,@,ORL,L (-4),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,28,29,24,24,10,4,16,3,12,23,23,7,24,20,6,30,23,76.0,58.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.3684210526315789,0.5,0.3478260869565217,0.3636363636363636,0.4,0.4444444444444444,0.3809523809523809,0.6,0.6,0.4339622641509434,0.3432835820895522,0.875,0.3380281690140845,0.3636363636363636,0.6666666666666666,0.3896103896103896,0.4259259259259259,6,72.0,69.0,0.0833333333333333,0.0,18,,70.0,3.888888888888889,0.0,77.99999999999999,4.333333333333332
27,27,20,2022-12-11,23-034,TOR,@,ORL,L (-12),0,6:42,0.0,1.0,.000,0.0,0.0,,0,0.0,,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.3,-5,1.0,0.0,0.0,28,29,24,24,10,4,16,3,12,23,23,7,24,20,6,30,23,76.0,58.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.3684210526315789,0.5,0.3478260869565217,0.3636363636363636,0.4,0.4444444444444444,0.3809523809523809,0.6,0.6,0.4339622641509434,0.3432835820895522,0.875,0.3380281690140845,0.3636363636363636,0.6666666666666666,0.3896103896103896,0.4259259259259259,6,72.0,69.0,0.0833333333333333,0.0,18,2.0,34.0,1.8888888888888888,0.2999999999999998,55.8,3.0999999999999996
28,28,21,2022-12-14,23-037,TOR,,SAC,L (-1),0,4:51,2.0,3.0,.667,0.0,1.0,.000,0,0.0,,0.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,4.0,3.6,-4,2.0,2.0,1.0,28,29,24,24,10,4,16,3,12,23,23,7,24,20,6,30,23,76.0,58.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.3684210526315789,0.5,0.3478260869565217,0.3636363636363636,0.4,0.4444444444444444,0.3809523809523809,0.6,0.6,0.4339622641509434,0.3432835820895522,0.875,0.3380281690140845,0.3636363636363636,0.6666666666666666,0.3896103896103896,0.4259259259259259,6,72.0,69.0,0.0833333333333333,0.0,18,4.0,74.0,4.111111111111111,3.6000000000000005,90.9,5.050000000000001
