Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bismack Biyombo,Shared Games with Cameron Johnson,Shared Games with Cameron Payne,Shared Games with Chris Paul,Shared Games with Damion Lee,Shared Games with Dario ?ari?,Shared Games with Deandre Ayton,Shared Games with Devin Booker,Shared Games with Duane Washington Jr.,Shared Games with Ish Wainright,Shared Games with Josh Okogie,Shared Games with Landry Shamet,Shared Games with Mikal Bridges,Shared Games with Torrey Craig,Bismack Biyombo,Cameron Johnson,Cameron Payne,Chris Paul,Damion Lee,Dario ?ari?,Deandre Ayton,Devin Booker,Duane Washington Jr.,Ish Wainright,Jae Crowder,Josh Okogie,Landry Shamet,Mikal Bridges,Torrey Craig,co_inf with Bismack Biyombo,co_inf with Cameron Johnson,co_inf with Cameron Payne,co_inf with Chris Paul,co_inf with Damion Lee,co_inf with Dario ?ari?,co_inf with Deandre Ayton,co_inf with Devin Booker,co_inf with Duane Washington Jr.,co_inf with Ish Wainright,co_inf with Jae Crowder,co_inf with Josh Okogie,co_inf with Landry Shamet,co_inf with Mikal Bridges,co_inf with Torrey Craig,Shared Games with Kevin Durant,Shared Games with T.J. Warren,Shared Games with Darius Bazley,Shared Games with Saben Lee,Shared Games with Terrence Ross,Darius Bazley,Jaylen Brown,Kevin Durant,Saben Lee,T.J. Warren,Terrence Ross,co_inf with Kevin Durant,co_inf with T.J. Warren,co_inf with Darius Bazley,co_inf with Jaylen Brown,co_inf with Saben Lee,co_inf with Terrence Ross,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11,11.0,2022/11/9,27-015,PHO,MIN,0,12.0,1,5,0.2,0.0,1.0,0,2,2,1,1,3,4.0,1,1,1,0,5,4,2.9,-2,4.0,1.0,0.25,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,4.0,83,4.368421053,2.1,94.9,4.994736842,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,W (+12),W (+12)
12,12.0,2022/11/11,27-017,PHO,ORL,0,13.15,3,4,0.75,0.0,1.0,0,1,2,0.5,2,4,6.0,0,0,0,0,0,7,7.6,5,3.0,3.0,1.0,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,7.0,90,4.736842105,7.2,82.0,4.315789474,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,L (-17),L (-17)
13,13.0,2022/11/14,27-020,PHO,MIA,0,8.416666666666666,1,3,0.333,0.0,1.0,0,0,0,,2,1,3.0,0,0,0,0,0,2,2,6,2.0,1.0,0.5,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,2.0,81,4.263157895,2.0,91.2,4.8,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,L (-1),L (-1)
14,14.0,2022/11/16,27-022,PHO,GSW,0,16.483333333333334,3,5,0.6,0.0,1.0,0,1,2,0.5,1,3,4.0,0,1,2,2,3,7,5.1,-5,4.0,3.0,0.75,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,5.0,91,4.789473684,4.7,94.9,4.994736842,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,W (+11),W (+11)
15,15.0,2022/11/18,27-024,PHO,UTA,0,11.366666666666667,3,4,0.75,0.0,1.0,0,1,1,1,0,0,0.0,0,0,0,1,0,7,4.4,-1,3.0,3.0,1.0,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,1.0,81,4.263157895,4.0,100.1,5.268421053,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,L (-1),L (-1)
16,,2022/11/20,27-026,PHO,NYK,Did Not Play,0.0,0,0,Did Not Play,,,Did Not Play,Did Not Play,0,Did Not Play,0,0,,0,0,0,0,0,0,Did Not Play,Did Not Play,,,,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,,112,5.894736842,0.0,111.0,5.842105263,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,W (+21),W (+21)
17,,2022/11/22,27-028,PHO,LAL,Did Not Play,0.0,0,0,Did Not Play,,,Did Not Play,Did Not Play,0,Did Not Play,0,0,,0,0,0,0,0,0,Did Not Play,Did Not Play,,,,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,,80,4.210526316,0.0,88.7,4.668421053,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,W (+10),W (+10)
18,,2022/11/25,27-031,PHO,DET,Did Not Play,0.0,0,0,Did Not Play,,,Did Not Play,Did Not Play,0,Did Not Play,0,0,,0,0,0,0,0,0,Did Not Play,Did Not Play,,,,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,,100,5.263157895,0.0,100.4,5.284210526,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,W (+6),W (+6)
19,16.0,2022/11/26,27-032,PHO,UTA,0,5.4,2,2,1,0.0,0.0,,0,0,,1,0,1.0,1,0,0,0,0,4,4.8,7,2.0,2.0,1.0,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,4.0,105,5.526315789,4.8,109.1,5.742105263,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,W (+1),W (+1)
20,17.0,2022/11/28,27-034,PHO,SAC,0,4.283333333333333,0,0,,0.0,0.0,,2,2,1,0,0,0.0,1,0,1,0,1,2,3,-2,0.0,0.0,,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,2.0,89,4.684210526,2.2,101.6,5.347368421,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,W (+5),W (+5)
21,18.0,2022/11/30,27-036,PHO,CHI,0,8.916666666666666,1,3,0.333,0.0,1.0,0,2,2,1,1,2,3.0,1,0,0,3,2,4,0.5,-5,2.0,1.0,0.5,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,0.0,99,5.210526316,-0.3,117.4,6.178947368,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,,
22,19.0,2022/12/2,27-038,PHO,HOU,0,6.85,0,0,,0.0,0.0,,0,0,,2,1,3.0,0,0,1,0,2,0,1.6,-4,0.0,0.0,,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,4.0,104,5.473684211,1.6,121.0,6.368421053,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,W (+19),W (+19)
23,20.0,2022/12/4,27-040,PHO,SAS,0,14.15,4,6,0.667,1.0,1.0,1,3,4,0.75,2,2,4.0,0,1,0,0,0,12,12,0,5.0,3.0,0.6,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,7.0,98,5.157894737,10.8,100.9,5.310526316,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,L (-1),L (-1)
24,21.0,2022/12/5,27-041,PHO,DAL,0,6.2,0,1,0,0.0,0.0,,0,0,,3,1,4.0,0,0,0,0,0,0,1.7,-4,1.0,0.0,0.0,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,3.0,116,6.105263158,1.7,120.9,6.363157895,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,W (+38),W (+38)
25,22.0,2022/12/7,27-043,PHO,BOS,0,14.233333333333333,1,4,0.25,0.0,1.0,0,0,0,,1,2,3.0,2,0,0,1,1,2,0.9,-1,3.0,1.0,0.333333333,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,2.0,71,3.736842105,0.9,81.0,4.263157895,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,L (-19),L (-19)
26,23.0,2022/12/9,27-045,PHO,NOP,0,11.9,4,5,0.8,1.0,2.0,0.5,0,0,,0,0,0.0,0,0,1,1,3,9,5.6,-2,3.0,3.0,1.0,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,4.0,106,5.578947368,5.6,106.2,5.589473684,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,L (-27),L (-27)
27,24.0,2022/12/11,27-047,PHO,NOP,0,20.166666666666668,4,7,0.571,0.0,0.0,,0,1,0,3,4,7.0,2,0,1,3,1,8,6.3,12,7.0,4.0,0.571428571,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,7.0,103,5.421052632,6.3,109.4,5.757894737,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,L (-11),L (-11)
28,25.0,2022/12/13,27-049,PHO,HOU,0,11.533333333333331,3,5,0.6,0.0,1.0,0,1,1,1,1,0,1.0,0,0,1,0,1,7,5.7,7,4.0,3.0,0.75,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,3.0,78,4.105263158,5.3,78.0,4.105263158,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,L (-5),L (-5)
29,26.0,2022/12/15,27-051,PHO,LAC,0,26.766666666666666,5,10,0.5,1.0,3.0,0.333,4,5,0.8,2,8,10.0,2,0,2,2,3,15,13,8,7.0,4.0,0.571428571,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,12.0,118,6.210526316,11.4,105.7,5.563157895,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,L (-14),L (-14)
30,27.0,2022/12/17,27-053,PHO,NOP,0,16.483333333333334,0,1,0,0.0,1.0,0,2,2,1,2,2,4.0,0,0,0,1,0,2,2.3,1,0.0,0.0,,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,2.0,76,4.0,1.5,109.0,5.736842105,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,W (+16),W (+16)
31,,2022/12/19,27-055,PHO,LAL,,0.0,0,0,,,,,,0,,0,0,,0,0,0,0,0,0,,,,,,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,,115,6.052631579,0.0,125.9,6.626315789,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,W (+4),W (+4)
32,,2022/12/20,27-056,PHO,WAS,,0.0,0,0,,,,,,0,,0,0,,0,0,0,0,0,0,,,,,,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,,92,4.842105263,0.0,108.7,5.721052632,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,W (+26),W (+26)
