Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bismack Biyombo,Shared Games with Cameron Payne,Shared Games with Chris Paul,Shared Games with Damion Lee,Shared Games with Dario Šarić,Shared Games with Deandre Ayton,Shared Games with Devin Booker,Shared Games with Duane Washington Jr.,Shared Games with Ish Wainright,Shared Games with Jae Crowder,Shared Games with Jock Landale,Shared Games with Josh Okogie,Shared Games with Landry Shamet,Shared Games with Mikal Bridges,Shared Games with Torrey Craig,Bismack Biyombo,Cameron Payne,Chris Paul,Damion Lee,Dario Šarić,Deandre Ayton,Devin Booker,Duane Washington Jr.,Ish Wainright,Jae Crowder,Jock Landale,Josh Okogie,Landry Shamet,Mikal Bridges,Torrey Craig,co_inf with Bismack Biyombo,co_inf with Cameron Payne,co_inf with Chris Paul,co_inf with Damion Lee,co_inf with Dario Šarić,co_inf with Deandre Ayton,co_inf with Devin Booker,co_inf with Duane Washington Jr.,co_inf with Ish Wainright,co_inf with Jae Crowder,co_inf with Jock Landale,co_inf with Josh Okogie,co_inf with Landry Shamet,co_inf with Mikal Bridges,co_inf with Torrey Craig
10,11,,2022-11-09,26-251,PHO,@,MIN,W (+12),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,13,7,16,17,12,13,9,6,8,0,15,13,6,42,17,61.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.2131147540983606,0.1458333333333333,0.2711864406779661,0.2297297297297297,0.2105263157894736,0.1940298507462686,0.1698113207547169,0.1935483870967742,0.1333333333333333,0.0,0.217391304347826,0.1805555555555555,0.15,0.5060240963855421,0.2151898734177215
11,12,,2022-11-11,26-253,PHO,@,ORL,L (-17),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,13,7,16,17,12,13,9,6,8,0,15,13,6,42,17,61.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.2131147540983606,0.1458333333333333,0.2711864406779661,0.2297297297297297,0.2105263157894736,0.1940298507462686,0.1698113207547169,0.1935483870967742,0.1333333333333333,0.0,0.217391304347826,0.1805555555555555,0.15,0.5060240963855421,0.2151898734177215
12,13,,2022-11-14,26-256,PHO,@,MIA,L (-1),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,13,7,16,17,12,13,9,6,8,0,15,13,6,42,17,61.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.2131147540983606,0.1458333333333333,0.2711864406779661,0.2297297297297297,0.2105263157894736,0.1940298507462686,0.1698113207547169,0.1935483870967742,0.1333333333333333,0.0,0.217391304347826,0.1805555555555555,0.15,0.5060240963855421,0.2151898734177215
13,14,,2022-11-16,26-258,PHO,,GSW,W (+11),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,13,7,16,17,12,13,9,6,8,0,15,13,6,42,17,61.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.2131147540983606,0.1458333333333333,0.2711864406779661,0.2297297297297297,0.2105263157894736,0.1940298507462686,0.1698113207547169,0.1935483870967742,0.1333333333333333,0.0,0.217391304347826,0.1805555555555555,0.15,0.5060240963855421,0.2151898734177215
14,15,,2022-11-18,26-260,PHO,@,UTA,L (-1),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,13,7,16,17,12,13,9,6,8,0,15,13,6,42,17,61.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.2131147540983606,0.1458333333333333,0.2711864406779661,0.2297297297297297,0.2105263157894736,0.1940298507462686,0.1698113207547169,0.1935483870967742,0.1333333333333333,0.0,0.217391304347826,0.1805555555555555,0.15,0.5060240963855421,0.2151898734177215
15,16,,2022-11-20,26-262,PHO,,NYK,W (+21),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,13,7,16,17,12,13,9,6,8,0,15,13,6,42,17,61.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.2131147540983606,0.1458333333333333,0.2711864406779661,0.2297297297297297,0.2105263157894736,0.1940298507462686,0.1698113207547169,0.1935483870967742,0.1333333333333333,0.0,0.217391304347826,0.1805555555555555,0.15,0.5060240963855421,0.2151898734177215
16,17,,2022-11-22,26-264,PHO,,LAL,W (+10),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,13,7,16,17,12,13,9,6,8,0,15,13,6,42,17,61.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.2131147540983606,0.1458333333333333,0.2711864406779661,0.2297297297297297,0.2105263157894736,0.1940298507462686,0.1698113207547169,0.1935483870967742,0.1333333333333333,0.0,0.217391304347826,0.1805555555555555,0.15,0.5060240963855421,0.2151898734177215
17,18,,2022-11-25,26-267,PHO,,DET,W (+6),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,13,7,16,17,12,13,9,6,8,0,15,13,6,42,17,61.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.2131147540983606,0.1458333333333333,0.2711864406779661,0.2297297297297297,0.2105263157894736,0.1940298507462686,0.1698113207547169,0.1935483870967742,0.1333333333333333,0.0,0.217391304347826,0.1805555555555555,0.15,0.5060240963855421,0.2151898734177215
18,19,,2022-11-26,26-268,PHO,,UTA,W (+1),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,13,7,16,17,12,13,9,6,8,0,15,13,6,42,17,61.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.2131147540983606,0.1458333333333333,0.2711864406779661,0.2297297297297297,0.2105263157894736,0.1940298507462686,0.1698113207547169,0.1935483870967742,0.1333333333333333,0.0,0.217391304347826,0.1805555555555555,0.15,0.5060240963855421,0.2151898734177215
19,20,,2022-11-28,26-270,PHO,@,SAC,W (+5),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,13,7,16,17,12,13,9,6,8,0,15,13,6,42,17,61.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.2131147540983606,0.1458333333333333,0.2711864406779661,0.2297297297297297,0.2105263157894736,0.1940298507462686,0.1698113207547169,0.1935483870967742,0.1333333333333333,0.0,0.217391304347826,0.1805555555555555,0.15,0.5060240963855421,0.2151898734177215
20,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,13,7,16,17,12,13,9,6,8,0,15,13,6,42,17,61.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.2131147540983606,0.1458333333333333,0.2711864406779661,0.2297297297297297,0.2105263157894736,0.1940298507462686,0.1698113207547169,0.1935483870967742,0.1333333333333333,0.0,0.217391304347826,0.1805555555555555,0.15,0.5060240963855421,0.2151898734177215
21,21,,2022-11-30,26-272,PHO,,CHI,W (+19),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,13,7,16,17,12,13,9,6,8,0,15,13,6,42,17,61.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.2131147540983606,0.1458333333333333,0.2711864406779661,0.2297297297297297,0.2105263157894736,0.1940298507462686,0.1698113207547169,0.1935483870967742,0.1333333333333333,0.0,0.217391304347826,0.1805555555555555,0.15,0.5060240963855421,0.2151898734177215
22,22,,2022-12-02,26-274,PHO,,HOU,L (-1),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,13,7,16,17,12,13,9,6,8,0,15,13,6,42,17,61.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.2131147540983606,0.1458333333333333,0.2711864406779661,0.2297297297297297,0.2105263157894736,0.1940298507462686,0.1698113207547169,0.1935483870967742,0.1333333333333333,0.0,0.217391304347826,0.1805555555555555,0.15,0.5060240963855421,0.2151898734177215
23,23,,2022-12-04,26-276,PHO,@,SAS,W (+38),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,13,7,16,17,12,13,9,6,8,0,15,13,6,42,17,61.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.2131147540983606,0.1458333333333333,0.2711864406779661,0.2297297297297297,0.2105263157894736,0.1940298507462686,0.1698113207547169,0.1935483870967742,0.1333333333333333,0.0,0.217391304347826,0.1805555555555555,0.15,0.5060240963855421,0.2151898734177215
24,24,,2022-12-05,26-277,PHO,@,DAL,L (-19),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,13,7,16,17,12,13,9,6,8,0,15,13,6,42,17,61.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.2131147540983606,0.1458333333333333,0.2711864406779661,0.2297297297297297,0.2105263157894736,0.1940298507462686,0.1698113207547169,0.1935483870967742,0.1333333333333333,0.0,0.217391304347826,0.1805555555555555,0.15,0.5060240963855421,0.2151898734177215
25,25,,2022-12-07,26-279,PHO,,BOS,L (-27),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,13,7,16,17,12,13,9,6,8,0,15,13,6,42,17,61.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.2131147540983606,0.1458333333333333,0.2711864406779661,0.2297297297297297,0.2105263157894736,0.1940298507462686,0.1698113207547169,0.1935483870967742,0.1333333333333333,0.0,0.217391304347826,0.1805555555555555,0.15,0.5060240963855421,0.2151898734177215
26,26,,2022-12-09,26-281,PHO,@,NOP,L (-11),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,13,7,16,17,12,13,9,6,8,0,15,13,6,42,17,61.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.2131147540983606,0.1458333333333333,0.2711864406779661,0.2297297297297297,0.2105263157894736,0.1940298507462686,0.1698113207547169,0.1935483870967742,0.1333333333333333,0.0,0.217391304347826,0.1805555555555555,0.15,0.5060240963855421,0.2151898734177215
27,27,,2022-12-11,26-283,PHO,@,NOP,L (-5),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,13,7,16,17,12,13,9,6,8,0,15,13,6,42,17,61.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.2131147540983606,0.1458333333333333,0.2711864406779661,0.2297297297297297,0.2105263157894736,0.1940298507462686,0.1698113207547169,0.1935483870967742,0.1333333333333333,0.0,0.217391304347826,0.1805555555555555,0.15,0.5060240963855421,0.2151898734177215
28,28,,2022-12-13,26-285,PHO,@,HOU,L (-14),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,13,7,16,17,12,13,9,6,8,0,15,13,6,42,17,61.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.2131147540983606,0.1458333333333333,0.2711864406779661,0.2297297297297297,0.2105263157894736,0.1940298507462686,0.1698113207547169,0.1935483870967742,0.1333333333333333,0.0,0.217391304347826,0.1805555555555555,0.15,0.5060240963855421,0.2151898734177215
29,29,,2022-12-15,26-287,PHO,@,LAC,W (+16),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,13,7,16,17,12,13,9,6,8,0,15,13,6,42,17,61.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.2131147540983606,0.1458333333333333,0.2711864406779661,0.2297297297297297,0.2105263157894736,0.1940298507462686,0.1698113207547169,0.1935483870967742,0.1333333333333333,0.0,0.217391304347826,0.1805555555555555,0.15,0.5060240963855421,0.2151898734177215
30,30,,2022-12-17,26-289,PHO,,NOP,W (+4),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,13,7,16,17,12,13,9,6,8,0,15,13,6,42,17,61.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.2131147540983606,0.1458333333333333,0.2711864406779661,0.2297297297297297,0.2105263157894736,0.1940298507462686,0.1698113207547169,0.1935483870967742,0.1333333333333333,0.0,0.217391304347826,0.1805555555555555,0.15,0.5060240963855421,0.2151898734177215
31,31,,2022-12-19,26-291,PHO,,LAL,W (+26),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,13,7,16,17,12,13,9,6,8,0,15,13,6,42,17,61.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.2131147540983606,0.1458333333333333,0.2711864406779661,0.2297297297297297,0.2105263157894736,0.1940298507462686,0.1698113207547169,0.1935483870967742,0.1333333333333333,0.0,0.217391304347826,0.1805555555555555,0.15,0.5060240963855421,0.2151898734177215
32,32,,2022-12-20,26-292,PHO,,WAS,L (-3),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,13,7,16,17,12,13,9,6,8,0,15,13,6,42,17,61.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.2131147540983606,0.1458333333333333,0.2711864406779661,0.2297297297297297,0.2105263157894736,0.1940298507462686,0.1698113207547169,0.1935483870967742,0.1333333333333333,0.0,0.217391304347826,0.1805555555555555,0.15,0.5060240963855421,0.2151898734177215
33,33,,2022-12-23,26-295,PHO,,MEM,L (-25),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,13,7,16,17,12,13,9,6,8,0,15,13,6,42,17,61.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.2131147540983606,0.1458333333333333,0.2711864406779661,0.2297297297297297,0.2105263157894736,0.1940298507462686,0.1698113207547169,0.1935483870967742,0.1333333333333333,0.0,0.217391304347826,0.1805555555555555,0.15,0.5060240963855421,0.2151898734177215
34,34,,2022-12-25,26-297,PHO,@,DEN,L (-3),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,13,7,16,17,12,13,9,6,8,0,15,13,6,42,17,61.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.2131147540983606,0.1458333333333333,0.2711864406779661,0.2297297297297297,0.2105263157894736,0.1940298507462686,0.1698113207547169,0.1935483870967742,0.1333333333333333,0.0,0.217391304347826,0.1805555555555555,0.15,0.5060240963855421,0.2151898734177215
35,35,,2022-12-27,26-299,PHO,@,MEM,W (+17),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,13,7,16,17,12,13,9,6,8,0,15,13,6,42,17,61.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.2131147540983606,0.1458333333333333,0.2711864406779661,0.2297297297297297,0.2105263157894736,0.1940298507462686,0.1698113207547169,0.1935483870967742,0.1333333333333333,0.0,0.217391304347826,0.1805555555555555,0.15,0.5060240963855421,0.2151898734177215
36,36,,2022-12-28,26-300,PHO,@,WAS,L (-25),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,13,7,16,17,12,13,9,6,8,0,15,13,6,42,17,61.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.2131147540983606,0.1458333333333333,0.2711864406779661,0.2297297297297297,0.2105263157894736,0.1940298507462686,0.1698113207547169,0.1935483870967742,0.1333333333333333,0.0,0.217391304347826,0.1805555555555555,0.15,0.5060240963855421,0.2151898734177215
