Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bismack Biyombo,Shared Games with Cameron Johnson,Shared Games with Cameron Payne,Shared Games with Damion Lee,Shared Games with Dario ?ari?,Shared Games with Deandre Ayton,Shared Games with Devin Booker,Shared Games with Duane Washington Jr.,Shared Games with Ish Wainright,Shared Games with Jock Landale,Shared Games with Josh Okogie,Shared Games with Landry Shamet,Shared Games with Mikal Bridges,Shared Games with Torrey Craig,Bismack Biyombo,Cameron Johnson,Cameron Payne,Damion Lee,Dario ?ari?,Deandre Ayton,Devin Booker,Duane Washington Jr.,Ish Wainright,Jae Crowder,Jock Landale,Josh Okogie,Landry Shamet,Mikal Bridges,Torrey Craig,co_inf with Bismack Biyombo,co_inf with Cameron Johnson,co_inf with Cameron Payne,co_inf with Damion Lee,co_inf with Deandre Ayton,co_inf with Devin Booker,co_inf with Duane Washington Jr.,co_inf with Ish Wainright,co_inf with Jae Crowder,co_inf with Jock Landale,co_inf with Josh Okogie,co_inf with Landry Shamet,co_inf with Mikal Bridges,co_inf with Torrey Craig,Shared Games with Darius Bazley,Shared Games with Kevin Durant,Shared Games with Saben Lee,Shared Games with T.J. Warren,Shared Games with Terrence Ross,Darius Bazley,Jaylen Brown,Kevin Durant,Saben Lee,T.J. Warren,Terrence Ross,co_inf with Darius Bazley,co_inf with Jaylen Brown,co_inf with Kevin Durant,co_inf with Saben Lee,co_inf with T.J. Warren,co_inf with Terrence Ross,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11,,2022/11/9,37-187,PHO,MIN,,0,0,0,,,,,,0,,0,0,,0,0,0,0,0,0,,,,,,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,,87,4.578947368,0,97,5.105263158,17.7,6.2,3.2,2,1.2,0.087884966,0.555,0.391,0.24,2.5,3.7,W (+12),W (+12)
12,,2022/11/11,37-189,PHO,ORL,,0,0,0,,,,,,0,,0,0,,0,0,0,0,0,0,,,,,,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,,97,5.105263158,0,89.2,4.694736842,17.7,6.2,3.2,2,1.2,0.087884966,0.555,0.391,0.24,2.5,3.7,L (-17),L (-17)
13,,2022/11/14,37-192,PHO,MIA,,0,0,0,,,,,,0,,0,0,,0,0,0,0,0,0,,,,,,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,,83,4.368421053,0,93.2,4.905263158,17.7,6.2,3.2,2,1.2,0.087884966,0.555,0.391,0.24,2.5,3.7,L (-1),L (-1)
14,,2022/11/16,37-194,PHO,GSW,,0,0,0,,,,,,0,,0,0,,0,0,0,0,0,0,,,,,,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,,96,5.052631579,0,99.6,5.242105263,17.7,6.2,3.2,2,1.2,0.087884966,0.555,0.391,0.24,2.5,3.7,W (+11),W (+11)
15,,2022/11/18,37-196,PHO,UTA,,0,0,0,,,,,,0,,0,0,,0,0,0,0,0,0,,,,,,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,,82,4.315789474,0,104.1,5.478947368,17.7,6.2,3.2,2,1.2,0.087884966,0.555,0.391,0.24,2.5,3.7,L (-1),L (-1)
16,,2022/11/20,37-198,PHO,NYK,,0,0,0,,,,,,0,,0,0,,0,0,0,0,0,0,,,,,,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,,112,5.894736842,0,111,5.842105263,17.7,6.2,3.2,2,1.2,0.087884966,0.555,0.391,0.24,2.5,3.7,W (+21),W (+21)
17,,2022/11/22,37-200,PHO,LAL,Did Not Play,0,0,0,Did Not Play,,,Did Not Play,Did Not Play,0,Did Not Play,0,0,,0,0,0,0,0,0,Did Not Play,Did Not Play,,,,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,,80,4.210526316,0,88.7,4.668421053,17.7,6.2,3.2,2,1.2,0.087884966,0.555,0.391,0.24,2.5,3.7,W (+10),W (+10)
18,,2022/11/25,37-203,PHO,DET,,0,0,0,,,,,,0,,0,0,,0,0,0,0,0,0,,,,,,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,,100,5.263157895,0,100.4,5.284210526,17.7,6.2,3.2,2,1.2,0.087884966,0.555,0.391,0.24,2.5,3.7,W (+6),W (+6)
19,,2022/11/26,37-204,PHO,UTA,,0,0,0,,,,,,0,,0,0,,0,0,0,0,0,0,,,,,,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,,109,5.736842105,0,113.9,5.994736842,17.7,6.2,3.2,2,1.2,0.087884966,0.555,0.391,0.24,2.5,3.7,W (+1),W (+1)
20,,2022/11/28,37-206,PHO,SAC,,0,0,0,,,,,,0,,0,0,,0,0,0,0,0,0,,,,,,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,,91,4.789473684,0,103.8,5.463157895,17.7,6.2,3.2,2,1.2,0.087884966,0.555,0.391,0.24,2.5,3.7,W (+5),W (+5)
21,,2022/11/30,37-208,PHO,CHI,,0,0,0,,,,,,0,,0,0,,0,0,0,0,0,0,,,,,,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,,99,5.210526316,0,117.1,6.163157895,17.7,6.2,3.2,2,1.2,0.087884966,0.555,0.391,0.24,2.5,3.7,,
22,,2022/12/2,37-210,PHO,HOU,,0,0,0,,,,,,0,,0,0,,0,0,0,0,0,0,,,,,,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,,108,5.684210526,0,122.6,6.452631579,17.7,6.2,3.2,2,1.2,0.087884966,0.555,0.391,0.24,2.5,3.7,W (+19),W (+19)
23,,2022/12/4,37-212,PHO,SAS,,0,0,0,,,,,,0,,0,0,,0,0,0,0,0,0,,,,,,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,,105,5.526315789,0,111.7,5.878947368,17.7,6.2,3.2,2,1.2,0.087884966,0.555,0.391,0.24,2.5,3.7,L (-1),L (-1)
24,,2022/12/5,37-213,PHO,DAL,,0,0,0,,,,,,0,,0,0,,0,0,0,0,0,0,,,,,,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,,119,6.263157895,0,122.6,6.452631579,17.7,6.2,3.2,2,1.2,0.087884966,0.555,0.391,0.24,2.5,3.7,W (+38),W (+38)
25,11,2022/12/7,37-215,PHO,BOS,1,24.05,2,6,0.333,0,2,0,0,0,,0,4,4,4,1,0,4,3,4,0.4,-28,4,2,0.5,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,3,70,3.684210526,0.4,81.5,4.289473684,17.7,6.2,3.2,2,1.2,0.087884966,0.555,0.391,0.24,2.5,3.7,L (-19),L (-19)
26,12,2022/12/9,37-217,PHO,NOP,1,34.08333333,7,14,0.5,6,9,0.667,4,4,1,0,8,8,7,0,0,3,3,24,20.1,3,5,1,0.2,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,18,92,4.842105263,18.5,93.3,4.910526316,17.7,6.2,3.2,2,1.2,0.087884966,0.555,0.391,0.24,2.5,3.7,L (-27),L (-27)
27,13,2022/12/11,37-219,PHO,NOP,1,33.9,3,10,0.3,0,3,0,0,1,0,1,2,3,11,1,0,3,6,6,4.4,-5,7,3,0.428571429,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,7,103,5.421052632,4.4,111.3,5.857894737,17.7,6.2,3.2,2,1.2,0.087884966,0.555,0.391,0.24,2.5,3.7,L (-11),L (-11)
28,14,2022/12/13,37-221,PHO,HOU,1,37.63333333,5,17,0.294,2,10,0.2,4,4,1,1,5,6,7,2,1,4,2,16,11.1,-10,7,3,0.428571429,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,7,74,3.894736842,9.5,73.8,3.884210526,17.7,6.2,3.2,2,1.2,0.087884966,0.555,0.391,0.24,2.5,3.7,L (-5),L (-5)
29,15,2022/12/15,37-223,PHO,LAC,1,36.05,6,13,0.462,2,6,0.333,1,2,0.5,1,6,7,13,2,1,1,0,15,21.2,7,7,4,0.571428571,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,22,108,5.684210526,20.8,96.3,5.068421053,17.7,6.2,3.2,2,1.2,0.087884966,0.555,0.391,0.24,2.5,3.7,L (-14),L (-14)
30,16,2022/12/17,37-225,PHO,NOP,1,35.36666667,6,11,0.545,5,7,0.714,1,2,0.5,0,5,5,8,1,0,2,2,18,17.6,6,4,1,0.25,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,17,61,3.210526316,17.2,93.3,4.910526316,17.7,6.2,3.2,2,1.2,0.087884966,0.555,0.391,0.24,2.5,3.7,W (+16),W (+16)
31,17,2022/12/19,37-227,PHO,LAL,1,31.48333333,9,18,0.5,3,5,0.6,7,8,0.875,1,3,4,8,2,0,0,4,28,26.2,18,13,6,0.461538462,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,16,99,5.210526316,23.4,102.5,5.394736842,17.7,6.2,3.2,2,1.2,0.087884966,0.555,0.391,0.24,2.5,3.7,W (+4),W (+4)
32,18,2022/12/20,37-228,PHO,WAS,1,35.63333333,3,11,0.273,1,3,0.333,5,7,0.714,2,2,4,11,2,0,3,3,12,12.2,-10,8,2,0.25,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,8,84,4.421052632,10.2,98.5,5.184210526,17.7,6.2,3.2,2,1.2,0.087884966,0.555,0.391,0.24,2.5,3.7,W (+26),W (+26)
33,19,2022/12/23,37-231,PHO,MEM,1,24.56666667,5,8,0.625,0,1,0,0,0,,0,2,2,3,0,0,1,1,10,7.7,-20,7,5,0.714285714,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,6,68,3.578947368,7.7,77.1,4.057894737,17.7,6.2,3.2,2,1.2,0.087884966,0.555,0.391,0.24,2.5,3.7,L (-3),L (-3)
34,20,2022/12/25,37-233,PHO,DEN,1,40.65,6,17,0.353,0,3,0,5,10,0.5,0,4,4,16,2,1,0,4,17,19,-1,14,6,0.428571429,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,13,107,5.631578947,17,114.8,6.042105263,17.7,6.2,3.2,2,1.2,0.087884966,0.555,0.391,0.24,2.5,3.7,L (-25),L (-25)
35,21,2022/12/27,37-235,PHO,MEM,1,23.56666667,5,9,0.556,4,5,0.8,0,0,,0,1,1,6,1,0,4,2,14,10.4,4,4,1,0.25,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,9,92,4.842105263,10.4,86.5,4.552631579,17.7,6.2,3.2,2,1.2,0.087884966,0.555,0.391,0.24,2.5,3.7,L (-3),L (-3)
