Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bismack Biyombo,Shared Games with Cameron Johnson,Shared Games with Cameron Payne,Shared Games with Chris Paul,Shared Games with Damion Lee,Shared Games with Dario Šarić,Shared Games with Deandre Ayton,Shared Games with Devin Booker,Shared Games with Ish Wainright,Shared Games with Jae Crowder,Shared Games with Jock Landale,Shared Games with Josh Okogie,Shared Games with Landry Shamet,Shared Games with Mikal Bridges,Shared Games with Torrey Craig,Bismack Biyombo,Cameron Johnson,Cameron Payne,Chris Paul,Damion Lee,Dario Šarić,Deandre Ayton,Devin Booker,Ish Wainright,Jae Crowder,Jock Landale,Josh Okogie,Landry Shamet,Mikal Bridges,Torrey Craig,co_inf with Bismack Biyombo,co_inf with Cameron Johnson,co_inf with Cameron Payne,co_inf with Chris Paul,co_inf with Damion Lee,co_inf with Dario Šarić,co_inf with Deandre Ayton,co_inf with Devin Booker,co_inf with Ish Wainright,co_inf with Jae Crowder,co_inf with Jock Landale,co_inf with Josh Okogie,co_inf with Landry Shamet,co_inf with Mikal Bridges,co_inf with Torrey Craig
10,11,,2022-11-09,22-230,PHO,@,MIN,W (+12),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
11,12,5,2022-11-11,22-232,PHO,@,ORL,L (-17),0,7.316666666666666,2.0,6.0,.333,1.0,4.0,.250,0,0,,0,0,0,1,0,0,0,1,5,1.9,-2,2.0,1.0,0.5,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
12,13,6,2022-11-14,22-235,PHO,@,MIA,L (-1),0,19.05,8.0,14.0,.571,5.0,8.0,.625,0,0,,0,0,0,4,0,0,1,0,21,16.2,+12,6.0,3.0,0.5,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
13,14,7,2022-11-16,22-237,PHO,,GSW,W (+11),0,13.55,2.0,6.0,.333,1.0,4.0,.250,0,2,.000,0,2,2,2,0,0,0,0,5,2.8,-7,2.0,1.0,0.5,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
14,15,8,2022-11-18,22-239,PHO,@,UTA,L (-1),0,12.566666666666666,2.0,4.0,.500,0.0,2.0,.000,0,0,,0,1,1,0,0,0,0,0,4,2.3,-4,2.0,2.0,1.0,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
15,16,9,2022-11-20,22-241,PHO,,NYK,W (+21),0,15.916666666666666,2.0,10.0,.200,1.0,3.0,.333,0,0,,0,1,1,1,0,0,1,2,5,-2.0,+6,7.0,1.0,0.1428571428571428,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
16,17,10,2022-11-22,22-243,PHO,,LAL,W (+10),0,18.333333333333332,7.0,15.0,.467,1.0,5.0,.200,0,0,,0,2,2,1,1,0,2,0,15,7.6,+1,10.0,6.0,0.6,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
17,18,11,2022-11-25,22-246,PHO,,DET,W (+6),0,17.433333333333334,2.0,5.0,.400,1.0,3.0,.333,0,0,,0,1,1,1,0,0,2,2,5,0.5,-3,2.0,1.0,0.5,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
18,19,12,2022-11-26,22-247,PHO,,UTA,W (+1),0,4.083333333333333,0.0,2.0,.000,0.0,1.0,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-7,1.0,0.0,0.0,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
19,20,13,2022-11-28,22-249,PHO,@,SAC,W (+5),0,9.466666666666667,2.0,3.0,.667,1.0,2.0,.500,0,0,,0,0,0,0,0,1,1,0,5,3.4,+7,1.0,1.0,1.0,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
20,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
21,21,14,2022-11-30,22-251,PHO,,CHI,W (+19),0,4.683333333333334,0.0,2.0,.000,0.0,2.0,.000,0,0,,0,0,0,0,0,0,1,2,0,-3.2,-4,0.0,0.0,,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
22,22,,2022-12-02,22-253,PHO,,HOU,L (-1),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
23,23,15,2022-12-04,22-255,PHO,@,SAS,W (+38),0,3.1666666666666665,0.0,1.0,.000,0.0,1.0,.000,0,0,,0,2,2,1,0,0,0,0,0,0.6,+2,0.0,0.0,,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
24,24,,2022-12-05,22-256,PHO,@,DAL,L (-19),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
25,25,,2022-12-07,22-258,PHO,,BOS,L (-27),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
26,26,,2022-12-09,22-260,PHO,@,NOP,L (-11),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
27,27,,2022-12-11,22-262,PHO,@,NOP,L (-5),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
28,28,,2022-12-13,22-264,PHO,@,HOU,L (-14),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
29,29,,2022-12-15,22-266,PHO,@,LAC,W (+16),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
30,30,,2022-12-17,22-268,PHO,,NOP,W (+4),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
31,31,,2022-12-19,22-270,PHO,,LAL,W (+26),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
32,32,16,2022-12-20,22-271,PHO,,WAS,L (-3),0,12.366666666666667,4.0,8.0,.500,2.0,4.0,.500,0,0,,0,2,2,3,0,0,0,0,10,8.7,+7,4.0,2.0,0.5,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
33,33,17,2022-12-23,22-274,PHO,,MEM,L (-25),0,19.0,5.0,15.0,.333,2.0,5.0,.400,2,4,.500,0,3,3,5,0,0,0,0,14,9.1,-5,10.0,3.0,0.3,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
34,34,,2022-12-25,22-276,PHO,@,DEN,L (-3),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
35,35,18,2022-12-27,22-278,PHO,@,MEM,W (+17),0,24.3,10.0,21.0,.476,5.0,9.0,.556,1,1,1.000,0,4,4,8,1,0,3,2,26,19.3,+13,12.0,5.0,0.4166666666666667,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
36,36,19,2022-12-28,22-279,PHO,@,WAS,L (-25),0,17.016666666666666,4.0,12.0,.333,1.0,4.0,.250,1,2,.500,1,1,2,2,1,0,0,1,10,5.8,-11,8.0,3.0,0.375,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
