Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bismack Biyombo,Shared Games with Cameron Johnson,Shared Games with Cameron Payne,Shared Games with Chris Paul,Shared Games with Damion Lee,Shared Games with Dario ?ari?,Shared Games with Deandre Ayton,Shared Games with Devin Booker,Shared Games with Duane Washington Jr.,Shared Games with Ish Wainright,Shared Games with Jae Crowder,Shared Games with Jock Landale,Shared Games with Josh Okogie,Shared Games with Landry Shamet,Shared Games with Torrey Craig,Bismack Biyombo,Cameron Johnson,Cameron Payne,Chris Paul,Damion Lee,Dario ?ari?,Deandre Ayton,Devin Booker,Duane Washington Jr.,Ish Wainright,Jae Crowder,Jock Landale,Josh Okogie,Landry Shamet,Torrey Craig,co_inf with Bismack Biyombo,co_inf with Cameron Johnson,co_inf with Cameron Payne,co_inf with Chris Paul,co_inf with Damion Lee,co_inf with Deandre Ayton,co_inf with Devin Booker,co_inf with Duane Washington Jr.,co_inf with Ish Wainright,co_inf with Jae Crowder,co_inf with Jock Landale,co_inf with Josh Okogie,co_inf with Landry Shamet,co_inf with Torrey Craig
10,11,11,2022/11/9,26-071,PHO,@,MIN,W (+12),1,42.31666666666667,12.0,20.0,0.6,2.0,6.0,0.333,5,5,1,2,7,9,5,4,1,2,1,31,31.1,12,14.0,10.0,0.714285714,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
11,12,12,2022/11/11,26-073,PHO,@,ORL,L (-17),1,37.63333333333333,3.0,13.0,0.231,2.0,6.0,0.333,0,0,,1,3,4,6,0,0,1,2,8,4.1,-16,7.0,1.0,0.142857143,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
12,13,13,2022/11/14,26-076,PHO,@,MIA,L (-1),1,40.86666666666667,7.0,14.0,0.5,1.0,3.0,0.333,0,0,,1,4,5,2,1,1,1,1,15,11.6,-1,11.0,6.0,0.545454545,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
13,14,14,2022/11/16,26-078,PHO,,GSW,W (+11),1,41.78333333333333,6.0,11.0,0.545,5.0,8.0,0.625,6,6,1,2,7,9,9,1,0,2,3,23,25.3,23,3.0,1.0,0.333333333,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
14,15,15,2022/11/18,26-080,PHO,@,UTA,L (-1),1,34.78333333333333,6.0,12.0,0.5,0.0,2.0,0,1,2,0.5,0,6,6,2,2,3,2,3,13,10.7,0,10.0,6.0,0.6,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
15,16,16,2022/11/20,26-082,PHO,,NYK,W (+21),1,32.63333333333333,6.0,11.0,0.545,1.0,3.0,0.333,0,0,,1,5,6,5,2,1,1,1,13,14.7,16,8.0,5.0,0.625,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
16,17,17,2022/11/22,26-084,PHO,,LAL,W (+10),1,41.4,10.0,17.0,0.588,5.0,7.0,0.714,0,0,,0,6,6,3,1,1,0,3,25,21.5,6,10.0,5.0,0.5,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
17,18,18,2022/11/25,26-087,PHO,,DET,W (+6),1,34.666666666666664,6.0,17.0,0.353,3.0,6.0,0.5,0,0,,1,1,2,2,2,0,1,4,15,7.3,3,11.0,3.0,0.272727273,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
18,19,19,2022/11/26,26-088,PHO,,UTA,W (+1),1,40.88333333333333,7.0,10.0,0.7,0.0,1.0,0,2,2,1,0,3,3,2,1,0,0,2,16,14.3,3,9.0,7.0,0.777777778,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
19,20,20,2022/11/28,26-090,PHO,@,SAC,W (+5),1,40.483333333333334,6.0,14.0,0.429,1.0,6.0,0.167,0,1,0,2,6,8,7,3,3,2,0,13,16.4,-3,8.0,5.0,0.625,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
20,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
21,21,21,2022/11/30,26-092,PHO,,CHI,W (+19),1,38.416666666666664,3.0,13.0,0.231,0.0,4.0,0,2,2,1,2,2,4,3,0,2,0,3,8,4.4,13,9.0,3.0,0.333333333,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
22,22,22,2022/12/2,26-094,PHO,,HOU,L (-1),1,36.516666666666666,8.0,16.0,0.5,3.0,7.0,0.429,3,3,1,2,6,8,2,1,0,3,5,22,14.6,4,9.0,5.0,0.555555556,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
23,23,23,2022/12/4,26-096,PHO,@,SAS,W (+38),1,25.533333333333335,7.0,11.0,0.636,6.0,7.0,0.857,0,0,,1,3,4,3,0,0,0,2,20,18,30,4.0,1.0,0.25,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
24,24,24,2022/12/5,26-097,PHO,@,DAL,L (-19),1,29.583333333333332,4.0,11.0,0.364,2.0,6.0,0.333,3,3,1,0,2,2,2,0,0,1,1,13,7.5,-14,5.0,2.0,0.4,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
25,25,25,2022/12/7,26-099,PHO,,BOS,L (-27),1,27.666666666666668,2.0,12.0,0.167,0.0,5.0,0,0,0,,1,2,3,0,1,0,1,1,4,-2.7,-33,7.0,2.0,0.285714286,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
26,26,26,2022/12/9,26-101,PHO,@,NOP,L (-11),1,35.266666666666666,4.0,12.0,0.333,3.0,5.0,0.6,0,0,,2,3,5,3,2,0,1,5,11,7.6,-7,7.0,1.0,0.142857143,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
27,27,27,2022/12/11,26-103,PHO,@,NOP,L (-5),1,44.56666666666667,10.0,23.0,0.435,5.0,13.0,0.385,2,2,1,3,2,5,3,2,0,1,1,27,20.3,-9,10.0,5.0,0.5,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
28,28,28,2022/12/13,26-105,PHO,@,HOU,L (-14),1,38.06666666666667,4.0,24.0,0.167,2.0,10.0,0.2,8,8,1,1,2,3,3,2,0,1,3,18,6,-14,14.0,2.0,0.142857143,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
29,29,29,2022/12/15,26-107,PHO,@,LAC,W (+16),1,39.11666666666667,11.0,18.0,0.611,2.0,5.0,0.4,3,4,0.75,1,5,6,0,1,2,1,1,27,21.6,8,13.0,9.0,0.692307692,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
30,30,30,2022/12/17,26-109,PHO,,NOP,W (+4),1,37.233333333333334,5.0,13.0,0.385,3.0,9.0,0.333,2,2,1,0,3,3,2,3,0,0,0,15,13.2,11,4.0,2.0,0.5,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
31,31,31,2022/12/19,26-111,PHO,,LAL,W (+26),1,30.433333333333334,7.0,16.0,0.438,2.0,6.0,0.333,4,5,0.8,0,1,1,2,1,1,2,3,20,11.4,18,10.0,5.0,0.5,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
32,32,32,2022/12/20,26-112,PHO,,WAS,L (-3),1,39.46666666666667,4.0,11.0,0.364,1.0,4.0,0.25,1,2,0.5,1,2,3,3,0,0,4,3,10,1.7,-6,7.0,3.0,0.428571429,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
33,33,33,2022/12/23,26-115,PHO,,MEM,L (-25),1,28.183333333333334,2.0,7.0,0.286,0.0,2.0,0,1,2,0.5,0,2,2,3,0,0,2,4,5,-0.4,-18,5.0,2.0,0.4,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
34,34,34,2022/12/25,26-117,PHO,@,DEN,L (-3),1,40.25,5.0,12.0,0.417,2.0,5.0,0.4,1,1,1,0,2,2,3,0,4,2,5,13,8.1,-13,7.0,3.0,0.428571429,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
35,35,35,2022/12/27,26-119,PHO,@,MEM,W (+17),1,24.783333333333335,3.0,8.0,0.375,1.0,3.0,0.333,3,3,1,0,2,2,3,1,2,3,2,10,6.9,12,5.0,2.0,0.4,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
36,36,36,2022/12/28,26-120,PHO,@,WAS,L (-25),1,40.38333333333333,6.0,15.0,0.4,3.0,6.0,0.5,2,2,1,1,3,4,5,2,1,0,1,17,16.3,-6,9.0,3.0,0.333333333,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
37,37,37,2022/12/30,26-122,PHO,@,TOR,L (-9),1,37.28333333333333,6.0,9.0,0.667,2.0,4.0,0.5,7,7,1,0,2,2,2,0,1,2,2,21,17,-20,5.0,4.0,0.8,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
38,38,38,2023/1/2,26-125,PHO,@,NYK,L (-19),1,34.833333333333336,4.0,11.0,0.364,2.0,5.0,0.4,0,0,,0,4,4,4,0,0,0,3,10,6.7,-18,6.0,2.0,0.333333333,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
39,39,39,2023/1/4,26-127,PHO,@,CLE,L (-2),1,36.05,3.0,15.0,0.2,1.0,4.0,0.25,3,4,0.75,2,5,7,4,1,2,1,1,10,7,-12,11.0,2.0,0.181818182,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
40,40,40,2023/1/6,26-129,PHO,,MIA,L (-8),1,39.38333333333333,2.0,10.0,0.2,1.0,5.0,0.2,10,10,1,2,2,4,7,2,0,2,1,15,15.3,-2,5.0,1.0,0.2,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
41,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
42,41,41,2023/1/8,26-131,PHO,,CLE,L (-14),1,38.016666666666666,7.0,10.0,0.7,1.0,1.0,1,0,0,,0,2,2,3,2,0,2,1,15,13.1,-10,9.0,6.0,0.666666667,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
43,42,42,2023/1/10,26-133,PHO,@,GSW,W (+12),1,40.583333333333336,10.0,18.0,0.556,1.0,3.0,0.333,5,7,0.714,3,6,9,5,1,3,1,1,26,25.7,13,15.0,9.0,0.6,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
44,43,43,2023/1/11,26-134,PHO,@,DEN,L (-29),1,30.016666666666666,3.0,10.0,0.3,1.0,3.0,0.333,0,0,,3,2,5,4,0,0,1,1,7,5.3,-20,7.0,2.0,0.285714286,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
45,44,44,2023/1/13,26-136,PHO,@,MIN,L (-5),1,40.233333333333334,9.0,14.0,0.643,3.0,5.0,0.6,3,3,1,0,4,4,6,3,0,4,3,24,21,0,9.0,6.0,0.666666667,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
