Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Andre Iguodala,Shared Games with Andrew Wiggins,Shared Games with Anthony Lamb,Shared Games with Donte DiVincenzo,Shared Games with Draymond Green,Shared Games with James Wiseman,Shared Games with JaMychal Green,Shared Games with Jonathan Kuminga,Shared Games with Jordan Poole,Shared Games with Kevon Looney,Shared Games with Moses Moody,Shared Games with Patrick Baldwin Jr.,Shared Games with Ryan Rollins,Shared Games with Stephen Curry,Shared Games with Ty Jerome,Andre Iguodala,Andrew Wiggins,Anthony Lamb,Donte DiVincenzo,Draymond Green,James Wiseman,JaMychal Green,Jonathan Kuminga,Jordan Poole,Kevon Looney,Lester Quinones,Moses Moody,Patrick Baldwin Jr.,Ryan Rollins,Stephen Curry,Ty Jerome,co_inf with Andre Iguodala,co_inf with Andrew Wiggins,co_inf with Anthony Lamb,co_inf with Donte DiVincenzo,co_inf with Draymond Green,co_inf with James Wiseman,co_inf with JaMychal Green,co_inf with Jonathan Kuminga,co_inf with Jordan Poole,co_inf with Kevon Looney,co_inf with Lester Quinones,co_inf with Moses Moody,co_inf with Patrick Baldwin Jr.,co_inf with Ryan Rollins,co_inf with Stephen Curry,co_inf with Ty Jerome,Shared Games with Gary Payton II,Gary Payton II,Jalen Johnson,co_inf with Gary Payton II,co_inf with Jalen Johnson,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,9.0,2022-11-07,32-272,GSW,SAC,1,37.95,6.0,18.0,.333,3.0,10.0,.300,1,2.0,.500,0.0,2.0,2.0,3.0,1.0,2.0,3.0,4.0,16.0,5.9,+10,8.0,3.0,0.375,7,31,50,62,64,15,49,56,69,69,50,23,6,49,33,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,4.0,63.0,31.0,12.0,56.0,45.0,0.875,0.8378378378378378,0.8064516129032258,0.8611111111111112,0.8767123287671232,0.3333333333333333,0.8596491228070176,0.835820895522388,0.8414634146341463,0.8414634146341463,0.0,0.7936507936507936,0.7419354838709677,0.5,0.875,0.7333333333333333,6,22.0,70.0,0.2727272727272727,0.0,16,1.0,79.0,4.9375,5.5,79.69999999999999,4.981249999999999,14.7,3.1,-0.3,1.5,-1.7,0.1547216241156567,0.576,0.584,0.105,1.0,1.2,W (+3),W (+3)
12.0,10.0,2022-11-11,32-276,GSW,CLE,1,29.45,3.0,13.0,.231,2.0,7.0,.286,1,2.0,.500,1.0,4.0,5.0,1.0,1.0,0.0,1.0,2.0,9.0,2.5,+3,6.0,1.0,0.1666666666666666,7,31,50,62,64,15,49,56,69,69,50,23,6,49,33,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,4.0,63.0,31.0,12.0,56.0,45.0,0.875,0.8378378378378378,0.8064516129032258,0.8611111111111112,0.8767123287671232,0.3333333333333333,0.8596491228070176,0.835820895522388,0.8414634146341463,0.8414634146341463,0.0,0.7936507936507936,0.7419354838709677,0.5,0.875,0.7333333333333333,6,22.0,70.0,0.2727272727272727,0.0,16,0.0,79.0,4.9375,2.099999999999998,75.9,4.74375,14.7,3.1,-0.3,1.5,-1.7,0.1547216241156567,0.576,0.584,0.105,1.0,1.2,W (+5),W (+5)
13.0,11.0,2022-11-13,32-278,GSW,SAC,1,32.46666666666667,6.0,16.0,.375,5.0,13.0,.385,0,0.0,,0.0,7.0,7.0,3.0,1.0,1.0,2.0,1.0,17.0,11.7,-1,3.0,1.0,0.3333333333333333,7,31,50,62,64,15,49,56,69,69,50,23,6,49,33,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,4.0,63.0,31.0,12.0,56.0,45.0,0.875,0.8378378378378378,0.8064516129032258,0.8611111111111112,0.8767123287671232,0.3333333333333333,0.8596491228070176,0.835820895522388,0.8414634146341463,0.8414634146341463,0.0,0.7936507936507936,0.7419354838709677,0.5,0.875,0.7333333333333333,6,22.0,70.0,0.2727272727272727,0.0,16,11.0,61.0,3.8125,11.7,68.19999999999999,4.262499999999999,14.7,3.1,-0.3,1.5,-1.7,0.1547216241156567,0.576,0.584,0.105,1.0,1.2,L (-7),L (-7)
14.0,,2022-11-14,32-279,GSW,SAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,7,31,50,62,64,15,49,56,69,69,50,23,6,49,33,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,4.0,63.0,31.0,12.0,56.0,45.0,0.875,0.8378378378378378,0.8064516129032258,0.8611111111111112,0.8767123287671232,0.3333333333333333,0.8596491228070176,0.835820895522388,0.8414634146341463,0.8414634146341463,0.0,0.7936507936507936,0.7419354838709677,0.5,0.875,0.7333333333333333,6,22.0,70.0,0.2727272727272727,0.0,16,,104.0,6.5,0.0,110.9,6.93125,14.7,3.1,-0.3,1.5,-1.7,0.1547216241156567,0.576,0.584,0.105,1.0,1.2,W (+37),W (+37)
15.0,12.0,2022-11-16,32-281,GSW,PHO,1,29.566666666666663,6.0,17.0,.353,3.0,9.0,.333,4,4.0,1.000,0.0,5.0,5.0,2.0,0.0,0.0,3.0,5.0,19.0,7.4,-8,8.0,3.0,0.375,7,31,50,62,64,15,49,56,69,69,50,23,6,49,33,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,4.0,63.0,31.0,12.0,56.0,45.0,0.875,0.8378378378378378,0.8064516129032258,0.8611111111111112,0.8767123287671232,0.3333333333333333,0.8596491228070176,0.835820895522388,0.8414634146341463,0.8414634146341463,0.0,0.7936507936507936,0.7419354838709677,0.5,0.875,0.7333333333333333,6,22.0,70.0,0.2727272727272727,0.0,16,2.0,69.0,4.3125,5.799999999999999,75.1,4.69375,14.7,3.1,-0.3,1.5,-1.7,0.1547216241156567,0.576,0.584,0.105,1.0,1.2,L (-11),L (-11)
16.0,13.0,2022-11-18,32-283,GSW,NYK,1,31.4,8.0,16.0,.500,4.0,10.0,.400,0,0.0,,1.0,2.0,3.0,2.0,0.0,0.0,1.0,2.0,20.0,12.9,+18,6.0,4.0,0.6666666666666666,7,31,50,62,64,15,49,56,69,69,50,23,6,49,33,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,4.0,63.0,31.0,12.0,56.0,45.0,0.875,0.8378378378378378,0.8064516129032258,0.8611111111111112,0.8767123287671232,0.3333333333333333,0.8596491228070176,0.835820895522388,0.8414634146341463,0.8414634146341463,0.0,0.7936507936507936,0.7419354838709677,0.5,0.875,0.7333333333333333,6,22.0,70.0,0.2727272727272727,0.0,16,8.0,66.0,4.125,12.9,69.0,4.3125,14.7,3.1,-0.3,1.5,-1.7,0.1547216241156567,0.576,0.584,0.105,1.0,1.2,W (+10),W (+10)
17.0,14.0,2022-11-20,32-285,GSW,HOU,1,35.56666666666667,14.0,23.0,.609,10.0,13.0,.769,3,4.0,.750,2.0,2.0,4.0,3.0,2.0,0.0,2.0,1.0,41.0,33.8,+14,10.0,4.0,0.4,7,31,50,62,64,15,49,56,69,69,50,23,6,49,33,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,4.0,63.0,31.0,12.0,56.0,45.0,0.875,0.8378378378378378,0.8064516129032258,0.8611111111111112,0.8767123287671232,0.3333333333333333,0.8596491228070176,0.835820895522388,0.8414634146341463,0.8414634146341463,0.0,0.7936507936507936,0.7419354838709677,0.5,0.875,0.7333333333333333,6,22.0,70.0,0.2727272727272727,0.0,16,21.0,86.0,5.375,32.60000000000001,74.09999999999997,4.631249999999998,14.7,3.1,-0.3,1.5,-1.7,0.1547216241156567,0.576,0.584,0.105,1.0,1.2,W (+7),W (+7)
18.0,,2022-11-21,32-286,GSW,NOP,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,7,31,50,62,64,15,49,56,69,69,50,23,6,49,33,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,4.0,63.0,31.0,12.0,56.0,45.0,0.875,0.8378378378378378,0.8064516129032258,0.8611111111111112,0.8767123287671232,0.3333333333333333,0.8596491228070176,0.835820895522388,0.8414634146341463,0.8414634146341463,0.0,0.7936507936507936,0.7419354838709677,0.5,0.875,0.7333333333333333,6,22.0,70.0,0.2727272727272727,0.0,16,,39.0,2.4375,0.0,36.99999999999999,2.3125,14.7,3.1,-0.3,1.5,-1.7,0.1547216241156567,0.576,0.584,0.105,1.0,1.2,L (-45),L (-45)
19.0,15.0,2022-11-23,32-288,GSW,LAC,1,27.216666666666665,5.0,10.0,.500,3.0,7.0,.429,5,6.0,.833,0.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,18.0,10.2,+11,3.0,2.0,0.6666666666666666,7,31,50,62,64,15,49,56,69,69,50,23,6,49,33,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,4.0,63.0,31.0,12.0,56.0,45.0,0.875,0.8378378378378378,0.8064516129032258,0.8611111111111112,0.8767123287671232,0.3333333333333333,0.8596491228070176,0.835820895522388,0.8414634146341463,0.8414634146341463,0.0,0.7936507936507936,0.7419354838709677,0.5,0.875,0.7333333333333333,6,22.0,70.0,0.2727272727272727,0.0,16,0.0,103.0,6.4375,8.2,96.5,6.03125,14.7,3.1,-0.3,1.5,-1.7,0.1547216241156567,0.576,0.584,0.105,1.0,1.2,W (+17),W (+17)
20.0,16.0,2022-11-25,32-290,GSW,UTA,1,35.11666666666667,7.0,16.0,.438,6.0,12.0,.500,0,0.0,,1.0,5.0,6.0,1.0,0.0,0.0,1.0,1.0,20.0,13.1,+9,4.0,1.0,0.25,7,31,50,62,64,15,49,56,69,69,50,23,6,49,33,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,4.0,63.0,31.0,12.0,56.0,45.0,0.875,0.8378378378378378,0.8064516129032258,0.8611111111111112,0.8767123287671232,0.3333333333333333,0.8596491228070176,0.835820895522388,0.8414634146341463,0.8414634146341463,0.0,0.7936507936507936,0.7419354838709677,0.5,0.875,0.7333333333333333,6,22.0,70.0,0.2727272727272727,0.0,16,10.0,91.0,5.6875,13.1,92.9,5.80625,14.7,3.1,-0.3,1.5,-1.7,0.1547216241156567,0.576,0.584,0.105,1.0,1.2,W (+11),W (+11)
21.0,17.0,2022-11-27,32-292,GSW,MIN,1,29.933333333333334,8.0,13.0,.615,5.0,8.0,.625,0,0.0,,0.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,21.0,18.0,+31,5.0,3.0,0.6,7,31,50,62,64,15,49,56,69,69,50,23,6,49,33,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,4.0,63.0,31.0,12.0,56.0,45.0,0.875,0.8378378378378378,0.8064516129032258,0.8611111111111112,0.8767123287671232,0.3333333333333333,0.8596491228070176,0.835820895522388,0.8414634146341463,0.8414634146341463,0.0,0.7936507936507936,0.7419354838709677,0.5,0.875,0.7333333333333333,6,22.0,70.0,0.2727272727272727,0.0,16,14.0,96.0,6.0,17.999999999999996,97.39999999999998,6.087499999999999,14.7,3.1,-0.3,1.5,-1.7,0.1547216241156567,0.576,0.584,0.105,1.0,1.2,,
22.0,18.0,2022-11-29,32-294,GSW,DAL,1,31.03333333333333,2.0,9.0,.222,1.0,6.0,.167,0,0.0,,0.0,7.0,7.0,2.0,0.0,0.0,1.0,1.0,5.0,1.6,-21,3.0,1.0,0.3333333333333333,7,31,50,62,64,15,49,56,69,69,50,23,6,49,33,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,4.0,63.0,31.0,12.0,56.0,45.0,0.875,0.8378378378378378,0.8064516129032258,0.8611111111111112,0.8767123287671232,0.3333333333333333,0.8596491228070176,0.835820895522388,0.8414634146341463,0.8414634146341463,0.0,0.7936507936507936,0.7419354838709677,0.5,0.875,0.7333333333333333,6,22.0,70.0,0.2727272727272727,0.0,16,4.0,66.0,4.125,1.600000000000001,76.20000000000002,4.762500000000001,14.7,3.1,-0.3,1.5,-1.7,0.1547216241156567,0.576,0.584,0.105,1.0,1.2,W (+23),W (+23)
23.0,19.0,2022-12-02,32-297,GSW,CHI,1,36.833333333333336,9.0,21.0,.429,3.0,13.0,.231,5,5.0,1.000,1.0,4.0,5.0,6.0,0.0,0.0,1.0,2.0,26.0,19.2,+11,8.0,6.0,0.75,7,31,50,62,64,15,49,56,69,69,50,23,6,49,33,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,4.0,63.0,31.0,12.0,56.0,45.0,0.875,0.8378378378378378,0.8064516129032258,0.8611111111111112,0.8767123287671232,0.3333333333333333,0.8596491228070176,0.835820895522388,0.8414634146341463,0.8414634146341463,0.0,0.7936507936507936,0.7419354838709677,0.5,0.875,0.7333333333333333,6,22.0,70.0,0.2727272727272727,0.0,16,10.0,85.0,5.3125,17.200000000000003,67.60000000000001,4.2250000000000005,14.7,3.1,-0.3,1.5,-1.7,0.1547216241156567,0.576,0.584,0.105,1.0,1.2,L (-3),L (-3)
24.0,,2022-12-03,32-298,GSW,HOU,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,7,31,50,62,64,15,49,56,69,69,50,23,6,49,33,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,4.0,63.0,31.0,12.0,56.0,45.0,0.875,0.8378378378378378,0.8064516129032258,0.8611111111111112,0.8767123287671232,0.3333333333333333,0.8596491228070176,0.835820895522388,0.8414634146341463,0.8414634146341463,0.0,0.7936507936507936,0.7419354838709677,0.5,0.875,0.7333333333333333,6,22.0,70.0,0.2727272727272727,0.0,16,,104.0,6.5,0.0,100.1,6.25625,14.7,3.1,-0.3,1.5,-1.7,0.1547216241156567,0.576,0.584,0.105,1.0,1.2,W (+8),W (+8)
25.0,20.0,2022-12-05,32-300,GSW,IND,1,36.56666666666667,9.0,23.0,.391,8.0,16.0,.500,2,2.0,1.000,2.0,0.0,2.0,4.0,0.0,1.0,0.0,1.0,28.0,20.0,+1,7.0,1.0,0.1428571428571428,7,31,50,62,64,15,49,56,69,69,50,23,6,49,33,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,4.0,63.0,31.0,12.0,56.0,45.0,0.875,0.8378378378378378,0.8064516129032258,0.8611111111111112,0.8767123287671232,0.3333333333333333,0.8596491228070176,0.835820895522388,0.8414634146341463,0.8414634146341463,0.0,0.7936507936507936,0.7419354838709677,0.5,0.875,0.7333333333333333,6,22.0,70.0,0.2727272727272727,0.0,16,10.0,61.0,3.8125,19.200000000000003,54.3,3.39375,14.7,3.1,-0.3,1.5,-1.7,0.1547216241156567,0.576,0.584,0.105,1.0,1.2,W (+19),W (+19)
26.0,21.0,2022-12-07,32-302,GSW,UTA,1,35.7,8.0,25.0,.320,4.0,11.0,.364,2,2.0,1.000,0.0,2.0,2.0,3.0,1.0,3.0,2.0,2.0,22.0,10.7,-7,14.0,4.0,0.2857142857142857,7,31,50,62,64,15,49,56,69,69,50,23,6,49,33,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,4.0,63.0,31.0,12.0,56.0,45.0,0.875,0.8378378378378378,0.8064516129032258,0.8611111111111112,0.8767123287671232,0.3333333333333333,0.8596491228070176,0.835820895522388,0.8414634146341463,0.8414634146341463,0.0,0.7936507936507936,0.7419354838709677,0.5,0.875,0.7333333333333333,6,22.0,70.0,0.2727272727272727,0.0,16,2.0,67.0,4.1875,9.9,76.99999999999999,4.812499999999999,14.7,3.1,-0.3,1.5,-1.7,0.1547216241156567,0.576,0.584,0.105,1.0,1.2,L (-8),L (-8)
27.0,22.0,2022-12-10,32-305,GSW,BOS,1,35.766666666666666,14.0,26.0,.538,4.0,11.0,.364,2,2.0,1.000,2.0,3.0,5.0,2.0,2.0,1.0,1.0,5.0,34.0,24.8,+9,15.0,10.0,0.6666666666666666,7,31,50,62,64,15,49,56,69,69,50,23,6,49,33,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,4.0,63.0,31.0,12.0,56.0,45.0,0.875,0.8378378378378378,0.8064516129032258,0.8611111111111112,0.8767123287671232,0.3333333333333333,0.8596491228070176,0.835820895522388,0.8414634146341463,0.8414634146341463,0.0,0.7936507936507936,0.7419354838709677,0.5,0.875,0.7333333333333333,6,22.0,70.0,0.2727272727272727,0.0,16,15.0,73.0,4.5625,24.0,70.1,4.38125,14.7,3.1,-0.3,1.5,-1.7,0.1547216241156567,0.576,0.584,0.105,1.0,1.2,L (-1),L (-1)
