Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Andre Iguodala,Shared Games with Andrew Wiggins,Shared Games with Anthony Lamb,Shared Games with Donte DiVincenzo,Shared Games with Draymond Green,Shared Games with James Wiseman,Shared Games with JaMychal Green,Shared Games with Jonathan Kuminga,Shared Games with Jordan Poole,Shared Games with Kevon Looney,Shared Games with Klay Thompson,Shared Games with Moses Moody,Shared Games with Ryan Rollins,Shared Games with Stephen Curry,Shared Games with Ty Jerome,Andre Iguodala,Andrew Wiggins,Anthony Lamb,Donte DiVincenzo,Draymond Green,James Wiseman,JaMychal Green,Jonathan Kuminga,Jordan Poole,Kevon Looney,Klay Thompson,Lester Quinones,Moses Moody,Ryan Rollins,Stephen Curry,Ty Jerome,co_inf with Andre Iguodala,co_inf with Andrew Wiggins,co_inf with Anthony Lamb,co_inf with Donte DiVincenzo,co_inf with Draymond Green,co_inf with James Wiseman,co_inf with JaMychal Green,co_inf with Jonathan Kuminga,co_inf with Jordan Poole,co_inf with Kevon Looney,co_inf with Klay Thompson,co_inf with Lester Quinones,co_inf with Moses Moody,co_inf with Ryan Rollins,co_inf with Stephen Curry,co_inf with Ty Jerome,Shared Games with Gary Payton II,Gary Payton II,Jalen Johnson,co_inf with Gary Payton II,co_inf with Jalen Johnson,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
11.0,,2022-11-07,19-354,GSW,SAC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,4,4,27,27,25,7,20,25,31,31,23,29,9,14,21,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,12.0,56.0,45.0,0.5,0.1081081081081081,0.4354838709677419,0.375,0.3424657534246575,0.1555555555555555,0.3508771929824561,0.373134328358209,0.3780487804878049,0.3780487804878049,0.3333333333333333,0.0,0.4603174603174603,0.75,0.25,0.4666666666666667,5,22.0,70.0,0.2272727272727272,0.0,16,,80.0,5.0,0.0,85.19999999999999,5.324999999999999,0.0125089715984825,W (+3),W (+3)
12.0,,2022-11-11,19-358,GSW,CLE,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,4,4,27,27,25,7,20,25,31,31,23,29,9,14,21,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,12.0,56.0,45.0,0.5,0.1081081081081081,0.4354838709677419,0.375,0.3424657534246575,0.1555555555555555,0.3508771929824561,0.373134328358209,0.3780487804878049,0.3780487804878049,0.3333333333333333,0.0,0.4603174603174603,0.75,0.25,0.4666666666666667,5,22.0,70.0,0.2272727272727272,0.0,16,,79.0,4.9375,0.0,78.0,4.875,0.0125089715984825,W (+5),W (+5)
13.0,,2022-11-13,19-360,GSW,SAC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,4,4,27,27,25,7,20,25,31,31,23,29,9,14,21,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,12.0,56.0,45.0,0.5,0.1081081081081081,0.4354838709677419,0.375,0.3424657534246575,0.1555555555555555,0.3508771929824561,0.373134328358209,0.3780487804878049,0.3780487804878049,0.3333333333333333,0.0,0.4603174603174603,0.75,0.25,0.4666666666666667,5,22.0,70.0,0.2272727272727272,0.0,16,,72.0,4.5,0.0,79.9,4.99375,0.0125089715984825,L (-7),L (-7)
14.0,,2022-11-14,19-361,GSW,SAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,4,4,27,27,25,7,20,25,31,31,23,29,9,14,21,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,12.0,56.0,45.0,0.5,0.1081081081081081,0.4354838709677419,0.375,0.3424657534246575,0.1555555555555555,0.3508771929824561,0.373134328358209,0.3780487804878049,0.3780487804878049,0.3333333333333333,0.0,0.4603174603174603,0.75,0.25,0.4666666666666667,5,22.0,70.0,0.2272727272727272,0.0,16,,104.0,6.5,0.0,110.9,6.93125,0.0125089715984825,W (+37),W (+37)
15.0,,2022-11-16,19-363,GSW,PHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,4,4,27,27,25,7,20,25,31,31,23,29,9,14,21,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,12.0,56.0,45.0,0.5,0.1081081081081081,0.4354838709677419,0.375,0.3424657534246575,0.1555555555555555,0.3508771929824561,0.373134328358209,0.3780487804878049,0.3780487804878049,0.3333333333333333,0.0,0.4603174603174603,0.75,0.25,0.4666666666666667,5,22.0,70.0,0.2272727272727272,0.0,16,,71.0,4.4375,0.0,80.9,5.05625,0.0125089715984825,L (-11),L (-11)
16.0,,2022-11-18,20-000,GSW,NYK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,4,4,27,27,25,7,20,25,31,31,23,29,9,14,21,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,12.0,56.0,45.0,0.5,0.1081081081081081,0.4354838709677419,0.375,0.3424657534246575,0.1555555555555555,0.3508771929824561,0.373134328358209,0.3780487804878049,0.3780487804878049,0.3333333333333333,0.0,0.4603174603174603,0.75,0.25,0.4666666666666667,5,22.0,70.0,0.2272727272727272,0.0,16,,74.0,4.625,0.0,81.9,5.11875,0.0125089715984825,W (+10),W (+10)
17.0,,2022-11-20,20-002,GSW,HOU,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,4,4,27,27,25,7,20,25,31,31,23,29,9,14,21,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,12.0,56.0,45.0,0.5,0.1081081081081081,0.4354838709677419,0.375,0.3424657534246575,0.1555555555555555,0.3508771929824561,0.373134328358209,0.3780487804878049,0.3780487804878049,0.3333333333333333,0.0,0.4603174603174603,0.75,0.25,0.4666666666666667,5,22.0,70.0,0.2272727272727272,0.0,16,,107.0,6.6875,0.0,106.69999999999996,6.6687499999999975,0.0125089715984825,W (+7),W (+7)
18.0,3.0,2022-11-21,20-003,GSW,NOP,0,15.516666666666667,3.0,6.0,.500,1.0,4.0,.250,0,0.0,,0.0,5.0,5.0,0.0,3.0,0.0,1.0,0.0,7.0,7.5,-18,2.0,2.0,1.0,4,4,27,27,25,7,20,25,31,31,23,29,9,14,21,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,12.0,56.0,45.0,0.5,0.1081081081081081,0.4354838709677419,0.375,0.3424657534246575,0.1555555555555555,0.3508771929824561,0.373134328358209,0.3780487804878049,0.3780487804878049,0.3333333333333333,0.0,0.4603174603174603,0.75,0.25,0.4666666666666667,5,22.0,70.0,0.2272727272727272,0.0,16,8.0,31.0,1.9375,7.5,29.5,1.84375,0.0125089715984825,L (-45),L (-45)
19.0,4.0,2022-11-23,20-005,GSW,LAC,0,3.866666666666666,1.0,3.0,.333,1.0,3.0,.333,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.6,-12,0.0,0.0,,4,4,27,27,25,7,20,25,31,31,23,29,9,14,21,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,12.0,56.0,45.0,0.5,0.1081081081081081,0.4354838709677419,0.375,0.3424657534246575,0.1555555555555555,0.3508771929824561,0.373134328358209,0.3780487804878049,0.3780487804878049,0.3333333333333333,0.0,0.4603174603174603,0.75,0.25,0.4666666666666667,5,22.0,70.0,0.2272727272727272,0.0,16,1.0,102.0,6.375,1.6,103.1,6.44375,0.0125089715984825,W (+17),W (+17)
20.0,,2022-11-25,20-007,GSW,UTA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,4,4,27,27,25,7,20,25,31,31,23,29,9,14,21,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,12.0,56.0,45.0,0.5,0.1081081081081081,0.4354838709677419,0.375,0.3424657534246575,0.1555555555555555,0.3508771929824561,0.373134328358209,0.3780487804878049,0.3780487804878049,0.3333333333333333,0.0,0.4603174603174603,0.75,0.25,0.4666666666666667,5,22.0,70.0,0.2272727272727272,0.0,16,,101.0,6.3125,0.0,106.0,6.625,0.0125089715984825,W (+11),W (+11)
21.0,,2022-11-27,20-009,GSW,MIN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,4,4,27,27,25,7,20,25,31,31,23,29,9,14,21,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,12.0,56.0,45.0,0.5,0.1081081081081081,0.4354838709677419,0.375,0.3424657534246575,0.1555555555555555,0.3508771929824561,0.373134328358209,0.3780487804878049,0.3780487804878049,0.3333333333333333,0.0,0.4603174603174603,0.75,0.25,0.4666666666666667,5,22.0,70.0,0.2272727272727272,0.0,16,,110.0,6.875,0.0,115.39999999999998,7.212499999999999,0.0125089715984825,,
22.0,,2022-11-29,20-011,GSW,DAL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,4,4,27,27,25,7,20,25,31,31,23,29,9,14,21,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,12.0,56.0,45.0,0.5,0.1081081081081081,0.4354838709677419,0.375,0.3424657534246575,0.1555555555555555,0.3508771929824561,0.373134328358209,0.3780487804878049,0.3780487804878049,0.3333333333333333,0.0,0.4603174603174603,0.75,0.25,0.4666666666666667,5,22.0,70.0,0.2272727272727272,0.0,16,,70.0,4.375,0.0,77.80000000000001,4.862500000000001,0.0125089715984825,W (+23),W (+23)
23.0,,2022-12-02,20-014,GSW,CHI,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,4,4,27,27,25,7,20,25,31,31,23,29,9,14,21,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,12.0,56.0,45.0,0.5,0.1081081081081081,0.4354838709677419,0.375,0.3424657534246575,0.1555555555555555,0.3508771929824561,0.373134328358209,0.3780487804878049,0.3780487804878049,0.3333333333333333,0.0,0.4603174603174603,0.75,0.25,0.4666666666666667,5,22.0,70.0,0.2272727272727272,0.0,16,,95.0,5.9375,0.0,84.80000000000001,5.300000000000001,0.0125089715984825,L (-3),L (-3)
24.0,,2022-12-03,20-015,GSW,HOU,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,4,4,27,27,25,7,20,25,31,31,23,29,9,14,21,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,12.0,56.0,45.0,0.5,0.1081081081081081,0.4354838709677419,0.375,0.3424657534246575,0.1555555555555555,0.3508771929824561,0.373134328358209,0.3780487804878049,0.3780487804878049,0.3333333333333333,0.0,0.4603174603174603,0.75,0.25,0.4666666666666667,5,22.0,70.0,0.2272727272727272,0.0,16,,104.0,6.5,0.0,100.1,6.25625,0.0125089715984825,W (+8),W (+8)
25.0,,2022-12-05,20-017,GSW,IND,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,4,4,27,27,25,7,20,25,31,31,23,29,9,14,21,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,12.0,56.0,45.0,0.5,0.1081081081081081,0.4354838709677419,0.375,0.3424657534246575,0.1555555555555555,0.3508771929824561,0.373134328358209,0.3780487804878049,0.3780487804878049,0.3333333333333333,0.0,0.4603174603174603,0.75,0.25,0.4666666666666667,5,22.0,70.0,0.2272727272727272,0.0,16,,71.0,4.4375,0.0,73.5,4.59375,0.0125089715984825,W (+19),W (+19)
26.0,,2022-12-07,20-019,GSW,UTA,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,4,4,27,27,25,7,20,25,31,31,23,29,9,14,21,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,12.0,56.0,45.0,0.5,0.1081081081081081,0.4354838709677419,0.375,0.3424657534246575,0.1555555555555555,0.3508771929824561,0.373134328358209,0.3780487804878049,0.3780487804878049,0.3333333333333333,0.0,0.4603174603174603,0.75,0.25,0.4666666666666667,5,22.0,70.0,0.2272727272727272,0.0,16,,69.0,4.3125,0.0,86.89999999999999,5.43125,0.0125089715984825,L (-8),L (-8)
27.0,,2022-12-10,20-022,GSW,BOS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,4,4,27,27,25,7,20,25,31,31,23,29,9,14,21,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,12.0,56.0,45.0,0.5,0.1081081081081081,0.4354838709677419,0.375,0.3424657534246575,0.1555555555555555,0.3508771929824561,0.373134328358209,0.3780487804878049,0.3780487804878049,0.3333333333333333,0.0,0.4603174603174603,0.75,0.25,0.4666666666666667,5,22.0,70.0,0.2272727272727272,0.0,16,,88.0,5.5,0.0,94.1,5.88125,0.0125089715984825,L (-1),L (-1)
28.0,5.0,2022-12-13,20-025,GSW,MIL,0,8.233333333333333,2.0,3.0,.667,2.0,3.0,.667,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.7,+4,0.0,0.0,,4,4,27,27,25,7,20,25,31,31,23,29,9,14,21,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,12.0,56.0,45.0,0.5,0.1081081081081081,0.4354838709677419,0.375,0.3424657534246575,0.1555555555555555,0.3508771929824561,0.373134328358209,0.3780487804878049,0.3780487804878049,0.3333333333333333,0.0,0.4603174603174603,0.75,0.25,0.4666666666666667,5,22.0,70.0,0.2272727272727272,0.0,16,3.0,56.0,3.5,4.7,62.39999999999998,3.899999999999999,0.0125089715984825,W (+16),W (+16)
29.0,,2022-12-14,20-026,GSW,IND,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,4,4,27,27,25,7,20,25,31,31,23,29,9,14,21,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,12.0,56.0,45.0,0.5,0.1081081081081081,0.4354838709677419,0.375,0.3424657534246575,0.1555555555555555,0.3508771929824561,0.373134328358209,0.3780487804878049,0.3780487804878049,0.3333333333333333,0.0,0.4603174603174603,0.75,0.25,0.4666666666666667,5,22.0,70.0,0.2272727272727272,0.0,16,,67.0,4.1875,0.0,77.5,4.84375,0.0125089715984825,L (-17),L (-17)
30.0,6.0,2022-12-16,20-028,GSW,PHI,0,1.3333333333333333,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,4,4,27,27,25,7,20,25,31,31,23,29,9,14,21,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,12.0,56.0,45.0,0.5,0.1081081081081081,0.4354838709677419,0.375,0.3424657534246575,0.1555555555555555,0.3508771929824561,0.373134328358209,0.3780487804878049,0.3780487804878049,0.3333333333333333,0.0,0.4603174603174603,0.75,0.25,0.4666666666666667,5,22.0,70.0,0.2272727272727272,0.0,16,0.0,78.0,4.875,0.0,76.60000000000001,4.7875000000000005,0.0125089715984825,L (-6),L (-6)
31.0,7.0,2022-12-18,20-030,GSW,TOR,0,2.35,0.0,1.0,.000,0.0,1.0,.000,1,2.0,.500,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,-0.1,-1,0.0,0.0,,4,4,27,27,25,7,20,25,31,31,23,29,9,14,21,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,12.0,56.0,45.0,0.5,0.1081081081081081,0.4354838709677419,0.375,0.3424657534246575,0.1555555555555555,0.3508771929824561,0.373134328358209,0.3780487804878049,0.3780487804878049,0.3333333333333333,0.0,0.4603174603174603,0.75,0.25,0.4666666666666667,5,22.0,70.0,0.2272727272727272,0.0,16,-1.0,86.0,5.375,-0.5,96.7,6.04375,0.0125089715984825,L (-12),L (-12)
32.0,8.0,2022-12-20,20-032,GSW,NYK,0,7.666666666666667,1.0,6.0,.167,1.0,4.0,.250,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.2,-13,2.0,0.0,0.0,4,4,27,27,25,7,20,25,31,31,23,29,9,14,21,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,12.0,56.0,45.0,0.5,0.1081081081081081,0.4354838709677419,0.375,0.3424657534246575,0.1555555555555555,0.3508771929824561,0.373134328358209,0.3780487804878049,0.3780487804878049,0.3333333333333333,0.0,0.4603174603174603,0.75,0.25,0.4666666666666667,5,22.0,70.0,0.2272727272727272,0.0,16,-1.0,43.0,2.6875,0.2000000000000001,53.7,3.35625,0.0125089715984825,W (+16),W (+16)
