Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Caris LeVert,Shared Games with Cedi Osman,Shared Games with Darius Garland,Shared Games with Dean Wade,Shared Games with Donovan Mitchell,Shared Games with Dylan Windler,Shared Games with Evan Mobley,Shared Games with Isaac Okoro,Shared Games with Isaiah Mobley,Shared Games with Jarrett Allen,Shared Games with Kevin Love,Shared Games with Lamar Stevens,Shared Games with Raul Neto,Shared Games with Ricky Rubio,Shared Games with Robin Lopez,Caris LeVert,Cedi Osman,Darius Garland,Dean Wade,Donovan Mitchell,Dylan Windler,Evan Mobley,Isaac Okoro,Isaiah Mobley,Jarrett Allen,Kevin Love,Lamar Stevens,Raul Neto,Ricky Rubio,Robin Lopez,Sam Merrill,co_inf with Caris LeVert,co_inf with Cedi Osman,co_inf with Darius Garland,co_inf with Dean Wade,co_inf with Donovan Mitchell,co_inf with Dylan Windler,co_inf with Evan Mobley,co_inf with Isaac Okoro,co_inf with Isaiah Mobley,co_inf with Jarrett Allen,co_inf with Kevin Love,co_inf with Lamar Stevens,co_inf with Raul Neto,co_inf with Ricky Rubio,co_inf with Robin Lopez,co_inf with Sam Merrill,Shared Games with Danny Green,Danny Green,Dejounte Murray,co_inf with Danny Green,co_inf with Dejounte Murray,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,,2022-11-09,25-292,CLE,SAC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,17,22,17,12,17,2,20,19,7,12,9,19,18,7,15,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,48.0,33.0,37.0,5.0,0.2297297297297297,0.2857142857142857,0.2463768115942029,0.2727272727272727,0.25,0.6666666666666666,0.2531645569620253,0.25,0.5833333333333334,0.1764705882352941,0.1451612903225806,0.3064516129032258,0.375,0.2121212121212121,0.4054054054054054,0.0,3,11.0,74.0,0.2727272727272727,0.0,16,,71.0,4.4375,0.0,92.3,5.76875,9.0,0.2,-3.4,-4.9,1.6,0.0061922868006518,0.56,0.42,0.04,-0.1,-0.1,L (-7),L (-7)
12.0,,2022-11-11,25-294,CLE,GSW,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,17,22,17,12,17,2,20,19,7,12,9,19,18,7,15,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,48.0,33.0,37.0,5.0,0.2297297297297297,0.2857142857142857,0.2463768115942029,0.2727272727272727,0.25,0.6666666666666666,0.2531645569620253,0.25,0.5833333333333334,0.1764705882352941,0.1451612903225806,0.3064516129032258,0.375,0.2121212121212121,0.4054054054054054,0.0,3,11.0,74.0,0.2727272727272727,0.0,16,,55.0,3.4375,0.0,71.9,4.49375,9.0,0.2,-3.4,-4.9,1.6,0.0061922868006518,0.56,0.42,0.04,-0.1,-0.1,L (-5),L (-5)
13.0,3.0,2022-11-13,25-296,CLE,MIN,0,2.55,0.0,2.0,.000,0.0,2.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.8,-9,0.0,0.0,,17,22,17,12,17,2,20,19,7,12,9,19,18,7,15,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,48.0,33.0,37.0,5.0,0.2297297297297297,0.2857142857142857,0.2463768115942029,0.2727272727272727,0.25,0.6666666666666666,0.2531645569620253,0.25,0.5833333333333334,0.1764705882352941,0.1451612903225806,0.3064516129032258,0.375,0.2121212121212121,0.4054054054054054,0.0,3,11.0,74.0,0.2727272727272727,0.0,16,-2.0,64.0,4.0,-1.7999999999999998,96.2,6.0125,9.0,0.2,-3.4,-4.9,1.6,0.0061922868006518,0.56,0.42,0.04,-0.1,-0.1,L (-5),L (-5)
14.0,4.0,2022-11-16,25-299,CLE,MIL,0,4.95,2.0,3.0,.667,1.0,1.0,1.000,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,3.0,0,2.0,1.0,0.5,17,22,17,12,17,2,20,19,7,12,9,19,18,7,15,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,48.0,33.0,37.0,5.0,0.2297297297297297,0.2857142857142857,0.2463768115942029,0.2727272727272727,0.25,0.6666666666666666,0.2531645569620253,0.25,0.5833333333333334,0.1764705882352941,0.1451612903225806,0.3064516129032258,0.375,0.2121212121212121,0.4054054054054054,0.0,3,11.0,74.0,0.2727272727272727,0.0,16,2.0,58.0,3.625,3.0,76.50000000000001,4.781250000000001,9.0,0.2,-3.4,-4.9,1.6,0.0061922868006518,0.56,0.42,0.04,-0.1,-0.1,L (-15),L (-15)
15.0,,2022-11-18,25-301,CLE,CHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,17,22,17,12,17,2,20,19,7,12,9,19,18,7,15,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,48.0,33.0,37.0,5.0,0.2297297297297297,0.2857142857142857,0.2463768115942029,0.2727272727272727,0.25,0.6666666666666666,0.2531645569620253,0.25,0.5833333333333334,0.1764705882352941,0.1451612903225806,0.3064516129032258,0.375,0.2121212121212121,0.4054054054054054,0.0,3,11.0,74.0,0.2727272727272727,0.0,16,,78.0,4.875,0.0,100.5,6.28125,9.0,0.2,-3.4,-4.9,1.6,0.0061922868006518,0.56,0.42,0.04,-0.1,-0.1,W (+10),W (+10)
16.0,5.0,2022-11-20,25-303,CLE,MIA,0,5.516666666666667,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.3,0,1.0,1.0,1.0,17,22,17,12,17,2,20,19,7,12,9,19,18,7,15,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,48.0,33.0,37.0,5.0,0.2297297297297297,0.2857142857142857,0.2463768115942029,0.2727272727272727,0.25,0.6666666666666666,0.2531645569620253,0.25,0.5833333333333334,0.1764705882352941,0.1451612903225806,0.3064516129032258,0.375,0.2121212121212121,0.4054054054054054,0.0,3,11.0,74.0,0.2727272727272727,0.0,16,1.0,98.0,6.125,1.2999999999999998,104.10000000000002,6.506250000000001,9.0,0.2,-3.4,-4.9,1.6,0.0061922868006518,0.56,0.42,0.04,-0.1,-0.1,W (+26),W (+26)
17.0,,2022-11-21,25-304,CLE,ATL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,17,22,17,12,17,2,20,19,7,12,9,19,18,7,15,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,48.0,33.0,37.0,5.0,0.2297297297297297,0.2857142857142857,0.2463768115942029,0.2727272727272727,0.25,0.6666666666666666,0.2531645569620253,0.25,0.5833333333333334,0.1764705882352941,0.1451612903225806,0.3064516129032258,0.375,0.2121212121212121,0.4054054054054054,0.0,3,11.0,74.0,0.2727272727272727,0.0,16,,81.0,5.0625,0.0,102.9,6.43125,9.0,0.2,-3.4,-4.9,1.6,0.0061922868006518,0.56,0.42,0.04,-0.1,-0.1,W (+12),W (+12)
18.0,,2022-11-23,25-306,CLE,POR,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,17,22,17,12,17,2,20,19,7,12,9,19,18,7,15,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,48.0,33.0,37.0,5.0,0.2297297297297297,0.2857142857142857,0.2463768115942029,0.2727272727272727,0.25,0.6666666666666666,0.2531645569620253,0.25,0.5833333333333334,0.1764705882352941,0.1451612903225806,0.3064516129032258,0.375,0.2121212121212121,0.4054054054054054,0.0,3,11.0,74.0,0.2727272727272727,0.0,16,,77.0,4.8125,0.0,95.8,5.9875,9.0,0.2,-3.4,-4.9,1.6,0.0061922868006518,0.56,0.42,0.04,-0.1,-0.1,W (+18),W (+18)
19.0,6.0,2022-11-25,25-308,CLE,MIL,0,3.05,2.0,2.0,1.000,1.0,1.0,1.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.4,+7,1.0,1.0,1.0,17,22,17,12,17,2,20,19,7,12,9,19,18,7,15,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,48.0,33.0,37.0,5.0,0.2297297297297297,0.2857142857142857,0.2463768115942029,0.2727272727272727,0.25,0.6666666666666666,0.2531645569620253,0.25,0.5833333333333334,0.1764705882352941,0.1451612903225806,0.3064516129032258,0.375,0.2121212121212121,0.4054054054054054,0.0,3,11.0,74.0,0.2727272727272727,0.0,16,3.0,58.0,3.625,4.4,87.0,5.4375,9.0,0.2,-3.4,-4.9,1.6,0.0061922868006518,0.56,0.42,0.04,-0.1,-0.1,L (-15),L (-15)
20.0,7.0,2022-11-27,25-310,CLE,DET,0,13.583333333333334,2.0,3.0,.667,0.0,1.0,.000,0,0.0,,1.0,1.0,2.0,0.0,0.0,2.0,2.0,2.0,4.0,2.3,+5,2.0,2.0,1.0,17,22,17,12,17,2,20,19,7,12,9,19,18,7,15,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,48.0,33.0,37.0,5.0,0.2297297297297297,0.2857142857142857,0.2463768115942029,0.2727272727272727,0.25,0.6666666666666666,0.2531645569620253,0.25,0.5833333333333334,0.1764705882352941,0.1451612903225806,0.3064516129032258,0.375,0.2121212121212121,0.4054054054054054,0.0,3,11.0,74.0,0.2727272727272727,0.0,16,3.0,38.0,2.375,2.3,60.6,3.7875,9.0,0.2,-3.4,-4.9,1.6,0.0061922868006518,0.56,0.42,0.04,-0.1,-0.1,W (+8),W (+8)
21.0,,2022-11-28,25-311,CLE,TOR,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,17,22,17,12,17,2,20,19,7,12,9,19,18,7,15,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,48.0,33.0,37.0,5.0,0.2297297297297297,0.2857142857142857,0.2463768115942029,0.2727272727272727,0.25,0.6666666666666666,0.2531645569620253,0.25,0.5833333333333334,0.1764705882352941,0.1451612903225806,0.3064516129032258,0.375,0.2121212121212121,0.4054054054054054,0.0,3,11.0,74.0,0.2727272727272727,0.0,16,,59.0,3.6875,0.0,68.2,4.2625,9.0,0.2,-3.4,-4.9,1.6,0.0061922868006518,0.56,0.42,0.04,-0.1,-0.1,,
22.0,8.0,2022-11-30,25-313,CLE,PHI,1,22.58333333333333,2.0,5.0,.400,2.0,4.0,.500,0,0.0,,0.0,4.0,4.0,2.0,1.0,0.0,2.0,3.0,6.0,3.7,+16,1.0,0.0,0.0,17,22,17,12,17,2,20,19,7,12,9,19,18,7,15,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,48.0,33.0,37.0,5.0,0.2297297297297297,0.2857142857142857,0.2463768115942029,0.2727272727272727,0.25,0.6666666666666666,0.2531645569620253,0.25,0.5833333333333334,0.1764705882352941,0.1451612903225806,0.3064516129032258,0.375,0.2121212121212121,0.4054054054054054,0.0,3,11.0,74.0,0.2727272727272727,0.0,16,6.0,94.0,5.875,3.7,110.9,6.93125,9.0,0.2,-3.4,-4.9,1.6,0.0061922868006518,0.56,0.42,0.04,-0.1,-0.1,L (-12),L (-12)
23.0,9.0,2022-12-02,25-315,CLE,ORL,0,11.8,0.0,2.0,.000,0.0,2.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.1,+8,0.0,0.0,,17,22,17,12,17,2,20,19,7,12,9,19,18,7,15,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,48.0,33.0,37.0,5.0,0.2297297297297297,0.2857142857142857,0.2463768115942029,0.2727272727272727,0.25,0.6666666666666666,0.2531645569620253,0.25,0.5833333333333334,0.1764705882352941,0.1451612903225806,0.3064516129032258,0.375,0.2121212121212121,0.4054054054054054,0.0,3,11.0,74.0,0.2727272727272727,0.0,16,-1.0,72.0,4.5,-1.1,99.00000000000004,6.187500000000003,9.0,0.2,-3.4,-4.9,1.6,0.0061922868006518,0.56,0.42,0.04,-0.1,-0.1,W (+28),W (+28)
24.0,10.0,2022-12-04,25-317,CLE,NYK,1,11.433333333333334,0.0,2.0,.000,0.0,1.0,.000,0,0.0,,2.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,-0.1,-10,1.0,0.0,0.0,17,22,17,12,17,2,20,19,7,12,9,19,18,7,15,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,48.0,33.0,37.0,5.0,0.2297297297297297,0.2857142857142857,0.2463768115942029,0.2727272727272727,0.25,0.6666666666666666,0.2531645569620253,0.25,0.5833333333333334,0.1764705882352941,0.1451612903225806,0.3064516129032258,0.375,0.2121212121212121,0.4054054054054054,0.0,3,11.0,74.0,0.2727272727272727,0.0,16,1.0,37.0,2.3125,-0.1000000000000003,57.400000000000006,3.5875000000000004,9.0,0.2,-3.4,-4.9,1.6,0.0061922868006518,0.56,0.42,0.04,-0.1,-0.1,W (+11),W (+11)
25.0,11.0,2022-12-06,25-319,CLE,LAL,0,1.7166666666666668,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7,-1,0.0,0.0,,17,22,17,12,17,2,20,19,7,12,9,19,18,7,15,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,48.0,33.0,37.0,5.0,0.2297297297297297,0.2857142857142857,0.2463768115942029,0.2727272727272727,0.25,0.6666666666666666,0.2531645569620253,0.25,0.5833333333333334,0.1764705882352941,0.1451612903225806,0.3064516129032258,0.375,0.2121212121212121,0.4054054054054054,0.0,3,11.0,74.0,0.2727272727272727,0.0,16,1.0,80.0,5.0,0.7,96.90000000000002,6.056250000000001,9.0,0.2,-3.4,-4.9,1.6,0.0061922868006518,0.56,0.42,0.04,-0.1,-0.1,L (-11),L (-11)
26.0,,2022-12-09,25-322,CLE,SAC,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,17,22,17,12,17,2,20,19,7,12,9,19,18,7,15,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,48.0,33.0,37.0,5.0,0.2297297297297297,0.2857142857142857,0.2463768115942029,0.2727272727272727,0.25,0.6666666666666666,0.2531645569620253,0.25,0.5833333333333334,0.1764705882352941,0.1451612903225806,0.3064516129032258,0.375,0.2121212121212121,0.4054054054054054,0.0,3,11.0,74.0,0.2727272727272727,0.0,16,,42.0,2.625,0.0,54.1,3.38125,9.0,0.2,-3.4,-4.9,1.6,0.0061922868006518,0.56,0.42,0.04,-0.1,-0.1,W (+14),W (+14)
27.0,,2022-12-10,25-323,CLE,OKC,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,17,22,17,12,17,2,20,19,7,12,9,19,18,7,15,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,48.0,33.0,37.0,5.0,0.2297297297297297,0.2857142857142857,0.2463768115942029,0.2727272727272727,0.25,0.6666666666666666,0.2531645569620253,0.25,0.5833333333333334,0.1764705882352941,0.1451612903225806,0.3064516129032258,0.375,0.2121212121212121,0.4054054054054054,0.0,3,11.0,74.0,0.2727272727272727,0.0,16,,71.0,4.4375,0.0,84.99999999999999,5.312499999999999,9.0,0.2,-3.4,-4.9,1.6,0.0061922868006518,0.56,0.42,0.04,-0.1,-0.1,L (-11),L (-11)
28.0,,2022-12-12,25-325,CLE,SAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,17,22,17,12,17,2,20,19,7,12,9,19,18,7,15,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,48.0,33.0,37.0,5.0,0.2297297297297297,0.2857142857142857,0.2463768115942029,0.2727272727272727,0.25,0.6666666666666666,0.2531645569620253,0.25,0.5833333333333334,0.1764705882352941,0.1451612903225806,0.3064516129032258,0.375,0.2121212121212121,0.4054054054054054,0.0,3,11.0,74.0,0.2727272727272727,0.0,16,,64.0,4.0,0.0,80.10000000000001,5.0062500000000005,9.0,0.2,-3.4,-4.9,1.6,0.0061922868006518,0.56,0.42,0.04,-0.1,-0.1,W (+8),W (+8)
