Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Caris LeVert,Shared Games with Cedi Osman,Shared Games with Darius Garland,Shared Games with Dean Wade,Shared Games with Donovan Mitchell,Shared Games with Dylan Windler,Shared Games with Evan Mobley,Shared Games with Isaac Okoro,Shared Games with Isaiah Mobley,Shared Games with Jarrett Allen,Shared Games with Lamar Stevens,Shared Games with Mamadi Diakite,Shared Games with Raul Neto,Shared Games with Ricky Rubio,Shared Games with Robin Lopez,Shared Games with Sam Merrill,Caris LeVert,Cedi Osman,Darius Garland,Dean Wade,Donovan Mitchell,Dylan Windler,Evan Mobley,Isaac Okoro,Isaiah Mobley,Jarrett Allen,Lamar Stevens,Mamadi Diakite,Raul Neto,Ricky Rubio,Robin Lopez,Sam Merrill,co_inf with Caris LeVert,co_inf with Cedi Osman,co_inf with Darius Garland,co_inf with Dean Wade,co_inf with Donovan Mitchell,co_inf with Dylan Windler,co_inf with Evan Mobley,co_inf with Isaac Okoro,co_inf with Isaiah Mobley,co_inf with Jarrett Allen,co_inf with Lamar Stevens,co_inf with Mamadi Diakite,co_inf with Raul Neto,co_inf with Ricky Rubio,co_inf with Robin Lopez,co_inf with Sam Merrill
10,11,11,2022-11-09,34-063,CLE,@,SAC,L (-7),0,21.15,2.0,5.0,.400,1.0,3.0,.333,4,4,1.000,1,7,8,2,0,0,2,2,9,7.7,+2,2.0,1.0,0.5,40,39,32,14,35,0,39,41,3,37,29,9,22,6,18,0,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5405405405405406,0.5064935064935064,0.463768115942029,0.3181818181818182,0.5147058823529411,0.0,0.4936708860759494,0.5394736842105263,0.25,0.5441176470588235,0.4677419354838709,0.4090909090909091,0.4583333333333333,0.1818181818181818,0.4864864864864865,0.0
11,12,12,2022-11-11,34-065,CLE,@,GSW,L (-5),0,22.016666666666666,3.0,10.0,.300,2.0,6.0,.333,1,2,.500,2,5,7,2,1,0,1,1,9,6.7,-11,4.0,1.0,0.25,40,39,32,14,35,0,39,41,3,37,29,9,22,6,18,0,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5405405405405406,0.5064935064935064,0.463768115942029,0.3181818181818182,0.5147058823529411,0.0,0.4936708860759494,0.5394736842105263,0.25,0.5441176470588235,0.4677419354838709,0.4090909090909091,0.4583333333333333,0.1818181818181818,0.4864864864864865,0.0
12,13,13,2022-11-13,34-067,CLE,,MIN,L (-5),1,29.133333333333333,3.0,11.0,.273,3.0,8.0,.375,5,5,1.000,2,3,5,4,0,0,1,3,14,10.4,+4,3.0,0.0,0.0,40,39,32,14,35,0,39,41,3,37,29,9,22,6,18,0,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5405405405405406,0.5064935064935064,0.463768115942029,0.3181818181818182,0.5147058823529411,0.0,0.4936708860759494,0.5394736842105263,0.25,0.5441176470588235,0.4677419354838709,0.4090909090909091,0.4583333333333333,0.1818181818181818,0.4864864864864865,0.0
13,14,14,2022-11-16,34-070,CLE,@,MIL,L (-15),0,19.716666666666665,1.0,3.0,.333,1.0,3.0,.333,2,2,1.000,0,7,7,3,0,0,1,2,5,5.7,-4,0.0,0.0,,40,39,32,14,35,0,39,41,3,37,29,9,22,6,18,0,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5405405405405406,0.5064935064935064,0.463768115942029,0.3181818181818182,0.5147058823529411,0.0,0.4936708860759494,0.5394736842105263,0.25,0.5441176470588235,0.4677419354838709,0.4090909090909091,0.4583333333333333,0.1818181818181818,0.4864864864864865,0.0
14,15,15,2022-11-18,34-072,CLE,,CHO,W (+10),0,24.05,2.0,4.0,.500,2.0,4.0,.500,0,0,,0,7,7,2,0,0,1,2,6,5.7,-1,0.0,0.0,,40,39,32,14,35,0,39,41,3,37,29,9,22,6,18,0,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5405405405405406,0.5064935064935064,0.463768115942029,0.3181818181818182,0.5147058823529411,0.0,0.4936708860759494,0.5394736842105263,0.25,0.5441176470588235,0.4677419354838709,0.4090909090909091,0.4583333333333333,0.1818181818181818,0.4864864864864865,0.0
15,16,,2022-11-20,34-074,CLE,,MIA,W (+26),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,40,39,32,14,35,0,39,41,3,37,29,9,22,6,18,0,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5405405405405406,0.5064935064935064,0.463768115942029,0.3181818181818182,0.5147058823529411,0.0,0.4936708860759494,0.5394736842105263,0.25,0.5441176470588235,0.4677419354838709,0.4090909090909091,0.4583333333333333,0.1818181818181818,0.4864864864864865,0.0
16,17,16,2022-11-21,34-075,CLE,,ATL,W (+12),0,11.716666666666667,0.0,2.0,.000,0.0,1.0,.000,0,0,,0,4,4,1,0,0,0,1,0,0.1,-1,1.0,0.0,0.0,40,39,32,14,35,0,39,41,3,37,29,9,22,6,18,0,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5405405405405406,0.5064935064935064,0.463768115942029,0.3181818181818182,0.5147058823529411,0.0,0.4936708860759494,0.5394736842105263,0.25,0.5441176470588235,0.4677419354838709,0.4090909090909091,0.4583333333333333,0.1818181818181818,0.4864864864864865,0.0
17,18,,2022-11-23,34-077,CLE,,POR,W (+18),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,40,39,32,14,35,0,39,41,3,37,29,9,22,6,18,0,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5405405405405406,0.5064935064935064,0.463768115942029,0.3181818181818182,0.5147058823529411,0.0,0.4936708860759494,0.5394736842105263,0.25,0.5441176470588235,0.4677419354838709,0.4090909090909091,0.4583333333333333,0.1818181818181818,0.4864864864864865,0.0
18,19,,2022-11-25,34-079,CLE,@,MIL,L (-15),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,40,39,32,14,35,0,39,41,3,37,29,9,22,6,18,0,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5405405405405406,0.5064935064935064,0.463768115942029,0.3181818181818182,0.5147058823529411,0.0,0.4936708860759494,0.5394736842105263,0.25,0.5441176470588235,0.4677419354838709,0.4090909090909091,0.4583333333333333,0.1818181818181818,0.4864864864864865,0.0
19,20,,2022-11-27,34-081,CLE,@,DET,W (+8),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,40,39,32,14,35,0,39,41,3,37,29,9,22,6,18,0,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5405405405405406,0.5064935064935064,0.463768115942029,0.3181818181818182,0.5147058823529411,0.0,0.4936708860759494,0.5394736842105263,0.25,0.5441176470588235,0.4677419354838709,0.4090909090909091,0.4583333333333333,0.1818181818181818,0.4864864864864865,0.0
20,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,40,39,32,14,35,0,39,41,3,37,29,9,22,6,18,0,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5405405405405406,0.5064935064935064,0.463768115942029,0.3181818181818182,0.5147058823529411,0.0,0.4936708860759494,0.5394736842105263,0.25,0.5441176470588235,0.4677419354838709,0.4090909090909091,0.4583333333333333,0.1818181818181818,0.4864864864864865,0.0
21,21,,2022-11-28,34-082,CLE,@,TOR,L (-12),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,40,39,32,14,35,0,39,41,3,37,29,9,22,6,18,0,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5405405405405406,0.5064935064935064,0.463768115942029,0.3181818181818182,0.5147058823529411,0.0,0.4936708860759494,0.5394736842105263,0.25,0.5441176470588235,0.4677419354838709,0.4090909090909091,0.4583333333333333,0.1818181818181818,0.4864864864864865,0.0
22,22,,2022-11-30,34-084,CLE,,PHI,W (+28),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,40,39,32,14,35,0,39,41,3,37,29,9,22,6,18,0,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5405405405405406,0.5064935064935064,0.463768115942029,0.3181818181818182,0.5147058823529411,0.0,0.4936708860759494,0.5394736842105263,0.25,0.5441176470588235,0.4677419354838709,0.4090909090909091,0.4583333333333333,0.1818181818181818,0.4864864864864865,0.0
23,23,17,2022-12-02,34-086,CLE,,ORL,W (+11),0,22.566666666666666,4.0,7.0,.571,1.0,3.0,.333,2,2,1.000,0,11,11,3,1,0,2,1,11,11.7,+16,4.0,3.0,0.75,40,39,32,14,35,0,39,41,3,37,29,9,22,6,18,0,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5405405405405406,0.5064935064935064,0.463768115942029,0.3181818181818182,0.5147058823529411,0.0,0.4936708860759494,0.5394736842105263,0.25,0.5441176470588235,0.4677419354838709,0.4090909090909091,0.4583333333333333,0.1818181818181818,0.4864864864864865,0.0
24,24,18,2022-12-04,34-088,CLE,@,NYK,L (-11),0,22.416666666666668,3.0,9.0,.333,2.0,7.0,.286,0,0,,0,7,7,0,0,0,4,2,8,0.2,-6,2.0,1.0,0.5,40,39,32,14,35,0,39,41,3,37,29,9,22,6,18,0,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5405405405405406,0.5064935064935064,0.463768115942029,0.3181818181818182,0.5147058823529411,0.0,0.4936708860759494,0.5394736842105263,0.25,0.5441176470588235,0.4677419354838709,0.4090909090909091,0.4583333333333333,0.1818181818181818,0.4864864864864865,0.0
25,25,19,2022-12-06,34-090,CLE,,LAL,W (+14),0,8.783333333333333,1.0,3.0,.333,0.0,2.0,.000,0,0,,0,2,2,0,0,0,0,4,2,-0.7,-14,1.0,1.0,1.0,40,39,32,14,35,0,39,41,3,37,29,9,22,6,18,0,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5405405405405406,0.5064935064935064,0.463768115942029,0.3181818181818182,0.5147058823529411,0.0,0.4936708860759494,0.5394736842105263,0.25,0.5441176470588235,0.4677419354838709,0.4090909090909091,0.4583333333333333,0.1818181818181818,0.4864864864864865,0.0
26,26,,2022-12-09,34-093,CLE,,SAC,L (-11),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,40,39,32,14,35,0,39,41,3,37,29,9,22,6,18,0,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5405405405405406,0.5064935064935064,0.463768115942029,0.3181818181818182,0.5147058823529411,0.0,0.4936708860759494,0.5394736842105263,0.25,0.5441176470588235,0.4677419354838709,0.4090909090909091,0.4583333333333333,0.1818181818181818,0.4864864864864865,0.0
27,27,,2022-12-10,34-094,CLE,,OKC,W (+8),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,40,39,32,14,35,0,39,41,3,37,29,9,22,6,18,0,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5405405405405406,0.5064935064935064,0.463768115942029,0.3181818181818182,0.5147058823529411,0.0,0.4936708860759494,0.5394736842105263,0.25,0.5441176470588235,0.4677419354838709,0.4090909090909091,0.4583333333333333,0.1818181818181818,0.4864864864864865,0.0
28,28,20,2022-12-12,34-096,CLE,@,SAS,L (-1),0,13.683333333333334,2.0,6.0,.333,1.0,3.0,.333,2,2,1.000,1,2,3,0,1,0,1,2,7,4.1,-8,3.0,1.0,0.3333333333333333,40,39,32,14,35,0,39,41,3,37,29,9,22,6,18,0,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5405405405405406,0.5064935064935064,0.463768115942029,0.3181818181818182,0.5147058823529411,0.0,0.4936708860759494,0.5394736842105263,0.25,0.5441176470588235,0.4677419354838709,0.4090909090909091,0.4583333333333333,0.1818181818181818,0.4864864864864865,0.0
29,29,21,2022-12-14,34-098,CLE,@,DAL,W (+15),0,16.033333333333335,0.0,4.0,.000,0.0,2.0,.000,0,0,,1,8,9,2,0,0,0,2,0,0.9,-2,2.0,0.0,0.0,40,39,32,14,35,0,39,41,3,37,29,9,22,6,18,0,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5405405405405406,0.5064935064935064,0.463768115942029,0.3181818181818182,0.5147058823529411,0.0,0.4936708860759494,0.5394736842105263,0.25,0.5441176470588235,0.4677419354838709,0.4090909090909091,0.4583333333333333,0.1818181818181818,0.4864864864864865,0.0
30,30,22,2022-12-16,34-100,CLE,,IND,W (+6),0,19.2,2.0,4.0,.500,0.0,1.0,.000,2,2,1.000,1,2,3,1,0,0,1,0,6,5.0,-5,3.0,2.0,0.6666666666666666,40,39,32,14,35,0,39,41,3,37,29,9,22,6,18,0,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5405405405405406,0.5064935064935064,0.463768115942029,0.3181818181818182,0.5147058823529411,0.0,0.4936708860759494,0.5394736842105263,0.25,0.5441176470588235,0.4677419354838709,0.4090909090909091,0.4583333333333333,0.1818181818181818,0.4864864864864865,0.0
31,31,23,2022-12-17,34-101,CLE,,DAL,W (+1),0,15.233333333333333,3.0,10.0,.300,3.0,9.0,.333,0,0,,1,4,5,2,0,0,2,3,9,3.3,+3,1.0,0.0,0.0,40,39,32,14,35,0,39,41,3,37,29,9,22,6,18,0,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5405405405405406,0.5064935064935064,0.463768115942029,0.3181818181818182,0.5147058823529411,0.0,0.4936708860759494,0.5394736842105263,0.25,0.5441176470588235,0.4677419354838709,0.4090909090909091,0.4583333333333333,0.1818181818181818,0.4864864864864865,0.0
32,32,24,2022-12-19,34-103,CLE,,UTA,W (+23),0,24.083333333333332,1.0,3.0,.333,1.0,3.0,.333,0,0,,0,10,10,3,0,1,2,2,3,4.3,+9,0.0,0.0,,40,39,32,14,35,0,39,41,3,37,29,9,22,6,18,0,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5405405405405406,0.5064935064935064,0.463768115942029,0.3181818181818182,0.5147058823529411,0.0,0.4936708860759494,0.5394736842105263,0.25,0.5441176470588235,0.4677419354838709,0.4090909090909091,0.4583333333333333,0.1818181818181818,0.4864864864864865,0.0
33,33,25,2022-12-21,34-105,CLE,,MIL,W (+8),0,29.15,3.0,7.0,.429,3.0,6.0,.500,0,0,,2,7,9,5,0,0,1,2,9,10.5,+17,1.0,0.0,0.0,40,39,32,14,35,0,39,41,3,37,29,9,22,6,18,0,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5405405405405406,0.5064935064935064,0.463768115942029,0.3181818181818182,0.5147058823529411,0.0,0.4936708860759494,0.5394736842105263,0.25,0.5441176470588235,0.4677419354838709,0.4090909090909091,0.4583333333333333,0.1818181818181818,0.4864864864864865,0.0
34,34,26,2022-12-23,34-107,CLE,,TOR,L (-11),0,19.4,3.0,5.0,.600,3.0,4.0,.750,4,5,.800,0,5,5,1,0,1,2,1,13,10.8,+2,1.0,0.0,0.0,40,39,32,14,35,0,39,41,3,37,29,9,22,6,18,0,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5405405405405406,0.5064935064935064,0.463768115942029,0.3181818181818182,0.5147058823529411,0.0,0.4936708860759494,0.5394736842105263,0.25,0.5441176470588235,0.4677419354838709,0.4090909090909091,0.4583333333333333,0.1818181818181818,0.4864864864864865,0.0
35,35,27,2022-12-26,34-110,CLE,,BRK,L (-8),0,13.316666666666666,3.0,4.0,.750,1.0,2.0,.500,0,0,,3,5,8,1,0,0,1,0,7,8.7,+2,2.0,2.0,1.0,40,39,32,14,35,0,39,41,3,37,29,9,22,6,18,0,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5405405405405406,0.5064935064935064,0.463768115942029,0.3181818181818182,0.5147058823529411,0.0,0.4936708860759494,0.5394736842105263,0.25,0.5441176470588235,0.4677419354838709,0.4090909090909091,0.4583333333333333,0.1818181818181818,0.4864864864864865,0.0
36,36,28,2022-12-29,34-113,CLE,@,IND,L (-9),0,21.083333333333332,5.0,10.0,.500,2.0,5.0,.400,0,0,,2,4,6,1,1,0,1,4,12,8.7,0,5.0,3.0,0.6,40,39,32,14,35,0,39,41,3,37,29,9,22,6,18,0,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5405405405405406,0.5064935064935064,0.463768115942029,0.3181818181818182,0.5147058823529411,0.0,0.4936708860759494,0.5394736842105263,0.25,0.5441176470588235,0.4677419354838709,0.4090909090909091,0.4583333333333333,0.1818181818181818,0.4864864864864865,0.0
