Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Gordon,Shared Games with Bones Hyland,Shared Games with Bruce Brown,Shared Games with Christian Braun,Shared Games with Davon Reed,Shared Games with DeAndre Jordan,Shared Games with Ish Smith,Shared Games with Jack White,Shared Games with Jamal Murray,Shared Games with Jeff Green,Shared Games with Kentavious Caldwell-Pope,Shared Games with Michael Porter Jr.,Shared Games with Nikola Jokić,Shared Games with Vlatko Čančar,Shared Games with Zeke Nnaji,Aaron Gordon,Bones Hyland,Bruce Brown,Christian Braun,Collin Gillespie,Davon Reed,DeAndre Jordan,Ish Smith,Jack White,Jamal Murray,Jeff Green,Kentavious Caldwell-Pope,Michael Porter Jr.,Nikola Jokić,Vlatko Čančar,Zeke Nnaji,co_inf with Aaron Gordon,co_inf with Bones Hyland,co_inf with Bruce Brown,co_inf with Christian Braun,co_inf with Collin Gillespie,co_inf with Davon Reed,co_inf with DeAndre Jordan,co_inf with Ish Smith,co_inf with Jack White,co_inf with Jamal Murray,co_inf with Jeff Green,co_inf with Kentavious Caldwell-Pope,co_inf with Michael Porter Jr.,co_inf with Nikola Jokić,co_inf with Vlatko Čančar,co_inf with Zeke Nnaji,Shared Games with Reggie Jackson,Shared Games with Thomas Bryant,Donovan Williams,Reggie Jackson,Thomas Bryant,co_inf with Reggie Jackson,co_inf with Donovan Williams,co_inf with Thomas Bryant,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,,2022-11-09,20-059,DEN,@,IND,W (+3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,15,5,22,23,9,11,19,9,15,18,18,18,16,22,16,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,60.0,53.0,0.2205882352941176,0.0892857142857142,0.275,0.3026315789473684,,0.2093023255813953,0.282051282051282,0.4418604651162791,0.5294117647058824,0.2307692307692307,0.3214285714285714,0.2368421052631578,0.2903225806451613,0.2318840579710145,0.3666666666666666,0.3018867924528302,6,6,2.0,68.0,59.0,0.088235294117647,0.0,0.1016949152542373,17,,84.0,4.941176470588236,0.0,96.4,5.670588235294118
11,12,,2022-11-11,20-061,DEN,@,BOS,L (-19),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,15,5,22,23,9,11,19,9,15,18,18,18,16,22,16,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,60.0,53.0,0.2205882352941176,0.0892857142857142,0.275,0.3026315789473684,,0.2093023255813953,0.282051282051282,0.4418604651162791,0.5294117647058824,0.2307692307692307,0.3214285714285714,0.2368421052631578,0.2903225806451613,0.2318840579710145,0.3666666666666666,0.3018867924528302,6,6,2.0,68.0,59.0,0.088235294117647,0.0,0.1016949152542373,17,,62.0,3.647058823529412,0.0,85.1,5.0058823529411764
12,13,,2022-11-13,20-063,DEN,@,CHI,W (+23),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,15,5,22,23,9,11,19,9,15,18,18,18,16,22,16,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,60.0,53.0,0.2205882352941176,0.0892857142857142,0.275,0.3026315789473684,,0.2093023255813953,0.282051282051282,0.4418604651162791,0.5294117647058824,0.2307692307692307,0.3214285714285714,0.2368421052631578,0.2903225806451613,0.2318840579710145,0.3666666666666666,0.3018867924528302,6,6,2.0,68.0,59.0,0.088235294117647,0.0,0.1016949152542373,17,,103.0,6.0588235294117645,0.0,112.59999999999997,6.623529411764704
13,14,,2022-11-16,20-066,DEN,,NYK,L (-3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,15,5,22,23,9,11,19,9,15,18,18,18,16,22,16,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,60.0,53.0,0.2205882352941176,0.0892857142857142,0.275,0.3026315789473684,,0.2093023255813953,0.282051282051282,0.4418604651162791,0.5294117647058824,0.2307692307692307,0.3214285714285714,0.2368421052631578,0.2903225806451613,0.2318840579710145,0.3666666666666666,0.3018867924528302,6,6,2.0,68.0,59.0,0.088235294117647,0.0,0.1016949152542373,17,,61.0,3.588235294117647,0.0,67.2,3.9529411764705884
14,15,5,2022-11-18,20-068,DEN,@,DAL,L (-28),0,4:22,0.0,2.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,+1,1.0,0.0,0.0,15,5,22,23,9,11,19,9,15,18,18,18,16,22,16,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,60.0,53.0,0.2205882352941176,0.0892857142857142,0.275,0.3026315789473684,,0.2093023255813953,0.282051282051282,0.4418604651162791,0.5294117647058824,0.2307692307692307,0.3214285714285714,0.2368421052631578,0.2903225806451613,0.2318840579710145,0.3666666666666666,0.3018867924528302,6,6,2.0,68.0,59.0,0.088235294117647,0.0,0.1016949152542373,17,-2.0,58.0,3.411764705882353,-1.4,71.8,4.223529411764706
15,16,,2022-11-20,20-070,DEN,@,DAL,W (+1),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,15,5,22,23,9,11,19,9,15,18,18,18,16,22,16,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,60.0,53.0,0.2205882352941176,0.0892857142857142,0.275,0.3026315789473684,,0.2093023255813953,0.282051282051282,0.4418604651162791,0.5294117647058824,0.2307692307692307,0.3214285714285714,0.2368421052631578,0.2903225806451613,0.2318840579710145,0.3666666666666666,0.3018867924528302,6,6,2.0,68.0,59.0,0.088235294117647,0.0,0.1016949152542373,17,,63.0,3.7058823529411766,0.0,64.4,3.7882352941176474
16,17,,2022-11-22,20-072,DEN,,DET,L (-2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,15,5,22,23,9,11,19,9,15,18,18,18,16,22,16,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,60.0,53.0,0.2205882352941176,0.0892857142857142,0.275,0.3026315789473684,,0.2093023255813953,0.282051282051282,0.4418604651162791,0.5294117647058824,0.2307692307692307,0.3214285714285714,0.2368421052631578,0.2903225806451613,0.2318840579710145,0.3666666666666666,0.3018867924528302,6,6,2.0,68.0,59.0,0.088235294117647,0.0,0.1016949152542373,17,,82.0,4.823529411764706,0.0,101.4,5.964705882352941
17,18,,2022-11-23,20-073,DEN,@,OKC,W (+5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,15,5,22,23,9,11,19,9,15,18,18,18,16,22,16,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,60.0,53.0,0.2205882352941176,0.0892857142857142,0.275,0.3026315789473684,,0.2093023255813953,0.282051282051282,0.4418604651162791,0.5294117647058824,0.2307692307692307,0.3214285714285714,0.2368421052631578,0.2903225806451613,0.2318840579710145,0.3666666666666666,0.3018867924528302,6,6,2.0,68.0,59.0,0.088235294117647,0.0,0.1016949152542373,17,,104.0,6.117647058823529,0.0,129.79999999999998,7.6352941176470575
18,19,6,2022-11-25,20-075,DEN,@,LAC,W (+10),0,2:01,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9,0.0,0.0,,15,5,22,23,9,11,19,9,15,18,18,18,16,22,16,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,60.0,53.0,0.2205882352941176,0.0892857142857142,0.275,0.3026315789473684,,0.2093023255813953,0.282051282051282,0.4418604651162791,0.5294117647058824,0.2307692307692307,0.3214285714285714,0.2368421052631578,0.2903225806451613,0.2318840579710145,0.3666666666666666,0.3018867924528302,6,6,2.0,68.0,59.0,0.088235294117647,0.0,0.1016949152542373,17,0.0,78.0,4.588235294117647,0.0,96.0,5.647058823529412
19,20,,2022-11-28,20-078,DEN,,HOU,W (+16),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,15,5,22,23,9,11,19,9,15,18,18,18,16,22,16,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,60.0,53.0,0.2205882352941176,0.0892857142857142,0.275,0.3026315789473684,,0.2093023255813953,0.282051282051282,0.4418604651162791,0.5294117647058824,0.2307692307692307,0.3214285714285714,0.2368421052631578,0.2903225806451613,0.2318840579710145,0.3666666666666666,0.3018867924528302,6,6,2.0,68.0,59.0,0.088235294117647,0.0,0.1016949152542373,17,,109.0,6.411764705882353,0.0,120.5,7.088235294117647
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,15,5,22,23,9,11,19,9,15,18,18,18,16,22,16,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,60.0,53.0,0.2205882352941176,0.0892857142857142,0.275,0.3026315789473684,,0.2093023255813953,0.282051282051282,0.4418604651162791,0.5294117647058824,0.2307692307692307,0.3214285714285714,0.2368421052631578,0.2903225806451613,0.2318840579710145,0.3666666666666666,0.3018867924528302,6,6,2.0,68.0,59.0,0.088235294117647,0.0,0.1016949152542373,17,,0.0,0.0,0.0,0.0,0.0
21,21,,2022-11-30,20-080,DEN,,HOU,W (+20),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,15,5,22,23,9,11,19,9,15,18,18,18,16,22,16,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,60.0,53.0,0.2205882352941176,0.0892857142857142,0.275,0.3026315789473684,,0.2093023255813953,0.282051282051282,0.4418604651162791,0.5294117647058824,0.2307692307692307,0.3214285714285714,0.2368421052631578,0.2903225806451613,0.2318840579710145,0.3666666666666666,0.3018867924528302,6,6,2.0,68.0,59.0,0.088235294117647,0.0,0.1016949152542373,17,,93.0,5.470588235294118,0.0,101.9,5.9941176470588236
22,22,,2022-12-02,20-082,DEN,@,ATL,L (-8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,15,5,22,23,9,11,19,9,15,18,18,18,16,22,16,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,60.0,53.0,0.2205882352941176,0.0892857142857142,0.275,0.3026315789473684,,0.2093023255813953,0.282051282051282,0.4418604651162791,0.5294117647058824,0.2307692307692307,0.3214285714285714,0.2368421052631578,0.2903225806451613,0.2318840579710145,0.3666666666666666,0.3018867924528302,6,6,2.0,68.0,59.0,0.088235294117647,0.0,0.1016949152542373,17,,77.0,4.529411764705882,0.0,95.20000000000002,5.600000000000001
23,23,,2022-12-04,20-084,DEN,@,NOP,L (-15),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,15,5,22,23,9,11,19,9,15,18,18,18,16,22,16,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,60.0,53.0,0.2205882352941176,0.0892857142857142,0.275,0.3026315789473684,,0.2093023255813953,0.282051282051282,0.4418604651162791,0.5294117647058824,0.2307692307692307,0.3214285714285714,0.2368421052631578,0.2903225806451613,0.2318840579710145,0.3666666666666666,0.3018867924528302,6,6,2.0,68.0,59.0,0.088235294117647,0.0,0.1016949152542373,17,,77.0,4.529411764705882,0.0,93.3,5.488235294117647
24,24,,2022-12-06,20-086,DEN,,DAL,L (-1),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,15,5,22,23,9,11,19,9,15,18,18,18,16,22,16,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,60.0,53.0,0.2205882352941176,0.0892857142857142,0.275,0.3026315789473684,,0.2093023255813953,0.282051282051282,0.4418604651162791,0.5294117647058824,0.2307692307692307,0.3214285714285714,0.2368421052631578,0.2903225806451613,0.2318840579710145,0.3666666666666666,0.3018867924528302,6,6,2.0,68.0,59.0,0.088235294117647,0.0,0.1016949152542373,17,,53.0,3.117647058823529,0.0,73.20000000000002,4.305882352941177
25,25,,2022-12-08,20-088,DEN,@,POR,W (+1),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,15,5,22,23,9,11,19,9,15,18,18,18,16,22,16,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,60.0,53.0,0.2205882352941176,0.0892857142857142,0.275,0.3026315789473684,,0.2093023255813953,0.282051282051282,0.4418604651162791,0.5294117647058824,0.2307692307692307,0.3214285714285714,0.2368421052631578,0.2903225806451613,0.2318840579710145,0.3666666666666666,0.3018867924528302,6,6,2.0,68.0,59.0,0.088235294117647,0.0,0.1016949152542373,17,,73.0,4.294117647058823,0.0,91.9,5.405882352941177
26,26,,2022-12-10,20-090,DEN,,UTA,W (+5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,15,5,22,23,9,11,19,9,15,18,18,18,16,22,16,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,60.0,53.0,0.2205882352941176,0.0892857142857142,0.275,0.3026315789473684,,0.2093023255813953,0.282051282051282,0.4418604651162791,0.5294117647058824,0.2307692307692307,0.3214285714285714,0.2368421052631578,0.2903225806451613,0.2318840579710145,0.3666666666666666,0.3018867924528302,6,6,2.0,68.0,59.0,0.088235294117647,0.0,0.1016949152542373,17,,80.0,4.705882352941177,0.0,97.6,5.741176470588235
27,27,,2022-12-14,20-094,DEN,,WAS,W (+13),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,15,5,22,23,9,11,19,9,15,18,18,18,16,22,16,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,60.0,53.0,0.2205882352941176,0.0892857142857142,0.275,0.3026315789473684,,0.2093023255813953,0.282051282051282,0.4418604651162791,0.5294117647058824,0.2307692307692307,0.3214285714285714,0.2368421052631578,0.2903225806451613,0.2318840579710145,0.3666666666666666,0.3018867924528302,6,6,2.0,68.0,59.0,0.088235294117647,0.0,0.1016949152542373,17,,91.0,5.352941176470588,0.0,111.89999999999998,6.582352941176469
28,28,,2022-12-16,20-096,DEN,@,LAL,L (-18),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,15,5,22,23,9,11,19,9,15,18,18,18,16,22,16,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,60.0,53.0,0.2205882352941176,0.0892857142857142,0.275,0.3026315789473684,,0.2093023255813953,0.282051282051282,0.4418604651162791,0.5294117647058824,0.2307692307692307,0.3214285714285714,0.2368421052631578,0.2903225806451613,0.2318840579710145,0.3666666666666666,0.3018867924528302,6,6,2.0,68.0,59.0,0.088235294117647,0.0,0.1016949152542373,17,,69.0,4.0588235294117645,0.0,90.5,5.323529411764706
