Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Gordon,Shared Games with Bones Hyland,Shared Games with Bruce Brown,Shared Games with Christian Braun,Shared Games with Davon Reed,Shared Games with DeAndre Jordan,Shared Games with Ish Smith,Shared Games with Jack White,Shared Games with Jamal Murray,Shared Games with Jeff Green,Shared Games with Kentavious Caldwell-Pope,Shared Games with Michael Porter Jr.,Shared Games with Nikola Jokić,Shared Games with Peyton Watson,Shared Games with Vlatko Čančar,Aaron Gordon,Bones Hyland,Bruce Brown,Christian Braun,Collin Gillespie,Davon Reed,DeAndre Jordan,Ish Smith,Jack White,Jamal Murray,Jeff Green,Kentavious Caldwell-Pope,Michael Porter Jr.,Nikola Jokić,Peyton Watson,Vlatko Čančar,co_inf with Aaron Gordon,co_inf with Bones Hyland,co_inf with Bruce Brown,co_inf with Christian Braun,co_inf with Collin Gillespie,co_inf with Davon Reed,co_inf with DeAndre Jordan,co_inf with Ish Smith,co_inf with Jack White,co_inf with Jamal Murray,co_inf with Jeff Green,co_inf with Kentavious Caldwell-Pope,co_inf with Michael Porter Jr.,co_inf with Nikola Jokić,co_inf with Peyton Watson,co_inf with Vlatko Čančar,Shared Games with Reggie Jackson,Shared Games with Thomas Bryant,Donovan Williams,Reggie Jackson,Thomas Bryant,co_inf with Reggie Jackson,co_inf with Donovan Williams,co_inf with Thomas Bryant,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,,2022-11-09,21-304,DEN,@,IND,W (+3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,44,33,51,50,30,26,30,12,42,31,47,37,41,16,41,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,0.6470588235294118,0.5892857142857143,0.6375,0.6578947368421053,,0.6976744186046512,0.6666666666666666,0.6976744186046512,0.7058823529411765,0.6461538461538462,0.5535714285714286,0.618421052631579,0.5967741935483871,0.5942028985507246,0.6956521739130435,0.6833333333333333,4,4,2.0,68.0,59.0,0.0588235294117647,0.0,0.0677966101694915,17,,84.0,4.941176470588236,0.0,96.4,5.670588235294118
11,12,7,2022-11-11,21-306,DEN,@,BOS,L (-19),0,2:02,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.4,-1,0.0,0.0,,44,33,51,50,30,26,30,12,42,31,47,37,41,16,41,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,0.6470588235294118,0.5892857142857143,0.6375,0.6578947368421053,,0.6976744186046512,0.6666666666666666,0.6976744186046512,0.7058823529411765,0.6461538461538462,0.5535714285714286,0.618421052631579,0.5967741935483871,0.5942028985507246,0.6956521739130435,0.6833333333333333,4,4,2.0,68.0,59.0,0.0588235294117647,0.0,0.0677966101694915,17,0.0,62.0,3.647058823529412,-0.3999999999999999,85.5,5.029411764705882
12,13,8,2022-11-13,21-308,DEN,@,CHI,W (+23),0,3:25,2.0,2.0,1.000,0.0,0.0,,0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,3.7,-1,2.0,2.0,1.0,44,33,51,50,30,26,30,12,42,31,47,37,41,16,41,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,0.6470588235294118,0.5892857142857143,0.6375,0.6578947368421053,,0.6976744186046512,0.6666666666666666,0.6976744186046512,0.7058823529411765,0.6461538461538462,0.5535714285714286,0.618421052631579,0.5967741935483871,0.5942028985507246,0.6956521739130435,0.6833333333333333,4,4,2.0,68.0,59.0,0.0588235294117647,0.0,0.0677966101694915,17,3.0,100.0,5.882352941176471,3.7,108.89999999999998,6.405882352941175
13,14,9,2022-11-16,21-311,DEN,,NYK,L (-3),0,26:17,5.0,7.0,.714,1.0,3.0,.333,2,3.0,.667,2.0,1.0,3.0,0.0,1.0,0.0,2.0,5.0,13.0,8.4,+2,4.0,4.0,1.0,44,33,51,50,30,26,30,12,42,31,47,37,41,16,41,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,0.6470588235294118,0.5892857142857143,0.6375,0.6578947368421053,,0.6976744186046512,0.6666666666666666,0.6976744186046512,0.7058823529411765,0.6461538461538462,0.5535714285714286,0.618421052631579,0.5967741935483871,0.5942028985507246,0.6956521739130435,0.6833333333333333,4,4,2.0,68.0,59.0,0.0588235294117647,0.0,0.0677966101694915,17,5.0,56.0,3.294117647058824,7.600000000000001,59.6,3.5058823529411764
14,15,10,2022-11-18,21-313,DEN,@,DAL,L (-28),0,21:17,2.0,2.0,1.000,0.0,0.0,,0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,4.4,-18,2.0,2.0,1.0,44,33,51,50,30,26,30,12,42,31,47,37,41,16,41,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,0.6470588235294118,0.5892857142857143,0.6375,0.6578947368421053,,0.6976744186046512,0.6666666666666666,0.6976744186046512,0.7058823529411765,0.6461538461538462,0.5535714285714286,0.618421052631579,0.5967741935483871,0.5942028985507246,0.6956521739130435,0.6833333333333333,4,4,2.0,68.0,59.0,0.0588235294117647,0.0,0.0677966101694915,17,4.0,52.0,3.0588235294117645,4.4,66.0,3.8823529411764706
15,16,11,2022-11-20,21-315,DEN,@,DAL,W (+1),0,15:45,2.0,4.0,.500,1.0,1.0,1.000,0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,5.0,2.2,+6,3.0,1.0,0.3333333333333333,44,33,51,50,30,26,30,12,42,31,47,37,41,16,41,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,0.6470588235294118,0.5892857142857143,0.6375,0.6578947368421053,,0.6976744186046512,0.6666666666666666,0.6976744186046512,0.7058823529411765,0.6461538461538462,0.5535714285714286,0.618421052631579,0.5967741935483871,0.5942028985507246,0.6956521739130435,0.6833333333333333,4,4,2.0,68.0,59.0,0.0588235294117647,0.0,0.0677966101694915,17,2.0,61.0,3.588235294117647,2.2,62.2,3.658823529411765
16,17,12,2022-11-22,21-317,DEN,,DET,L (-2),0,19:27,4.0,6.0,.667,0.0,0.0,,0,0.0,,3.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,8.0,6.4,-23,6.0,4.0,0.6666666666666666,44,33,51,50,30,26,30,12,42,31,47,37,41,16,41,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,0.6470588235294118,0.5892857142857143,0.6375,0.6578947368421053,,0.6976744186046512,0.6666666666666666,0.6976744186046512,0.7058823529411765,0.6461538461538462,0.5535714285714286,0.618421052631579,0.5967741935483871,0.5942028985507246,0.6956521739130435,0.6833333333333333,4,4,2.0,68.0,59.0,0.0588235294117647,0.0,0.0677966101694915,17,5.0,77.0,4.529411764705882,6.4,95.0,5.588235294117647
17,18,13,2022-11-23,21-318,DEN,@,OKC,W (+5),0,15:21,3.0,5.0,.600,0.0,0.0,,2,2.0,1.000,2.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,8.0,5.9,-1,5.0,3.0,0.6,44,33,51,50,30,26,30,12,42,31,47,37,41,16,41,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,0.6470588235294118,0.5892857142857143,0.6375,0.6578947368421053,,0.6976744186046512,0.6666666666666666,0.6976744186046512,0.7058823529411765,0.6461538461538462,0.5535714285714286,0.618421052631579,0.5967741935483871,0.5942028985507246,0.6956521739130435,0.6833333333333333,4,4,2.0,68.0,59.0,0.0588235294117647,0.0,0.0677966101694915,17,3.0,101.0,5.941176470588236,5.1,124.7,7.335294117647059
18,19,14,2022-11-25,21-320,DEN,@,LAC,W (+10),0,15:36,2.0,5.0,.400,0.0,2.0,.000,2,2.0,1.000,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,3.9,-9,3.0,2.0,0.6666666666666666,44,33,51,50,30,26,30,12,42,31,47,37,41,16,41,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,0.6470588235294118,0.5892857142857143,0.6375,0.6578947368421053,,0.6976744186046512,0.6666666666666666,0.6976744186046512,0.7058823529411765,0.6461538461538462,0.5535714285714286,0.618421052631579,0.5967741935483871,0.5942028985507246,0.6956521739130435,0.6833333333333333,4,4,2.0,68.0,59.0,0.0588235294117647,0.0,0.0677966101694915,17,1.0,77.0,4.529411764705882,3.1,92.9,5.464705882352941
19,20,15,2022-11-28,21-323,DEN,,HOU,W (+16),0,17:44,7.0,12.0,.583,1.0,4.0,.250,0,1.0,.000,2.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,15.0,8.9,+9,8.0,6.0,0.75,44,33,51,50,30,26,30,12,42,31,47,37,41,16,41,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,0.6470588235294118,0.5892857142857143,0.6375,0.6578947368421053,,0.6976744186046512,0.6666666666666666,0.6976744186046512,0.7058823529411765,0.6461538461538462,0.5535714285714286,0.618421052631579,0.5967741935483871,0.5942028985507246,0.6956521739130435,0.6833333333333333,4,4,2.0,68.0,59.0,0.0588235294117647,0.0,0.0677966101694915,17,4.0,105.0,6.176470588235294,8.9,111.6,6.564705882352941
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,44,33,51,50,30,26,30,12,42,31,47,37,41,16,41,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,0.6470588235294118,0.5892857142857143,0.6375,0.6578947368421053,,0.6976744186046512,0.6666666666666666,0.6976744186046512,0.7058823529411765,0.6461538461538462,0.5535714285714286,0.618421052631579,0.5967741935483871,0.5942028985507246,0.6956521739130435,0.6833333333333333,4,4,2.0,68.0,59.0,0.0588235294117647,0.0,0.0677966101694915,17,,0.0,0.0,0.0,0.0,0.0
21,21,16,2022-11-30,21-325,DEN,,HOU,W (+20),0,3:06,0.0,0.0,,0.0,0.0,,0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.3,-3,0.0,0.0,,44,33,51,50,30,26,30,12,42,31,47,37,41,16,41,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,0.6470588235294118,0.5892857142857143,0.6375,0.6578947368421053,,0.6976744186046512,0.6666666666666666,0.6976744186046512,0.7058823529411765,0.6461538461538462,0.5535714285714286,0.618421052631579,0.5967741935483871,0.5942028985507246,0.6956521739130435,0.6833333333333333,4,4,2.0,68.0,59.0,0.0588235294117647,0.0,0.0677966101694915,17,0.0,93.0,5.470588235294118,-0.3,102.2,6.011764705882353
22,22,,2022-12-02,21-327,DEN,@,ATL,L (-8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,44,33,51,50,30,26,30,12,42,31,47,37,41,16,41,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,0.6470588235294118,0.5892857142857143,0.6375,0.6578947368421053,,0.6976744186046512,0.6666666666666666,0.6976744186046512,0.7058823529411765,0.6461538461538462,0.5535714285714286,0.618421052631579,0.5967741935483871,0.5942028985507246,0.6956521739130435,0.6833333333333333,4,4,2.0,68.0,59.0,0.0588235294117647,0.0,0.0677966101694915,17,,77.0,4.529411764705882,0.0,95.20000000000002,5.600000000000001
23,23,17,2022-12-04,21-329,DEN,@,NOP,L (-15),0,2:03,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,+2,0.0,0.0,,44,33,51,50,30,26,30,12,42,31,47,37,41,16,41,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,0.6470588235294118,0.5892857142857143,0.6375,0.6578947368421053,,0.6976744186046512,0.6666666666666666,0.6976744186046512,0.7058823529411765,0.6461538461538462,0.5535714285714286,0.618421052631579,0.5967741935483871,0.5942028985507246,0.6956521739130435,0.6833333333333333,4,4,2.0,68.0,59.0,0.0588235294117647,0.0,0.0677966101694915,17,2.0,75.0,4.411764705882353,1.0,92.3,5.429411764705883
24,24,18,2022-12-06,21-331,DEN,,DAL,L (-1),0,13:55,1.0,1.0,1.000,0.0,0.0,,0,0.0,,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.4,-3,1.0,1.0,1.0,44,33,51,50,30,26,30,12,42,31,47,37,41,16,41,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,0.6470588235294118,0.5892857142857143,0.6375,0.6578947368421053,,0.6976744186046512,0.6666666666666666,0.6976744186046512,0.7058823529411765,0.6461538461538462,0.5535714285714286,0.618421052631579,0.5967741935483871,0.5942028985507246,0.6956521739130435,0.6833333333333333,4,4,2.0,68.0,59.0,0.0588235294117647,0.0,0.0677966101694915,17,3.0,50.0,2.9411764705882355,2.4,70.80000000000001,4.1647058823529415
25,25,,2022-12-08,21-333,DEN,@,POR,W (+1),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,44,33,51,50,30,26,30,12,42,31,47,37,41,16,41,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,0.6470588235294118,0.5892857142857143,0.6375,0.6578947368421053,,0.6976744186046512,0.6666666666666666,0.6976744186046512,0.7058823529411765,0.6461538461538462,0.5535714285714286,0.618421052631579,0.5967741935483871,0.5942028985507246,0.6956521739130435,0.6833333333333333,4,4,2.0,68.0,59.0,0.0588235294117647,0.0,0.0677966101694915,17,,73.0,4.294117647058823,0.0,91.9,5.405882352941177
26,26,,2022-12-10,21-335,DEN,,UTA,W (+5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,44,33,51,50,30,26,30,12,42,31,47,37,41,16,41,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,0.6470588235294118,0.5892857142857143,0.6375,0.6578947368421053,,0.6976744186046512,0.6666666666666666,0.6976744186046512,0.7058823529411765,0.6461538461538462,0.5535714285714286,0.618421052631579,0.5967741935483871,0.5942028985507246,0.6956521739130435,0.6833333333333333,4,4,2.0,68.0,59.0,0.0588235294117647,0.0,0.0677966101694915,17,,80.0,4.705882352941177,0.0,97.6,5.741176470588235
27,27,19,2022-12-14,21-339,DEN,,WAS,W (+13),0,1:44,0.0,0.0,,0.0,0.0,,2,2.0,1.000,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,-3,0.0,0.0,,44,33,51,50,30,26,30,12,42,31,47,37,41,16,41,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,0.6470588235294118,0.5892857142857143,0.6375,0.6578947368421053,,0.6976744186046512,0.6666666666666666,0.6976744186046512,0.7058823529411765,0.6461538461538462,0.5535714285714286,0.618421052631579,0.5967741935483871,0.5942028985507246,0.6956521739130435,0.6833333333333333,4,4,2.0,68.0,59.0,0.0588235294117647,0.0,0.0677966101694915,17,2.0,89.0,5.235294117647059,2.2,109.69999999999996,6.452941176470586
28,28,20,2022-12-16,21-341,DEN,@,LAL,L (-18),0,2:26,0.0,1.0,.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.1,+2,1.0,0.0,0.0,44,33,51,50,30,26,30,12,42,31,47,37,41,16,41,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,0.6470588235294118,0.5892857142857143,0.6375,0.6578947368421053,,0.6976744186046512,0.6666666666666666,0.6976744186046512,0.7058823529411765,0.6461538461538462,0.5535714285714286,0.618421052631579,0.5967741935483871,0.5942028985507246,0.6956521739130435,0.6833333333333333,4,4,2.0,68.0,59.0,0.0588235294117647,0.0,0.0677966101694915,17,-1.0,70.0,4.117647058823529,-1.1,91.6,5.388235294117647
