Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Gordon,Shared Games with Bones Hyland,Shared Games with Bruce Brown,Shared Games with Christian Braun,Shared Games with Davon Reed,Shared Games with DeAndre Jordan,Shared Games with Ish Smith,Shared Games with Jack White,Shared Games with Jeff Green,Shared Games with Kentavious Caldwell-Pope,Shared Games with Michael Porter Jr.,Shared Games with Nikola Jokić,Shared Games with Peyton Watson,Shared Games with Vlatko Čančar,Shared Games with Zeke Nnaji,Aaron Gordon,Bones Hyland,Bruce Brown,Christian Braun,Collin Gillespie,Davon Reed,DeAndre Jordan,Ish Smith,Jack White,Jeff Green,Kentavious Caldwell-Pope,Michael Porter Jr.,Nikola Jokić,Peyton Watson,Vlatko Čančar,Zeke Nnaji,co_inf with Aaron Gordon,co_inf with Bones Hyland,co_inf with Bruce Brown,co_inf with Christian Braun,co_inf with Collin Gillespie,co_inf with Davon Reed,co_inf with DeAndre Jordan,co_inf with Ish Smith,co_inf with Jack White,co_inf with Jeff Green,co_inf with Kentavious Caldwell-Pope,co_inf with Michael Porter Jr.,co_inf with Nikola Jokić,co_inf with Peyton Watson,co_inf with Vlatko Čančar,co_inf with Zeke Nnaji,Shared Games with Reggie Jackson,Shared Games with Thomas Bryant,Donovan Williams,Reggie Jackson,Thomas Bryant,co_inf with Reggie Jackson,co_inf with Donovan Williams,co_inf with Thomas Bryant,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,10,2022-11-09,25-259,DEN,@,IND,W (+3),1,29:47,6.0,15.0,.400,1.0,2.0,.500,5,5.0,1.000,3.0,5.0,8.0,4.0,3.0,0.0,3.0,0.0,18.0,16.3,-3,13.0,5.0,0.3846153846153846,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,10.0,74.0,4.352941176470588,14.3,82.1,4.829411764705882
11,12,11,2022-11-11,25-261,DEN,@,BOS,L (-19),1,34:42,6.0,17.0,.353,1.0,5.0,.200,1,2.0,.500,0.0,4.0,4.0,10.0,0.0,0.0,0.0,2.0,14.0,11.5,-12,12.0,5.0,0.4166666666666667,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,9.0,53.0,3.117647058823529,11.099999999999998,73.99999999999999,4.352941176470587
12,13,12,2022-11-13,25-263,DEN,@,CHI,W (+23),1,32:10,9.0,18.0,.500,2.0,6.0,.333,3,3.0,1.000,1.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,23.0,15.6,+10,12.0,7.0,0.5833333333333334,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,6.0,97.0,5.705882352941177,14.4,98.2,5.776470588235294
13,14,13,2022-11-16,25-266,DEN,,NYK,L (-3),1,32:31,7.0,20.0,.350,3.0,7.0,.429,4,4.0,1.000,0.0,9.0,9.0,6.0,1.0,1.0,3.0,1.0,21.0,15.0,-1,13.0,4.0,0.3076923076923077,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,11.0,50.0,2.9411764705882355,13.4,53.79999999999999,3.1647058823529406
14,15,,2022-11-18,25-268,DEN,@,DAL,L (-28),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,,56.0,3.294117647058824,0.0,70.4,4.141176470588236
15,16,,2022-11-20,25-270,DEN,@,DAL,W (+1),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,,63.0,3.7058823529411766,0.0,64.4,3.7882352941176474
16,17,14,2022-11-22,25-272,DEN,,DET,L (-2),1,34:23,3.0,12.0,.250,0.0,2.0,.000,4,5.0,.800,0.0,1.0,1.0,8.0,2.0,1.0,2.0,3.0,10.0,7.8,+13,10.0,3.0,0.3,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,3.0,79.0,4.647058823529412,6.200000000000003,95.2,5.6000000000000005
17,18,,2022-11-23,25-273,DEN,@,OKC,W (+5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,,104.0,6.117647058823529,0.0,129.79999999999998,7.6352941176470575
18,19,15,2022-11-25,25-275,DEN,@,LAC,W (+10),1,33:36,9.0,21.0,.429,3.0,9.0,.333,0,0.0,,1.0,5.0,6.0,9.0,1.0,0.0,1.0,2.0,21.0,17.6,+22,12.0,6.0,0.5,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,15.0,63.0,3.7058823529411766,17.6,78.4,4.611764705882353
19,20,16,2022-11-28,25-278,DEN,,HOU,W (+16),1,25:28,11.0,17.0,.647,4.0,8.0,.500,5,6.0,.833,0.0,2.0,2.0,5.0,1.0,1.0,2.0,3.0,31.0,25.7,+7,9.0,7.0,0.7777777777777778,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,15.0,94.0,5.529411764705882,23.700000000000006,96.8,5.694117647058824
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,,0.0,0.0,0.0,0.0,0.0
21,21,17,2022-11-30,25-280,DEN,,HOU,W (+20),1,30:38,9.0,15.0,.600,4.0,6.0,.667,4,5.0,.800,1.0,3.0,4.0,2.0,0.0,0.0,0.0,2.0,26.0,20.9,+8,9.0,5.0,0.5555555555555556,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,12.0,81.0,4.764705882352941,19.3,82.6,4.858823529411764
22,22,18,2022-12-02,25-282,DEN,@,ATL,L (-8),1,33:17,7.0,14.0,.500,2.0,5.0,.400,4,5.0,.800,0.0,3.0,3.0,7.0,1.0,0.0,2.0,2.0,20.0,16.6,-1,9.0,5.0,0.5555555555555556,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,10.0,67.0,3.941176470588236,14.999999999999996,80.20000000000002,4.71764705882353
23,23,19,2022-12-04,25-284,DEN,@,NOP,L (-15),1,32:38,6.0,17.0,.353,3.0,8.0,.375,3,4.0,.750,0.0,4.0,4.0,5.0,0.0,2.0,3.0,2.0,18.0,10.4,-7,9.0,3.0,0.3333333333333333,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,5.0,72.0,4.235294117647059,9.199999999999998,84.10000000000001,4.947058823529412
24,24,20,2022-12-06,25-286,DEN,,DAL,L (-1),1,30:18,2.0,11.0,.182,0.0,5.0,.000,7,9.0,.778,0.0,2.0,2.0,5.0,1.0,0.0,2.0,5.0,11.0,4.4,+15,6.0,2.0,0.3333333333333333,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,-3.0,56.0,3.294117647058824,1.5999999999999996,71.6,4.211764705882352
25,25,21,2022-12-08,25-288,DEN,@,POR,W (+1),1,35:15,8.0,21.0,.381,3.0,10.0,.300,2,3.0,.667,2.0,3.0,5.0,8.0,1.0,0.0,2.0,0.0,21.0,16.0,+16,11.0,5.0,0.4545454545454545,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,9.0,64.0,3.764705882352941,15.199999999999996,76.7,4.511764705882353
26,26,22,2022-12-10,25-290,DEN,,UTA,W (+5),1,36:19,13.0,19.0,.684,1.0,3.0,.333,3,3.0,1.000,1.0,3.0,4.0,5.0,0.0,0.0,1.0,2.0,30.0,25.2,+11,16.0,12.0,0.75,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,16.0,64.0,3.764705882352941,24.000000000000007,73.6,4.329411764705882
27,27,23,2022-12-14,25-294,DEN,,WAS,W (+13),1,30:15,2.0,6.0,.333,1.0,3.0,.333,0,0.0,,0.0,4.0,4.0,6.0,0.0,0.0,0.0,2.0,5.0,6.2,+19,3.0,1.0,0.3333333333333333,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,9.0,82.0,4.823529411764706,6.2,105.7,6.2176470588235295
28,28,24,2022-12-16,25-296,DEN,@,LAL,L (-18),1,35:44,8.0,16.0,.500,2.0,6.0,.333,5,7.0,.714,1.0,4.0,5.0,6.0,1.0,0.0,5.0,0.0,23.0,16.3,-18,10.0,6.0,0.6,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,7.0,62.0,3.647058823529412,14.299999999999995,76.2,4.482352941176471
