Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,+/-,GmSc,Aaron Gordon,Bones Hyland,Bruce Brown,Christian Braun,Davon Reed,DeAndre Jordan,Ish Smith,Jack White,Jamal Murray,Jeff Green,Kentavious Caldwell-Pope,Michael Porter Jr.,Nikola Jokić,Peyton Watson,Vlatko Čančar,Zeke Nnaji,co_inf with Aaron Gordon,co_inf with Bones Hyland,co_inf with Bruce Brown,co_inf with Christian Braun,co_inf with Davon Reed,co_inf with DeAndre Jordan,co_inf with Ish Smith,co_inf with Jack White,co_inf with Jamal Murray,co_inf with Jeff Green,co_inf with Kentavious Caldwell-Pope,co_inf with Michael Porter Jr.,co_inf with Nikola Jokić,co_inf with Peyton Watson,co_inf with Vlatko Čančar,co_inf with Zeke Nnaji,Donovan Williams,Reggie Jackson,Thomas Bryant,co_inf with Donovan Williams,co_inf with Reggie Jackson,co_inf with Thomas Bryant,Total Shared Players,STL,BLK,TOV,CO_EFF,EFF,avg_EFF,HGS,avg_HGS
10,11,,2022-11-09,23-137,DEN,@,IND,W (+3),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,68.0,56.0,80.0,76.0,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,59.0,0.0,0.0,0.0,0,0,0,0,,84.0,0.0,96.4,0.0
11,12,,2022-11-11,23-139,DEN,@,BOS,L (-19),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,68.0,56.0,80.0,76.0,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,59.0,0.0,0.0,0.0,0,0,0,0,,62.0,0.0,85.1,0.0
12,13,,2022-11-13,23-141,DEN,@,CHI,W (+23),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,68.0,56.0,80.0,76.0,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,59.0,0.0,0.0,0.0,0,0,0,0,,103.0,0.0,112.59999999999997,0.0
13,14,,2022-11-16,23-144,DEN,,NYK,L (-3),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,68.0,56.0,80.0,76.0,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,59.0,0.0,0.0,0.0,0,0,0,0,,61.0,0.0,67.2,0.0
14,15,,2022-11-18,23-146,DEN,@,DAL,L (-28),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,68.0,56.0,80.0,76.0,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,59.0,0.0,0.0,0.0,0,0,0,0,,56.0,0.0,70.4,0.0
15,16,,2022-11-20,23-148,DEN,@,DAL,W (+1),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,68.0,56.0,80.0,76.0,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,59.0,0.0,0.0,0.0,0,0,0,0,,63.0,0.0,64.4,0.0
16,17,,2022-11-22,23-150,DEN,,DET,L (-2),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,68.0,56.0,80.0,76.0,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,59.0,0.0,0.0,0.0,0,0,0,0,,82.0,0.0,101.4,0.0
17,18,,2022-11-23,23-151,DEN,@,OKC,W (+5),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,68.0,56.0,80.0,76.0,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,59.0,0.0,0.0,0.0,0,0,0,0,,104.0,0.0,129.79999999999998,0.0
18,19,,2022-11-25,23-153,DEN,@,LAC,W (+10),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,68.0,56.0,80.0,76.0,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,59.0,0.0,0.0,0.0,0,0,0,0,,78.0,0.0,96.0,0.0
19,20,,2022-11-28,23-156,DEN,,HOU,W (+16),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,68.0,56.0,80.0,76.0,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,59.0,0.0,0.0,0.0,0,0,0,0,,109.0,0.0,120.5,0.0
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,,FG%,FT,,FT%,,,PF,,+/-,GmSc,68.0,56.0,80.0,76.0,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,59.0,0.0,0.0,0.0,0,0,0,0,,0.0,,0.0,
21,21,,2022-11-30,23-158,DEN,,HOU,W (+20),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,68.0,56.0,80.0,76.0,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,59.0,0.0,0.0,0.0,0,0,0,0,,93.0,0.0,101.9,0.0
22,22,,2022-12-02,23-160,DEN,@,ATL,L (-8),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,68.0,56.0,80.0,76.0,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,59.0,0.0,0.0,0.0,0,0,0,0,,77.0,0.0,95.20000000000002,0.0
23,23,,2022-12-04,23-162,DEN,@,NOP,L (-15),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,68.0,56.0,80.0,76.0,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,59.0,0.0,0.0,0.0,0,0,0,0,,77.0,0.0,93.3,0.0
24,24,,2022-12-06,23-164,DEN,,DAL,L (-1),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,68.0,56.0,80.0,76.0,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,59.0,0.0,0.0,0.0,0,0,0,0,,53.0,0.0,73.20000000000002,0.0
25,25,,2022-12-08,23-166,DEN,@,POR,W (+1),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,68.0,56.0,80.0,76.0,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,59.0,0.0,0.0,0.0,0,0,0,0,,73.0,0.0,91.9,0.0
26,26,,2022-12-10,23-168,DEN,,UTA,W (+5),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,68.0,56.0,80.0,76.0,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,59.0,0.0,0.0,0.0,0,0,0,0,,80.0,0.0,97.6,0.0
27,27,,2022-12-14,23-172,DEN,,WAS,W (+13),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,68.0,56.0,80.0,76.0,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,59.0,0.0,0.0,0.0,0,0,0,0,,91.0,0.0,111.89999999999998,0.0
28,28,,2022-12-16,23-174,DEN,@,LAL,L (-18),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,68.0,56.0,80.0,76.0,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,59.0,0.0,0.0,0.0,0,0,0,0,,69.0,0.0,90.5,0.0
29,29,,2022-12-18,23-176,DEN,,CHO,W (+4),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,68.0,56.0,80.0,76.0,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,59.0,0.0,0.0,0.0,0,0,0,0,,90.0,0.0,102.7,0.0
30,30,,2022-12-20,23-178,DEN,,MEM,W (+14),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,68.0,56.0,80.0,76.0,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,59.0,0.0,0.0,0.0,0,0,0,0,,77.0,0.0,88.9,0.0
31,31,,2022-12-23,23-181,DEN,,POR,W (+13),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,68.0,56.0,80.0,76.0,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,59.0,0.0,0.0,0.0,0,0,0,0,,97.0,0.0,110.59999999999998,0.0
32,32,,2022-12-25,23-183,DEN,,PHO,W (+3),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,68.0,56.0,80.0,76.0,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,59.0,0.0,0.0,0.0,0,0,0,0,,92.0,0.0,104.2,0.0
33,33,,2022-12-27,23-185,DEN,@,SAC,W (+7),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,68.0,56.0,80.0,76.0,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,59.0,0.0,0.0,0.0,0,0,0,0,,92.0,0.0,105.1,0.0
34,34,,2022-12-28,23-186,DEN,@,SAC,L (-1),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,68.0,56.0,80.0,76.0,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,59.0,0.0,0.0,0.0,0,0,0,0,,83.0,0.0,98.9,0.0
35,35,,2022-12-30,23-188,DEN,,MIA,W (+5),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,68.0,56.0,80.0,76.0,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,59.0,0.0,0.0,0.0,0,0,0,0,,94.0,0.0,103.7,0.0
36,36,,2023-01-01,23-190,DEN,,BOS,W (+12),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,68.0,56.0,80.0,76.0,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,59.0,0.0,0.0,0.0,0,0,0,0,,113.0,0.0,122.39999999999998,0.0
37,37,,2023-01-02,23-191,DEN,@,MIN,L (-13),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,68.0,56.0,80.0,76.0,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,59.0,0.0,0.0,0.0,0,0,0,0,,75.0,0.0,86.59999999999998,0.0
38,38,,2023-01-05,23-194,DEN,,LAC,W (+31),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,68.0,56.0,80.0,76.0,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,59.0,0.0,0.0,0.0,0,0,0,0,,113.0,0.0,116.7,0.0
39,39,,2023-01-06,23-195,DEN,,CLE,W (+13),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,68.0,56.0,80.0,76.0,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,59.0,0.0,0.0,0.0,0,0,0,0,,110.0,0.0,116.59999999999998,0.0
40,40,,2023-01-09,23-198,DEN,,LAL,W (+13),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,68.0,56.0,80.0,76.0,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,59.0,0.0,0.0,0.0,0,0,0,0,,109.0,0.0,114.49999999999996,0.0
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,,FG%,FT,,FT%,,,PF,,+/-,GmSc,68.0,56.0,80.0,76.0,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,59.0,0.0,0.0,0.0,0,0,0,0,,0.0,,0.0,
42,41,,2023-01-11,23-200,DEN,,PHO,W (+29),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,68.0,56.0,80.0,76.0,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,59.0,0.0,0.0,0.0,0,0,0,0,,82.0,0.0,100.09999999999998,0.0
43,42,,2023-01-13,23-202,DEN,@,LAC,W (+12),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,68.0,56.0,80.0,76.0,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,59.0,0.0,0.0,0.0,0,0,0,0,,77.0,0.0,94.29999999999998,0.0
44,43,,2023-01-15,23-204,DEN,,ORL,W (+3),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,68.0,56.0,80.0,76.0,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,59.0,0.0,0.0,0.0,0,0,0,0,,85.0,0.0,101.2,0.0
45,44,,2023-01-17,23-206,DEN,,POR,W (+9),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,68.0,56.0,80.0,76.0,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,59.0,0.0,0.0,0.0,0,0,0,0,,88.0,0.0,102.9,0.0
46,45,,2023-01-18,23-207,DEN,,MIN,W (+4),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,68.0,56.0,80.0,76.0,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,59.0,0.0,0.0,0.0,0,0,0,0,,72.0,0.0,94.1,0.0
47,46,,2023-01-20,23-209,DEN,,IND,W (+23),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,68.0,56.0,80.0,76.0,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,59.0,0.0,0.0,0.0,0,0,0,0,,115.0,0.0,127.2,0.0
48,47,,2023-01-22,23-211,DEN,,OKC,L (-2),Inactive,Inactive,Inactive,,Inactive,Inactive,,Inactive,,,Inactive,,Inactive,Inactive,68.0,56.0,80.0,76.0,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,59.0,0.0,0.0,0.0,0,0,0,0,,83.0,0.0,106.3,0.0
