Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Chris Boucher,Shared Games with Christian Koloko,Shared Games with Dalano Banton,Shared Games with Fred VanVleet,Shared Games with Gary Trent Jr.,Shared Games with Jeff Dowtin,Shared Games with Joe Wieskamp,Shared Games with Juancho Hernangómez,Shared Games with Khem Birch,Shared Games with Malachi Flynn,Shared Games with OG Anunoby,Shared Games with Otto Porter Jr.,Shared Games with Pascal Siakam,Shared Games with Precious Achiuwa,Shared Games with Ron Harper Jr.,Shared Games with Scottie Barnes,Shared Games with Thaddeus Young,Chris Boucher,Christian Koloko,Dalano Banton,Fred VanVleet,Gary Trent Jr.,Jeff Dowtin,Joe Wieskamp,Juancho Hernangómez,Khem Birch,Malachi Flynn,OG Anunoby,Otto Porter Jr.,Pascal Siakam,Precious Achiuwa,Ron Harper Jr.,Scottie Barnes,Thaddeus Young,co_inf with Chris Boucher,co_inf with Christian Koloko,co_inf with Dalano Banton,co_inf with Fred VanVleet,co_inf with Gary Trent Jr.,co_inf with Jeff Dowtin,co_inf with Joe Wieskamp,co_inf with Juancho Hernangómez,co_inf with Khem Birch,co_inf with Malachi Flynn,co_inf with OG Anunoby,co_inf with Otto Porter Jr.,co_inf with Pascal Siakam,co_inf with Precious Achiuwa,co_inf with Ron Harper Jr.,co_inf with Scottie Barnes,co_inf with Thaddeus Young
11,12,,2022-11-09,21-133,TOR,,HOU,W (+7),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,3,3,3,2,3,2,1,2,1,3,3,0,3,2,1,3,2,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.0394736842105263,0.0517241379310344,0.0967741935483871,0.0289855072463768,0.0454545454545454,0.08,0.1111111111111111,0.0476190476190476,0.05,0.0566037735849056,0.044776119402985,0.0,0.0422535211267605,0.0363636363636363,0.1111111111111111,0.0389610389610389,0.037037037037037
12,13,,2022-11-11,21-135,TOR,@,OKC,L (-19),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,3,3,3,2,3,2,1,2,1,3,3,0,3,2,1,3,2,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.0394736842105263,0.0517241379310344,0.0967741935483871,0.0289855072463768,0.0454545454545454,0.08,0.1111111111111111,0.0476190476190476,0.05,0.0566037735849056,0.044776119402985,0.0,0.0422535211267605,0.0363636363636363,0.1111111111111111,0.0389610389610389,0.037037037037037
13,14,,2022-11-12,21-136,TOR,@,IND,L (-14),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,3,3,3,2,3,2,1,2,1,3,3,0,3,2,1,3,2,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.0394736842105263,0.0517241379310344,0.0967741935483871,0.0289855072463768,0.0454545454545454,0.08,0.1111111111111111,0.0476190476190476,0.05,0.0566037735849056,0.044776119402985,0.0,0.0422535211267605,0.0363636363636363,0.1111111111111111,0.0389610389610389,0.037037037037037
14,15,,2022-11-14,21-138,TOR,@,DET,W (+4),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,3,3,3,2,3,2,1,2,1,3,3,0,3,2,1,3,2,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.0394736842105263,0.0517241379310344,0.0967741935483871,0.0289855072463768,0.0454545454545454,0.08,0.1111111111111111,0.0476190476190476,0.05,0.0566037735849056,0.044776119402985,0.0,0.0422535211267605,0.0363636363636363,0.1111111111111111,0.0389610389610389,0.037037037037037
15,16,,2022-11-16,21-140,TOR,,MIA,W (+8),Did Not Dress,0.0,,,Did Not Dress,,,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,,,,3,3,3,2,3,2,1,2,1,3,3,0,3,2,1,3,2,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.0394736842105263,0.0517241379310344,0.0967741935483871,0.0289855072463768,0.0454545454545454,0.08,0.1111111111111111,0.0476190476190476,0.05,0.0566037735849056,0.044776119402985,0.0,0.0422535211267605,0.0363636363636363,0.1111111111111111,0.0389610389610389,0.037037037037037
16,17,,2022-11-19,21-143,TOR,@,ATL,L (-2),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,3,3,3,2,3,2,1,2,1,3,3,0,3,2,1,3,2,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.0394736842105263,0.0517241379310344,0.0967741935483871,0.0289855072463768,0.0454545454545454,0.08,0.1111111111111111,0.0476190476190476,0.05,0.0566037735849056,0.044776119402985,0.0,0.0422535211267605,0.0363636363636363,0.1111111111111111,0.0389610389610389,0.037037037037037
17,18,,2022-11-23,21-147,TOR,,BRK,L (-14),Did Not Dress,0.0,,,Did Not Dress,,,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,,,,3,3,3,2,3,2,1,2,1,3,3,0,3,2,1,3,2,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.0394736842105263,0.0517241379310344,0.0967741935483871,0.0289855072463768,0.0454545454545454,0.08,0.1111111111111111,0.0476190476190476,0.05,0.0566037735849056,0.044776119402985,0.0,0.0422535211267605,0.0363636363636363,0.1111111111111111,0.0389610389610389,0.037037037037037
18,19,,2022-11-26,21-150,TOR,,DAL,W (+5),Did Not Dress,0.0,,,Did Not Dress,,,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,,,,3,3,3,2,3,2,1,2,1,3,3,0,3,2,1,3,2,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.0394736842105263,0.0517241379310344,0.0967741935483871,0.0289855072463768,0.0454545454545454,0.08,0.1111111111111111,0.0476190476190476,0.05,0.0566037735849056,0.044776119402985,0.0,0.0422535211267605,0.0363636363636363,0.1111111111111111,0.0389610389610389,0.037037037037037
19,20,,2022-11-28,21-152,TOR,,CLE,W (+12),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,3,3,3,2,3,2,1,2,1,3,3,0,3,2,1,3,2,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.0394736842105263,0.0517241379310344,0.0967741935483871,0.0289855072463768,0.0454545454545454,0.08,0.1111111111111111,0.0476190476190476,0.05,0.0566037735849056,0.044776119402985,0.0,0.0422535211267605,0.0363636363636363,0.1111111111111111,0.0389610389610389,0.037037037037037
20,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,3,3,3,2,3,2,1,2,1,3,3,0,3,2,1,3,2,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.0394736842105263,0.0517241379310344,0.0967741935483871,0.0289855072463768,0.0454545454545454,0.08,0.1111111111111111,0.0476190476190476,0.05,0.0566037735849056,0.044776119402985,0.0,0.0422535211267605,0.0363636363636363,0.1111111111111111,0.0389610389610389,0.037037037037037
21,21,,2022-11-30,21-154,TOR,@,NOP,L (-18),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,3,3,3,2,3,2,1,2,1,3,3,0,3,2,1,3,2,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.0394736842105263,0.0517241379310344,0.0967741935483871,0.0289855072463768,0.0454545454545454,0.08,0.1111111111111111,0.0476190476190476,0.05,0.0566037735849056,0.044776119402985,0.0,0.0422535211267605,0.0363636363636363,0.1111111111111111,0.0389610389610389,0.037037037037037
22,22,,2022-12-02,21-156,TOR,@,BRK,L (-9),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,3,3,3,2,3,2,1,2,1,3,3,0,3,2,1,3,2,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.0394736842105263,0.0517241379310344,0.0967741935483871,0.0289855072463768,0.0454545454545454,0.08,0.1111111111111111,0.0476190476190476,0.05,0.0566037735849056,0.044776119402985,0.0,0.0422535211267605,0.0363636363636363,0.1111111111111111,0.0389610389610389,0.037037037037037
23,23,,2022-12-03,21-157,TOR,,ORL,W (+13),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,3,3,3,2,3,2,1,2,1,3,3,0,3,2,1,3,2,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.0394736842105263,0.0517241379310344,0.0967741935483871,0.0289855072463768,0.0454545454545454,0.08,0.1111111111111111,0.0476190476190476,0.05,0.0566037735849056,0.044776119402985,0.0,0.0422535211267605,0.0363636363636363,0.1111111111111111,0.0389610389610389,0.037037037037037
24,24,,2022-12-05,21-159,TOR,,BOS,L (-6),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,3,3,3,2,3,2,1,2,1,3,3,0,3,2,1,3,2,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.0394736842105263,0.0517241379310344,0.0967741935483871,0.0289855072463768,0.0454545454545454,0.08,0.1111111111111111,0.0476190476190476,0.05,0.0566037735849056,0.044776119402985,0.0,0.0422535211267605,0.0363636363636363,0.1111111111111111,0.0389610389610389,0.037037037037037
25,25,3,2022-12-07,21-161,TOR,,LAL,W (+13),0,2.3166666666666664,0.0,0.0,,0.0,0.0,,0,0,,0,1,1,1,0,0,0,0,0,1.0,-2,0.0,0.0,,3,3,3,2,3,2,1,2,1,3,3,0,3,2,1,3,2,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.0394736842105263,0.0517241379310344,0.0967741935483871,0.0289855072463768,0.0454545454545454,0.08,0.1111111111111111,0.0476190476190476,0.05,0.0566037735849056,0.044776119402985,0.0,0.0422535211267605,0.0363636363636363,0.1111111111111111,0.0389610389610389,0.037037037037037
26,26,,2022-12-09,21-163,TOR,@,ORL,L (-4),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,3,3,3,2,3,2,1,2,1,3,3,0,3,2,1,3,2,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.0394736842105263,0.0517241379310344,0.0967741935483871,0.0289855072463768,0.0454545454545454,0.08,0.1111111111111111,0.0476190476190476,0.05,0.0566037735849056,0.044776119402985,0.0,0.0422535211267605,0.0363636363636363,0.1111111111111111,0.0389610389610389,0.037037037037037
27,27,,2022-12-11,21-165,TOR,@,ORL,L (-12),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,3,3,3,2,3,2,1,2,1,3,3,0,3,2,1,3,2,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.0394736842105263,0.0517241379310344,0.0967741935483871,0.0289855072463768,0.0454545454545454,0.08,0.1111111111111111,0.0476190476190476,0.05,0.0566037735849056,0.044776119402985,0.0,0.0422535211267605,0.0363636363636363,0.1111111111111111,0.0389610389610389,0.037037037037037
28,28,,2022-12-14,21-168,TOR,,SAC,L (-1),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,3,3,3,2,3,2,1,2,1,3,3,0,3,2,1,3,2,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.0394736842105263,0.0517241379310344,0.0967741935483871,0.0289855072463768,0.0454545454545454,0.08,0.1111111111111111,0.0476190476190476,0.05,0.0566037735849056,0.044776119402985,0.0,0.0422535211267605,0.0363636363636363,0.1111111111111111,0.0389610389610389,0.037037037037037
29,29,,2022-12-16,21-170,TOR,,BRK,L (-3),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,3,3,3,2,3,2,1,2,1,3,3,0,3,2,1,3,2,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.0394736842105263,0.0517241379310344,0.0967741935483871,0.0289855072463768,0.0454545454545454,0.08,0.1111111111111111,0.0476190476190476,0.05,0.0566037735849056,0.044776119402985,0.0,0.0422535211267605,0.0363636363636363,0.1111111111111111,0.0389610389610389,0.037037037037037
30,30,,2022-12-18,21-172,TOR,,GSW,L (-16),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,3,3,3,2,3,2,1,2,1,3,3,0,3,2,1,3,2,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.0394736842105263,0.0517241379310344,0.0967741935483871,0.0289855072463768,0.0454545454545454,0.08,0.1111111111111111,0.0476190476190476,0.05,0.0566037735849056,0.044776119402985,0.0,0.0422535211267605,0.0363636363636363,0.1111111111111111,0.0389610389610389,0.037037037037037
31,31,,2022-12-19,21-173,TOR,@,PHI,L (-3),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,3,3,3,2,3,2,1,2,1,3,3,0,3,2,1,3,2,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.0394736842105263,0.0517241379310344,0.0967741935483871,0.0289855072463768,0.0454545454545454,0.08,0.1111111111111111,0.0476190476190476,0.05,0.0566037735849056,0.044776119402985,0.0,0.0422535211267605,0.0363636363636363,0.1111111111111111,0.0389610389610389,0.037037037037037
32,32,,2022-12-21,21-175,TOR,@,NYK,W (+7),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,3,3,3,2,3,2,1,2,1,3,3,0,3,2,1,3,2,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.0394736842105263,0.0517241379310344,0.0967741935483871,0.0289855072463768,0.0454545454545454,0.08,0.1111111111111111,0.0476190476190476,0.05,0.0566037735849056,0.044776119402985,0.0,0.0422535211267605,0.0363636363636363,0.1111111111111111,0.0389610389610389,0.037037037037037
