Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Danuel House Jr.,Shared Games with De'Anthony Melton,Shared Games with Furkan Korkmaz,Shared Games with Georges Niang,Shared Games with Jaden Springer,Shared Games with James Harden,Shared Games with Joel Embiid,Shared Games with Julian Champagnie,Shared Games with Louis King,Shared Games with Mac McClung,Shared Games with Matisse Thybulle,Shared Games with Michael Foster Jr.,Shared Games with Montrezl Harrell,Shared Games with P.J. Tucker,Shared Games with Paul Reed,Shared Games with Shake Milton,Shared Games with Tobias Harris,Shared Games with Tyrese Maxey,Danuel House Jr.,De'Anthony Melton,Furkan Korkmaz,Georges Niang,Jaden Springer,James Harden,Joel Embiid,Julian Champagnie,Louis King,Mac McClung,Matisse Thybulle,Michael Foster Jr.,Montrezl Harrell,P.J. Tucker,Paul Reed,Shake Milton,Tobias Harris,Tyrese Maxey,co_inf with Danuel House Jr.,co_inf with De'Anthony Melton,co_inf with Furkan Korkmaz,co_inf with Georges Niang,co_inf with Jaden Springer,co_inf with James Harden,co_inf with Joel Embiid,co_inf with Julian Champagnie,co_inf with Louis King,co_inf with Mac McClung,co_inf with Matisse Thybulle,co_inf with Michael Foster Jr.,co_inf with Montrezl Harrell,co_inf with P.J. Tucker,co_inf with Paul Reed,co_inf with Shake Milton,co_inf with Tobias Harris,co_inf with Tyrese Maxey
13,14,,2022-12-23,23-183,PHI,,LAC,W (+5),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,2,2,0,2,0,2,2,0,0,0,1,0,2,2,1,0,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333
14,15,,2022-12-25,23-185,PHI,@,NYK,W (+7),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,2,2,0,2,0,2,2,0,0,0,1,0,2,2,1,0,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333
15,16,3,2023-01-11,23-202,PHO,@,DEN,L (-29),0,15.266666666666667,2.0,4.0,.500,0.0,1.0,.000,4,4,1.000,0,3,3,4,0,0,1,1,8,8.3,-1,3.0,2.0,0.6666666666666666,2,2,0,2,0,2,2,0,0,0,1,0,2,2,1,0,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333
16,17,4,2023-01-13,23-204,PHO,@,MIN,L (-5),0,13.466666666666667,3.0,3.0,1.000,0.0,0.0,,6,8,.750,0,2,2,2,0,0,1,1,12,10.9,+6,3.0,3.0,1.0,2,2,0,2,0,2,2,0,0,0,1,0,2,2,1,0,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333
17,18,5,2023-01-16,23-207,PHO,@,MEM,L (-30),0,28.433333333333334,3.0,9.0,.333,1.0,2.0,.500,3,4,.750,1,1,2,3,1,0,1,3,10,6.4,-16,7.0,2.0,0.2857142857142857,2,2,0,2,0,2,2,0,0,0,1,0,2,2,1,0,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333
18,19,6,2023-01-19,23-210,PHO,,BRK,W (+5),0,29.45,6.0,11.0,.545,2.0,4.0,.500,1,2,.500,1,2,3,6,1,0,1,2,15,14.0,-6,7.0,4.0,0.5714285714285714,2,2,0,2,0,2,2,0,0,0,1,0,2,2,1,0,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333
19,20,7,2023-01-21,23-212,PHO,,IND,W (+5),0,29.116666666666667,2.0,6.0,.333,2.0,4.0,.500,6,8,.750,1,3,4,4,0,0,4,5,12,6.2,+6,2.0,0.0,0.0,2,2,0,2,0,2,2,0,0,0,1,0,2,2,1,0,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333
20,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,2,2,0,2,0,2,2,0,0,0,1,0,2,2,1,0,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333
21,21,8,2023-01-22,23-213,PHO,,MEM,W (+2),0,9.65,0.0,1.0,.000,0.0,0.0,,2,2,1.000,0,0,0,3,0,0,1,0,2,2.4,-1,1.0,0.0,0.0,2,2,0,2,0,2,2,0,0,0,1,0,2,2,1,0,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333
22,22,9,2023-01-24,23-215,PHO,,CHO,W (+31),0,20.933333333333334,1.0,6.0,.167,0.0,0.0,,0,0,,1,3,4,6,0,1,1,0,2,3.7,+25,6.0,1.0,0.1666666666666666,2,2,0,2,0,2,2,0,0,0,1,0,2,2,1,0,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333
23,23,10,2023-01-26,23-217,PHO,,DAL,L (-4),0,4.383333333333334,0.0,0.0,,0.0,0.0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-11,0.0,0.0,,2,2,0,2,0,2,2,0,0,0,1,0,2,2,1,0,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333
24,24,11,2023-01-28,23-219,PHO,@,SAS,W (+10),0,13.766666666666667,2.0,3.0,.667,1.0,1.0,1.000,2,3,.667,2,1,3,3,0,0,0,0,7,9.1,-4,2.0,1.0,0.5,2,2,0,2,0,2,2,0,0,0,1,0,2,2,1,0,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333
25,25,12,2023-01-30,23-221,PHO,,TOR,W (+8),0,8.183333333333334,1.0,1.0,1.000,0.0,0.0,,0,0,,1,0,1,2,0,0,1,0,2,2.8,+2,1.0,1.0,1.0,2,2,0,2,0,2,2,0,0,0,1,0,2,2,1,0,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333
26,26,13,2023-02-01,23-223,PHO,,ATL,L (-32),0,21.483333333333334,2.0,6.0,.333,0.0,0.0,,2,2,1.000,1,2,3,3,3,0,1,1,6,7.6,-6,6.0,2.0,0.3333333333333333,2,2,0,2,0,2,2,0,0,0,1,0,2,2,1,0,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333
27,27,14,2023-02-03,23-225,PHO,@,BOS,W (+12),0,12.966666666666667,3.0,4.0,.750,1.0,1.0,1.000,0,0,,0,0,0,2,1,0,2,2,7,5.0,+16,3.0,2.0,0.6666666666666666,2,2,0,2,0,2,2,0,0,0,1,0,2,2,1,0,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333
28,28,15,2023-02-04,23-226,PHO,@,DET,W (+16),0,15.45,0.0,1.0,.000,0.0,0.0,,4,6,.667,1,2,3,5,2,0,2,3,4,6.1,-8,1.0,0.0,0.0,2,2,0,2,0,2,2,0,0,0,1,0,2,2,1,0,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333
29,29,16,2023-02-07,23-229,PHO,@,BRK,W (+4),0,10.3,0.0,5.0,.000,0.0,2.0,.000,0,0,,0,1,1,4,1,0,1,2,0,-1.2,-5,3.0,0.0,0.0,2,2,0,2,0,2,2,0,0,0,1,0,2,2,1,0,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333
30,30,17,2023-02-09,23-231,PHO,@,ATL,L (-9),0,19.833333333333332,3.0,6.0,.500,0.0,0.0,,3,5,.600,1,2,3,3,1,0,0,3,9,8.4,+7,6.0,3.0,0.5,2,2,0,2,0,2,2,0,0,0,1,0,2,2,1,0,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333
31,31,18,2023-02-10,23-232,PHO,@,IND,W (+13),0,17.216666666666665,1.0,6.0,.167,0.0,2.0,.000,0,0,,0,2,2,1,3,0,2,1,2,0.1,-9,4.0,1.0,0.25,2,2,0,2,0,2,2,0,0,0,1,0,2,2,1,0,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333
32,32,19,2023-02-14,23-236,PHO,,SAC,W (+11),0,6.266666666666667,3.0,4.0,.750,0.0,1.0,.000,1,1,1.000,0,0,0,1,0,0,0,0,7,6.1,+2,3.0,3.0,1.0,2,2,0,2,0,2,2,0,0,0,1,0,2,2,1,0,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333
33,33,20,2023-02-16,23-238,PHO,,LAC,L (-9),0,7.9,2.0,4.0,.500,0.0,0.0,,0,0,,0,2,2,0,1,0,1,2,4,1.8,-2,4.0,2.0,0.5,2,2,0,2,0,2,2,0,0,0,1,0,2,2,1,0,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333
34,34,,2023-02-24,23-246,PHO,,OKC,W (+9),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,2,2,0,2,0,2,2,0,0,0,1,0,2,2,1,0,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333
