Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Danuel House Jr.,Shared Games with Furkan Korkmaz,Shared Games with Georges Niang,Shared Games with Jaden Springer,Shared Games with James Harden,Shared Games with Joel Embiid,Shared Games with Julian Champagnie,Shared Games with Louis King,Shared Games with Mac McClung,Shared Games with Matisse Thybulle,Shared Games with Montrezl Harrell,Shared Games with P.J. Tucker,Shared Games with Paul Reed,Shared Games with Saben Lee,Shared Games with Shake Milton,Shared Games with Tobias Harris,Shared Games with Tyrese Maxey,Danuel House Jr.,Furkan Korkmaz,Georges Niang,Jaden Springer,James Harden,Joel Embiid,Julian Champagnie,Louis King,Mac McClung,Matisse Thybulle,Michael Foster Jr.,Montrezl Harrell,P.J. Tucker,Paul Reed,Saben Lee,Shake Milton,Tobias Harris,Tyrese Maxey,co_inf with Danuel House Jr.,co_inf with Furkan Korkmaz,co_inf with Georges Niang,co_inf with Jaden Springer,co_inf with James Harden,co_inf with Joel Embiid,co_inf with Julian Champagnie,co_inf with Louis King,co_inf with Mac McClung,co_inf with Matisse Thybulle,co_inf with Michael Foster Jr.,co_inf with Montrezl Harrell,co_inf with P.J. Tucker,co_inf with Paul Reed,co_inf with Saben Lee,co_inf with Shake Milton,co_inf with Tobias Harris,co_inf with Tyrese Maxey,Shared Games with Jalen McDaniels,Shared Games with Dewayne Dedmon,Dewayne Dedmon,Grant Williams,Jalen McDaniels,co_inf with Jalen McDaniels,co_inf with Dewayne Dedmon,co_inf with Grant Williams,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,10.0,2022-11-07,24-163,PHI,PHO,1.0,33.833333333333336,2.0,7.0,0.286,1.0,6.0,0.167,1.0,2.0,0.5,2.0,5.0,7.0,2.0,1.0,2.0,1.0,5.0,6.0,5.2,12.0,1.0,1.0,1.0,52,33,74,13,56,64,2,1,2,46,53,72,64,2,71,71,58,56.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.9285714285714286,0.8918918918918919,0.9487179487179488,0.8125,0.9655172413793104,0.9696969696969696,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.96,0.927536231884058,0.08,0.9342105263157896,0.9594594594594594,0.9666666666666668,19,7,38.0,79.0,80.0,0.2375,0.1842105263157894,0.0,19,8.0,70.0,3.684210526315789,4.800000000000002,79.69999999999999,4.194736842105263,12.7,4.2,0.9,-0.7,1.6,0.0825571549534293,0.566,0.619,0.134,1.6,1.1,W (+12),W (+12)
12.0,11.0,2022-11-10,24-166,PHI,ATL,1.0,28.45,2.0,7.0,0.286,1.0,3.0,0.333,0.0,0.0,,4.0,6.0,10.0,1.0,0.0,0.0,3.0,0.0,5.0,3.2,-7.0,4.0,1.0,0.25,52,33,74,13,56,64,2,1,2,46,53,72,64,2,71,71,58,56.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.9285714285714286,0.8918918918918919,0.9487179487179488,0.8125,0.9655172413793104,0.9696969696969696,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.96,0.927536231884058,0.08,0.9342105263157896,0.9594594594594594,0.9666666666666668,19,7,38.0,79.0,80.0,0.2375,0.1842105263157894,0.0,19,6.0,53.0,2.789473684210526,3.1999999999999984,59.89999999999999,3.152631578947368,12.7,4.2,0.9,-0.7,1.6,0.0825571549534293,0.566,0.619,0.134,1.6,1.1,L (-9),L (-9)
13.0,,2022-11-12,24-168,PHI,ATL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,52,33,74,13,56,64,2,1,2,46,53,72,64,2,71,71,58,56.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.9285714285714286,0.8918918918918919,0.9487179487179488,0.8125,0.9655172413793104,0.9696969696969696,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.96,0.927536231884058,0.08,0.9342105263157896,0.9594594594594594,0.9666666666666668,19,7,38.0,79.0,80.0,0.2375,0.1842105263157894,0.0,19,,103.0,5.421052631578948,0.0,106.29999999999998,5.594736842105262,12.7,4.2,0.9,-0.7,1.6,0.0825571549534293,0.566,0.619,0.134,1.6,1.1,W (+12),W (+12)
14.0,12.0,2022-11-13,24-169,PHI,UTA,0.0,20.416666666666668,3.0,5.0,0.6,0.0,1.0,0.0,0.0,0.0,,2.0,4.0,6.0,2.0,0.0,1.0,1.0,1.0,6.0,7.0,-15.0,4.0,3.0,0.75,52,33,74,13,56,64,2,1,2,46,53,72,64,2,71,71,58,56.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.9285714285714286,0.8918918918918919,0.9487179487179488,0.8125,0.9655172413793104,0.9696969696969696,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.96,0.927536231884058,0.08,0.9342105263157896,0.9594594594594594,0.9666666666666668,19,7,38.0,79.0,80.0,0.2375,0.1842105263157894,0.0,19,9.0,73.0,3.842105263157895,6.999999999999998,87.39999999999999,4.6,12.7,4.2,0.9,-0.7,1.6,0.0825571549534293,0.566,0.619,0.134,1.6,1.1,W (+7),W (+7)
15.0,13.0,2022-11-18,24-174,PHI,MIL,1.0,36.05,3.0,8.0,0.375,2.0,3.0,0.667,2.0,2.0,1.0,2.0,5.0,7.0,6.0,0.0,0.0,5.0,2.0,10.0,6.9,6.0,5.0,1.0,0.2,52,33,74,13,56,64,2,1,2,46,53,72,64,2,71,71,58,56.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.9285714285714286,0.8918918918918919,0.9487179487179488,0.8125,0.9655172413793104,0.9696969696969696,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.96,0.927536231884058,0.08,0.9342105263157896,0.9594594594594594,0.9666666666666668,19,7,38.0,79.0,80.0,0.2375,0.1842105263157894,0.0,19,8.0,72.0,3.789473684210526,6.099999999999996,84.8,4.463157894736842,12.7,4.2,0.9,-0.7,1.6,0.0825571549534293,0.566,0.619,0.134,1.6,1.1,W (+8),W (+8)
16.0,14.0,2022-11-19,24-175,PHI,MIN,1.0,36.66666666666666,7.0,16.0,0.438,5.0,9.0,0.556,0.0,2.0,0.0,1.0,4.0,5.0,6.0,5.0,1.0,3.0,3.0,19.0,17.4,-2.0,7.0,2.0,0.2857142857142857,52,33,74,13,56,64,2,1,2,46,53,72,64,2,71,71,58,56.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.9285714285714286,0.8918918918918919,0.9487179487179488,0.8125,0.9655172413793104,0.9696969696969696,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.96,0.927536231884058,0.08,0.9342105263157896,0.9594594594594594,0.9666666666666668,19,7,38.0,79.0,80.0,0.2375,0.1842105263157894,0.0,19,15.0,51.0,2.6842105263157894,17.400000000000002,51.7,2.721052631578948,12.7,4.2,0.9,-0.7,1.6,0.0825571549534293,0.566,0.619,0.134,1.6,1.1,L (-3),L (-3)
17.0,15.0,2022-11-22,24-178,PHI,BRK,1.0,32.15,7.0,16.0,0.438,6.0,11.0,0.545,2.0,2.0,1.0,3.0,1.0,4.0,4.0,3.0,1.0,2.0,3.0,22.0,19.3,2.0,5.0,1.0,0.2,52,33,74,13,56,64,2,1,2,46,53,72,64,2,71,71,58,56.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.9285714285714286,0.8918918918918919,0.9487179487179488,0.8125,0.9655172413793104,0.9696969696969696,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.96,0.927536231884058,0.08,0.9342105263157896,0.9594594594594594,0.9666666666666668,19,7,38.0,79.0,80.0,0.2375,0.1842105263157894,0.0,19,14.0,75.0,3.947368421052632,18.500000000000004,77.19999999999999,4.063157894736841,12.7,4.2,0.9,-0.7,1.6,0.0825571549534293,0.566,0.619,0.134,1.6,1.1,W (+9),W (+9)
18.0,16.0,2022-11-23,24-179,PHI,CHO,1.0,36.53333333333333,7.0,18.0,0.389,2.0,9.0,0.222,4.0,4.0,1.0,0.0,6.0,6.0,3.0,4.0,0.0,5.0,2.0,20.0,12.3,-1.0,9.0,5.0,0.5555555555555556,52,33,74,13,56,64,2,1,2,46,53,72,64,2,71,71,58,56.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.9285714285714286,0.8918918918918919,0.9487179487179488,0.8125,0.9655172413793104,0.9696969696969696,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.96,0.927536231884058,0.08,0.9342105263157896,0.9594594594594594,0.9666666666666668,19,7,38.0,79.0,80.0,0.2375,0.1842105263157894,0.0,19,6.0,62.0,3.263157894736842,10.7,61.90000000000001,3.257894736842106,12.7,4.2,0.9,-0.7,1.6,0.0825571549534293,0.566,0.619,0.134,1.6,1.1,L (-6),L (-6)
19.0,17.0,2022-11-25,24-181,PHI,ORL,1.0,37.31666666666667,5.0,14.0,0.357,3.0,9.0,0.333,0.0,2.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,3.0,4.0,13.0,7.8,1.0,5.0,2.0,0.4,52,33,74,13,56,64,2,1,2,46,53,72,64,2,71,71,58,56.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.9285714285714286,0.8918918918918919,0.9487179487179488,0.8125,0.9655172413793104,0.9696969696969696,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.96,0.927536231884058,0.08,0.9342105263157896,0.9594594594594594,0.9666666666666668,19,7,38.0,79.0,80.0,0.2375,0.1842105263157894,0.0,19,6.0,78.0,4.105263157894737,7.800000000000001,88.3,4.647368421052631,12.7,4.2,0.9,-0.7,1.6,0.0825571549534293,0.566,0.619,0.134,1.6,1.1,W (+8),W (+8)
20.0,18.0,2022-11-27,24-183,PHI,ORL,1.0,29.65,5.0,12.0,0.417,1.0,6.0,0.167,0.0,0.0,,1.0,2.0,3.0,2.0,3.0,1.0,3.0,1.0,11.0,7.6,14.0,6.0,4.0,0.6666666666666666,52,33,74,13,56,64,2,1,2,46,53,72,64,2,71,71,58,56.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.9285714285714286,0.8918918918918919,0.9487179487179488,0.8125,0.9655172413793104,0.9696969696969696,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.96,0.927536231884058,0.08,0.9342105263157896,0.9594594594594594,0.9666666666666668,19,7,38.0,79.0,80.0,0.2375,0.1842105263157894,0.0,19,5.0,117.0,6.157894736842105,7.599999999999996,120.1,6.321052631578947,12.7,4.2,0.9,-0.7,1.6,0.0825571549534293,0.566,0.619,0.134,1.6,1.1,W (+30),W (+30)
21.0,19.0,2022-11-28,24-184,PHI,ATL,1.0,31.966666666666665,3.0,12.0,0.25,2.0,8.0,0.25,1.0,2.0,0.5,0.0,2.0,2.0,5.0,2.0,0.0,2.0,4.0,9.0,3.9,-12.0,4.0,1.0,0.25,52,33,74,13,56,64,2,1,2,46,53,72,64,2,71,71,58,56.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.9285714285714286,0.8918918918918919,0.9487179487179488,0.8125,0.9655172413793104,0.9696969696969696,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.96,0.927536231884058,0.08,0.9342105263157896,0.9594594594594594,0.9666666666666668,19,7,38.0,79.0,80.0,0.2375,0.1842105263157894,0.0,19,2.0,87.0,4.578947368421052,3.4999999999999982,95.4,5.021052631578947,12.7,4.2,0.9,-0.7,1.6,0.0825571549534293,0.566,0.619,0.134,1.6,1.1,,
22.0,20.0,2022-11-30,24-186,PHI,CLE,1.0,27.616666666666667,4.0,11.0,0.364,1.0,4.0,0.25,0.0,0.0,,1.0,1.0,2.0,2.0,3.0,0.0,1.0,2.0,9.0,6.5,-25.0,7.0,3.0,0.4285714285714285,52,33,74,13,56,64,2,1,2,46,53,72,64,2,71,71,58,56.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.9285714285714286,0.8918918918918919,0.9487179487179488,0.8125,0.9655172413793104,0.9696969696969696,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.96,0.927536231884058,0.08,0.9342105263157896,0.9594594594594594,0.9666666666666668,19,7,38.0,79.0,80.0,0.2375,0.1842105263157894,0.0,19,4.0,37.0,1.947368421052632,6.500000000000001,44.6,2.347368421052632,12.7,4.2,0.9,-0.7,1.6,0.0825571549534293,0.566,0.619,0.134,1.6,1.1,W (+3),W (+3)
23.0,21.0,2022-12-02,24-188,PHI,MEM,1.0,34.06666666666667,5.0,13.0,0.385,3.0,8.0,0.375,0.0,0.0,,2.0,4.0,6.0,4.0,0.0,1.0,3.0,3.0,13.0,7.8,11.0,5.0,2.0,0.4,52,33,74,13,56,64,2,1,2,46,53,72,64,2,71,71,58,56.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.9285714285714286,0.8918918918918919,0.9487179487179488,0.8125,0.9655172413793104,0.9696969696969696,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.96,0.927536231884058,0.08,0.9342105263157896,0.9594594594594594,0.9666666666666668,19,7,38.0,79.0,80.0,0.2375,0.1842105263157894,0.0,19,8.0,83.0,4.368421052631579,7.799999999999997,80.99999999999999,4.263157894736842,12.7,4.2,0.9,-0.7,1.6,0.0825571549534293,0.566,0.619,0.134,1.6,1.1,L (-28),L (-28)
24.0,22.0,2022-12-05,24-191,PHI,HOU,1.0,39.98333333333333,3.0,8.0,0.375,3.0,8.0,0.375,0.0,0.0,,2.0,6.0,8.0,6.0,2.0,0.0,2.0,5.0,9.0,10.0,-3.0,0.0,0.0,,52,33,74,13,56,64,2,1,2,46,53,72,64,2,71,71,58,56.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.9285714285714286,0.8918918918918919,0.9487179487179488,0.8125,0.9655172413793104,0.9696969696969696,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.96,0.927536231884058,0.08,0.9342105263157896,0.9594594594594594,0.9666666666666668,19,7,38.0,79.0,80.0,0.2375,0.1842105263157894,0.0,19,15.0,65.0,3.421052631578948,9.999999999999998,73.9,3.889473684210527,12.7,4.2,0.9,-0.7,1.6,0.0825571549534293,0.566,0.619,0.134,1.6,1.1,L (-8),L (-8)
