Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Danuel House Jr.,Shared Games with De'Anthony Melton,Shared Games with Furkan Korkmaz,Shared Games with Georges Niang,Shared Games with Jaden Springer,Shared Games with James Harden,Shared Games with Joel Embiid,Shared Games with Julian Champagnie,Shared Games with Louis King,Shared Games with Mac McClung,Shared Games with Matisse Thybulle,Shared Games with Montrezl Harrell,Shared Games with P.J. Tucker,Shared Games with Paul Reed,Shared Games with Tobias Harris,Shared Games with Tyrese Maxey,Danuel House Jr.,De'Anthony Melton,Furkan Korkmaz,Georges Niang,Jaden Springer,James Harden,Joel Embiid,Julian Champagnie,Louis King,Mac McClung,Matisse Thybulle,Michael Foster Jr.,Montrezl Harrell,P.J. Tucker,Paul Reed,Saben Lee,Tobias Harris,Tyrese Maxey,co_inf with Danuel House Jr.,co_inf with De'Anthony Melton,co_inf with Furkan Korkmaz,co_inf with Georges Niang,co_inf with Jaden Springer,co_inf with James Harden,co_inf with Joel Embiid,co_inf with Julian Champagnie,co_inf with Louis King,co_inf with Mac McClung,co_inf with Matisse Thybulle,co_inf with Michael Foster Jr.,co_inf with Montrezl Harrell,co_inf with P.J. Tucker,co_inf with Paul Reed,co_inf with Saben Lee,co_inf with Tobias Harris,co_inf with Tyrese Maxey,Shared Games with Jalen McDaniels,Shared Games with Dewayne Dedmon,Dewayne Dedmon,Grant Williams,Jalen McDaniels,co_inf with Jalen McDaniels,co_inf with Dewayne Dedmon,co_inf with Grant Williams,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,7,2022-11-07,26-042,PHI,,PHO,W (+12),0,12:19,0.0,1.0,.000,0.0,0.0,,2,2.0,1.000,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,-0.8,+1,1.0,0.0,0.0,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,-2.0,80.0,4.444444444444445,-1.6,86.09999999999997,4.783333333333331
11,12,8,2022-11-10,26-045,PHI,@,ATL,L (-9),0,17:39,2.0,5.0,.400,0.0,1.0,.000,1,2.0,.500,2.0,5.0,7.0,1.0,0.0,0.0,2.0,1.0,5.0,3.1,-5,4.0,2.0,0.5,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,4.0,55.0,3.055555555555556,2.6999999999999984,60.4,3.3555555555555556
12,13,9,2022-11-12,26-047,PHI,,ATL,W (+12),0,20:31,5.0,8.0,.625,0.0,1.0,.000,1,2.0,.500,0.0,2.0,2.0,3.0,0.0,0.0,1.0,2.0,11.0,7.9,-3,7.0,5.0,0.7142857142857143,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,5.0,98.0,5.444444444444445,7.499999999999998,98.79999999999998,5.488888888888888
13,14,10,2022-11-13,26-048,PHI,,UTA,W (+7),0,11:29,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,3.8,-6,1.0,1.0,1.0,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,4.0,78.0,4.333333333333333,3.8,90.6,5.033333333333333
14,15,11,2022-11-18,26-053,PHI,,MIL,W (+8),0,31:11,6.0,12.0,.500,1.0,4.0,.250,2,4.0,.500,0.0,3.0,3.0,6.0,1.0,0.0,3.0,2.0,15.0,10.5,+17,8.0,5.0,0.625,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,6.0,74.0,4.111111111111111,9.699999999999998,81.19999999999999,4.51111111111111
15,16,12,2022-11-19,26-054,PHI,,MIN,L (-3),1,38:03,10.0,15.0,.667,3.0,5.0,.600,4,4.0,1.000,0.0,6.0,6.0,2.0,0.0,0.0,6.0,3.0,27.0,16.5,-2,10.0,7.0,0.7,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,10.0,56.0,3.111111111111111,14.899999999999997,54.2,3.011111111111111
16,17,13,2022-11-22,26-057,PHI,,BRK,W (+9),1,36:25,7.0,14.0,.500,2.0,3.0,.667,0,0.0,,1.0,5.0,6.0,5.0,0.0,0.0,1.0,1.0,16.0,13.3,+8,11.0,5.0,0.4545454545454545,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,12.0,77.0,4.277777777777778,13.3,82.4,4.577777777777778
17,18,14,2022-11-23,26-058,PHI,@,CHO,L (-6),1,38:52,9.0,16.0,.563,1.0,4.0,.250,3,4.0,.750,3.0,4.0,7.0,9.0,2.0,0.0,4.0,1.0,22.0,21.2,-1,12.0,8.0,0.6666666666666666,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,16.0,52.0,2.888888888888889,20.000000000000004,52.6,2.9222222222222225
18,19,15,2022-11-25,26-060,PHI,@,ORL,W (+8),1,41:49,7.0,13.0,.538,4.0,7.0,.571,6,6.0,1.000,2.0,7.0,9.0,10.0,1.0,1.0,4.0,2.0,24.0,25.1,+14,6.0,3.0,0.5,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,22.0,62.0,3.4444444444444446,22.7,73.39999999999999,4.0777777777777775
19,20,16,2022-11-27,26-062,PHI,@,ORL,W (+30),1,37:42,10.0,13.0,.769,3.0,6.0,.500,6,6.0,1.000,2.0,3.0,5.0,7.0,1.0,0.0,1.0,1.0,29.0,30.7,+26,7.0,7.0,1.0,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,22.0,100.0,5.555555555555555,28.3,99.4,5.522222222222222
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,,0.0,0.0,0.0,0.0,0.0
21,21,17,2022-11-28,26-063,PHI,,ATL,W (+3),1,39:33,9.0,20.0,.450,1.0,1.0,1.000,2,2.0,1.000,3.0,2.0,5.0,7.0,0.0,0.0,0.0,1.0,21.0,17.8,+9,19.0,8.0,0.4210526315789473,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,11.0,78.0,4.333333333333333,17.000000000000004,81.89999999999999,4.55
22,22,18,2022-11-30,26-065,PHI,@,CLE,L (-28),1,32:13,6.0,12.0,.500,0.0,3.0,.000,2,2.0,1.000,0.0,3.0,3.0,3.0,0.0,0.0,3.0,0.0,14.0,8.0,-30,9.0,6.0,0.6666666666666666,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,3.0,38.0,2.111111111111111,7.199999999999999,43.89999999999999,2.438888888888888
23,23,19,2022-12-02,26-067,PHI,@,MEM,L (-8),1,39:30,6.0,14.0,.429,1.0,4.0,.250,4,4.0,1.000,0.0,1.0,1.0,5.0,1.0,1.0,2.0,2.0,17.0,12.3,-15,10.0,5.0,0.5,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,5.0,86.0,4.777777777777778,10.7,78.09999999999998,4.338888888888888
24,24,20,2022-12-05,26-070,PHI,@,HOU,L (-9),0,26:29,5.0,10.0,.500,1.0,2.0,.500,0,0.0,,0.0,3.0,3.0,4.0,1.0,0.0,2.0,4.0,11.0,7.1,-13,8.0,4.0,0.5,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,7.0,73.0,4.055555555555555,7.1,76.8,4.266666666666667
25,25,21,2022-12-09,26-074,PHI,,LAL,W (+11),0,24:12,3.0,8.0,.375,0.0,3.0,.000,0,0.0,,0.0,4.0,4.0,3.0,0.0,0.0,2.0,6.0,6.0,0.5,+10,5.0,3.0,0.6,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,3.0,99.0,5.5,0.5,106.8,5.933333333333334
26,26,22,2022-12-11,26-076,PHI,,CHO,W (+18),0,20:38,4.0,7.0,.571,1.0,1.0,1.000,2,3.0,.667,0.0,2.0,2.0,3.0,0.0,0.0,0.0,2.0,11.0,9.2,+2,6.0,3.0,0.5,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,6.0,116.0,6.444444444444445,8.399999999999999,116.7,6.483333333333333
27,27,23,2022-12-13,26-078,PHI,,SAC,W (+20),0,32:35,5.0,10.0,.500,1.0,3.0,.333,3,3.0,1.000,0.0,0.0,0.0,3.0,1.0,0.0,1.0,4.0,14.0,9.5,+3,7.0,4.0,0.5714285714285714,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,4.0,90.0,5.0,8.300000000000002,91.6,5.088888888888889
28,28,24,2022-12-16,26-081,PHI,,GSW,W (+12),0,30:57,3.0,6.0,.500,1.0,2.0,.500,4,6.0,.667,0.0,6.0,6.0,3.0,2.0,1.0,1.0,2.0,11.0,12.0,+11,4.0,2.0,0.5,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,10.0,93.0,5.166666666666667,10.4,104.1,5.783333333333333
