Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alondes Williams,Shared Games with Ben Simmons,Shared Games with Cam Thomas,Shared Games with Day'Ron Sharpe,Shared Games with Edmond Sumner,Shared Games with Joe Harris,Shared Games with Kessler Edwards,Shared Games with Kevin Durant,Shared Games with Kyrie Irving,Shared Games with Markieff Morris,Shared Games with Nic Claxton,Shared Games with Patty Mills,Shared Games with Royce O'Neale,Shared Games with Seth Curry,Shared Games with T.J. Warren,Shared Games with Yuta Watanabe,Alondes Williams,Ben Simmons,Cam Thomas,Day'Ron Sharpe,Edmond Sumner,Joe Harris,Kessler Edwards,Kevin Durant,Kyrie Irving,Markieff Morris,Nic Claxton,Patty Mills,RaiQuan Gray,Royce O'Neale,Seth Curry,T.J. Warren,Yuta Watanabe,co_inf with Alondes Williams,co_inf with Ben Simmons,co_inf with Cam Thomas,co_inf with Day'Ron Sharpe,co_inf with Edmond Sumner,co_inf with Joe Harris,co_inf with Kessler Edwards,co_inf with Kevin Durant,co_inf with Kyrie Irving,co_inf with Markieff Morris,co_inf with Nic Claxton,co_inf with Patty Mills,co_inf with RaiQuan Gray,co_inf with Royce O'Neale,co_inf with Seth Curry,co_inf with T.J. Warren,co_inf with Yuta Watanabe,Shared Games with Dorian Finney-Smith,Shared Games with Spencer Dinwiddie,Shared Games with Nerlens Noel,Shared Games with Cameron Johnson,Shared Games with Dru Smith,Shared Games with Mikal Bridges,Bogdan Bogdanović,Cameron Johnson,Dorian Finney-Smith,Dru Smith,Mikal Bridges,Moses Brown,Nerlens Noel,Payton Pritchard,Spencer Dinwiddie,co_inf with Dorian Finney-Smith,co_inf with Spencer Dinwiddie,co_inf with Nerlens Noel,co_inf with Moses Brown,co_inf with Bogdan Bogdanović,co_inf with Cameron Johnson,co_inf with Dru Smith,co_inf with Mikal Bridges,co_inf with Payton Pritchard,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
23,23,,2022-11-30,23-048,BRK,,WAS,W (+6),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,11,18,19,17,20,10,13,6,9,19,18,19,12,1,16,1.0,42.0,57.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.2619047619047619,0.3157894736842105,0.3958333333333333,0.320754716981132,0.2702702702702703,0.2777777777777778,0.2765957446808511,0.1,0.2571428571428571,0.25,0.45,0.0,0.25,0.1967213114754098,0.0238095238095238,0.2758620689655172,7,8,1,7,2,7,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.106060606060606,0.1012658227848101,0.0588235294117647,0.0,0.0,0.1666666666666666,0.1333333333333333,0.0843373493975903,0.0,22,,65.0,2.9545454545454546,0.0,65.0,2.9545454545454546
24,24,,2022-12-02,23-050,BRK,,TOR,W (+9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,11,18,19,17,20,10,13,6,9,19,18,19,12,1,16,1.0,42.0,57.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.2619047619047619,0.3157894736842105,0.3958333333333333,0.320754716981132,0.2702702702702703,0.2777777777777778,0.2765957446808511,0.1,0.2571428571428571,0.25,0.45,0.0,0.25,0.1967213114754098,0.0238095238095238,0.2758620689655172,7,8,1,7,2,7,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.106060606060606,0.1012658227848101,0.0588235294117647,0.0,0.0,0.1666666666666666,0.1333333333333333,0.0843373493975903,0.0,22,,74.0,3.363636363636364,0.0,87.79999999999998,3.9909090909090903
25,25,,2022-12-04,23-052,BRK,,BOS,L (-11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,11,18,19,17,20,10,13,6,9,19,18,19,12,1,16,1.0,42.0,57.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.2619047619047619,0.3157894736842105,0.3958333333333333,0.320754716981132,0.2702702702702703,0.2777777777777778,0.2765957446808511,0.1,0.2571428571428571,0.25,0.45,0.0,0.25,0.1967213114754098,0.0238095238095238,0.2758620689655172,7,8,1,7,2,7,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.106060606060606,0.1012658227848101,0.0588235294117647,0.0,0.0,0.1666666666666666,0.1333333333333333,0.0843373493975903,0.0,22,,45.0,2.0454545454545454,0.0,50.1,2.2772727272727273
26,26,,2022-12-07,23-055,BRK,,CHO,W (+6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,11,18,19,17,20,10,13,6,9,19,18,19,12,1,16,1.0,42.0,57.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.2619047619047619,0.3157894736842105,0.3958333333333333,0.320754716981132,0.2702702702702703,0.2777777777777778,0.2765957446808511,0.1,0.2571428571428571,0.25,0.45,0.0,0.25,0.1967213114754098,0.0238095238095238,0.2758620689655172,7,8,1,7,2,7,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.106060606060606,0.1012658227848101,0.0588235294117647,0.0,0.0,0.1666666666666666,0.1333333333333333,0.0843373493975903,0.0,22,,94.0,4.2727272727272725,0.0,111.5,5.068181818181818
27,27,,2022-12-09,23-057,BRK,,ATL,W (+4),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,11,18,19,17,20,10,13,6,9,19,18,19,12,1,16,1.0,42.0,57.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.2619047619047619,0.3157894736842105,0.3958333333333333,0.320754716981132,0.2702702702702703,0.2777777777777778,0.2765957446808511,0.1,0.2571428571428571,0.25,0.45,0.0,0.25,0.1967213114754098,0.0238095238095238,0.2758620689655172,7,8,1,7,2,7,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.106060606060606,0.1012658227848101,0.0588235294117647,0.0,0.0,0.1666666666666666,0.1333333333333333,0.0843373493975903,0.0,22,,96.0,4.363636363636363,0.0,103.40000000000002,4.700000000000001
28,28,14,2022-12-10,23-058,BRK,@,IND,W (+3),0,25:15,3.0,8.0,.375,0.0,2.0,.000,1,4.0,.250,2.0,1.0,3.0,3.0,1.0,0.0,4.0,4.0,7.0,0.6,+2,6.0,3.0,0.5,1,11,18,19,17,20,10,13,6,9,19,18,19,12,1,16,1.0,42.0,57.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.2619047619047619,0.3157894736842105,0.3958333333333333,0.320754716981132,0.2702702702702703,0.2777777777777778,0.2765957446808511,0.1,0.2571428571428571,0.25,0.45,0.0,0.25,0.1967213114754098,0.0238095238095238,0.2758620689655172,7,8,1,7,2,7,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.106060606060606,0.1012658227848101,0.0588235294117647,0.0,0.0,0.1666666666666666,0.1333333333333333,0.0843373493975903,0.0,22,-2.0,64.0,2.909090909090909,0.200000000000001,98.69999999999996,4.4863636363636346
29,29,,2022-12-12,23-060,BRK,@,WAS,W (+12),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,11,18,19,17,20,10,13,6,9,19,18,19,12,1,16,1.0,42.0,57.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.2619047619047619,0.3157894736842105,0.3958333333333333,0.320754716981132,0.2702702702702703,0.2777777777777778,0.2765957446808511,0.1,0.2571428571428571,0.25,0.45,0.0,0.25,0.1967213114754098,0.0238095238095238,0.2758620689655172,7,8,1,7,2,7,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.106060606060606,0.1012658227848101,0.0588235294117647,0.0,0.0,0.1666666666666666,0.1333333333333333,0.0843373493975903,0.0,22,,67.0,3.0454545454545454,0.0,78.09999999999997,3.5499999999999985
30,30,,2022-12-16,23-064,BRK,@,TOR,W (+3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,11,18,19,17,20,10,13,6,9,19,18,19,12,1,16,1.0,42.0,57.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.2619047619047619,0.3157894736842105,0.3958333333333333,0.320754716981132,0.2702702702702703,0.2777777777777778,0.2765957446808511,0.1,0.2571428571428571,0.25,0.45,0.0,0.25,0.1967213114754098,0.0238095238095238,0.2758620689655172,7,8,1,7,2,7,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.106060606060606,0.1012658227848101,0.0588235294117647,0.0,0.0,0.1666666666666666,0.1333333333333333,0.0843373493975903,0.0,22,,81.0,3.6818181818181817,0.0,81.8,3.7181818181818183
31,31,,2022-12-18,23-066,BRK,@,DET,W (+3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,11,18,19,17,20,10,13,6,9,19,18,19,12,1,16,1.0,42.0,57.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.2619047619047619,0.3157894736842105,0.3958333333333333,0.320754716981132,0.2702702702702703,0.2777777777777778,0.2765957446808511,0.1,0.2571428571428571,0.25,0.45,0.0,0.25,0.1967213114754098,0.0238095238095238,0.2758620689655172,7,8,1,7,2,7,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.106060606060606,0.1012658227848101,0.0588235294117647,0.0,0.0,0.1666666666666666,0.1333333333333333,0.0843373493975903,0.0,22,,85.0,3.863636363636364,0.0,84.6,3.8454545454545452
32,32,,2022-12-21,23-069,BRK,,GSW,W (+30),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,11,18,19,17,20,10,13,6,9,19,18,19,12,1,16,1.0,42.0,57.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.2619047619047619,0.3157894736842105,0.3958333333333333,0.320754716981132,0.2702702702702703,0.2777777777777778,0.2765957446808511,0.1,0.2571428571428571,0.25,0.45,0.0,0.25,0.1967213114754098,0.0238095238095238,0.2758620689655172,7,8,1,7,2,7,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.106060606060606,0.1012658227848101,0.0588235294117647,0.0,0.0,0.1666666666666666,0.1333333333333333,0.0843373493975903,0.0,22,,103.0,4.681818181818182,0.0,116.29999999999998,5.286363636363635
33,33,,2022-12-23,23-071,BRK,,MIL,W (+18),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,11,18,19,17,20,10,13,6,9,19,18,19,12,1,16,1.0,42.0,57.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.2619047619047619,0.3157894736842105,0.3958333333333333,0.320754716981132,0.2702702702702703,0.2777777777777778,0.2765957446808511,0.1,0.2571428571428571,0.25,0.45,0.0,0.25,0.1967213114754098,0.0238095238095238,0.2758620689655172,7,8,1,7,2,7,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.106060606060606,0.1012658227848101,0.0588235294117647,0.0,0.0,0.1666666666666666,0.1333333333333333,0.0843373493975903,0.0,22,,70.0,3.1818181818181817,0.0,80.8,3.6727272727272724
34,34,,2022-12-26,23-074,BRK,@,CLE,W (+8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,11,18,19,17,20,10,13,6,9,19,18,19,12,1,16,1.0,42.0,57.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.2619047619047619,0.3157894736842105,0.3958333333333333,0.320754716981132,0.2702702702702703,0.2777777777777778,0.2765957446808511,0.1,0.2571428571428571,0.25,0.45,0.0,0.25,0.1967213114754098,0.0238095238095238,0.2758620689655172,7,8,1,7,2,7,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.106060606060606,0.1012658227848101,0.0588235294117647,0.0,0.0,0.1666666666666666,0.1333333333333333,0.0843373493975903,0.0,22,,70.0,3.1818181818181817,0.0,70.6,3.209090909090909
35,35,,2022-12-28,23-076,BRK,@,ATL,W (+1),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,11,18,19,17,20,10,13,6,9,19,18,19,12,1,16,1.0,42.0,57.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.2619047619047619,0.3157894736842105,0.3958333333333333,0.320754716981132,0.2702702702702703,0.2777777777777778,0.2765957446808511,0.1,0.2571428571428571,0.25,0.45,0.0,0.25,0.1967213114754098,0.0238095238095238,0.2758620689655172,7,8,1,7,2,7,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.106060606060606,0.1012658227848101,0.0588235294117647,0.0,0.0,0.1666666666666666,0.1333333333333333,0.0843373493975903,0.0,22,,71.0,3.227272727272727,0.0,80.19999999999999,3.645454545454545
36,36,,2022-12-31,23-079,BRK,@,CHO,W (+17),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,11,18,19,17,20,10,13,6,9,19,18,19,12,1,16,1.0,42.0,57.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.2619047619047619,0.3157894736842105,0.3958333333333333,0.320754716981132,0.2702702702702703,0.2777777777777778,0.2765957446808511,0.1,0.2571428571428571,0.25,0.45,0.0,0.25,0.1967213114754098,0.0238095238095238,0.2758620689655172,7,8,1,7,2,7,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.106060606060606,0.1012658227848101,0.0588235294117647,0.0,0.0,0.1666666666666666,0.1333333333333333,0.0843373493975903,0.0,22,,95.0,4.318181818181818,0.0,101.89999999999998,4.631818181818181
37,37,,2023-01-02,23-081,BRK,,SAS,W (+36),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,11,18,19,17,20,10,13,6,9,19,18,19,12,1,16,1.0,42.0,57.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.2619047619047619,0.3157894736842105,0.3958333333333333,0.320754716981132,0.2702702702702703,0.2777777777777778,0.2765957446808511,0.1,0.2571428571428571,0.25,0.45,0.0,0.25,0.1967213114754098,0.0238095238095238,0.2758620689655172,7,8,1,7,2,7,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.106060606060606,0.1012658227848101,0.0588235294117647,0.0,0.0,0.1666666666666666,0.1333333333333333,0.0843373493975903,0.0,22,,86.0,3.909090909090909,0.0,101.6,4.618181818181818
38,38,,2023-01-04,23-083,BRK,@,CHI,L (-9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,11,18,19,17,20,10,13,6,9,19,18,19,12,1,16,1.0,42.0,57.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.2619047619047619,0.3157894736842105,0.3958333333333333,0.320754716981132,0.2702702702702703,0.2777777777777778,0.2765957446808511,0.1,0.2571428571428571,0.25,0.45,0.0,0.25,0.1967213114754098,0.0238095238095238,0.2758620689655172,7,8,1,7,2,7,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.106060606060606,0.1012658227848101,0.0588235294117647,0.0,0.0,0.1666666666666666,0.1333333333333333,0.0843373493975903,0.0,22,,59.0,2.6818181818181817,0.0,68.69999999999999,3.122727272727272
39,39,,2023-01-06,23-085,BRK,@,NOP,W (+6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,11,18,19,17,20,10,13,6,9,19,18,19,12,1,16,1.0,42.0,57.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.2619047619047619,0.3157894736842105,0.3958333333333333,0.320754716981132,0.2702702702702703,0.2777777777777778,0.2765957446808511,0.1,0.2571428571428571,0.25,0.45,0.0,0.25,0.1967213114754098,0.0238095238095238,0.2758620689655172,7,8,1,7,2,7,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.106060606060606,0.1012658227848101,0.0588235294117647,0.0,0.0,0.1666666666666666,0.1333333333333333,0.0843373493975903,0.0,22,,74.0,3.363636363636364,0.0,71.1,3.2318181818181815
40,40,,2023-01-08,23-087,BRK,@,MIA,W (+1),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,11,18,19,17,20,10,13,6,9,19,18,19,12,1,16,1.0,42.0,57.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.2619047619047619,0.3157894736842105,0.3958333333333333,0.320754716981132,0.2702702702702703,0.2777777777777778,0.2765957446808511,0.1,0.2571428571428571,0.25,0.45,0.0,0.25,0.1967213114754098,0.0238095238095238,0.2758620689655172,7,8,1,7,2,7,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.106060606060606,0.1012658227848101,0.0588235294117647,0.0,0.0,0.1666666666666666,0.1333333333333333,0.0843373493975903,0.0,22,,69.0,3.136363636363636,0.0,68.1,3.0954545454545452
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,1,11,18,19,17,20,10,13,6,9,19,18,19,12,1,16,1.0,42.0,57.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.2619047619047619,0.3157894736842105,0.3958333333333333,0.320754716981132,0.2702702702702703,0.2777777777777778,0.2765957446808511,0.1,0.2571428571428571,0.25,0.45,0.0,0.25,0.1967213114754098,0.0238095238095238,0.2758620689655172,7,8,1,7,2,7,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.106060606060606,0.1012658227848101,0.0588235294117647,0.0,0.0,0.1666666666666666,0.1333333333333333,0.0843373493975903,0.0,22,,0.0,0.0,0.0,0.0,0.0
42,41,,2023-01-12,23-091,BRK,,BOS,L (-11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,11,18,19,17,20,10,13,6,9,19,18,19,12,1,16,1.0,42.0,57.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.2619047619047619,0.3157894736842105,0.3958333333333333,0.320754716981132,0.2702702702702703,0.2777777777777778,0.2765957446808511,0.1,0.2571428571428571,0.25,0.45,0.0,0.25,0.1967213114754098,0.0238095238095238,0.2758620689655172,7,8,1,7,2,7,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.106060606060606,0.1012658227848101,0.0588235294117647,0.0,0.0,0.1666666666666666,0.1333333333333333,0.0843373493975903,0.0,22,,89.0,4.045454545454546,0.0,105.09999999999998,4.7772727272727264
43,42,,2023-01-15,23-094,BRK,,OKC,L (-10),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,11,18,19,17,20,10,13,6,9,19,18,19,12,1,16,1.0,42.0,57.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.2619047619047619,0.3157894736842105,0.3958333333333333,0.320754716981132,0.2702702702702703,0.2777777777777778,0.2765957446808511,0.1,0.2571428571428571,0.25,0.45,0.0,0.25,0.1967213114754098,0.0238095238095238,0.2758620689655172,7,8,1,7,2,7,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.106060606060606,0.1012658227848101,0.0588235294117647,0.0,0.0,0.1666666666666666,0.1333333333333333,0.0843373493975903,0.0,22,,96.0,4.363636363636363,0.0,97.0,4.409090909090909
44,43,,2023-01-17,23-096,BRK,@,SAS,L (-8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,11,18,19,17,20,10,13,6,9,19,18,19,12,1,16,1.0,42.0,57.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.2619047619047619,0.3157894736842105,0.3958333333333333,0.320754716981132,0.2702702702702703,0.2777777777777778,0.2765957446808511,0.1,0.2571428571428571,0.25,0.45,0.0,0.25,0.1967213114754098,0.0238095238095238,0.2758620689655172,7,8,1,7,2,7,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.106060606060606,0.1012658227848101,0.0588235294117647,0.0,0.0,0.1666666666666666,0.1333333333333333,0.0843373493975903,0.0,22,,77.0,3.5,0.0,79.2,3.6
45,44,,2023-01-19,23-098,BRK,@,PHO,L (-5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,11,18,19,17,20,10,13,6,9,19,18,19,12,1,16,1.0,42.0,57.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.2619047619047619,0.3157894736842105,0.3958333333333333,0.320754716981132,0.2702702702702703,0.2777777777777778,0.2765957446808511,0.1,0.2571428571428571,0.25,0.45,0.0,0.25,0.1967213114754098,0.0238095238095238,0.2758620689655172,7,8,1,7,2,7,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.106060606060606,0.1012658227848101,0.0588235294117647,0.0,0.0,0.1666666666666666,0.1333333333333333,0.0843373493975903,0.0,22,,105.0,4.7727272727272725,0.0,118.5,5.386363636363637
46,45,,2023-01-20,23-099,BRK,@,UTA,W (+11),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,11,18,19,17,20,10,13,6,9,19,18,19,12,1,16,1.0,42.0,57.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.2619047619047619,0.3157894736842105,0.3958333333333333,0.320754716981132,0.2702702702702703,0.2777777777777778,0.2765957446808511,0.1,0.2571428571428571,0.25,0.45,0.0,0.25,0.1967213114754098,0.0238095238095238,0.2758620689655172,7,8,1,7,2,7,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.106060606060606,0.1012658227848101,0.0588235294117647,0.0,0.0,0.1666666666666666,0.1333333333333333,0.0843373493975903,0.0,22,,91.0,4.136363636363637,0.0,104.49999999999996,4.749999999999998
47,46,,2023-01-22,23-101,BRK,@,GSW,W (+4),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,11,18,19,17,20,10,13,6,9,19,18,19,12,1,16,1.0,42.0,57.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.2619047619047619,0.3157894736842105,0.3958333333333333,0.320754716981132,0.2702702702702703,0.2777777777777778,0.2765957446808511,0.1,0.2571428571428571,0.25,0.45,0.0,0.25,0.1967213114754098,0.0238095238095238,0.2758620689655172,7,8,1,7,2,7,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.106060606060606,0.1012658227848101,0.0588235294117647,0.0,0.0,0.1666666666666666,0.1333333333333333,0.0843373493975903,0.0,22,,117.0,5.318181818181818,0.0,147.29999999999995,6.6954545454545435
48,47,,2023-01-25,23-104,BRK,@,PHI,L (-4),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,11,18,19,17,20,10,13,6,9,19,18,19,12,1,16,1.0,42.0,57.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.2619047619047619,0.3157894736842105,0.3958333333333333,0.320754716981132,0.2702702702702703,0.2777777777777778,0.2765957446808511,0.1,0.2571428571428571,0.25,0.45,0.0,0.25,0.1967213114754098,0.0238095238095238,0.2758620689655172,7,8,1,7,2,7,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.106060606060606,0.1012658227848101,0.0588235294117647,0.0,0.0,0.1666666666666666,0.1333333333333333,0.0843373493975903,0.0,22,,94.0,4.2727272727272725,0.0,118.4,5.381818181818182
