Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Amir Coffey,Shared Games with Brandon Boston Jr.,Shared Games with Ivica Zubac,Shared Games with Jason Preston,Shared Games with John Wall,Shared Games with Kawhi Leonard,Shared Games with Luke Kennard,Shared Games with Marcus Morris,Shared Games with Moussa Diabaté,Shared Games with Nicolas Batum,Shared Games with Norman Powell,Shared Games with Paul George,Shared Games with Reggie Jackson,Shared Games with Robert Covington,Shared Games with Terance Mann,Amir Coffey,Brandon Boston Jr.,Ivica Zubac,Jason Preston,John Wall,Kawhi Leonard,Luke Kennard,Marcus Morris,Moussa Diabaté,Nicolas Batum,Norman Powell,Paul George,Reggie Jackson,Robert Covington,Terance Mann,Xavier Moon,co_inf with Amir Coffey,co_inf with Brandon Boston Jr.,co_inf with Ivica Zubac,co_inf with Jason Preston,co_inf with John Wall,co_inf with Kawhi Leonard,co_inf with Luke Kennard,co_inf with Marcus Morris,co_inf with Moussa Diabaté,co_inf with Nicolas Batum,co_inf with Norman Powell,co_inf with Paul George,co_inf with Reggie Jackson,co_inf with Robert Covington,co_inf with Terance Mann,co_inf with Xavier Moon,Shared Games with Blake Griffin,Shared Games with Cam Reddish,Shared Games with Derrick Rose,Shared Games with Evan Fournier,Shared Games with Immanuel Quickley,Shared Games with Isaiah Hartenstein,Shared Games with Jalen Brunson,Shared Games with Jericho Sims,Shared Games with Julius Randle,Shared Games with Miles McBride,Shared Games with Mitchell Robinson,Shared Games with Obi Toppin,Shared Games with Quentin Grimes,Shared Games with RJ Barrett,Shared Games with Ryan Arcidiacono,Shared Games with Svi Mykhailiuk,Shared Games with Cam Thomas,Shared Games with Day'Ron Sharpe,Shared Games with Joe Harris,Shared Games with Kessler Edwards,Shared Games with Kevin Durant,Shared Games with Kyrie Irving,Shared Games with Markieff Morris,Shared Games with Nic Claxton,Shared Games with Royce O'Neale,Shared Games with Seth Curry,Shared Games with T.J. Warren,Shared Games with Yuta Watanabe,Shared Games with Cameron Johnson,Shared Games with Dorian Finney-Smith,Shared Games with Mikal Bridges,Shared Games with Spencer Dinwiddie,Alondes Williams,Ben Simmons,Bogdan Bogdanović,Cam Thomas,Cameron Johnson,David Duke Jr.,Day'Ron Sharpe,Dorian Finney-Smith,Dru Smith,Edmond Sumner,Joe Harris,Mikal Bridges,Nerlens Noel,Nic Claxton,Patty Mills,Payton Pritchard,RaiQuan Gray,Royce O'Neale,Seth Curry,Spencer Dinwiddie,Yuta Watanabe,co_inf with Alondes Williams,co_inf with Ben Simmons,co_inf with Bogdan Bogdanović,co_inf with Cam Thomas,co_inf with David Duke Jr.,co_inf with Day'Ron Sharpe,co_inf with Edmond Sumner,co_inf with Joe Harris,co_inf with Nic Claxton,co_inf with Patty Mills,co_inf with Payton Pritchard,co_inf with Royce O'Neale,co_inf with Seth Curry,co_inf with Yuta Watanabe,co_inf with Cameron Johnson,co_inf with Dorian Finney-Smith,co_inf with Dru Smith,co_inf with Mikal Bridges,co_inf with Nerlens Noel,co_inf with RaiQuan Gray,co_inf with Spencer Dinwiddie,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,,2022-11-07,23-025,LAC,,CLE,W (+2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0,8,9,7,4,15,15,14,7,15,11,14,12,14,14,3,5,2,1,2,6,12,14,8,2,2,2,9,1,2,2,2,2,1.0,42.0,54.0,57.0,42.0,23.0,48.0,66.0,15.0,53.0,74.0,83.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0,0.0,0.0350877192982456,0.0,0.0208333333333333,0.0,0.027027027027027,0.0263157894736842,0.0,0.0,0.0263157894736842,0.0327868852459016,0.0172413793103448,0.0476190476190476,0.0303030303030303,0.0,0.0240963855421686,0.0,0.0,0.0253164556962025,47,,98.0,2.0851063829787235,0.0,112.4,2.391489361702128
11,12,6,2022-11-09,23-027,LAC,,LAL,W (+13),0,0:43,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,+2,0.0,0.0,,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0,8,9,7,4,15,15,14,7,15,11,14,12,14,14,3,5,2,1,2,6,12,14,8,2,2,2,9,1,2,2,2,2,1.0,42.0,54.0,57.0,42.0,23.0,48.0,66.0,15.0,53.0,74.0,83.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0,0.0,0.0350877192982456,0.0,0.0208333333333333,0.0,0.027027027027027,0.0263157894736842,0.0,0.0,0.0263157894736842,0.0327868852459016,0.0172413793103448,0.0476190476190476,0.0303030303030303,0.0,0.0240963855421686,0.0,0.0,0.0253164556962025,47,1.0,106.0,2.25531914893617,0.3,105.09999999999998,2.236170212765957
12,13,7,2022-11-12,23-030,LAC,,BRK,L (-15),0,2:21,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,+1,0.0,0.0,,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0,8,9,7,4,15,15,14,7,15,11,14,12,14,14,3,5,2,1,2,6,12,14,8,2,2,2,9,1,2,2,2,2,1.0,42.0,54.0,57.0,42.0,23.0,48.0,66.0,15.0,53.0,74.0,83.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0,0.0,0.0350877192982456,0.0,0.0208333333333333,0.0,0.027027027027027,0.0263157894736842,0.0,0.0,0.0263157894736842,0.0327868852459016,0.0172413793103448,0.0476190476190476,0.0303030303030303,0.0,0.0240963855421686,0.0,0.0,0.0253164556962025,47,0.0,90.0,1.9148936170212767,0.0,108.7,2.3127659574468087
13,14,8,2022-11-14,23-032,LAC,@,HOU,W (+16),0,5:05,2.0,2.0,1.000,0.0,0.0,,2,2.0,1.000,2.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,6.0,7.8,-3,2.0,2.0,1.0,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0,8,9,7,4,15,15,14,7,15,11,14,12,14,14,3,5,2,1,2,6,12,14,8,2,2,2,9,1,2,2,2,2,1.0,42.0,54.0,57.0,42.0,23.0,48.0,66.0,15.0,53.0,74.0,83.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0,0.0,0.0350877192982456,0.0,0.0208333333333333,0.0,0.027027027027027,0.0263157894736842,0.0,0.0,0.0263157894736842,0.0327868852459016,0.0172413793103448,0.0476190476190476,0.0303030303030303,0.0,0.0240963855421686,0.0,0.0,0.0253164556962025,47,6.0,74.0,1.574468085106383,6.999999999999999,86.5,1.8404255319148937
14,15,,2022-11-15,23-033,LAC,@,DAL,L (-2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0,8,9,7,4,15,15,14,7,15,11,14,12,14,14,3,5,2,1,2,6,12,14,8,2,2,2,9,1,2,2,2,2,1.0,42.0,54.0,57.0,42.0,23.0,48.0,66.0,15.0,53.0,74.0,83.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0,0.0,0.0350877192982456,0.0,0.0208333333333333,0.0,0.027027027027027,0.0263157894736842,0.0,0.0,0.0263157894736842,0.0327868852459016,0.0172413793103448,0.0476190476190476,0.0303030303030303,0.0,0.0240963855421686,0.0,0.0,0.0253164556962025,47,,84.0,1.7872340425531914,0.0,103.3,2.197872340425532
15,16,9,2022-11-17,23-035,LAC,,DET,W (+5),0,5:09,2.0,2.0,1.000,0.0,0.0,,0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,+1,2.0,2.0,1.0,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0,8,9,7,4,15,15,14,7,15,11,14,12,14,14,3,5,2,1,2,6,12,14,8,2,2,2,9,1,2,2,2,2,1.0,42.0,54.0,57.0,42.0,23.0,48.0,66.0,15.0,53.0,74.0,83.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0,0.0,0.0350877192982456,0.0,0.0208333333333333,0.0,0.027027027027027,0.0263157894736842,0.0,0.0,0.0263157894736842,0.0327868852459016,0.0172413793103448,0.0476190476190476,0.0303030303030303,0.0,0.0240963855421686,0.0,0.0,0.0253164556962025,47,3.0,88.0,1.872340425531915,3.0,81.59999999999998,1.736170212765957
16,17,10,2022-11-19,23-037,LAC,,SAS,W (+22),0,9:39,2.0,2.0,1.000,0.0,0.0,,2,4.0,.500,0.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,6.0,3.2,-5,2.0,2.0,1.0,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0,8,9,7,4,15,15,14,7,15,11,14,12,14,14,3,5,2,1,2,6,12,14,8,2,2,2,9,1,2,2,2,2,1.0,42.0,54.0,57.0,42.0,23.0,48.0,66.0,15.0,53.0,74.0,83.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0,0.0,0.0350877192982456,0.0,0.0208333333333333,0.0,0.027027027027027,0.0263157894736842,0.0,0.0,0.0263157894736842,0.0327868852459016,0.0172413793103448,0.0476190476190476,0.0303030303030303,0.0,0.0240963855421686,0.0,0.0,0.0253164556962025,47,2.0,116.0,2.4680851063829787,2.4000000000000004,115.2,2.451063829787234
17,18,,2022-11-21,23-039,LAC,,UTA,W (+7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0,8,9,7,4,15,15,14,7,15,11,14,12,14,14,3,5,2,1,2,6,12,14,8,2,2,2,9,1,2,2,2,2,1.0,42.0,54.0,57.0,42.0,23.0,48.0,66.0,15.0,53.0,74.0,83.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0,0.0,0.0350877192982456,0.0,0.0208333333333333,0.0,0.027027027027027,0.0263157894736842,0.0,0.0,0.0263157894736842,0.0327868852459016,0.0172413793103448,0.0476190476190476,0.0303030303030303,0.0,0.0240963855421686,0.0,0.0,0.0253164556962025,47,,80.0,1.702127659574468,0.0,85.8,1.8255319148936169
18,19,11,2022-11-23,23-041,LAC,@,GSW,L (-17),0,12:21,4.0,7.0,.571,0.0,0.0,,2,6.0,.333,3.0,3.0,6.0,0.0,0.0,0.0,0.0,1.0,10.0,7.7,+4,7.0,4.0,0.5714285714285714,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0,8,9,7,4,15,15,14,7,15,11,14,12,14,14,3,5,2,1,2,6,12,14,8,2,2,2,9,1,2,2,2,2,1.0,42.0,54.0,57.0,42.0,23.0,48.0,66.0,15.0,53.0,74.0,83.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0,0.0,0.0350877192982456,0.0,0.0208333333333333,0.0,0.027027027027027,0.0263157894736842,0.0,0.0,0.0263157894736842,0.0327868852459016,0.0172413793103448,0.0476190476190476,0.0303030303030303,0.0,0.0240963855421686,0.0,0.0,0.0253164556962025,47,3.0,97.0,2.0638297872340425,6.899999999999999,106.30000000000004,2.2617021276595755
19,20,12,2022-11-25,23-043,LAC,,DEN,L (-10),0,5:52,1.0,1.0,1.000,0.0,0.0,,1,6.0,.167,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,+9,1.0,1.0,1.0,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0,8,9,7,4,15,15,14,7,15,11,14,12,14,14,3,5,2,1,2,6,12,14,8,2,2,2,9,1,2,2,2,2,1.0,42.0,54.0,57.0,42.0,23.0,48.0,66.0,15.0,53.0,74.0,83.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0,0.0,0.0350877192982456,0.0,0.0208333333333333,0.0,0.027027027027027,0.0263157894736842,0.0,0.0,0.0263157894736842,0.0327868852459016,0.0172413793103448,0.0476190476190476,0.0303030303030303,0.0,0.0240963855421686,0.0,0.0,0.0253164556962025,47,-3.0,80.0,1.702127659574468,0.5999999999999996,77.0,1.6382978723404256
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0,8,9,7,4,15,15,14,7,15,11,14,12,14,14,3,5,2,1,2,6,12,14,8,2,2,2,9,1,2,2,2,2,1.0,42.0,54.0,57.0,42.0,23.0,48.0,66.0,15.0,53.0,74.0,83.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0,0.0,0.0350877192982456,0.0,0.0208333333333333,0.0,0.027027027027027,0.0263157894736842,0.0,0.0,0.0263157894736842,0.0327868852459016,0.0172413793103448,0.0476190476190476,0.0303030303030303,0.0,0.0240963855421686,0.0,0.0,0.0253164556962025,47,,0.0,0.0,0.0,0.0,0.0
21,21,13,2022-11-27,23-045,LAC,,IND,W (+14),0,11:00,1.0,2.0,.500,0.0,0.0,,8,12.0,.667,2.0,1.0,3.0,1.0,0.0,0.0,2.0,2.0,10.0,7.0,-1,2.0,1.0,0.5,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0,8,9,7,4,15,15,14,7,15,11,14,12,14,14,3,5,2,1,2,6,12,14,8,2,2,2,9,1,2,2,2,2,1.0,42.0,54.0,57.0,42.0,23.0,48.0,66.0,15.0,53.0,74.0,83.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0,0.0,0.0350877192982456,0.0,0.0208333333333333,0.0,0.027027027027027,0.0263157894736842,0.0,0.0,0.0263157894736842,0.0327868852459016,0.0172413793103448,0.0476190476190476,0.0303030303030303,0.0,0.0240963855421686,0.0,0.0,0.0253164556962025,47,-2.0,60.0,1.2765957446808511,3.8,60.9,1.2957446808510638
22,22,14,2022-11-29,23-047,LAC,@,POR,W (+6),0,3:23,0.0,1.0,.000,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,-1.2,-2,1.0,0.0,0.0,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0,8,9,7,4,15,15,14,7,15,11,14,12,14,14,3,5,2,1,2,6,12,14,8,2,2,2,9,1,2,2,2,2,1.0,42.0,54.0,57.0,42.0,23.0,48.0,66.0,15.0,53.0,74.0,83.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0,0.0,0.0350877192982456,0.0,0.0208333333333333,0.0,0.027027027027027,0.0263157894736842,0.0,0.0,0.0263157894736842,0.0327868852459016,0.0172413793103448,0.0476190476190476,0.0303030303030303,0.0,0.0240963855421686,0.0,0.0,0.0253164556962025,47,0.0,71.0,1.5106382978723405,-1.2,67.1,1.427659574468085
23,23,15,2022-11-30,23-048,LAC,@,UTA,L (-13),0,3:29,0.0,2.0,.000,0.0,0.0,,0,0.0,,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9,+1,2.0,0.0,0.0,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0,8,9,7,4,15,15,14,7,15,11,14,12,14,14,3,5,2,1,2,6,12,14,8,2,2,2,9,1,2,2,2,2,1.0,42.0,54.0,57.0,42.0,23.0,48.0,66.0,15.0,53.0,74.0,83.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0,0.0,0.0350877192982456,0.0,0.0208333333333333,0.0,0.027027027027027,0.0263157894736842,0.0,0.0,0.0263157894736842,0.0327868852459016,0.0172413793103448,0.0476190476190476,0.0303030303030303,0.0,0.0240963855421686,0.0,0.0,0.0253164556962025,47,2.0,63.0,1.3404255319148937,0.8999999999999999,64.1,1.3638297872340424
24,24,16,2022-12-03,23-051,LAC,,SAC,L (-27),0,7:39,1.0,3.0,.333,0.0,0.0,,3,4.0,.750,3.0,3.0,6.0,0.0,0.0,1.0,0.0,0.0,5.0,6.6,+2,3.0,1.0,0.3333333333333333,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0,8,9,7,4,15,15,14,7,15,11,14,12,14,14,3,5,2,1,2,6,12,14,8,2,2,2,9,1,2,2,2,2,1.0,42.0,54.0,57.0,42.0,23.0,48.0,66.0,15.0,53.0,74.0,83.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0,0.0,0.0350877192982456,0.0,0.0208333333333333,0.0,0.027027027027027,0.0263157894736842,0.0,0.0,0.0263157894736842,0.0327868852459016,0.0172413793103448,0.0476190476190476,0.0303030303030303,0.0,0.0240963855421686,0.0,0.0,0.0253164556962025,47,5.0,69.0,1.4680851063829787,5.4,82.4,1.7531914893617022
25,25,17,2022-12-05,23-053,LAC,@,CHO,W (+2),0,10:00,4.0,5.0,.800,0.0,0.0,,0,0.0,,2.0,5.0,7.0,0.0,0.0,1.0,1.0,1.0,8.0,8.3,+8,5.0,4.0,0.8,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0,8,9,7,4,15,15,14,7,15,11,14,12,14,14,3,5,2,1,2,6,12,14,8,2,2,2,9,1,2,2,2,2,1.0,42.0,54.0,57.0,42.0,23.0,48.0,66.0,15.0,53.0,74.0,83.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0,0.0,0.0350877192982456,0.0,0.0208333333333333,0.0,0.027027027027027,0.0263157894736842,0.0,0.0,0.0263157894736842,0.0327868852459016,0.0172413793103448,0.0476190476190476,0.0303030303030303,0.0,0.0240963855421686,0.0,0.0,0.0253164556962025,47,10.0,35.0,0.7446808510638298,8.299999999999999,41.8,0.8893617021276595
26,26,18,2022-12-07,23-055,LAC,@,ORL,L (-5),0,15:11,3.0,6.0,.500,0.0,0.0,,1,4.0,.250,5.0,3.0,8.0,0.0,0.0,3.0,0.0,1.0,7.0,8.9,-3,6.0,3.0,0.5,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0,8,9,7,4,15,15,14,7,15,11,14,12,14,14,3,5,2,1,2,6,12,14,8,2,2,2,9,1,2,2,2,2,1.0,42.0,54.0,57.0,42.0,23.0,48.0,66.0,15.0,53.0,74.0,83.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0,0.0,0.0350877192982456,0.0,0.0208333333333333,0.0,0.027027027027027,0.0263157894736842,0.0,0.0,0.0263157894736842,0.0327868852459016,0.0172413793103448,0.0476190476190476,0.0303030303030303,0.0,0.0240963855421686,0.0,0.0,0.0253164556962025,47,8.0,86.0,1.8297872340425527,8.5,103.0,2.1914893617021276
27,27,19,2022-12-08,23-056,LAC,@,MIA,L (-5),0,5:26,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,2.2,-3,1.0,1.0,1.0,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0,8,9,7,4,15,15,14,7,15,11,14,12,14,14,3,5,2,1,2,6,12,14,8,2,2,2,9,1,2,2,2,2,1.0,42.0,54.0,57.0,42.0,23.0,48.0,66.0,15.0,53.0,74.0,83.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0,0.0,0.0350877192982456,0.0,0.0208333333333333,0.0,0.027027027027027,0.0263157894736842,0.0,0.0,0.0263157894736842,0.0327868852459016,0.0172413793103448,0.0476190476190476,0.0303030303030303,0.0,0.0240963855421686,0.0,0.0,0.0253164556962025,47,4.0,92.0,1.9574468085106385,2.2,101.20000000000002,2.1531914893617023
