Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Cam Thomas,Shared Games with David Duke Jr.,Shared Games with Day'Ron Sharpe,Shared Games with Edmond Sumner,Shared Games with Kessler Edwards,Shared Games with Markieff Morris,Shared Games with Patty Mills,Shared Games with Yuta Watanabe,Ben Simmons,Cam Thomas,David Duke Jr.,Day'Ron Sharpe,Edmond Sumner,Joe Harris,Kessler Edwards,Kevin Durant,Kyrie Irving,Markieff Morris,Nic Claxton,Patty Mills,RaiQuan Gray,Royce O'Neale,Seth Curry,T.J. Warren,Yuta Watanabe,co_inf with Ben Simmons,co_inf with Cam Thomas,co_inf with David Duke Jr.,co_inf with Day'Ron Sharpe,co_inf with Edmond Sumner,co_inf with Joe Harris,co_inf with Kessler Edwards,co_inf with Kevin Durant,co_inf with Kyrie Irving,co_inf with Markieff Morris,co_inf with Nic Claxton,co_inf with Patty Mills,co_inf with RaiQuan Gray,co_inf with Royce O'Neale,co_inf with Seth Curry,co_inf with T.J. Warren,co_inf with Yuta Watanabe,Bogdan Bogdanović,Cameron Johnson,Dorian Finney-Smith,Dru Smith,Mikal Bridges,Moses Brown,Nerlens Noel,Payton Pritchard,Spencer Dinwiddie,co_inf with Moses Brown,co_inf with Bogdan Bogdanović,co_inf with Cameron Johnson,co_inf with Dorian Finney-Smith,co_inf with Dru Smith,co_inf with Mikal Bridges,co_inf with Nerlens Noel,co_inf with Payton Pritchard,co_inf with Spencer Dinwiddie,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,,2022-11-07,23-141,BRK,@,DAL,L (-2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,1,1,1,1,1,1,1,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.0175438596491228,0.0434782608695652,0.0208333333333333,0.0188679245283018,0.0,0.0277777777777777,0.0,0.0,0.0285714285714285,0.0,0.025,0.0,0.0,0.0,0.0,0.0172413793103448,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,,98.0,12.25,0.0,112.4,14.05
11,12,,2022-11-09,23-143,BRK,,NYK,W (+27),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,1,1,1,1,1,1,1,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.0175438596491228,0.0434782608695652,0.0208333333333333,0.0188679245283018,0.0,0.0277777777777777,0.0,0.0,0.0285714285714285,0.0,0.025,0.0,0.0,0.0,0.0,0.0172413793103448,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,,107.0,13.375,0.0,105.39999999999998,13.174999999999997
12,13,,2022-11-12,23-146,BRK,@,LAC,W (+15),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,1,1,1,1,1,1,1,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.0175438596491228,0.0434782608695652,0.0208333333333333,0.0188679245283018,0.0,0.0277777777777777,0.0,0.0,0.0285714285714285,0.0,0.025,0.0,0.0,0.0,0.0,0.0172413793103448,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,,90.0,11.25,0.0,108.7,13.5875
13,14,,2022-11-13,23-147,BRK,@,LAL,L (-13),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,1,1,1,1,1,1,1,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.0175438596491228,0.0434782608695652,0.0208333333333333,0.0188679245283018,0.0,0.0277777777777777,0.0,0.0,0.0285714285714285,0.0,0.025,0.0,0.0,0.0,0.0,0.0172413793103448,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,,80.0,10.0,0.0,93.5,11.6875
14,15,,2022-11-15,23-149,BRK,@,SAC,L (-32),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,1,1,1,1,1,1,1,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.0175438596491228,0.0434782608695652,0.0208333333333333,0.0188679245283018,0.0,0.0277777777777777,0.0,0.0,0.0285714285714285,0.0,0.025,0.0,0.0,0.0,0.0,0.0172413793103448,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,,84.0,10.5,0.0,103.3,12.9125
15,16,,2022-11-17,23-151,BRK,@,POR,W (+2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,1,1,1,1,1,1,1,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.0175438596491228,0.0434782608695652,0.0208333333333333,0.0188679245283018,0.0,0.0277777777777777,0.0,0.0,0.0285714285714285,0.0,0.025,0.0,0.0,0.0,0.0,0.0172413793103448,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,,91.0,11.375,0.0,84.59999999999998,10.574999999999998
16,17,,2022-11-20,23-154,BRK,,MEM,W (+12),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,1,1,1,1,1,1,1,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.0175438596491228,0.0434782608695652,0.0208333333333333,0.0188679245283018,0.0,0.0277777777777777,0.0,0.0,0.0285714285714285,0.0,0.025,0.0,0.0,0.0,0.0,0.0172413793103448,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,,118.0,14.75,0.0,117.6,14.7
17,18,,2022-11-22,23-156,BRK,@,PHI,L (-9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,1,1,1,1,1,1,1,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.0175438596491228,0.0434782608695652,0.0208333333333333,0.0188679245283018,0.0,0.0277777777777777,0.0,0.0,0.0285714285714285,0.0,0.025,0.0,0.0,0.0,0.0,0.0172413793103448,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,,80.0,10.0,0.0,85.8,10.725
18,19,,2022-11-23,23-157,BRK,@,TOR,W (+14),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,1,1,1,1,1,1,1,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.0175438596491228,0.0434782608695652,0.0208333333333333,0.0188679245283018,0.0,0.0277777777777777,0.0,0.0,0.0285714285714285,0.0,0.025,0.0,0.0,0.0,0.0,0.0172413793103448,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,,100.0,12.5,0.0,113.20000000000002,14.150000000000002
19,20,,2022-11-25,23-159,BRK,@,IND,L (-11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,1,1,1,1,1,1,1,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.0175438596491228,0.0434782608695652,0.0208333333333333,0.0188679245283018,0.0,0.0277777777777777,0.0,0.0,0.0285714285714285,0.0,0.025,0.0,0.0,0.0,0.0,0.0172413793103448,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,,77.0,9.625,0.0,77.6,9.7
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,1,1,1,1,1,1,1,1,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.0175438596491228,0.0434782608695652,0.0208333333333333,0.0188679245283018,0.0,0.0277777777777777,0.0,0.0,0.0285714285714285,0.0,0.025,0.0,0.0,0.0,0.0,0.0172413793103448,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,,0.0,0.0,0.0,0.0,0.0
21,21,,2022-11-27,23-161,BRK,,POR,W (+14),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,1,1,1,1,1,1,1,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.0175438596491228,0.0434782608695652,0.0208333333333333,0.0188679245283018,0.0,0.0277777777777777,0.0,0.0,0.0285714285714285,0.0,0.025,0.0,0.0,0.0,0.0,0.0172413793103448,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,,58.0,7.25,0.0,64.7,8.0875
22,22,,2022-11-28,23-162,BRK,,ORL,W (+7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,1,1,1,1,1,1,1,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.0175438596491228,0.0434782608695652,0.0208333333333333,0.0188679245283018,0.0,0.0277777777777777,0.0,0.0,0.0285714285714285,0.0,0.025,0.0,0.0,0.0,0.0,0.0172413793103448,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,,71.0,8.875,0.0,65.89999999999999,8.237499999999999
23,23,,2022-11-30,23-164,BRK,,WAS,W (+6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,1,1,1,1,1,1,1,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.0175438596491228,0.0434782608695652,0.0208333333333333,0.0188679245283018,0.0,0.0277777777777777,0.0,0.0,0.0285714285714285,0.0,0.025,0.0,0.0,0.0,0.0,0.0172413793103448,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,,65.0,8.125,0.0,65.0,8.125
24,24,,2022-12-02,23-166,BRK,,TOR,W (+9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,1,1,1,1,1,1,1,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.0175438596491228,0.0434782608695652,0.0208333333333333,0.0188679245283018,0.0,0.0277777777777777,0.0,0.0,0.0285714285714285,0.0,0.025,0.0,0.0,0.0,0.0,0.0172413793103448,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,,74.0,9.25,0.0,87.8,10.975
25,25,,2022-12-04,23-168,BRK,,BOS,L (-11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,1,1,1,1,1,1,1,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.0175438596491228,0.0434782608695652,0.0208333333333333,0.0188679245283018,0.0,0.0277777777777777,0.0,0.0,0.0285714285714285,0.0,0.025,0.0,0.0,0.0,0.0,0.0172413793103448,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,,45.0,5.625,0.0,50.1,6.2625
26,26,,2022-12-07,23-171,BRK,,CHO,W (+6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,1,1,1,1,1,1,1,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.0175438596491228,0.0434782608695652,0.0208333333333333,0.0188679245283018,0.0,0.0277777777777777,0.0,0.0,0.0285714285714285,0.0,0.025,0.0,0.0,0.0,0.0,0.0172413793103448,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,,94.0,11.75,0.0,111.5,13.9375
27,27,,2022-12-09,23-173,BRK,,ATL,W (+4),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,1,1,1,1,1,1,1,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.0175438596491228,0.0434782608695652,0.0208333333333333,0.0188679245283018,0.0,0.0277777777777777,0.0,0.0,0.0285714285714285,0.0,0.025,0.0,0.0,0.0,0.0,0.0172413793103448,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,,96.0,12.0,0.0,103.40000000000002,12.925000000000002
28,28,1,2022-12-10,23-174,BRK,@,IND,W (+3),0,5:16,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,-2.1,-5,0.0,0.0,,1,1,1,1,1,1,1,1,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.0175438596491228,0.0434782608695652,0.0208333333333333,0.0188679245283018,0.0,0.0277777777777777,0.0,0.0,0.0285714285714285,0.0,0.025,0.0,0.0,0.0,0.0,0.0172413793103448,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,-1.0,63.0,7.875,-2.1,101.0,12.625
29,29,,2022-12-12,23-176,BRK,@,WAS,W (+12),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,1,1,1,1,1,1,1,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.0175438596491228,0.0434782608695652,0.0208333333333333,0.0188679245283018,0.0,0.0277777777777777,0.0,0.0,0.0285714285714285,0.0,0.025,0.0,0.0,0.0,0.0,0.0172413793103448,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,,67.0,8.375,0.0,78.09999999999998,9.762499999999998
