Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Ben Simmons,Shared Games with Cam Thomas,Shared Games with David Duke Jr.,Shared Games with Day'Ron Sharpe,Shared Games with Edmond Sumner,Shared Games with Joe Harris,Shared Games with Kessler Edwards,Shared Games with Kevin Durant,Shared Games with Kyrie Irving,Shared Games with Markieff Morris,Shared Games with Nic Claxton,Shared Games with Patty Mills,Shared Games with RaiQuan Gray,Shared Games with Seth Curry,Shared Games with T.J. Warren,Shared Games with Yuta Watanabe,Alondes Williams,Ben Simmons,Cam Thomas,David Duke Jr.,Day'Ron Sharpe,Edmond Sumner,Joe Harris,Kessler Edwards,Kevin Durant,Kyrie Irving,Markieff Morris,Nic Claxton,Patty Mills,RaiQuan Gray,Seth Curry,T.J. Warren,Yuta Watanabe,co_inf with Alondes Williams,co_inf with Ben Simmons,co_inf with Cam Thomas,co_inf with David Duke Jr.,co_inf with Day'Ron Sharpe,co_inf with Edmond Sumner,co_inf with Joe Harris,co_inf with Kessler Edwards,co_inf with Kevin Durant,co_inf with Kyrie Irving,co_inf with Markieff Morris,co_inf with Nic Claxton,co_inf with Patty Mills,co_inf with RaiQuan Gray,co_inf with Seth Curry,co_inf with T.J. Warren,co_inf with Yuta Watanabe,Shared Games with Dorian Finney-Smith,Shared Games with Spencer Dinwiddie,Shared Games with Nerlens Noel,Shared Games with Moses Brown,Shared Games with Cameron Johnson,Shared Games with Dru Smith,Shared Games with Mikal Bridges,Bogdan Bogdanović,Cameron Johnson,Dorian Finney-Smith,Dru Smith,Mikal Bridges,Moses Brown,Nerlens Noel,Payton Pritchard,Spencer Dinwiddie,co_inf with Dorian Finney-Smith,co_inf with Spencer Dinwiddie,co_inf with Nerlens Noel,co_inf with Moses Brown,co_inf with Bogdan Bogdanović,co_inf with Cameron Johnson,co_inf with Dru Smith,co_inf with Mikal Bridges,co_inf with Payton Pritchard,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
11,12,12,2022-11-09,29-157,BRK,,NYK,W (+27),1,33:53,2.0,7.0,.286,2.0,4.0,.500,0,0.0,,4.0,6.0,10.0,5.0,2.0,0.0,1.0,3.0,6.0,9.8,+44,3.0,0.0,0.0,40,51,19,43,49,70,13,37,38,25,73,35,1,58,24,52,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,61.0,42.0,58.0,0.0,0.9523809523809524,0.8947368421052632,0.8260869565217391,0.8958333333333334,0.9245283018867924,0.945945945945946,0.3611111111111111,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.9605263157894736,0.875,1.0,0.9508196721311476,0.5714285714285714,0.896551724137931,23,22,2,2,21,9,22,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3484848484848485,0.2784810126582278,0.1176470588235294,0.0555555555555555,0.0,0.5,0.6,0.2650602409638554,0.0,23,15.0,92.0,4.0,9.8,95.59999999999998,4.156521739130434
12,13,13,2022-11-12,29-160,BRK,@,LAC,W (+15),1,34:32,3.0,11.0,.273,3.0,6.0,.500,3,4.0,.750,1.0,4.0,5.0,3.0,1.0,0.0,3.0,3.0,12.0,5.9,+16,5.0,0.0,0.0,40,51,19,43,49,70,13,37,38,25,73,35,1,58,24,52,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,61.0,42.0,58.0,0.0,0.9523809523809524,0.8947368421052632,0.8260869565217391,0.8958333333333334,0.9245283018867924,0.945945945945946,0.3611111111111111,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.9605263157894736,0.875,1.0,0.9508196721311476,0.5714285714285714,0.896551724137931,23,22,2,2,21,9,22,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3484848484848485,0.2784810126582278,0.1176470588235294,0.0555555555555555,0.0,0.5,0.6,0.2650602409638554,0.0,23,3.0,87.0,3.782608695652174,4.699999999999997,104.0,4.521739130434782
13,14,14,2022-11-13,29-161,BRK,@,LAL,L (-13),1,37:14,2.0,8.0,.250,1.0,4.0,.250,1,2.0,.500,0.0,4.0,4.0,4.0,2.0,0.0,1.0,4.0,6.0,4.2,-13,4.0,1.0,0.25,40,51,19,43,49,70,13,37,38,25,73,35,1,58,24,52,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,61.0,42.0,58.0,0.0,0.9523809523809524,0.8947368421052632,0.8260869565217391,0.8958333333333334,0.9245283018867924,0.945945945945946,0.3611111111111111,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.9605263157894736,0.875,1.0,0.9508196721311476,0.5714285714285714,0.896551724137931,23,22,2,2,21,9,22,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3484848484848485,0.2784810126582278,0.1176470588235294,0.0555555555555555,0.0,0.5,0.6,0.2650602409638554,0.0,23,5.0,75.0,3.260869565217391,3.8000000000000007,89.69999999999999,3.8999999999999995
14,15,15,2022-11-15,29-163,BRK,@,SAC,L (-32),1,24:08,1.0,4.0,.250,1.0,4.0,.250,0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,3.0,1.0,3.0,-1.5,-40,0.0,0.0,,40,51,19,43,49,70,13,37,38,25,73,35,1,58,24,52,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,61.0,42.0,58.0,0.0,0.9523809523809524,0.8947368421052632,0.8260869565217391,0.8958333333333334,0.9245283018867924,0.945945945945946,0.3611111111111111,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.9605263157894736,0.875,1.0,0.9508196721311476,0.5714285714285714,0.896551724137931,23,22,2,2,21,9,22,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3484848484848485,0.2784810126582278,0.1176470588235294,0.0555555555555555,0.0,0.5,0.6,0.2650602409638554,0.0,23,-1.0,85.0,3.695652173913044,-1.4999999999999996,104.8,4.556521739130434
15,16,16,2022-11-17,29-165,BRK,@,POR,W (+2),1,37:19,5.0,14.0,.357,1.0,7.0,.143,0,0.0,,1.0,9.0,10.0,11.0,0.0,1.0,2.0,3.0,11.0,11.8,-1,7.0,4.0,0.5714285714285714,40,51,19,43,49,70,13,37,38,25,73,35,1,58,24,52,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,61.0,42.0,58.0,0.0,0.9523809523809524,0.8947368421052632,0.8260869565217391,0.8958333333333334,0.9245283018867924,0.945945945945946,0.3611111111111111,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.9605263157894736,0.875,1.0,0.9508196721311476,0.5714285714285714,0.896551724137931,23,22,2,2,21,9,22,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3484848484848485,0.2784810126582278,0.1176470588235294,0.0555555555555555,0.0,0.5,0.6,0.2650602409638554,0.0,23,17.0,74.0,3.217391304347826,11.799999999999995,72.79999999999998,3.165217391304347
16,17,17,2022-11-20,29-168,BRK,,MEM,W (+12),1,31:29,4.0,6.0,.667,4.0,6.0,.667,0,0.0,,0.0,5.0,5.0,8.0,0.0,1.0,1.0,4.0,12.0,14.6,+12,0.0,0.0,,40,51,19,43,49,70,13,37,38,25,73,35,1,58,24,52,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,61.0,42.0,58.0,0.0,0.9523809523809524,0.8947368421052632,0.8260869565217391,0.8958333333333334,0.9245283018867924,0.945945945945946,0.3611111111111111,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.9605263157894736,0.875,1.0,0.9508196721311476,0.5714285714285714,0.896551724137931,23,22,2,2,21,9,22,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3484848484848485,0.2784810126582278,0.1176470588235294,0.0555555555555555,0.0,0.5,0.6,0.2650602409638554,0.0,23,19.0,99.0,4.304347826086956,14.6,103.0,4.478260869565218
17,18,18,2022-11-22,29-170,BRK,@,PHI,L (-9),1,39:07,4.0,4.0,1.000,3.0,3.0,1.000,0,0.0,,0.0,7.0,7.0,6.0,0.0,2.0,5.0,3.0,11.0,11.3,-13,1.0,1.0,1.0,40,51,19,43,49,70,13,37,38,25,73,35,1,58,24,52,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,61.0,42.0,58.0,0.0,0.9523809523809524,0.8947368421052632,0.8260869565217391,0.8958333333333334,0.9245283018867924,0.945945945945946,0.3611111111111111,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.9605263157894736,0.875,1.0,0.9508196721311476,0.5714285714285714,0.896551724137931,23,22,2,2,21,9,22,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3484848484848485,0.2784810126582278,0.1176470588235294,0.0555555555555555,0.0,0.5,0.6,0.2650602409638554,0.0,23,17.0,63.0,2.739130434782609,11.299999999999995,74.5,3.239130434782609
18,19,19,2022-11-23,29-171,BRK,@,TOR,W (+14),1,27:25,5.0,8.0,.625,5.0,8.0,.625,0,0.0,,0.0,4.0,4.0,7.0,4.0,0.0,3.0,3.0,15.0,17.3,+16,0.0,0.0,,40,51,19,43,49,70,13,37,38,25,73,35,1,58,24,52,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,61.0,42.0,58.0,0.0,0.9523809523809524,0.8947368421052632,0.8260869565217391,0.8958333333333334,0.9245283018867924,0.945945945945946,0.3611111111111111,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.9605263157894736,0.875,1.0,0.9508196721311476,0.5714285714285714,0.896551724137931,23,22,2,2,21,9,22,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3484848484848485,0.2784810126582278,0.1176470588235294,0.0555555555555555,0.0,0.5,0.6,0.2650602409638554,0.0,23,19.0,81.0,3.5217391304347827,17.3,95.9,4.1695652173913045
19,20,20,2022-11-25,29-173,BRK,@,IND,L (-11),1,40:44,3.0,8.0,.375,3.0,7.0,.429,0,0.0,,0.0,4.0,4.0,3.0,1.0,0.0,5.0,1.0,9.0,3.5,-11,1.0,0.0,0.0,40,51,19,43,49,70,13,37,38,25,73,35,1,58,24,52,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,61.0,42.0,58.0,0.0,0.9523809523809524,0.8947368421052632,0.8260869565217391,0.8958333333333334,0.9245283018867924,0.945945945945946,0.3611111111111111,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.9605263157894736,0.875,1.0,0.9508196721311476,0.5714285714285714,0.896551724137931,23,22,2,2,21,9,22,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3484848484848485,0.2784810126582278,0.1176470588235294,0.0555555555555555,0.0,0.5,0.6,0.2650602409638554,0.0,23,4.0,73.0,3.1739130434782608,3.4999999999999982,74.10000000000001,3.221739130434783
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,40,51,19,43,49,70,13,37,38,25,73,35,1,58,24,52,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,61.0,42.0,58.0,0.0,0.9523809523809524,0.8947368421052632,0.8260869565217391,0.8958333333333334,0.9245283018867924,0.945945945945946,0.3611111111111111,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.9605263157894736,0.875,1.0,0.9508196721311476,0.5714285714285714,0.896551724137931,23,22,2,2,21,9,22,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3484848484848485,0.2784810126582278,0.1176470588235294,0.0555555555555555,0.0,0.5,0.6,0.2650602409638554,0.0,23,,0.0,0.0,0.0,0.0,0.0
21,21,21,2022-11-27,29-175,BRK,,POR,W (+14),1,38:27,2.0,5.0,.400,0.0,2.0,.000,3,4.0,.750,0.0,5.0,5.0,4.0,0.0,1.0,0.0,5.0,7.0,6.9,+6,3.0,2.0,0.6666666666666666,40,51,19,43,49,70,13,37,38,25,73,35,1,58,24,52,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,61.0,42.0,58.0,0.0,0.9523809523809524,0.8947368421052632,0.8260869565217391,0.8958333333333334,0.9245283018867924,0.945945945945946,0.3611111111111111,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.9605263157894736,0.875,1.0,0.9508196721311476,0.5714285714285714,0.896551724137931,23,22,2,2,21,9,22,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3484848484848485,0.2784810126582278,0.1176470588235294,0.0555555555555555,0.0,0.5,0.6,0.2650602409638554,0.0,23,8.0,50.0,2.1739130434782608,5.700000000000001,59.0,2.5652173913043477
22,22,22,2022-11-28,29-176,BRK,,ORL,W (+7),1,36:20,2.0,7.0,.286,1.0,5.0,.200,0,0.0,,1.0,9.0,10.0,5.0,2.0,1.0,2.0,2.0,5.0,7.7,+5,2.0,1.0,0.5,40,51,19,43,49,70,13,37,38,25,73,35,1,58,24,52,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,61.0,42.0,58.0,0.0,0.9523809523809524,0.8947368421052632,0.8260869565217391,0.8958333333333334,0.9245283018867924,0.945945945945946,0.3611111111111111,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.9605263157894736,0.875,1.0,0.9508196721311476,0.5714285714285714,0.896551724137931,23,22,2,2,21,9,22,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3484848484848485,0.2784810126582278,0.1176470588235294,0.0555555555555555,0.0,0.5,0.6,0.2650602409638554,0.0,23,14.0,57.0,2.4782608695652173,7.699999999999999,58.2,2.5304347826086957
