Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alondes Williams,Shared Games with Ben Simmons,Shared Games with Cam Thomas,Shared Games with David Duke Jr.,Shared Games with Day'Ron Sharpe,Shared Games with Edmond Sumner,Shared Games with Joe Harris,Shared Games with Kessler Edwards,Shared Games with Kevin Durant,Shared Games with Kyrie Irving,Shared Games with Markieff Morris,Shared Games with Nic Claxton,Shared Games with Patty Mills,Shared Games with RaiQuan Gray,Shared Games with Royce O'Neale,Shared Games with Seth Curry,Shared Games with T.J. Warren,Alondes Williams,Ben Simmons,Cam Thomas,David Duke Jr.,Day'Ron Sharpe,Edmond Sumner,Joe Harris,Kessler Edwards,Kevin Durant,Kyrie Irving,Markieff Morris,Nic Claxton,Patty Mills,RaiQuan Gray,Royce O'Neale,Seth Curry,T.J. Warren,co_inf with Alondes Williams,co_inf with Ben Simmons,co_inf with Cam Thomas,co_inf with David Duke Jr.,co_inf with Day'Ron Sharpe,co_inf with Edmond Sumner,co_inf with Joe Harris,co_inf with Kessler Edwards,co_inf with Kevin Durant,co_inf with Kyrie Irving,co_inf with Markieff Morris,co_inf with Nic Claxton,co_inf with Patty Mills,co_inf with RaiQuan Gray,co_inf with Royce O'Neale,co_inf with Seth Curry,co_inf with T.J. Warren,Shared Games with Dorian Finney-Smith,Shared Games with Spencer Dinwiddie,Shared Games with Nerlens Noel,Shared Games with Moses Brown,Shared Games with Cameron Johnson,Shared Games with Dru Smith,Shared Games with Mikal Bridges,Bogdan Bogdanović,Cameron Johnson,Dorian Finney-Smith,Dru Smith,Mikal Bridges,Moses Brown,Nerlens Noel,Payton Pritchard,Spencer Dinwiddie,co_inf with Dorian Finney-Smith,co_inf with Spencer Dinwiddie,co_inf with Nerlens Noel,co_inf with Moses Brown,co_inf with Bogdan Bogdanović,co_inf with Cameron Johnson,co_inf with Dru Smith,co_inf with Mikal Bridges,co_inf with Payton Pritchard,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,10,2022-11-07,28-025,BRK,@,DAL,L (-2),0,4:38,1.0,3.0,.333,1.0,3.0,.333,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.3,-7,0.0,0.0,,1,31,38,16,37,42,50,8,26,29,19,53,32,1,52,40,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,1.0,0.7380952380952381,0.6666666666666666,0.6956521739130435,0.7708333333333334,0.7924528301886793,0.6756756756756757,0.2222222222222222,0.5531914893617021,0.4833333333333333,0.5428571428571428,0.6973684210526315,0.8,1.0,0.6842105263157895,0.6557377049180327,0.5,15,16,2,1,15,6,15,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2272727272727272,0.2025316455696202,0.1176470588235294,0.0277777777777777,0.0,0.3571428571428571,0.4,0.180722891566265,0.0,24,0.0,98.0,4.083333333333333,1.3000000000000005,111.09999999999998,4.6291666666666655
11,12,,2022-11-09,28-027,BRK,,NYK,W (+27),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,31,38,16,37,42,50,8,26,29,19,53,32,1,52,40,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,1.0,0.7380952380952381,0.6666666666666666,0.6956521739130435,0.7708333333333334,0.7924528301886793,0.6756756756756757,0.2222222222222222,0.5531914893617021,0.4833333333333333,0.5428571428571428,0.6973684210526315,0.8,1.0,0.6842105263157895,0.6557377049180327,0.5,15,16,2,1,15,6,15,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2272727272727272,0.2025316455696202,0.1176470588235294,0.0277777777777777,0.0,0.3571428571428571,0.4,0.180722891566265,0.0,24,,107.0,4.458333333333333,0.0,105.39999999999998,4.391666666666666
12,13,,2022-11-12,28-030,BRK,@,LAC,W (+15),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,31,38,16,37,42,50,8,26,29,19,53,32,1,52,40,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,1.0,0.7380952380952381,0.6666666666666666,0.6956521739130435,0.7708333333333334,0.7924528301886793,0.6756756756756757,0.2222222222222222,0.5531914893617021,0.4833333333333333,0.5428571428571428,0.6973684210526315,0.8,1.0,0.6842105263157895,0.6557377049180327,0.5,15,16,2,1,15,6,15,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2272727272727272,0.2025316455696202,0.1176470588235294,0.0277777777777777,0.0,0.3571428571428571,0.4,0.180722891566265,0.0,24,,90.0,3.75,0.0,108.7,4.529166666666667
13,14,11,2022-11-13,28-031,BRK,@,LAL,L (-13),0,22:45,5.0,8.0,.625,0.0,2.0,.000,1,1.0,1.000,2.0,3.0,5.0,2.0,0.0,1.0,0.0,1.0,11.0,11.4,-9,6.0,5.0,0.8333333333333334,1,31,38,16,37,42,50,8,26,29,19,53,32,1,52,40,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,1.0,0.7380952380952381,0.6666666666666666,0.6956521739130435,0.7708333333333334,0.7924528301886793,0.6756756756756757,0.2222222222222222,0.5531914893617021,0.4833333333333333,0.5428571428571428,0.6973684210526315,0.8,1.0,0.6842105263157895,0.6557377049180327,0.5,15,16,2,1,15,6,15,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2272727272727272,0.2025316455696202,0.1176470588235294,0.0277777777777777,0.0,0.3571428571428571,0.4,0.180722891566265,0.0,24,10.0,70.0,2.9166666666666665,10.999999999999998,82.49999999999999,3.4374999999999996
14,15,12,2022-11-15,28-033,BRK,@,SAC,L (-32),0,19:17,4.0,8.0,.500,3.0,5.0,.600,0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,11.0,6.9,-10,3.0,1.0,0.3333333333333333,1,31,38,16,37,42,50,8,26,29,19,53,32,1,52,40,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,1.0,0.7380952380952381,0.6666666666666666,0.6956521739130435,0.7708333333333334,0.7924528301886793,0.6756756756756757,0.2222222222222222,0.5531914893617021,0.4833333333333333,0.5428571428571428,0.6973684210526315,0.8,1.0,0.6842105263157895,0.6557377049180327,0.5,15,16,2,1,15,6,15,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2272727272727272,0.2025316455696202,0.1176470588235294,0.0277777777777777,0.0,0.3571428571428571,0.4,0.180722891566265,0.0,24,5.0,79.0,3.2916666666666665,6.9,96.4,4.016666666666667
15,16,13,2022-11-17,28-035,BRK,@,POR,W (+2),0,28:35,5.0,7.0,.714,5.0,7.0,.714,5,6.0,.833,2.0,5.0,7.0,2.0,0.0,0.0,0.0,1.0,20.0,20.6,-10,0.0,0.0,,1,31,38,16,37,42,50,8,26,29,19,53,32,1,52,40,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,1.0,0.7380952380952381,0.6666666666666666,0.6956521739130435,0.7708333333333334,0.7924528301886793,0.6756756756756757,0.2222222222222222,0.5531914893617021,0.4833333333333333,0.5428571428571428,0.6973684210526315,0.8,1.0,0.6842105263157895,0.6557377049180327,0.5,15,16,2,1,15,6,15,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2272727272727272,0.2025316455696202,0.1176470588235294,0.0277777777777777,0.0,0.3571428571428571,0.4,0.180722891566265,0.0,24,16.0,75.0,3.125,18.6,65.99999999999997,2.7499999999999987
16,17,14,2022-11-20,28-038,BRK,,MEM,W (+12),0,24:41,6.0,9.0,.667,4.0,6.0,.667,0,0.0,,0.0,3.0,3.0,3.0,0.0,0.0,1.0,2.0,16.0,13.3,-1,3.0,2.0,0.6666666666666666,1,31,38,16,37,42,50,8,26,29,19,53,32,1,52,40,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,1.0,0.7380952380952381,0.6666666666666666,0.6956521739130435,0.7708333333333334,0.7924528301886793,0.6756756756756757,0.2222222222222222,0.5531914893617021,0.4833333333333333,0.5428571428571428,0.6973684210526315,0.8,1.0,0.6842105263157895,0.6557377049180327,0.5,15,16,2,1,15,6,15,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2272727272727272,0.2025316455696202,0.1176470588235294,0.0277777777777777,0.0,0.3571428571428571,0.4,0.180722891566265,0.0,24,12.0,106.0,4.416666666666667,13.299999999999995,104.3,4.345833333333333
17,18,,2022-11-22,28-040,BRK,@,PHI,L (-9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,31,38,16,37,42,50,8,26,29,19,53,32,1,52,40,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,1.0,0.7380952380952381,0.6666666666666666,0.6956521739130435,0.7708333333333334,0.7924528301886793,0.6756756756756757,0.2222222222222222,0.5531914893617021,0.4833333333333333,0.5428571428571428,0.6973684210526315,0.8,1.0,0.6842105263157895,0.6557377049180327,0.5,15,16,2,1,15,6,15,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2272727272727272,0.2025316455696202,0.1176470588235294,0.0277777777777777,0.0,0.3571428571428571,0.4,0.180722891566265,0.0,24,,80.0,3.333333333333333,0.0,85.8,3.5749999999999997
18,19,,2022-11-23,28-041,BRK,@,TOR,W (+14),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,31,38,16,37,42,50,8,26,29,19,53,32,1,52,40,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,1.0,0.7380952380952381,0.6666666666666666,0.6956521739130435,0.7708333333333334,0.7924528301886793,0.6756756756756757,0.2222222222222222,0.5531914893617021,0.4833333333333333,0.5428571428571428,0.6973684210526315,0.8,1.0,0.6842105263157895,0.6557377049180327,0.5,15,16,2,1,15,6,15,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2272727272727272,0.2025316455696202,0.1176470588235294,0.0277777777777777,0.0,0.3571428571428571,0.4,0.180722891566265,0.0,24,,100.0,4.166666666666667,0.0,113.20000000000002,4.716666666666668
19,20,,2022-11-25,28-043,BRK,@,IND,L (-11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,31,38,16,37,42,50,8,26,29,19,53,32,1,52,40,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,1.0,0.7380952380952381,0.6666666666666666,0.6956521739130435,0.7708333333333334,0.7924528301886793,0.6756756756756757,0.2222222222222222,0.5531914893617021,0.4833333333333333,0.5428571428571428,0.6973684210526315,0.8,1.0,0.6842105263157895,0.6557377049180327,0.5,15,16,2,1,15,6,15,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2272727272727272,0.2025316455696202,0.1176470588235294,0.0277777777777777,0.0,0.3571428571428571,0.4,0.180722891566265,0.0,24,,77.0,3.208333333333333,0.0,77.6,3.233333333333333
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,1,31,38,16,37,42,50,8,26,29,19,53,32,1,52,40,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,1.0,0.7380952380952381,0.6666666666666666,0.6956521739130435,0.7708333333333334,0.7924528301886793,0.6756756756756757,0.2222222222222222,0.5531914893617021,0.4833333333333333,0.5428571428571428,0.6973684210526315,0.8,1.0,0.6842105263157895,0.6557377049180327,0.5,15,16,2,1,15,6,15,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2272727272727272,0.2025316455696202,0.1176470588235294,0.0277777777777777,0.0,0.3571428571428571,0.4,0.180722891566265,0.0,24,,0.0,0.0,0.0,0.0,0.0
21,21,,2022-11-27,28-045,BRK,,POR,W (+14),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,31,38,16,37,42,50,8,26,29,19,53,32,1,52,40,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,1.0,0.7380952380952381,0.6666666666666666,0.6956521739130435,0.7708333333333334,0.7924528301886793,0.6756756756756757,0.2222222222222222,0.5531914893617021,0.4833333333333333,0.5428571428571428,0.6973684210526315,0.8,1.0,0.6842105263157895,0.6557377049180327,0.5,15,16,2,1,15,6,15,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2272727272727272,0.2025316455696202,0.1176470588235294,0.0277777777777777,0.0,0.3571428571428571,0.4,0.180722891566265,0.0,24,,58.0,2.4166666666666665,0.0,64.7,2.6958333333333333
22,22,,2022-11-28,28-046,BRK,,ORL,W (+7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,31,38,16,37,42,50,8,26,29,19,53,32,1,52,40,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,1.0,0.7380952380952381,0.6666666666666666,0.6956521739130435,0.7708333333333334,0.7924528301886793,0.6756756756756757,0.2222222222222222,0.5531914893617021,0.4833333333333333,0.5428571428571428,0.6973684210526315,0.8,1.0,0.6842105263157895,0.6557377049180327,0.5,15,16,2,1,15,6,15,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2272727272727272,0.2025316455696202,0.1176470588235294,0.0277777777777777,0.0,0.3571428571428571,0.4,0.180722891566265,0.0,24,,71.0,2.958333333333333,0.0,65.89999999999999,2.745833333333333
