,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
54,53,53,2022-02-04,30-199,DAL,,PHI,W (+9),1,34:19,6,6,1.000,0,0,,2,2,1.000,3,2,5,1,3,0,3,5,14,13.6,+9
55,54,54,2022-02-06,30-201,DAL,,ATL,W (+9),1,36:23,5,8,.625,0,1,.000,2,3,.667,3,4,7,3,0,2,1,2,12,13.0,+3
56,55,55,2022-02-08,30-203,DAL,,DET,W (+30),1,20:00,4,6,.667,0,0,,2,3,.667,4,3,7,1,0,0,0,2,10,10.6,+9
57,56,56,2022-02-10,30-205,DAL,,LAC,W (+7),1,21:09,2,2,1.000,0,0,,4,4,1.000,0,2,2,2,0,2,1,3,8,8.6,+13
58,57,57,2022-02-12,30-207,DAL,,LAC,L (-2),1,26:23,3,5,.600,0,0,,0,0,,7,2,9,1,0,0,1,1,6,8.5,+4
59,58,58,2022-02-15,30-210,DAL,@,MIA,W (+8),1,25:49,3,4,.750,0,0,,1,3,.333,1,1,2,3,1,0,1,5,7,5.7,+2
60,59,59,2022-02-17,30-212,DAL,@,NOP,W (+7),1,24:14,3,4,.750,0,0,,2,3,.667,3,2,5,0,0,1,0,3,8,8.2,-11
61,60,60,2022-02-25,30-220,DAL,@,UTA,L (-5),1,26:20,9,12,.750,1,1,1.000,3,3,1.000,4,3,7,0,1,0,1,1,22,20.5,-2
62,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
63,61,61,2022-02-27,30-222,DAL,@,GSW,W (+6),1,17:48,0,2,.000,0,0,,0,0,,1,3,4,1,0,1,1,4,0,-1.0,-15
64,62,62,2022-03-01,30-224,DAL,@,LAL,W (+5),1,20:51,4,4,1.000,0,0,,5,6,.833,3,4,7,0,0,0,1,4,13,12.1,+4
65,63,63,2022-03-03,30-226,DAL,,GSW,W (+9),1,32:40,5,8,.625,0,1,.000,3,5,.600,3,5,8,2,1,0,0,4,13,13.0,+11
66,64,64,2022-03-05,30-228,DAL,,SAC,W (+1),1,28:04,3,5,.600,0,0,,0,1,.000,1,6,7,2,0,0,1,6,6,3.8,-5
67,65,65,2022-03-07,30-230,DAL,,UTA,W (+8),1,21:28,5,10,.500,0,1,.000,3,3,1.000,3,1,4,1,1,1,0,5,13,10.8,-5
68,66,66,2022-03-09,30-232,DAL,,NYK,L (-30),1,21:27,3,4,.750,0,0,,2,2,1.000,2,2,4,0,0,0,0,4,8,6.8,-1
69,67,67,2022-03-11,30-234,DAL,@,HOU,W (+13),1,31:47,9,11,.818,0,0,,8,9,.889,6,6,12,3,0,2,2,2,26,28.2,+19
70,68,68,2022-03-13,30-236,DAL,@,BOS,W (+3),1,22:30,1,3,.333,0,1,.000,2,2,1.000,1,2,3,2,0,1,2,3,4,2.5,-9
71,69,69,2022-03-16,30-239,DAL,@,BRK,W (+2),1,29:50,5,7,.714,0,0,,2,2,1.000,4,2,6,2,0,1,0,0,12,14.6,-5
72,70,70,2022-03-18,30-241,DAL,@,PHI,L (-10),1,31:50,6,9,.667,0,0,,2,2,1.000,2,2,4,2,0,0,0,3,14,12.3,-5
73,71,71,2022-03-19,30-242,DAL,@,CHO,L (-21),1,21:40,0,4,.000,0,1,.000,2,2,1.000,2,2,4,2,0,0,0,1,2,2.2,-12
74,72,72,2022-03-21,30-244,DAL,,MIN,W (+2),1,26:41,8,8,1.000,0,0,,6,7,.857,3,5,8,2,2,1,0,6,22,24.5,+5
75,73,73,2022-03-23,30-246,DAL,,HOU,W (+19),1,23:41,6,8,.750,0,0,,1,1,1.000,3,4,7,3,0,0,0,3,13,14.0,+4
76,74,74,2022-03-25,30-248,DAL,@,MIN,L (-21),1,21:14,5,7,.714,0,0,,3,3,1.000,1,4,5,1,0,1,1,5,13,10.4,-11
77,75,75,2022-03-27,30-250,DAL,,UTA,W (+14),1,21:36,2,3,.667,0,0,,2,3,.667,1,4,5,0,0,1,1,0,6,5.9,+11
78,76,76,2022-03-29,30-252,DAL,,LAL,W (+18),1,28:35,6,9,.667,0,0,,0,0,,4,4,8,2,0,0,0,3,12,12.3,0
79,77,77,2022-03-30,30-253,DAL,@,CLE,W (+8),1,21:36,5,6,.833,0,1,.000,5,5,1.000,1,4,5,1,1,1,0,5,15,15.1,+6
80,78,78,2022-04-01,30-255,DAL,@,WAS,L (-32),1,20:38,1,4,.250,0,0,,6,6,1.000,1,5,6,0,0,1,1,2,8,6.7,-18
81,79,79,2022-04-03,30-257,DAL,@,MIL,W (+6),1,31:22,8,10,.800,0,0,,6,6,1.000,2,11,13,1,1,0,2,3,22,21.4,+8
82,80,80,2022-04-06,30-260,DAL,@,DET,W (+18),1,30:19,3,3,1.000,0,0,,3,3,1.000,2,5,7,0,1,1,0,5,9,10.7,+23
83,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
84,81,81,2022-04-08,30-262,DAL,,POR,W (+50),1,27:32,7,7,1.000,0,0,,4,6,.667,1,2,3,2,0,1,3,2,18,14.7,+27
85,82,82,2022-04-10,30-264,DAL,,SAS,W (+10),1,25:05,5,6,.833,0,0,,2,6,.333,3,4,7,2,0,1,3,2,12,9.8,+11
