,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
48,47,34,2022-01-23,24-055,CHO,,ATL,L (-22),0,2:24,0,0,,0,0,,0,2,.000,0,1,1,0,0,0,0,0,0,-0.5,-6
49,48,35,2022-01-25,24-057,CHO,@,TOR,L (-12),0,3:58,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,1,0,0,-0.7,+7
50,49,36,2022-01-26,24-058,CHO,@,IND,W (+32),0,4:52,2,2,1.000,0,0,,1,2,.500,0,2,2,0,0,0,0,0,5,4.6,-3
51,50,,2022-01-28,24-060,CHO,,LAL,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
52,51,37,2022-01-30,24-062,CHO,,LAC,L (-25),0,3:15,0,1,.000,0,0,,1,2,.500,1,0,1,0,0,0,0,0,1,0.6,-3
53,52,38,2022-02-02,24-065,CHO,@,BOS,L (-6),0,7:32,0,0,,0,0,,0,0,,0,2,2,0,0,0,1,1,0,-0.8,-13
54,53,,2022-02-04,24-067,CHO,,CLE,L (-1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
55,54,39,2022-02-05,24-068,CHO,,MIA,L (-18),0,12:00,0,1,.000,0,0,,1,2,.500,1,1,2,1,0,0,0,2,1,0.8,+4
56,55,,2022-02-07,24-070,CHO,,TOR,L (-15),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
57,56,40,2022-02-09,24-072,CHO,,CHI,L (-12),0,12:43,3,3,1.000,0,0,,3,4,.750,1,0,1,0,0,0,0,1,9,8.0,-1
58,57,41,2022-02-11,24-074,CHO,@,DET,W (+22),0,3:46,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,-3
59,58,,2022-02-12,24-075,CHO,,MEM,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
60,59,,2022-02-15,24-078,CHO,@,MIN,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
61,60,,2022-02-17,24-080,CHO,,MIA,L (-4),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
62,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
63,61,,2022-02-25,24-088,CHO,,TOR,W (+32),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
64,62,,2022-02-27,24-090,CHO,,DET,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
65,63,,2022-02-28,24-091,CHO,@,MIL,L (-24),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
66,64,42,2022-03-02,24-093,CHO,@,CLE,W (+21),0,2:35,1,1,1.000,0,0,,0,2,.000,0,0,0,0,0,0,0,0,2,0.9,0
