Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bam Adebayo,Shared Games with Caleb Martin,Shared Games with Cody Zeller,Shared Games with Dewayne Dedmon,Shared Games with Dru Smith,Shared Games with Duncan Robinson,Shared Games with Gabe Vincent,Shared Games with Jamal Cain,Shared Games with Jimmy Butler,Shared Games with Kyle Lowry,Shared Games with Max Strus,Shared Games with Nikola Jović,Shared Games with Omer Yurtseven,Shared Games with Orlando Robinson,Shared Games with Tyler Herro,Shared Games with Udonis Haslem,Shared Games with Victor Oladipo,Bam Adebayo,Caleb Martin,Cody Zeller,Dewayne Dedmon,Dru Smith,Duncan Robinson,Gabe Vincent,Jamal Cain,Jamaree Bouyea,Jimmy Butler,Kyle Lowry,Max Strus,Nikola Jović,Omer Yurtseven,Orlando Robinson,Tyler Herro,Udonis Haslem,Victor Oladipo,co_inf with Bam Adebayo,co_inf with Caleb Martin,co_inf with Cody Zeller,co_inf with Dewayne Dedmon,co_inf with Dru Smith,co_inf with Duncan Robinson,co_inf with Gabe Vincent,co_inf with Jamal Cain,co_inf with Jamaree Bouyea,co_inf with Jimmy Butler,co_inf with Kyle Lowry,co_inf with Max Strus,co_inf with Nikola Jović,co_inf with Omer Yurtseven,co_inf with Orlando Robinson,co_inf with Tyler Herro,co_inf with Udonis Haslem,co_inf with Victor Oladipo,Shared Games with Kevin Love,Kevin Love,Trent Forrest,co_inf with Kevin Love,co_inf with Trent Forrest,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,,2022-11-07,25-333,MIA,POR,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,49,44,10,20,3,27,42,16,37,35,52,12,7,21,43,6,25,75.0,71.0,15.0,38.0,15.0,42.0,68.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.6533333333333333,0.6197183098591549,0.6666666666666666,0.5263157894736842,0.2,0.6428571428571429,0.6176470588235294,0.8888888888888888,0.0,0.578125,0.6363636363636364,0.65,0.8,0.7777777777777778,0.6774193548387096,0.6417910447761194,0.8571428571428571,0.5952380952380952,10,62.0,23.0,0.1612903225806451,0.0,18,,81.0,4.5,0.0,90.89999999999998,5.049999999999999,8.5,0.9,-3.1,-3.7,0.7,0.0262894062604433,0.517,0.505,0.13,-0.3,-0.3,L (-3),L (-3)
12.0,,2022-11-10,25-336,MIA,CHO,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,49,44,10,20,3,27,42,16,37,35,52,12,7,21,43,6,25,75.0,71.0,15.0,38.0,15.0,42.0,68.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.6533333333333333,0.6197183098591549,0.6666666666666666,0.5263157894736842,0.2,0.6428571428571429,0.6176470588235294,0.8888888888888888,0.0,0.578125,0.6363636363636364,0.65,0.8,0.7777777777777778,0.6774193548387096,0.6417910447761194,0.8571428571428571,0.5952380952380952,10,62.0,23.0,0.1612903225806451,0.0,18,,59.0,3.2777777777777777,0.0,80.8,4.488888888888889,8.5,0.9,-3.1,-3.7,0.7,0.0262894062604433,0.517,0.505,0.13,-0.3,-0.3,W (+5),W (+5)
13.0,6.0,2022-11-12,25-338,MIA,CHO,0,1.65,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,49,44,10,20,3,27,42,16,37,35,52,12,7,21,43,6,25,75.0,71.0,15.0,38.0,15.0,42.0,68.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.6533333333333333,0.6197183098591549,0.6666666666666666,0.5263157894736842,0.2,0.6428571428571429,0.6176470588235294,0.8888888888888888,0.0,0.578125,0.6363636363636364,0.65,0.8,0.7777777777777778,0.6774193548387096,0.6417910447761194,0.8571428571428571,0.5952380952380952,10,62.0,23.0,0.1612903225806451,0.0,18,0.0,96.0,5.333333333333333,0.0,111.89999999999998,6.216666666666665,8.5,0.9,-3.1,-3.7,0.7,0.0262894062604433,0.517,0.505,0.13,-0.3,-0.3,W (+17),W (+17)
14.0,,2022-11-14,25-340,MIA,PHO,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,49,44,10,20,3,27,42,16,37,35,52,12,7,21,43,6,25,75.0,71.0,15.0,38.0,15.0,42.0,68.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.6533333333333333,0.6197183098591549,0.6666666666666666,0.5263157894736842,0.2,0.6428571428571429,0.6176470588235294,0.8888888888888888,0.0,0.578125,0.6363636363636364,0.65,0.8,0.7777777777777778,0.6774193548387096,0.6417910447761194,0.8571428571428571,0.5952380952380952,10,62.0,23.0,0.1612903225806451,0.0,18,,65.0,3.611111111111111,0.0,77.19999999999999,4.288888888888888,8.5,0.9,-3.1,-3.7,0.7,0.0262894062604433,0.517,0.505,0.13,-0.3,-0.3,W (+1),W (+1)
15.0,,2022-11-16,25-342,MIA,TOR,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,49,44,10,20,3,27,42,16,37,35,52,12,7,21,43,6,25,75.0,71.0,15.0,38.0,15.0,42.0,68.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.6533333333333333,0.6197183098591549,0.6666666666666666,0.5263157894736842,0.2,0.6428571428571429,0.6176470588235294,0.8888888888888888,0.0,0.578125,0.6363636363636364,0.65,0.8,0.7777777777777778,0.6774193548387096,0.6417910447761194,0.8571428571428571,0.5952380952380952,10,62.0,23.0,0.1612903225806451,0.0,18,,75.0,4.166666666666667,0.0,82.0,4.555555555555555,8.5,0.9,-3.1,-3.7,0.7,0.0262894062604433,0.517,0.505,0.13,-0.3,-0.3,L (-8),L (-8)
16.0,7.0,2022-11-18,25-344,MIA,WAS,1,41.91666666666666,5.0,17.0,.294,1.0,7.0,.143,1,2.0,.500,4.0,10.0,14.0,2.0,2.0,0.0,1.0,1.0,12.0,9.5,-2,10.0,4.0,0.4,49,44,10,20,3,27,42,16,37,35,52,12,7,21,43,6,25,75.0,71.0,15.0,38.0,15.0,42.0,68.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.6533333333333333,0.6197183098591549,0.6666666666666666,0.5263157894736842,0.2,0.6428571428571429,0.6176470588235294,0.8888888888888888,0.0,0.578125,0.6363636363636364,0.65,0.8,0.7777777777777778,0.6774193548387096,0.6417910447761194,0.8571428571428571,0.5952380952380952,10,62.0,23.0,0.1612903225806451,0.0,18,10.0,35.0,1.9444444444444444,9.1,49.8,2.7666666666666666,8.5,0.9,-3.1,-3.7,0.7,0.0262894062604433,0.517,0.505,0.13,-0.3,-0.3,L (-1),L (-1)
17.0,8.0,2022-11-20,25-346,MIA,CLE,0,28.633333333333333,0.0,3.0,.000,0.0,2.0,.000,0,2.0,.000,1.0,3.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,-1.1,-23,1.0,0.0,0.0,49,44,10,20,3,27,42,16,37,35,52,12,7,21,43,6,25,75.0,71.0,15.0,38.0,15.0,42.0,68.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.6533333333333333,0.6197183098591549,0.6666666666666666,0.5263157894736842,0.2,0.6428571428571429,0.6176470588235294,0.8888888888888888,0.0,0.578125,0.6363636363636364,0.65,0.8,0.7777777777777778,0.6774193548387096,0.6417910447761194,0.8571428571428571,0.5952380952380952,10,62.0,23.0,0.1612903225806451,0.0,18,0.0,37.0,2.055555555555556,-1.1,54.1,3.0055555555555555,8.5,0.9,-3.1,-3.7,0.7,0.0262894062604433,0.517,0.505,0.13,-0.3,-0.3,L (-26),L (-26)
18.0,9.0,2022-11-21,25-347,MIA,MIN,0,19.883333333333333,4.0,7.0,.571,2.0,3.0,.667,2,2.0,1.000,2.0,3.0,5.0,0.0,0.0,0.0,4.0,3.0,12.0,5.8,+7,4.0,2.0,0.5,49,44,10,20,3,27,42,16,37,35,52,12,7,21,43,6,25,75.0,71.0,15.0,38.0,15.0,42.0,68.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.6533333333333333,0.6197183098591549,0.6666666666666666,0.5263157894736842,0.2,0.6428571428571429,0.6176470588235294,0.8888888888888888,0.0,0.578125,0.6363636363636364,0.65,0.8,0.7777777777777778,0.6774193548387096,0.6417910447761194,0.8571428571428571,0.5952380952380952,10,62.0,23.0,0.1612903225806451,0.0,18,4.0,48.0,2.6666666666666665,5.0,57.1,3.1722222222222225,8.5,0.9,-3.1,-3.7,0.7,0.0262894062604433,0.517,0.505,0.13,-0.3,-0.3,L (-4),L (-4)
19.0,10.0,2022-11-23,25-349,MIA,WAS,0,37.8,2.0,7.0,.286,1.0,4.0,.250,0,0.0,,0.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,5.0,5.0,+16,3.0,1.0,0.3333333333333333,49,44,10,20,3,27,42,16,37,35,52,12,7,21,43,6,25,75.0,71.0,15.0,38.0,15.0,42.0,68.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.6533333333333333,0.6197183098591549,0.6666666666666666,0.5263157894736842,0.2,0.6428571428571429,0.6176470588235294,0.8888888888888888,0.0,0.578125,0.6363636363636364,0.65,0.8,0.7777777777777778,0.6774193548387096,0.6417910447761194,0.8571428571428571,0.5952380952380952,10,62.0,23.0,0.1612903225806451,0.0,18,8.0,77.0,4.277777777777778,4.999999999999999,92.1,5.116666666666666,8.5,0.9,-3.1,-3.7,0.7,0.0262894062604433,0.517,0.505,0.13,-0.3,-0.3,W (+8),W (+8)
20.0,11.0,2022-11-25,25-351,MIA,WAS,0,33.53333333333333,2.0,6.0,.333,1.0,2.0,.500,1,4.0,.250,2.0,5.0,7.0,1.0,0.0,1.0,1.0,1.0,6.0,4.3,+4,4.0,1.0,0.25,49,44,10,20,3,27,42,16,37,35,52,12,7,21,43,6,25,75.0,71.0,15.0,38.0,15.0,42.0,68.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.6533333333333333,0.6197183098591549,0.6666666666666666,0.5263157894736842,0.2,0.6428571428571429,0.6176470588235294,0.8888888888888888,0.0,0.578125,0.6363636363636364,0.65,0.8,0.7777777777777778,0.6774193548387096,0.6417910447761194,0.8571428571428571,0.5952380952380952,10,62.0,23.0,0.1612903225806451,0.0,18,4.0,58.0,3.2222222222222223,3.899999999999999,69.00000000000001,3.833333333333334,8.5,0.9,-3.1,-3.7,0.7,0.0262894062604433,0.517,0.505,0.13,-0.3,-0.3,W (+3),W (+3)
21.0,12.0,2022-11-27,25-353,MIA,ATL,0,23.133333333333333,0.0,3.0,.000,0.0,2.0,.000,0,0.0,,1.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,0.0,0.5,+1,1.0,0.0,0.0,49,44,10,20,3,27,42,16,37,35,52,12,7,21,43,6,25,75.0,71.0,15.0,38.0,15.0,42.0,68.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.6533333333333333,0.6197183098591549,0.6666666666666666,0.5263157894736842,0.2,0.6428571428571429,0.6176470588235294,0.8888888888888888,0.0,0.578125,0.6363636363636364,0.65,0.8,0.7777777777777778,0.6774193548387096,0.6417910447761194,0.8571428571428571,0.5952380952380952,10,62.0,23.0,0.1612903225806451,0.0,18,3.0,64.0,3.555555555555556,0.4999999999999998,66.9,3.716666666666667,8.5,0.9,-3.1,-3.7,0.7,0.0262894062604433,0.517,0.505,0.13,-0.3,-0.3,,
22.0,13.0,2022-11-30,25-356,MIA,BOS,0,25.53333333333333,6.0,9.0,.667,4.0,6.0,.667,0,0.0,,3.0,5.0,8.0,2.0,0.0,2.0,0.0,1.0,16.0,18.1,-14,3.0,2.0,0.6666666666666666,49,44,10,20,3,27,42,16,37,35,52,12,7,21,43,6,25,75.0,71.0,15.0,38.0,15.0,42.0,68.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.6533333333333333,0.6197183098591549,0.6666666666666666,0.5263157894736842,0.2,0.6428571428571429,0.6176470588235294,0.8888888888888888,0.0,0.578125,0.6363636363636364,0.65,0.8,0.7777777777777778,0.6774193548387096,0.6417910447761194,0.8571428571428571,0.5952380952380952,10,62.0,23.0,0.1612903225806451,0.0,18,19.0,81.0,4.5,18.1,92.0,5.111111111111111,8.5,0.9,-3.1,-3.7,0.7,0.0262894062604433,0.517,0.505,0.13,-0.3,-0.3,W (+8),W (+8)
23.0,14.0,2022-12-02,25-358,MIA,BOS,0,27.95,1.0,5.0,.200,0.0,2.0,.000,0,0.0,,0.0,5.0,5.0,1.0,1.0,1.0,0.0,0.0,2.0,2.8,+12,3.0,1.0,0.3333333333333333,49,44,10,20,3,27,42,16,37,35,52,12,7,21,43,6,25,75.0,71.0,15.0,38.0,15.0,42.0,68.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.6533333333333333,0.6197183098591549,0.6666666666666666,0.5263157894736842,0.2,0.6428571428571429,0.6176470588235294,0.8888888888888888,0.0,0.578125,0.6363636363636364,0.65,0.8,0.7777777777777778,0.6774193548387096,0.6417910447761194,0.8571428571428571,0.5952380952380952,10,62.0,23.0,0.1612903225806451,0.0,18,5.0,91.0,5.055555555555555,2.8000000000000007,101.0,5.611111111111111,8.5,0.9,-3.1,-3.7,0.7,0.0262894062604433,0.517,0.505,0.13,-0.3,-0.3,L (-13),L (-13)
24.0,15.0,2022-12-05,25-361,MIA,MEM,0,14.066666666666666,2.0,5.0,.400,2.0,4.0,.500,0,0.0,,2.0,4.0,6.0,0.0,3.0,1.0,1.0,0.0,6.0,8.6,-4,1.0,0.0,0.0,49,44,10,20,3,27,42,16,37,35,52,12,7,21,43,6,25,75.0,71.0,15.0,38.0,15.0,42.0,68.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.6533333333333333,0.6197183098591549,0.6666666666666666,0.5263157894736842,0.2,0.6428571428571429,0.6176470588235294,0.8888888888888888,0.0,0.578125,0.6363636363636364,0.65,0.8,0.7777777777777778,0.6774193548387096,0.6417910447761194,0.8571428571428571,0.5952380952380952,10,62.0,23.0,0.1612903225806451,0.0,18,10.0,52.0,2.888888888888889,8.599999999999998,62.8,3.488888888888889,8.5,0.9,-3.1,-3.7,0.7,0.0262894062604433,0.517,0.505,0.13,-0.3,-0.3,W (+4),W (+4)
