Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bam Adebayo,Shared Games with Caleb Martin,Shared Games with Cody Zeller,Shared Games with Dru Smith,Shared Games with Duncan Robinson,Shared Games with Gabe Vincent,Shared Games with Haywood Highsmith,Shared Games with Jamal Cain,Shared Games with Jamaree Bouyea,Shared Games with Jimmy Butler,Shared Games with Kyle Lowry,Shared Games with Max Strus,Shared Games with Nikola Jović,Shared Games with Omer Yurtseven,Shared Games with Orlando Robinson,Shared Games with Tyler Herro,Shared Games with Udonis Haslem,Shared Games with Victor Oladipo,Bam Adebayo,Caleb Martin,Cody Zeller,Dru Smith,Duncan Robinson,Gabe Vincent,Haywood Highsmith,Jamal Cain,Jamaree Bouyea,Jimmy Butler,Kyle Lowry,Max Strus,Nikola Jović,Omer Yurtseven,Orlando Robinson,Tyler Herro,Udonis Haslem,Victor Oladipo,co_inf with Bam Adebayo,co_inf with Caleb Martin,co_inf with Cody Zeller,co_inf with Dru Smith,co_inf with Duncan Robinson,co_inf with Gabe Vincent,co_inf with Haywood Highsmith,co_inf with Jamal Cain,co_inf with Jamaree Bouyea,co_inf with Jimmy Butler,co_inf with Kyle Lowry,co_inf with Max Strus,co_inf with Nikola Jović,co_inf with Omer Yurtseven,co_inf with Orlando Robinson,co_inf with Tyler Herro,co_inf with Udonis Haslem,co_inf with Victor Oladipo
10,11,9,2022-11-07,33-087,MIA,,POR,L (-3),0,14.616666666666667,3.0,5.0,.600,0.0,1.0,.000,4,4,1.000,0,6,6,1,0,0,0,0,10,10.2,-5,4.0,3.0,0.75,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
11,12,10,2022-11-10,33-090,MIA,,CHO,W (+5),0,14.4,3.0,6.0,.500,0.0,1.0,.000,1,4,.250,1,1,2,0,1,0,0,5,7,2.8,-4,5.0,3.0,0.6,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
12,13,11,2022-11-12,33-092,MIA,,CHO,W (+17),0,13.3,3.0,7.0,.429,1.0,2.0,.500,0,0,,3,1,4,2,0,3,0,2,7,8.4,-2,5.0,2.0,0.4,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
13,14,12,2022-11-14,33-094,MIA,,PHO,W (+1),0,11.766666666666667,5.0,7.0,.714,2.0,3.0,.667,0,0,,3,1,4,0,0,1,0,0,12,12.2,-11,4.0,3.0,0.75,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
14,15,13,2022-11-16,33-096,MIA,@,TOR,L (-8),0,15.916666666666666,4.0,4.0,1.000,0.0,0.0,,1,3,.333,0,0,0,0,0,0,2,2,9,4.2,-7,4.0,4.0,1.0,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
15,16,,2022-11-18,33-098,MIA,@,WAS,L (-1),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
16,17,14,2022-11-20,33-100,MIA,@,CLE,L (-26),0,13.133333333333333,3.0,8.0,.375,0.0,2.0,.000,4,4,1.000,1,4,5,0,1,1,1,0,10,8.2,-10,6.0,3.0,0.5,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
17,18,15,2022-11-21,33-101,MIA,@,MIN,L (-4),0,12.4,3.0,7.0,.429,1.0,2.0,.500,3,4,.750,1,2,3,3,0,0,0,3,10,8.1,+5,5.0,2.0,0.4,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
18,19,16,2022-11-23,33-103,MIA,,WAS,W (+8),0,12.65,3.0,5.0,.600,0.0,1.0,.000,3,3,1.000,0,2,2,1,0,2,0,1,9,9.0,+2,4.0,3.0,0.75,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
19,20,17,2022-11-25,33-105,MIA,,WAS,W (+3),0,12.7,4.0,8.0,.500,0.0,0.0,,1,1,1.000,2,3,5,0,1,0,1,1,9,6.9,+2,8.0,4.0,0.5,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
20,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
21,21,18,2022-11-27,33-107,MIA,@,ATL,W (+8),0,14.3,6.0,7.0,.857,1.0,2.0,.500,0,2,.000,1,5,6,0,1,0,1,1,13,11.5,+7,5.0,5.0,1.0,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
22,22,,2022-11-30,33-110,MIA,@,BOS,L (-13),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
23,23,19,2022-12-02,33-112,MIA,@,BOS,W (+4),0,8.683333333333334,1.0,3.0,.333,0.0,2.0,.000,0,0,,0,4,4,0,0,0,1,3,2,-0.7,-1,1.0,1.0,1.0,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
24,24,20,2022-12-05,33-115,MIA,@,MEM,L (-8),0,9.266666666666667,0.0,5.0,.000,0.0,1.0,.000,0,0,,2,4,6,0,0,0,1,4,0,-3.5,-17,4.0,0.0,0.0,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
25,25,,2022-12-06,33-116,MIA,,DET,L (-20),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
26,26,21,2022-12-08,33-118,MIA,,LAC,W (+5),0,11.583333333333334,3.0,5.0,.600,0.0,1.0,.000,0,1,.000,0,3,3,0,1,1,1,3,6,3.7,-8,4.0,3.0,0.75,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
27,27,22,2022-12-10,33-120,MIA,,SAS,L (-4),0,15.65,1.0,8.0,.125,0.0,3.0,.000,0,0,,2,3,5,1,0,1,1,3,2,-1.7,-8,5.0,1.0,0.2,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
28,28,23,2022-12-12,33-122,MIA,@,IND,W (+5),0,12.7,2.0,3.0,.667,0.0,0.0,,2,2,1.000,3,3,6,1,0,0,0,3,6,7.2,+4,3.0,2.0,0.6666666666666666,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
29,29,24,2022-12-14,33-124,MIA,@,OKC,W (+2),0,14.55,2.0,5.0,.400,2.0,4.0,.500,1,2,.500,0,6,6,0,0,1,0,2,7,5.6,+14,1.0,0.0,0.0,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
30,30,,2022-12-15,33-125,MIA,@,HOU,W (+3),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
31,31,25,2022-12-17,33-127,MIA,@,SAS,W (+10),0,7.7,1.0,3.0,.333,0.0,1.0,.000,1,2,.500,1,0,1,1,0,1,1,1,3,1.6,-19,2.0,1.0,0.5,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
32,32,26,2022-12-20,33-130,MIA,,CHI,L (-10),0,9.966666666666667,1.0,2.0,.500,0.0,1.0,.000,1,2,.500,1,3,4,0,1,0,1,2,3,2.4,+4,1.0,1.0,1.0,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
33,33,,2022-12-23,33-133,MIA,,IND,L (-3),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
34,34,,2022-12-26,33-136,MIA,,MIN,W (+3),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
