Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Caleb Martin,Shared Games with Cody Zeller,Shared Games with Dewayne Dedmon,Shared Games with Dru Smith,Shared Games with Duncan Robinson,Shared Games with Gabe Vincent,Shared Games with Haywood Highsmith,Shared Games with Jamal Cain,Shared Games with Jimmy Butler,Shared Games with Kyle Lowry,Shared Games with Max Strus,Shared Games with Nikola Jović,Shared Games with Omer Yurtseven,Shared Games with Orlando Robinson,Shared Games with Tyler Herro,Shared Games with Udonis Haslem,Shared Games with Victor Oladipo,Caleb Martin,Cody Zeller,Dewayne Dedmon,Dru Smith,Duncan Robinson,Gabe Vincent,Haywood Highsmith,Jamal Cain,Jamaree Bouyea,Jimmy Butler,Kyle Lowry,Max Strus,Nikola Jović,Omer Yurtseven,Orlando Robinson,Tyler Herro,Udonis Haslem,Victor Oladipo,co_inf with Caleb Martin,co_inf with Cody Zeller,co_inf with Dewayne Dedmon,co_inf with Dru Smith,co_inf with Duncan Robinson,co_inf with Gabe Vincent,co_inf with Haywood Highsmith,co_inf with Jamal Cain,co_inf with Jamaree Bouyea,co_inf with Jimmy Butler,co_inf with Kyle Lowry,co_inf with Max Strus,co_inf with Nikola Jović,co_inf with Omer Yurtseven,co_inf with Orlando Robinson,co_inf with Tyler Herro,co_inf with Udonis Haslem,co_inf with Victor Oladipo,Shared Games with Kevin Love,Kevin Love,Trent Forrest,co_inf with Kevin Love,co_inf with Trent Forrest,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,11,2022-11-07,25-112,MIA,,POR,L (-3),1,33:22,8.0,14.0,.571,0.0,0.0,,0,1.0,.000,2.0,3.0,5.0,3.0,1.0,1.0,1.0,1.0,16.0,13.7,+2,14.0,8.0,0.5714285714285714,65,15,28,4,37,63,49,14,60,51,73,12,8,28,64,6,39,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.9154929577464788,1.0,0.7368421052631579,0.2666666666666666,0.8809523809523809,0.9264705882352942,0.9074074074074074,0.7777777777777778,0.0,0.9375,0.9272727272727272,0.9125,0.8,0.8888888888888888,0.9032258064516128,0.9552238805970148,0.8571428571428571,0.9285714285714286,18,62.0,23.0,0.2903225806451613,0.0,18,10.0,71.0,3.9444444444444446,13.699999999999994,77.19999999999999,4.288888888888888
11,12,12,2022-11-10,25-115,MIA,,CHO,W (+5),1,38:36,6.0,15.0,.400,0.0,1.0,.000,6,6.0,1.000,2.0,12.0,14.0,4.0,2.0,0.0,5.0,5.0,18.0,12.7,+9,14.0,6.0,0.4285714285714285,65,15,28,4,37,63,49,14,60,51,73,12,8,28,64,6,39,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.9154929577464788,1.0,0.7368421052631579,0.2666666666666666,0.8809523809523809,0.9264705882352942,0.9074074074074074,0.7777777777777778,0.0,0.9375,0.9272727272727272,0.9125,0.8,0.8888888888888888,0.9032258064516128,0.9552238805970148,0.8571428571428571,0.9285714285714286,18,62.0,23.0,0.2903225806451613,0.0,18,12.0,47.0,2.611111111111111,10.299999999999995,70.5,3.9166666666666665
12,13,13,2022-11-12,25-117,MIA,,CHO,W (+17),1,33:04,11.0,18.0,.611,0.0,0.0,,2,3.0,.667,1.0,14.0,15.0,4.0,1.0,1.0,5.0,4.0,24.0,18.2,+19,18.0,11.0,0.6111111111111112,65,15,28,4,37,63,49,14,60,51,73,12,8,28,64,6,39,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.9154929577464788,1.0,0.7368421052631579,0.2666666666666666,0.8809523809523809,0.9264705882352942,0.9074074074074074,0.7777777777777778,0.0,0.9375,0.9272727272727272,0.9125,0.8,0.8888888888888888,0.9032258064516128,0.9552238805970148,0.8571428571428571,0.9285714285714286,18,62.0,23.0,0.2903225806451613,0.0,18,19.0,77.0,4.277777777777778,17.399999999999995,94.5,5.25
13,14,14,2022-11-14,25-119,MIA,,PHO,W (+1),1,36:14,9.0,18.0,.500,0.0,1.0,.000,12,14.0,.857,6.0,4.0,10.0,1.0,1.0,0.0,3.0,2.0,30.0,23.5,+12,17.0,9.0,0.5294117647058824,65,15,28,4,37,63,49,14,60,51,73,12,8,28,64,6,39,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.9154929577464788,1.0,0.7368421052631579,0.2666666666666666,0.8809523809523809,0.9264705882352942,0.9074074074074074,0.7777777777777778,0.0,0.9375,0.9272727272727272,0.9125,0.8,0.8888888888888888,0.9032258064516128,0.9552238805970148,0.8571428571428571,0.9285714285714286,18,62.0,23.0,0.2903225806451613,0.0,18,7.0,58.0,3.2222222222222223,18.7,58.5,3.25
14,15,,2022-11-16,25-121,MIA,@,TOR,L (-8),Did Not Dress,Did Not Dress,0.0,0.0,Did Not Dress,,,Did Not Dress,Did Not Dress,0.0,Did Not Dress,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Dress,Did Not Dress,,,,65,15,28,4,37,63,49,14,60,51,73,12,8,28,64,6,39,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.9154929577464788,1.0,0.7368421052631579,0.2666666666666666,0.8809523809523809,0.9264705882352942,0.9074074074074074,0.7777777777777778,0.0,0.9375,0.9272727272727272,0.9125,0.8,0.8888888888888888,0.9032258064516128,0.9552238805970148,0.8571428571428571,0.9285714285714286,18,62.0,23.0,0.2903225806451613,0.0,18,,75.0,4.166666666666667,0.0,82.0,4.555555555555555
15,16,,2022-11-18,25-123,MIA,@,WAS,L (-1),Did Not Dress,Did Not Dress,0.0,0.0,Did Not Dress,,,Did Not Dress,Did Not Dress,0.0,Did Not Dress,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Dress,Did Not Dress,,,,65,15,28,4,37,63,49,14,60,51,73,12,8,28,64,6,39,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.9154929577464788,1.0,0.7368421052631579,0.2666666666666666,0.8809523809523809,0.9264705882352942,0.9074074074074074,0.7777777777777778,0.0,0.9375,0.9272727272727272,0.9125,0.8,0.8888888888888888,0.9032258064516128,0.9552238805970148,0.8571428571428571,0.9285714285714286,18,62.0,23.0,0.2903225806451613,0.0,18,,45.0,2.5,0.0,58.9,3.272222222222222
16,17,15,2022-11-20,25-125,MIA,@,CLE,L (-26),1,26:58,7.0,14.0,.500,0.0,0.0,,7,7.0,1.000,2.0,4.0,6.0,3.0,0.0,1.0,3.0,2.0,21.0,15.6,-20,14.0,7.0,0.5,65,15,28,4,37,63,49,14,60,51,73,12,8,28,64,6,39,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.9154929577464788,1.0,0.7368421052631579,0.2666666666666666,0.8809523809523809,0.9264705882352942,0.9074074074074074,0.7777777777777778,0.0,0.9375,0.9272727272727272,0.9125,0.8,0.8888888888888888,0.9032258064516128,0.9552238805970148,0.8571428571428571,0.9285714285714286,18,62.0,23.0,0.2903225806451613,0.0,18,7.0,30.0,1.6666666666666667,12.799999999999995,40.2,2.2333333333333334
17,18,16,2022-11-21,25-126,MIA,@,MIN,L (-4),1,34:59,7.0,18.0,.389,0.0,2.0,.000,3,6.0,.500,4.0,10.0,14.0,5.0,0.0,2.0,1.0,5.0,17.0,13.7,-11,16.0,7.0,0.4375,65,15,28,4,37,63,49,14,60,51,73,12,8,28,64,6,39,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.9154929577464788,1.0,0.7368421052631579,0.2666666666666666,0.8809523809523809,0.9264705882352942,0.9074074074074074,0.7777777777777778,0.0,0.9375,0.9272727272727272,0.9125,0.8,0.8888888888888888,0.9032258064516128,0.9552238805970148,0.8571428571428571,0.9285714285714286,18,62.0,23.0,0.2903225806451613,0.0,18,13.0,39.0,2.1666666666666665,12.499999999999998,49.6,2.7555555555555555
18,19,17,2022-11-23,25-128,MIA,,WAS,W (+8),1,35:21,5.0,15.0,.333,0.0,0.0,,5,6.0,.833,4.0,7.0,11.0,2.0,2.0,1.0,2.0,4.0,15.0,11.5,+6,15.0,5.0,0.3333333333333333,65,15,28,4,37,63,49,14,60,51,73,12,8,28,64,6,39,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.9154929577464788,1.0,0.7368421052631579,0.2666666666666666,0.8809523809523809,0.9264705882352942,0.9074074074074074,0.7777777777777778,0.0,0.9375,0.9272727272727272,0.9125,0.8,0.8888888888888888,0.9032258064516128,0.9552238805970148,0.8571428571428571,0.9285714285714286,18,62.0,23.0,0.2903225806451613,0.0,18,8.0,77.0,4.277777777777778,9.5,87.60000000000001,4.866666666666667
19,20,18,2022-11-25,25-130,MIA,,WAS,W (+3),1,35:18,15.0,22.0,.682,0.0,1.0,.000,8,8.0,1.000,3.0,9.0,12.0,3.0,0.0,0.0,0.0,4.0,38.0,33.9,+1,21.0,15.0,0.7142857142857143,65,15,28,4,37,63,49,14,60,51,73,12,8,28,64,6,39,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.9154929577464788,1.0,0.7368421052631579,0.2666666666666666,0.8809523809523809,0.9264705882352942,0.9074074074074074,0.7777777777777778,0.0,0.9375,0.9272727272727272,0.9125,0.8,0.8888888888888888,0.9032258064516128,0.9552238805970148,0.8571428571428571,0.9285714285714286,18,62.0,23.0,0.2903225806451613,0.0,18,23.0,39.0,2.1666666666666665,30.700000000000003,42.2,2.3444444444444446
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,65,15,28,4,37,63,49,14,60,51,73,12,8,28,64,6,39,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.9154929577464788,1.0,0.7368421052631579,0.2666666666666666,0.8809523809523809,0.9264705882352942,0.9074074074074074,0.7777777777777778,0.0,0.9375,0.9272727272727272,0.9125,0.8,0.8888888888888888,0.9032258064516128,0.9552238805970148,0.8571428571428571,0.9285714285714286,18,62.0,23.0,0.2903225806451613,0.0,18,,0.0,0.0,0.0,0.0,0.0
21,21,19,2022-11-27,25-132,MIA,@,ATL,W (+8),1,33:42,13.0,20.0,.650,0.0,0.0,,6,6.0,1.000,1.0,7.0,8.0,1.0,0.0,1.0,3.0,2.0,32.0,23.6,+1,20.0,13.0,0.65,65,15,28,4,37,63,49,14,60,51,73,12,8,28,64,6,39,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.9154929577464788,1.0,0.7368421052631579,0.2666666666666666,0.8809523809523809,0.9264705882352942,0.9074074074074074,0.7777777777777778,0.0,0.9375,0.9272727272727272,0.9125,0.8,0.8888888888888888,0.9032258064516128,0.9552238805970148,0.8571428571428571,0.9285714285714286,18,62.0,23.0,0.2903225806451613,0.0,18,13.0,54.0,3.0,21.200000000000014,46.19999999999999,2.566666666666666
22,22,20,2022-11-30,25-135,MIA,@,BOS,L (-13),1,38:21,10.0,19.0,.526,1.0,1.0,1.000,2,2.0,1.000,1.0,5.0,6.0,5.0,2.0,0.0,5.0,5.0,23.0,14.4,-6,18.0,9.0,0.5,65,15,28,4,37,63,49,14,60,51,73,12,8,28,64,6,39,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.9154929577464788,1.0,0.7368421052631579,0.2666666666666666,0.8809523809523809,0.9264705882352942,0.9074074074074074,0.7777777777777778,0.0,0.9375,0.9272727272727272,0.9125,0.8,0.8888888888888888,0.9032258064516128,0.9552238805970148,0.8571428571428571,0.9285714285714286,18,62.0,23.0,0.2903225806451613,0.0,18,10.0,90.0,5.0,13.600000000000003,96.5,5.361111111111111
23,23,21,2022-12-02,25-137,MIA,@,BOS,W (+4),1,38:27,10.0,18.0,.556,0.0,0.0,,8,9.0,.889,1.0,6.0,7.0,3.0,1.0,1.0,2.0,3.0,28.0,22.1,+7,18.0,10.0,0.5555555555555556,65,15,28,4,37,63,49,14,60,51,73,12,8,28,64,6,39,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.9154929577464788,1.0,0.7368421052631579,0.2666666666666666,0.8809523809523809,0.9264705882352942,0.9074074074074074,0.7777777777777778,0.0,0.9375,0.9272727272727272,0.9125,0.8,0.8888888888888888,0.9032258064516128,0.9552238805970148,0.8571428571428571,0.9285714285714286,18,62.0,23.0,0.2903225806451613,0.0,18,11.0,85.0,4.722222222222222,18.9,84.9,4.716666666666667
24,24,22,2022-12-05,25-140,MIA,@,MEM,L (-8),1,38:44,5.0,13.0,.385,0.0,0.0,,5,5.0,1.000,1.0,4.0,5.0,4.0,0.0,0.0,1.0,0.0,15.0,11.6,+9,13.0,5.0,0.3846153846153846,65,15,28,4,37,63,49,14,60,51,73,12,8,28,64,6,39,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.9154929577464788,1.0,0.7368421052631579,0.2666666666666666,0.8809523809523809,0.9264705882352942,0.9074074074074074,0.7777777777777778,0.0,0.9375,0.9272727272727272,0.9125,0.8,0.8888888888888888,0.9032258064516128,0.9552238805970148,0.8571428571428571,0.9285714285714286,18,62.0,23.0,0.2903225806451613,0.0,18,5.0,57.0,3.1666666666666665,9.6,61.8,3.433333333333333
25,25,23,2022-12-06,25-141,MIA,,DET,L (-20),1,34:13,9.0,16.0,.563,0.0,0.0,,3,6.0,.500,1.0,14.0,15.0,2.0,0.0,1.0,5.0,3.0,21.0,13.0,-12,16.0,9.0,0.5625,65,15,28,4,37,63,49,14,60,51,73,12,8,28,64,6,39,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.9154929577464788,1.0,0.7368421052631579,0.2666666666666666,0.8809523809523809,0.9264705882352942,0.9074074074074074,0.7777777777777778,0.0,0.9375,0.9272727272727272,0.9125,0.8,0.8888888888888888,0.9032258064516128,0.9552238805970148,0.8571428571428571,0.9285714285714286,18,62.0,23.0,0.2903225806451613,0.0,18,12.0,45.0,2.5,11.8,52.99999999999999,2.944444444444444
26,26,24,2022-12-08,25-143,MIA,,LAC,W (+5),1,36:25,14.0,21.0,.667,0.0,0.0,,3,3.0,1.000,4.0,6.0,10.0,4.0,1.0,0.0,2.0,0.0,31.0,28.3,+13,21.0,14.0,0.6666666666666666,65,15,28,4,37,63,49,14,60,51,73,12,8,28,64,6,39,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.9154929577464788,1.0,0.7368421052631579,0.2666666666666666,0.8809523809523809,0.9264705882352942,0.9074074074074074,0.7777777777777778,0.0,0.9375,0.9272727272727272,0.9125,0.8,0.8888888888888888,0.9032258064516128,0.9552238805970148,0.8571428571428571,0.9285714285714286,18,62.0,23.0,0.2903225806451613,0.0,18,20.0,66.0,3.6666666666666665,27.099999999999994,60.99999999999999,3.3888888888888884
27,27,25,2022-12-10,25-145,MIA,,SAS,L (-4),1,32:20,5.0,11.0,.455,0.0,1.0,.000,2,5.0,.400,2.0,7.0,9.0,4.0,0.0,0.0,0.0,3.0,12.0,10.2,+4,10.0,5.0,0.5,65,15,28,4,37,63,49,14,60,51,73,12,8,28,64,6,39,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.9154929577464788,1.0,0.7368421052631579,0.2666666666666666,0.8809523809523809,0.9264705882352942,0.9074074074074074,0.7777777777777778,0.0,0.9375,0.9272727272727272,0.9125,0.8,0.8888888888888888,0.9032258064516128,0.9552238805970148,0.8571428571428571,0.9285714285714286,18,62.0,23.0,0.2903225806451613,0.0,18,9.0,63.0,3.5,9.400000000000002,77.7,4.316666666666666
