Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bam Adebayo,Shared Games with Caleb Martin,Shared Games with Duncan Robinson,Shared Games with Gabe Vincent,Shared Games with Haywood Highsmith,Shared Games with Jamal Cain,Shared Games with Jimmy Butler,Shared Games with Kyle Lowry,Shared Games with Max Strus,Shared Games with Tyler Herro,Shared Games with Udonis Haslem,Shared Games with Victor Oladipo,Bam Adebayo,Caleb Martin,Cody Zeller,Dewayne Dedmon,Dru Smith,Duncan Robinson,Gabe Vincent,Haywood Highsmith,Jamal Cain,Jamaree Bouyea,Jimmy Butler,Kyle Lowry,Max Strus,Nikola Jović,Orlando Robinson,Tyler Herro,Udonis Haslem,Victor Oladipo,co_inf with Bam Adebayo,co_inf with Caleb Martin,co_inf with Cody Zeller,co_inf with Dewayne Dedmon,co_inf with Dru Smith,co_inf with Duncan Robinson,co_inf with Gabe Vincent,co_inf with Haywood Highsmith,co_inf with Jamal Cain,co_inf with Jamaree Bouyea,co_inf with Jimmy Butler,co_inf with Kyle Lowry,co_inf with Max Strus,co_inf with Nikola Jović,co_inf with Orlando Robinson,co_inf with Tyler Herro,co_inf with Udonis Haslem,co_inf with Victor Oladipo,Shared Games with Kevin Love,Kevin Love,Trent Forrest,co_inf with Kevin Love,co_inf with Trent Forrest,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,,2022-11-07,24-141,MIA,,POR,L (-3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,81.0,6.230769230769231,0.0,82.09999999999998,6.315384615384614
11,12,,2022-11-10,24-144,MIA,,CHO,W (+5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,59.0,4.538461538461538,0.0,78.1,6.007692307692308
12,13,,2022-11-12,24-146,MIA,,CHO,W (+17),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,96.0,7.384615384615385,0.0,107.1,8.238461538461538
13,14,,2022-11-14,24-148,MIA,,PHO,W (+1),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,65.0,5.0,0.0,79.1,6.084615384615384
14,15,,2022-11-16,24-150,MIA,@,TOR,L (-8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,75.0,5.769230769230769,0.0,55.9,4.3
15,16,,2022-11-18,24-152,MIA,@,WAS,L (-1),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,45.0,3.4615384615384617,0.0,48.6,3.7384615384615385
16,17,,2022-11-20,24-154,MIA,@,CLE,L (-26),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,37.0,2.8461538461538463,0.0,33.1,2.5461538461538464
17,18,,2022-11-21,24-155,MIA,@,MIN,L (-4),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,52.0,4.0,0.0,55.69999999999999,4.284615384615384
18,19,,2022-11-23,24-157,MIA,,WAS,W (+8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,85.0,6.538461538461538,0.0,70.9,5.453846153846154
19,20,,2022-11-25,24-159,MIA,,WAS,W (+3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,62.0,4.769230769230769,0.0,68.10000000000002,5.23846153846154
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,0.0,0.0,0.0,0.0,0.0
21,21,,2022-11-27,24-161,MIA,@,ATL,W (+8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,67.0,5.153846153846154,0.0,67.4,5.184615384615385
22,22,,2022-11-30,24-164,MIA,@,BOS,L (-13),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,100.0,7.6923076923076925,0.0,90.6,6.9692307692307685
23,23,,2022-12-02,24-166,MIA,@,BOS,W (+4),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,96.0,7.384615384615385,0.0,93.5,7.1923076923076925
24,24,,2022-12-05,24-169,MIA,@,MEM,L (-8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,62.0,4.769230769230769,0.0,66.89999999999999,5.146153846153846
25,25,,2022-12-06,24-170,MIA,,DET,L (-20),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,57.0,4.384615384615385,0.0,56.09999999999999,4.315384615384614
26,26,,2022-12-08,24-172,MIA,,LAC,W (+5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,86.0,6.615384615384615,0.0,88.6,6.815384615384615
27,27,,2022-12-10,24-174,MIA,,SAS,L (-4),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,72.0,5.538461538461538,0.0,78.5,6.038461538461538
28,28,,2022-12-12,24-176,MIA,@,IND,W (+5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,50.0,3.8461538461538463,0.0,54.1,4.161538461538462
29,29,,2022-12-14,24-178,MIA,@,OKC,W (+2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,76.0,5.846153846153846,0.0,73.6,5.661538461538461
30,30,,2022-12-15,24-179,MIA,@,HOU,W (+3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,73.0,5.615384615384615,0.0,76.10000000000001,5.853846153846154
