Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Wiggins,Shared Games with Aleksej Pokusevski,Shared Games with Darius Bazley,Shared Games with Eugene Omoruyi,Shared Games with Isaiah Joe,Shared Games with Jalen Williams,Shared Games with Jaylin Williams,Shared Games with Josh Giddey,Shared Games with Kenrich Williams,Shared Games with Lindy Waters III,Shared Games with Luguentz Dort,Shared Games with Mike Muscala,Shared Games with Ousmane Dieng,Shared Games with Shai Gilgeous-Alexander,Shared Games with Tre Mann,Aaron Wiggins,Aleksej Pokusevski,Chet Holmgren,Darius Bazley,Eugene Omoruyi,Isaiah Joe,Jalen Williams,Jared Butler,Jaylin Williams,Josh Giddey,Kenrich Williams,Lindy Waters III,Luguentz Dort,Mike Muscala,Ousmane Dieng,Shai Gilgeous-Alexander,Tre Mann,co_inf with Aaron Wiggins,co_inf with Aleksej Pokusevski,co_inf with Chet Holmgren,co_inf with Darius Bazley,co_inf with Eugene Omoruyi,co_inf with Isaiah Joe,co_inf with Jalen Williams,co_inf with Jared Butler,co_inf with Jaylin Williams,co_inf with Josh Giddey,co_inf with Kenrich Williams,co_inf with Lindy Waters III,co_inf with Luguentz Dort,co_inf with Mike Muscala,co_inf with Ousmane Dieng,co_inf with Shai Gilgeous-Alexander,co_inf with Tre Mann,Shared Games with Dario Šarić,Shared Games with Olivier Sarr,Danilo Gallinari,Dario Šarić,Olivier Sarr,co_inf with Danilo Gallinari,co_inf with Dario Šarić,co_inf with Olivier Sarr,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,11.0,2022-11-09,22-006,OKC,MIL,1,12.533333333333331,2.0,6.0,.333,1.0,3.0,.333,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,5.0,-0.9,-8,3.0,1.0,0.3333333333333333,34,25,20,10,35,37,22,39,26,17,41,17,24,33,38,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.4857142857142857,0.7352941176470589,,0.4651162790697674,0.25,0.4794520547945205,0.4933333333333333,0.0,0.4489795918367347,0.5131578947368421,0.490566037735849,0.4146341463414634,0.5540540540540541,0.2698412698412698,0.6153846153846154,0.4852941176470588,0.5671641791044776,10,2,,57.0,9.0,,0.175438596491228,0.2222222222222222,17,-2.0,89.0,5.235294117647059,-0.8999999999999997,101.0,5.941176470588236,13.0,1.9,-1.5,-0.8,-0.7,0.0303124675594311,0.548,0.448,0.169,0.1,1.1,L (-4),L (-4)
12.0,,2022-11-11,22-008,OKC,TOR,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,34,25,20,10,35,37,22,39,26,17,41,17,24,33,38,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.4857142857142857,0.7352941176470589,,0.4651162790697674,0.25,0.4794520547945205,0.4933333333333333,0.0,0.4489795918367347,0.5131578947368421,0.490566037735849,0.4146341463414634,0.5540540540540541,0.2698412698412698,0.6153846153846154,0.4852941176470588,0.5671641791044776,10,2,,57.0,9.0,,0.175438596491228,0.2222222222222222,17,,81.0,4.764705882352941,0.0,89.4,5.258823529411765,13.0,1.9,-1.5,-0.8,-0.7,0.0303124675594311,0.548,0.448,0.169,0.1,1.1,W (+19),W (+19)
13.0,12.0,2022-11-13,22-010,OKC,NYK,1,30.73333333333333,7.0,9.0,.778,3.0,4.0,.750,0,0.0,,3.0,4.0,7.0,0.0,0.0,0.0,1.0,5.0,17.0,13.8,+11,5.0,4.0,0.8,34,25,20,10,35,37,22,39,26,17,41,17,24,33,38,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.4857142857142857,0.7352941176470589,,0.4651162790697674,0.25,0.4794520547945205,0.4933333333333333,0.0,0.4489795918367347,0.5131578947368421,0.490566037735849,0.4146341463414634,0.5540540540540541,0.2698412698412698,0.6153846153846154,0.4852941176470588,0.5671641791044776,10,2,,57.0,9.0,,0.175438596491228,0.2222222222222222,17,14.0,80.0,4.705882352941177,13.799999999999995,95.0,5.588235294117647,13.0,1.9,-1.5,-0.8,-0.7,0.0303124675594311,0.548,0.448,0.169,0.1,1.1,W (+10),W (+10)
14.0,13.0,2022-11-14,22-011,OKC,BOS,0,13.8,2.0,4.0,.500,0.0,0.0,,0,0.0,,2.0,3.0,5.0,0.0,0.0,0.0,0.0,4.0,4.0,2.7,-13,4.0,2.0,0.5,34,25,20,10,35,37,22,39,26,17,41,17,24,33,38,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.4857142857142857,0.7352941176470589,,0.4651162790697674,0.25,0.4794520547945205,0.4933333333333333,0.0,0.4489795918367347,0.5131578947368421,0.490566037735849,0.4146341463414634,0.5540540540540541,0.2698412698412698,0.6153846153846154,0.4852941176470588,0.5671641791044776,10,2,,57.0,9.0,,0.175438596491228,0.2222222222222222,17,5.0,62.0,3.647058823529412,2.7,75.9,4.464705882352941,13.0,1.9,-1.5,-0.8,-0.7,0.0303124675594311,0.548,0.448,0.169,0.1,1.1,L (-4),L (-4)
15.0,14.0,2022-11-16,22-013,OKC,WAS,0,13.416666666666666,2.0,3.0,.667,1.0,2.0,.500,3,4.0,.750,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,8.0,7.6,0,1.0,1.0,1.0,34,25,20,10,35,37,22,39,26,17,41,17,24,33,38,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.4857142857142857,0.7352941176470589,,0.4651162790697674,0.25,0.4794520547945205,0.4933333333333333,0.0,0.4489795918367347,0.5131578947368421,0.490566037735849,0.4146341463414634,0.5540540540540541,0.2698412698412698,0.6153846153846154,0.4852941176470588,0.5671641791044776,10,2,,57.0,9.0,,0.175438596491228,0.2222222222222222,17,5.0,70.0,4.117647058823529,6.4,85.0,5.0,13.0,1.9,-1.5,-0.8,-0.7,0.0303124675594311,0.548,0.448,0.169,0.1,1.1,W (+1),W (+1)
16.0,15.0,2022-11-18,22-015,OKC,MEM,0,27.5,6.0,9.0,.667,0.0,2.0,.000,2,2.0,1.000,1.0,6.0,7.0,1.0,0.0,3.0,2.0,1.0,14.0,13.0,+13,7.0,6.0,0.8571428571428571,34,25,20,10,35,37,22,39,26,17,41,17,24,33,38,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.4857142857142857,0.7352941176470589,,0.4651162790697674,0.25,0.4794520547945205,0.4933333333333333,0.0,0.4489795918367347,0.5131578947368421,0.490566037735849,0.4146341463414634,0.5540540540540541,0.2698412698412698,0.6153846153846154,0.4852941176470588,0.5671641791044776,10,2,,57.0,9.0,,0.175438596491228,0.2222222222222222,17,12.0,69.0,4.0588235294117645,12.199999999999994,71.19999999999999,4.188235294117646,13.0,1.9,-1.5,-0.8,-0.7,0.0303124675594311,0.548,0.448,0.169,0.1,1.1,L (-11),L (-11)
17.0,16.0,2022-11-21,22-018,OKC,NYK,1,21.7,3.0,5.0,.600,2.0,3.0,.667,0,0.0,,1.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,8.0,6.3,-8,2.0,1.0,0.5,34,25,20,10,35,37,22,39,26,17,41,17,24,33,38,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.4857142857142857,0.7352941176470589,,0.4651162790697674,0.25,0.4794520547945205,0.4933333333333333,0.0,0.4489795918367347,0.5131578947368421,0.490566037735849,0.4146341463414634,0.5540540540540541,0.2698412698412698,0.6153846153846154,0.4852941176470588,0.5671641791044776,10,2,,57.0,9.0,,0.175438596491228,0.2222222222222222,17,6.0,49.0,2.8823529411764706,6.3,69.10000000000001,4.064705882352942,13.0,1.9,-1.5,-0.8,-0.7,0.0303124675594311,0.548,0.448,0.169,0.1,1.1,L (-10),L (-10)
18.0,17.0,2022-11-23,22-020,OKC,DEN,1,34.516666666666666,3.0,11.0,.273,2.0,5.0,.400,0,0.0,,5.0,6.0,11.0,3.0,2.0,1.0,0.0,5.0,8.0,9.6,+6,6.0,1.0,0.1666666666666666,34,25,20,10,35,37,22,39,26,17,41,17,24,33,38,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.4857142857142857,0.7352941176470589,,0.4651162790697674,0.25,0.4794520547945205,0.4933333333333333,0.0,0.4489795918367347,0.5131578947368421,0.490566037735849,0.4146341463414634,0.5540540540540541,0.2698412698412698,0.6153846153846154,0.4852941176470588,0.5671641791044776,10,2,,57.0,9.0,,0.175438596491228,0.2222222222222222,17,14.0,54.0,3.176470588235294,9.6,79.10000000000001,4.652941176470589,13.0,1.9,-1.5,-0.8,-0.7,0.0303124675594311,0.548,0.448,0.169,0.1,1.1,L (-5),L (-5)
19.0,18.0,2022-11-25,22-022,OKC,CHI,0,19.666666666666668,5.0,9.0,.556,0.0,2.0,.000,0,0.0,,1.0,2.0,3.0,0.0,2.0,0.0,0.0,1.0,10.0,8.6,+16,7.0,5.0,0.7142857142857143,34,25,20,10,35,37,22,39,26,17,41,17,24,33,38,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.4857142857142857,0.7352941176470589,,0.4651162790697674,0.25,0.4794520547945205,0.4933333333333333,0.0,0.4489795918367347,0.5131578947368421,0.490566037735849,0.4146341463414634,0.5540540540540541,0.2698412698412698,0.6153846153846154,0.4852941176470588,0.5671641791044776,10,2,,57.0,9.0,,0.175438596491228,0.2222222222222222,17,6.0,53.0,3.117647058823529,8.6,64.39999999999999,3.788235294117648,13.0,1.9,-1.5,-0.8,-0.7,0.0303124675594311,0.548,0.448,0.169,0.1,1.1,W (+4),W (+4)
20.0,19.0,2022-11-26,22-023,OKC,HOU,0,23.65,3.0,7.0,.429,1.0,4.0,.250,2,3.0,.667,4.0,1.0,5.0,2.0,0.0,1.0,0.0,0.0,9.0,10.1,+13,3.0,2.0,0.6666666666666666,34,25,20,10,35,37,22,39,26,17,41,17,24,33,38,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.4857142857142857,0.7352941176470589,,0.4651162790697674,0.25,0.4794520547945205,0.4933333333333333,0.0,0.4489795918367347,0.5131578947368421,0.490566037735849,0.4146341463414634,0.5540540540540541,0.2698412698412698,0.6153846153846154,0.4852941176470588,0.5671641791044776,10,2,,57.0,9.0,,0.175438596491228,0.2222222222222222,17,7.0,47.0,2.764705882352941,9.3,59.900000000000006,3.5235294117647062,13.0,1.9,-1.5,-0.8,-0.7,0.0303124675594311,0.548,0.448,0.169,0.1,1.1,L (-13),L (-13)
21.0,20.0,2022-11-28,22-025,OKC,NOP,1,33.63333333333333,4.0,11.0,.364,2.0,5.0,.400,0,0.0,,5.0,8.0,13.0,1.0,2.0,1.0,1.0,1.0,10.0,11.8,-6,6.0,2.0,0.3333333333333333,34,25,20,10,35,37,22,39,26,17,41,17,24,33,38,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.4857142857142857,0.7352941176470589,,0.4651162790697674,0.25,0.4794520547945205,0.4933333333333333,0.0,0.4489795918367347,0.5131578947368421,0.490566037735849,0.4146341463414634,0.5540540540540541,0.2698412698412698,0.6153846153846154,0.4852941176470588,0.5671641791044776,10,2,,57.0,9.0,,0.175438596491228,0.2222222222222222,17,15.0,30.0,1.7647058823529411,11.8,47.99999999999998,2.8235294117647047,13.0,1.9,-1.5,-0.8,-0.7,0.0303124675594311,0.548,0.448,0.169,0.1,1.1,,
22.0,21.0,2022-11-30,22-027,OKC,SAS,1,25.53333333333333,2.0,5.0,.400,1.0,3.0,.333,2,2.0,1.000,1.0,4.0,5.0,1.0,0.0,0.0,0.0,2.0,7.0,6.1,+9,2.0,1.0,0.5,34,25,20,10,35,37,22,39,26,17,41,17,24,33,38,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.4857142857142857,0.7352941176470589,,0.4651162790697674,0.25,0.4794520547945205,0.4933333333333333,0.0,0.4489795918367347,0.5131578947368421,0.490566037735849,0.4146341463414634,0.5540540540540541,0.2698412698412698,0.6153846153846154,0.4852941176470588,0.5671641791044776,10,2,,57.0,9.0,,0.175438596491228,0.2222222222222222,17,6.0,68.0,4.0,5.299999999999999,81.6,4.8,13.0,1.9,-1.5,-0.8,-0.7,0.0303124675594311,0.548,0.448,0.169,0.1,1.1,L (-4),L (-4)
23.0,22.0,2022-12-03,22-030,OKC,MIN,1,28.85,5.0,11.0,.455,0.0,3.0,.000,4,4.0,1.000,5.0,2.0,7.0,2.0,2.0,0.0,1.0,3.0,14.0,13.6,+13,8.0,5.0,0.625,34,25,20,10,35,37,22,39,26,17,41,17,24,33,38,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.4857142857142857,0.7352941176470589,,0.4651162790697674,0.25,0.4794520547945205,0.4933333333333333,0.0,0.4489795918367347,0.5131578947368421,0.490566037735849,0.4146341463414634,0.5540540540540541,0.2698412698412698,0.6153846153846154,0.4852941176470588,0.5671641791044776,10,2,,57.0,9.0,,0.175438596491228,0.2222222222222222,17,9.0,70.0,4.117647058823529,12.0,95.5,5.617647058823529,13.0,1.9,-1.5,-0.8,-0.7,0.0303124675594311,0.548,0.448,0.169,0.1,1.1,W (+8),W (+8)
24.0,23.0,2022-12-05,22-032,OKC,ATL,1,28.666666666666668,4.0,6.0,.667,2.0,2.0,1.000,0,0.0,,4.0,2.0,6.0,0.0,0.0,0.0,2.0,2.0,10.0,8.0,+6,4.0,2.0,0.5,34,25,20,10,35,37,22,39,26,17,41,17,24,33,38,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.4857142857142857,0.7352941176470589,,0.4651162790697674,0.25,0.4794520547945205,0.4933333333333333,0.0,0.4489795918367347,0.5131578947368421,0.490566037735849,0.4146341463414634,0.5540540540540541,0.2698412698412698,0.6153846153846154,0.4852941176470588,0.5671641791044776,10,2,,57.0,9.0,,0.175438596491228,0.2222222222222222,17,8.0,60.0,3.5294117647058822,7.999999999999998,73.39999999999999,4.317647058823529,13.0,1.9,-1.5,-0.8,-0.7,0.0303124675594311,0.548,0.448,0.169,0.1,1.1,W (+7),W (+7)
25.0,24.0,2022-12-07,22-034,OKC,MEM,1,26.85,4.0,11.0,.364,1.0,4.0,.250,0,0.0,,5.0,4.0,9.0,0.0,0.0,0.0,1.0,1.0,9.0,6.2,-11,7.0,3.0,0.4285714285714285,34,25,20,10,35,37,22,39,26,17,41,17,24,33,38,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.4857142857142857,0.7352941176470589,,0.4651162790697674,0.25,0.4794520547945205,0.4933333333333333,0.0,0.4489795918367347,0.5131578947368421,0.490566037735849,0.4146341463414634,0.5540540540540541,0.2698412698412698,0.6153846153846154,0.4852941176470588,0.5671641791044776,10,2,,57.0,9.0,,0.175438596491228,0.2222222222222222,17,6.0,37.0,2.176470588235294,6.199999999999999,47.2,2.7764705882352945,13.0,1.9,-1.5,-0.8,-0.7,0.0303124675594311,0.548,0.448,0.169,0.1,1.1,W (+7),W (+7)
