Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Aaron Wiggins,Aleksej Pokusevski,Chet Holmgren,Darius Bazley,Eugene Omoruyi,Isaiah Joe,Jalen Williams,Jaylin Williams,Jeremiah Robinson-Earl,Josh Giddey,Kenrich Williams,Lindy Waters III,Luguentz Dort,Mike Muscala,Ousmane Dieng,Shai Gilgeous-Alexander,Tre Mann,co_inf with Aaron Wiggins,co_inf with Aleksej Pokusevski,co_inf with Chet Holmgren,co_inf with Darius Bazley,co_inf with Eugene Omoruyi,co_inf with Isaiah Joe,co_inf with Jalen Williams,co_inf with Jaylin Williams,co_inf with Jeremiah Robinson-Earl,co_inf with Josh Giddey,co_inf with Kenrich Williams,co_inf with Lindy Waters III,co_inf with Luguentz Dort,co_inf with Mike Muscala,co_inf with Ousmane Dieng,co_inf with Shai Gilgeous-Alexander,co_inf with Tre Mann,Danilo Gallinari,Dario Šarić,Olivier Sarr,co_inf with Danilo Gallinari,co_inf with Dario Šarić,co_inf with Olivier Sarr,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11,,2023-03-23,22-210,OKC,LAC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,70.0,34.0,,43.0,40.0,73.0,75.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,57.0,9.0,,0.0,0.0,0,,87.0,0.0,0.0,0,,13.0,0.1,-2.6,-2.2,-0.4,0.0038409633551333,0.578,0.438,0.0,0.0,0.0,L (-22),L (-22)
12,,2023-03-24,22-211,OKC,LAL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,70.0,34.0,,43.0,40.0,73.0,75.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,57.0,9.0,,0.0,0.0,0,,81.0,0.0,0.0,0,,13.0,0.1,-2.6,-2.2,-0.4,0.0038409633551333,0.578,0.438,0.0,0.0,0.0,L (-5),L (-5)
13,,2023-03-26,22-213,OKC,POR,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,70.0,34.0,,43.0,40.0,73.0,75.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,57.0,9.0,,0.0,0.0,0,,94.0,0.0,0.0,0,,13.0,0.1,-2.6,-2.2,-0.4,0.0038409633551333,0.578,0.438,0.0,0.0,0.0,W (+6),W (+6)
14,3.0,2023-03-28,22-215,OKC,CHO,0,7.366666666666666,2.0,4.0,.500,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,2.6,-13,3.0,2.0,0.6666666666666666,70.0,34.0,,43.0,40.0,73.0,75.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,57.0,9.0,,0.0,0.0,0,1.0,66.0,0.0,2.6,0,,13.0,0.1,-2.6,-2.2,-0.4,0.0038409633551333,0.578,0.438,0.0,0.0,0.0,L (-3),L (-3)
15,,2023-03-29,22-216,OKC,DET,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,70.0,34.0,,43.0,40.0,73.0,75.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,57.0,9.0,,0.0,0.0,0,,75.0,0.0,0.0,0,,13.0,0.1,-2.6,-2.2,-0.4,0.0038409633551333,0.578,0.438,0.0,0.0,0.0,W (+1),W (+1)
16,,2023-03-31,22-218,OKC,IND,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,70.0,34.0,,43.0,40.0,73.0,75.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,57.0,9.0,,0.0,0.0,0,,81.0,0.0,0.0,0,,13.0,0.1,-2.6,-2.2,-0.4,0.0038409633551333,0.578,0.438,0.0,0.0,0.0,L (-4),L (-4)
17,,2023-04-02,22-220,OKC,PHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,70.0,34.0,,43.0,40.0,73.0,75.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,57.0,9.0,,0.0,0.0,0,,55.0,0.0,0.0,0,,13.0,0.1,-2.6,-2.2,-0.4,0.0038409633551333,0.578,0.438,0.0,0.0,0.0,L (-10),L (-10)
18,4.0,2023-04-04,22-222,OKC,GSW,0,2.7333333333333334,1.0,3.0,.333,1.0,2.0,.500,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.9,+2,1.0,0.0,0.0,70.0,34.0,,43.0,40.0,73.0,75.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,57.0,9.0,,0.0,0.0,0,0.0,68.0,0.0,0.9000000000000002,0,,13.0,0.1,-2.6,-2.2,-0.4,0.0038409633551333,0.578,0.438,0.0,0.0,0.0,L (-11),L (-11)
19,5.0,2023-04-06,22-224,OKC,UTA,0,1.6,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,0.0,0.0,,70.0,34.0,,43.0,40.0,73.0,75.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,57.0,9.0,,0.0,0.0,0,0.0,59.0,0.0,0.0,0,,13.0,0.1,-2.6,-2.2,-0.4,0.0038409633551333,0.578,0.438,0.0,0.0,0.0,W (+16),W (+16)
20,6.0,2023-04-09,22-227,OKC,MEM,1,45.61666666666667,10.0,21.0,.476,5.0,9.0,.556,0,0.0,,1.0,2.0,3.0,4.0,1.0,0.0,3.0,0.0,25.0,16.4,+16,12.0,5.0,0.4166666666666667,70.0,34.0,,43.0,40.0,73.0,75.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,57.0,9.0,,0.0,0.0,0,9.0,45.0,0.0,16.400000000000002,0,,13.0,0.1,-2.6,-2.2,-0.4,0.0038409633551333,0.578,0.438,0.0,0.0,0.0,W (+15),W (+15)
