Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Wiggins,Shared Games with Aleksej Pokusevski,Shared Games with Chet Holmgren,Shared Games with Darius Bazley,Shared Games with Eugene Omoruyi,Shared Games with Isaiah Joe,Shared Games with Jalen Williams,Shared Games with Jared Butler,Shared Games with Jaylin Williams,Shared Games with Jeremiah Robinson-Earl,Shared Games with Josh Giddey,Shared Games with Kenrich Williams,Shared Games with Lindy Waters III,Shared Games with Luguentz Dort,Shared Games with Ousmane Dieng,Shared Games with Shai Gilgeous-Alexander,Shared Games with Tre Mann,Aaron Wiggins,Aleksej Pokusevski,Chet Holmgren,Darius Bazley,Eugene Omoruyi,Isaiah Joe,Jalen Williams,Jared Butler,Jaylin Williams,Jeremiah Robinson-Earl,Josh Giddey,Kenrich Williams,Lindy Waters III,Luguentz Dort,Ousmane Dieng,Shai Gilgeous-Alexander,Tre Mann,co_inf with Aaron Wiggins,co_inf with Aleksej Pokusevski,co_inf with Chet Holmgren,co_inf with Darius Bazley,co_inf with Eugene Omoruyi,co_inf with Isaiah Joe,co_inf with Jalen Williams,co_inf with Jared Butler,co_inf with Jaylin Williams,co_inf with Jeremiah Robinson-Earl,co_inf with Josh Giddey,co_inf with Kenrich Williams,co_inf with Lindy Waters III,co_inf with Luguentz Dort,co_inf with Ousmane Dieng,co_inf with Shai Gilgeous-Alexander,co_inf with Tre Mann
69,67,,2023-03-11,31-253,BOS,@,ATL,W (+9),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
70,68,,2023-03-13,31-255,BOS,@,HOU,L (-2),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
71,69,,2023-03-15,31-257,BOS,@,MIN,W (+2),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
72,70,,2023-03-17,31-259,BOS,@,POR,W (+14),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
73,71,53,2023-03-18,31-260,BOS,@,UTA,L (-1),0,21.6,3.0,5.0,.600,2.0,3.0,.667,0,0,,0,6,6,1,0,0,0,1,8,7.8,+5,2.0,1.0,0.5,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
74,72,54,2023-03-21,31-263,BOS,@,SAC,W (+23),0,2.8333333333333335,0.0,0.0,,0.0,0.0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,-1,0.0,0.0,,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
75,73,55,2023-03-24,31-266,BOS,,IND,W (+25),0,4.566666666666666,0.0,1.0,.000,0.0,1.0,.000,0,0,,1,1,2,0,0,1,0,1,0,0.6,+3,0.0,0.0,,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
76,74,56,2023-03-26,31-268,BOS,,SAS,W (+44),0,11.75,3.0,4.0,.750,3.0,4.0,.750,0,0,,1,2,3,1,0,0,0,1,9,9.0,+16,0.0,0.0,,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
77,75,57,2023-03-28,31-270,BOS,@,WAS,L (-19),0,9.35,0.0,1.0,.000,0.0,1.0,.000,0,0,,0,0,0,1,0,0,0,0,0,0.0,+3,0.0,0.0,,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
78,76,58,2023-03-30,31-272,BOS,@,MIL,W (+41),0,7.35,0.0,2.0,.000,0.0,1.0,.000,0,0,,0,1,1,2,0,0,0,1,0,-0.1,-5,1.0,0.0,0.0,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
79,77,59,2023-03-31,31-273,BOS,,UTA,W (+8),0,12.1,0.0,3.0,.000,0.0,2.0,.000,0,0,,1,1,2,0,0,0,1,2,0,-2.9,+5,1.0,0.0,0.0,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
80,78,60,2023-04-04,31-277,BOS,@,PHI,L (-2),0,13.35,0.0,1.0,.000,0.0,1.0,.000,0,0,,0,4,4,0,0,0,0,0,0,0.5,+6,0.0,0.0,,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
81,79,61,2023-04-05,31-278,BOS,,TOR,W (+4),1,31.883333333333333,4.0,6.0,.667,3.0,5.0,.600,1,2,.500,0,6,6,2,0,1,1,3,12,10.7,-5,1.0,1.0,1.0,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
82,80,62,2023-04-07,31-280,BOS,,TOR,W (+19),0,22.183333333333334,4.0,8.0,.500,1.0,5.0,.200,2,2,1.000,3,4,7,1,0,0,0,0,11,11.0,+4,3.0,3.0,1.0,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
83,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
84,81,63,2023-04-09,31-282,BOS,,ATL,W (+6),1,33.416666666666664,9.0,13.0,.692,4.0,7.0,.571,5,7,.714,4,4,8,2,0,0,2,3,27,22.9,+13,6.0,5.0,0.8333333333333334,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
